label,symbol,strategy,strike_dist,hold_period,signal,lots,total_trades,win_rate,total_pnl,total_return_pct,cagr_pct,profit_factor,max_drawdown_pct,avg_premium,avg_zone_width_pct,zone_hold_rate,max_consecutive_losses,avg_pnl_per_trade,avg_win,avg_loss,max_win,max_loss,final_capital
BANKNIFTY_short_strangle_biweekly_Consensus3_SD1.5_L5,BANKNIFTY,short_strangle,1.5,biweekly,Consensus3,5,25,56.0,212167.25,21.22,6.71,1.74,8.66,766.88,3.51,12.0,3,8486.69,35673.57,-26114.8,57148.0,-30000.0,1212167.25
BANKNIFTY_short_strangle_biweekly_Consensus3_SD2.0_L3,BANKNIFTY,short_strangle,2.0,biweekly,Consensus3,3,25,56.0,25800.45,2.58,0.86,1.11,9.22,590.83,4.71,24.0,3,1032.02,18572.36,-21292.05,30728.85,-30000.0,1025800.45
BANKNIFTY_short_strangle_biweekly_Consensus3_SD2.0_L5,BANKNIFTY,short_strangle,2.0,biweekly,Consensus3,5,25,56.0,156171.5,15.62,5.02,1.56,9.09,590.83,4.71,24.0,3,6246.86,30953.93,-25198.5,51214.75,-30000.0,1156171.5
BANKNIFTY_short_strangle_biweekly_Consensus3_SD2.5_L3,BANKNIFTY,short_strangle,2.5,biweekly,Consensus3,3,25,56.0,17081.7,1.71,0.57,1.08,8.14,447.58,5.91,36.0,3,683.27,15583.07,-18280.12,26489.4,-30000.0,1017081.7
BANKNIFTY_short_strangle_biweekly_Consensus3_SD2.5_L5,BANKNIFTY,short_strangle,2.5,biweekly,Consensus3,5,25,56.0,111316.0,11.13,3.63,1.44,9.25,447.58,5.91,36.0,3,4452.64,25971.79,-22935.36,44149.0,-30000.0,1111316.0
BANKNIFTY_short_strangle_biweekly_Consensus3_SD3.0_L3,BANKNIFTY,short_strangle,3.0,biweekly,Consensus3,3,25,60.0,6509.4,0.65,0.22,1.04,7.15,335.37,7.08,52.0,3,260.38,11896.62,-17193.99,21921.0,-30000.0,1006509.4
BANKNIFTY_short_strangle_biweekly_Consensus3_SD3.0_L5,BANKNIFTY,short_strangle,3.0,biweekly,Consensus3,5,25,60.0,75036.0,7.5,2.47,1.34,9.46,335.37,7.08,52.0,3,3001.44,19827.7,-22237.95,36535.0,-30000.0,1075036.0
BANKNIFTY_iron_condor_weekly_BB+ATR_SD1.5_L3,BANKNIFTY,iron_condor,1.5,weekly,BB+ATR,3,33,66.67,29730.15,2.97,1.0,1.28,2.77,270.69,3.29,33.33,1,900.91,6180.7,-9658.66,11471.7,-24393.3,1029730.15
BANKNIFTY_iron_condor_weekly_BB+ATR_SD1.5_L5,BANKNIFTY,iron_condor,1.5,weekly,BB+ATR,5,33,66.67,67128.5,6.71,2.23,1.42,3.53,270.69,3.29,33.33,1,2034.2,10301.17,-14499.75,19119.5,-31429.75,1067128.5
BANKNIFTY_iron_condor_weekly_BB+ATR_SD2.0_L3,BANKNIFTY,iron_condor,2.0,weekly,BB+ATR,3,33,72.73,17538.3,1.75,0.59,1.19,3.22,187.5,4.41,51.52,1,531.46,4509.68,-10077.1,8813.55,-24020.25,1017538.3
BANKNIFTY_iron_condor_weekly_BB+ATR_SD2.0_L5,BANKNIFTY,iron_condor,2.0,weekly,BB+ATR,5,33,72.73,51986.25,5.2,1.73,1.4,3.99,187.5,4.41,51.52,1,1575.34,7516.12,-14266.75,14689.25,-30000.0,1051986.25
