symbol,timeframe,signal,category,zone_width_atr,hold_period,zone_hold_rate,avg_zone_duration,avg_break_magnitude,max_break_magnitude,signal_frequency,total_signals,total_bars,score
NIFTY50,daily,ATR_CONTRACT_14,volatility,1.5,20,0.61,3.61,2.68,8.13,45.14,334,740,0.3119
NIFTY50,daily,ATR_CONTRACT_14,volatility,2.0,1,97.01,0.97,0.61,1.73,45.14,334,740,0.9382
NIFTY50,daily,ATR_CONTRACT_14,volatility,2.0,3,69.16,2.49,0.72,3.57,45.14,334,740,0.794
NIFTY50,daily,ATR_CONTRACT_14,volatility,2.0,5,49.1,3.56,1.04,5.04,45.14,334,740,0.6778
NIFTY50,daily,ATR_CONTRACT_14,volatility,2.0,7,33.83,4.31,1.23,5.29,45.14,334,740,0.59
NIFTY50,daily,ATR_CONTRACT_14,volatility,2.0,10,20.36,5.04,1.56,7.4,45.14,334,740,0.5005
NIFTY50,daily,ATR_CONTRACT_14,volatility,2.0,15,10.27,5.75,2.03,8.85,45.14,334,740,0.4169
NIFTY50,daily,ATR_CONTRACT_14,volatility,2.0,20,7.32,6.18,2.43,7.81,45.14,334,740,0.3746
NIFTY50,daily,ATR_CONTRACT_14,volatility,2.5,1,98.2,0.98,0.53,1.19,45.14,334,740,0.9486
NIFTY50,daily,ATR_CONTRACT_14,volatility,2.5,3,82.93,2.73,0.73,3.08,45.14,334,740,0.8651
NIFTY50,daily,ATR_CONTRACT_14,volatility,2.5,5,64.07,4.09,0.97,4.55,45.14,334,740,0.7615
NIFTY50,daily,ATR_CONTRACT_14,volatility,2.5,7,51.2,5.17,1.17,4.78,45.14,334,740,0.6864
NIFTY50,daily,ATR_CONTRACT_14,volatility,2.5,10,34.73,6.37,1.43,6.91,45.14,334,740,0.5896
NIFTY50,daily,ATR_CONTRACT_14,volatility,2.5,15,22.05,7.73,1.88,8.38,45.14,334,740,0.4968
NIFTY50,daily,ATR_CONTRACT_14,volatility,2.5,20,14.63,8.6,2.19,7.49,45.14,334,740,0.4376
NIFTY50,daily,ATR_CONTRACT_20,volatility,1.0,1,67.27,0.67,0.36,2.33,44.59,330,740,0.7676
NIFTY50,daily,ATR_CONTRACT_20,volatility,1.0,3,20.91,1.27,0.82,3.49,44.59,330,740,0.514
NIFTY50,daily,ATR_CONTRACT_20,volatility,1.0,5,6.97,1.47,1.25,5.27,44.59,330,740,0.4152
NIFTY50,daily,ATR_CONTRACT_20,volatility,1.0,7,2.42,1.54,1.62,6.34,44.59,330,740,0.3673
NIFTY50,daily,ATR_CONTRACT_20,volatility,1.0,10,0.3,1.56,2.12,7.05,44.59,330,740,0.3262
NIFTY50,daily,ATR_CONTRACT_20,volatility,1.0,15,0.0,1.56,2.69,7.94,44.59,330,740,0.2918
NIFTY50,daily,ATR_CONTRACT_20,volatility,1.0,20,0.0,1.56,3.12,8.45,44.59,330,740,0.2693
NIFTY50,daily,ATR_CONTRACT_20,volatility,1.5,1,89.09,0.89,0.3,1.83,44.59,330,740,0.9009
NIFTY50,daily,ATR_CONTRACT_20,volatility,1.5,3,50.91,2.05,0.75,3.0,44.59,330,740,0.6891
NIFTY50,daily,ATR_CONTRACT_20,volatility,1.5,5,26.36,2.69,1.08,4.77,44.59,330,740,0.5483
NIFTY50,daily,ATR_CONTRACT_20,volatility,1.5,7,12.73,3.02,1.34,5.8,44.59,330,740,0.462
NIFTY50,daily,ATR_CONTRACT_20,volatility,1.5,10,3.94,3.2,1.74,6.51,44.59,330,740,0.3883
NIFTY50,daily,ATR_CONTRACT_20,volatility,1.5,15,1.21,3.31,2.27,7.62,44.59,330,740,0.3364
NIFTY50,daily,ATR_CONTRACT_20,volatility,1.5,20,0.61,3.36,2.69,8.13,44.59,330,740,0.3068
NIFTY50,daily,ATR_CONTRACT_20,volatility,2.0,1,97.58,0.98,0.47,1.33,44.59,330,740,0.9449
NIFTY50,daily,ATR_CONTRACT_20,volatility,2.0,3,68.48,2.49,0.65,2.56,44.59,330,740,0.7927
NIFTY50,daily,ATR_CONTRACT_20,volatility,2.0,5,45.15,3.51,0.95,4.26,44.59,330,740,0.6615
