label,symbol,strategy,strike_dist,hold_period,signal,total_trades,win_rate,total_pnl,total_return_pct,cagr_pct,profit_factor,max_drawdown_pct,avg_premium,avg_zone_width_pct,zone_hold_rate,max_consecutive_losses,avg_pnl_per_trade,avg_win,avg_loss,max_win,max_loss
BANKNIFTY_iron_condor_biweekly_Consensus4_SD2.5,BANKNIFTY,iron_condor,2.5,biweekly,Consensus4,19,63.16,943.15,0.09,0.03,1.03,1.33,262.54,5.71,42.11,3,49.64,2704.66,-4501.83,3853.15,-9895.25
BANKNIFTY_iron_condor_biweekly_Consensus4_SD3.0,BANKNIFTY,iron_condor,3.0,biweekly,Consensus4,19,63.16,-5541.05,-0.55,-0.19,0.83,1.51,202.37,6.85,57.89,3,-291.63,2237.65,-4627.55,3226.15,-10787.0
BANKNIFTY_iron_condor_biweekly_BB_only_SD2.0,BANKNIFTY,iron_condor,2.0,biweekly,BB_only,40,67.5,14286.55,1.43,0.48,1.29,1.84,349.22,4.77,30.0,2,357.16,2362.78,-3808.34,5724.4,-9356.6
BANKNIFTY_iron_condor_biweekly_BB_only_SD2.5,BANKNIFTY,iron_condor,2.5,biweekly,BB_only,40,67.5,15335.35,1.53,0.52,1.34,1.82,272.98,5.99,52.5,2,383.38,2222.12,-3435.52,5020.75,-9957.35
BANKNIFTY_iron_condor_biweekly_BB_only_SD3.0,BANKNIFTY,iron_condor,3.0,biweekly,BB_only,40,67.5,14215.0,1.42,0.48,1.36,1.94,211.15,7.19,67.5,2,355.38,1977.34,-3013.32,4003.3,-10558.4
NIFTY50_short_strangle_weekly_BB+ATR_SD2.0,NIFTY50,short_strangle,2.0,weekly,BB+ATR,33,66.67,-21667.5,-2.17,-0.74,0.62,2.76,93.06,3.64,51.52,4,-656.59,1615.25,-5200.27,3093.0,-11508.5
NIFTY50_short_strangle_weekly_BB+ATR_SD2.5,NIFTY50,short_strangle,2.5,weekly,BB+ATR,33,66.67,-19035.5,-1.9,-0.65,0.56,2.29,60.24,4.55,57.58,4,-576.83,1104.53,-3939.57,2099.5,-10656.0
NIFTY50_short_strangle_weekly_BB+ATR_SD3.0,NIFTY50,short_strangle,3.0,weekly,BB+ATR,33,66.67,-18845.75,-1.88,-0.64,0.44,1.93,37.42,5.48,69.7,4,-571.08,663.0,-3039.25,1210.75,-8607.25
NIFTY50_short_strangle_weekly_Consensus3_SD2.0,NIFTY50,short_strangle,2.0,weekly,Consensus3,36,61.11,-11605.0,-1.16,-0.4,0.78,2.57,98.71,3.92,50.0,3,-322.36,1902.92,-3819.23,3776.0,-15486.25
NIFTY50_short_strangle_weekly_Consensus3_SD2.5,NIFTY50,short_strangle,2.5,weekly,Consensus3,36,69.44,-11036.5,-1.1,-0.38,0.72,2.0,63.87,4.89,61.11,3,-306.57,1119.41,-3547.43,2540.5,-12771.25
