date,symbol,entry_time,exit_time,exit_reason,spot_at_entry,ce_strike,pe_strike,entry_premium,exit_premium,pnl,lots,dte,filter_used
2024-03-20,BANKNIFTY,11:35:00,13:00:00,time,46116.35,46100,46100,348.31,407.49,-1775.57,1,1,BANKNIFTY_BB+NoGap
2024-03-27,BANKNIFTY,12:10:00,13:00:00,time,46792.55,46800,46800,352.78,328.95,714.94,1,1,BANKNIFTY_BB+NoGap
2024-04-02,BANKNIFTY,11:10:00,13:00:00,time,47623.25,47600,47600,360.03,302.2,1734.96,1,1,BANKNIFTY_BB+NoGap
2024-04-04,BANKNIFTY,11:20:00,13:00:00,time,47895.4,47900,47900,625.76,604.53,636.95,1,3,BANKNIFTY_BB+NoGap
2024-04-10,BANKNIFTY,11:40:00,13:00:00,time,48882.85,48900,48900,368.58,326.95,1248.7,1,1,BANKNIFTY_BB+NoGap
2024-04-22,BANKNIFTY,12:20:00,13:00:00,time,47840.7,47800,47800,512.4,495.66,502.26,1,2,BANKNIFTY_BB+NoGap
2024-04-24,BANKNIFTY,11:20:00,13:00:00,time,48191.8,48200,48200,363.33,311.26,1562.24,1,1,BANKNIFTY_BB+NoGap
2024-05-07,BANKNIFTY,11:35:00,13:00:00,time,48254.65,48300,48300,364.87,320.23,1339.28,1,1,BANKNIFTY_BB+NoGap
2024-05-09,BANKNIFTY,11:55:00,13:00:00,time,47823.8,47800,47800,722.91,705.26,529.45,1,4,BANKNIFTY_BB+NoGap
2024-05-10,BANKNIFTY,11:45:00,13:00:00,time,47663.4,47700,47700,622.4,631.76,-280.77,1,3,BANKNIFTY_BB+NoGap
2024-05-14,BANKNIFTY,12:00:00,13:00:00,time,47815.4,47800,47800,361.07,339.29,653.19,1,1,BANKNIFTY_BB+NoGap
2024-05-15,BANKNIFTY,12:40:00,13:00:00,time,47642.1,47600,47600,361.6,351.47,303.93,1,1,BANKNIFTY_BB+NoGap
2024-05-21,BANKNIFTY,12:35:00,13:00:00,time,48165.2,48200,48200,363.65,353.15,314.98,1,1,BANKNIFTY_BB+NoGap
2024-05-23,BANKNIFTY,11:45:00,13:00:00,time,48363.3,48400,48400,631.54,632.12,-17.37,1,3,BANKNIFTY_BB+NoGap
2024-05-31,BANKNIFTY,11:35:00,13:00:00,time,48731.95,48700,48700,521.28,505.22,481.68,1,2,BANKNIFTY_BB+NoGap
2024-06-03,BANKNIFTY,12:50:00,13:00:00,time,50849.3,50800,50800,386.36,388.09,-51.95,1,1,BANKNIFTY_BB+NoGap
2024-06-10,BANKNIFTY,11:05:00,13:00:00,time,49831.4,49800,49800,842.72,833.4,279.57,1,5,BANKNIFTY_BB+NoGap
