date,direction,entry_ts,entry_price,expiry,dte_entry_days,iv_used,pe_strike,ce_strike,pe_credit,ce_credit,total_credit,exit_ts,exit_price,exit_reason,pe_exit,ce_exit,total_exit_value,gross_pnl_per_unit,gross_pnl_per_lot,slippage_total,brokerage_total,stt,net_pnl_per_lot
2025-12-03,SHORT,2025-12-03 11:20:00,25893.5,2025-12-09,6,0.0788,25650.0,26100.0,20.07,38.8,58.87,2025-12-03 15:10:00,25997.07,SL,8.84,71.7,80.54,-21.67,-1408.55,260.0,80.0,1.91,-1750.46
2025-12-04,LONG,2025-12-04 10:20:00,26050.55,2025-12-09,5,0.0794,25900.0,26300.0,33.34,23.11,56.45,2025-12-04 15:25:00,26017.1,EOD,41.92,17.75,59.67,-3.22,-209.3,260.0,80.0,1.83,-551.13
2025-12-05,LONG,2025-12-05 10:45:00,26124.2,2025-12-09,4,0.0796,26000.0,26350.0,33.3,20.09,53.39,2025-12-05 15:25:00,26176.65,EOD,21.89,30.89,52.78,0.61,39.65,260.0,80.0,1.74,-302.09
2025-12-09,LONG,2025-12-09 12:20:00,25921.55,2025-12-16,7,0.0887,25700.0,26300.0,38.03,22.92,60.95,2025-12-09 14:25:00,25817.86,SL,65.08,11.59,76.67,-15.72,-1021.8,260.0,80.0,1.98,-1363.78
2025-12-10,SHORT,2025-12-10 11:50:00,25828.1,2025-12-16,6,0.0872,25550.0,26050.0,21.18,43.64,64.82,2025-12-10 15:25:00,25742.65,EOD,36.51,25.75,62.26,2.56,166.4,260.0,80.0,2.11,-175.71
2025-12-11,LONG,2025-12-11 10:30:00,25830.8,2025-12-16,5,0.0834,25700.0,26100.0,41.66,22.32,63.98,2025-12-11 15:25:00,25898.4,EOD,26.29,36.08,62.37,1.61,104.65,260.0,80.0,2.08,-237.43
2025-12-15,LONG,2025-12-15 11:50:00,26007.55,2025-12-16,1,0.0881,26000.0,26100.0,42.0,16.29,58.29,2025-12-15 15:25:00,26014.0,EOD,39.11,17.85,56.96,1.33,86.45,260.0,80.0,1.89,-255.44
2025-12-17,SHORT,2025-12-17 10:25:00,25813.65,2025-12-23,6,0.0725,25600.0,26000.0,19.55,36.84,56.39,2025-12-17 15:25:00,25821.8,EOD,18.32,38.97,57.29,-0.9,-58.5,260.0,80.0,1.83,-400.33
2025-12-18,LONG,2025-12-18 10:20:00,25834.45,2025-12-23,5,0.0723,25750.0,26050.0,43.65,22.97,66.62,2025-12-18 15:25:00,25815.65,EOD,49.77,19.59,69.36,-2.74,-178.1,260.0,80.0,2.17,-520.27
2025-12-19,LONG,2025-12-19 10:40:00,25974.85,2025-12-23,4,0.0723,25900.0,26150.0,40.38,24.0,64.38,2025-12-19 15:25:00,25961.4,EOD,44.79,21.24,66.03,-1.65,-107.25,260.0,80.0,2.09,-449.34
2025-12-26,SHORT,2025-12-26 11:15:00,26064.5,2025-12-30,4,0.0818,25850.0,26200.0,16.86,42.71,59.57,2025-12-26 15:25:00,26047.65,EOD,19.48,37.83,57.31,2.26,146.9,260.0,80.0,1.94,-195.04
2025-12-29,SHORT,2025-12-29 10:30:00,26019.4,2025-12-30,1,0.0793,25950.0,26050.0,15.77,31.37,47.14,2025-12-29 15:25:00,25949.8,EOD,40.8,11.13,51.93,-4.79,-311.35,260.0,80.0,1.53,-652.88
2025-12-30,LONG,2025-12-30 10:20:00,25968.7,2026-01-06,7,0.0719,25850.0,26250.0,44.5,23.45,67.95,2025-12-30 15:25:00,25970.55,EOD,43.98,23.77,67.75,0.2,13.0,260.0,80.0,2.21,-329.21
2025-12-31,LONG,2025-12-31 10:30:00,26030.95,2026-01-06,6,0.0687,25900.0,26300.0,33.03,17.58,50.61,2025-12-31 15:25:00,26141.85,EOD,13.5,41.33,54.83,-4.22,-274.3,260.0,80.0,1.64,-615.94
