label,symbol,strategy,strike_dist,hold_period,signal,trend_filter,lots,total_trades,win_rate,total_pnl,total_return_pct,cagr_pct,profit_factor,max_drawdown_pct,avg_premium,avg_zone_width_pct,zone_hold_rate,max_consecutive_losses,avg_pnl_per_trade,avg_win,avg_loss,max_win,max_loss,final_capital
BANKNIFTY_short_strangle_biweekly_monthly_BB+ATR_SD2.0_TF2.5_L5,BANKNIFTY,short_strangle,2.0,biweekly,BB+ATR,TF2.5,5,22,81.82,344057.25,34.41,10.46,4.91,2.83,1133.1,4.49,27.27,1,15638.97,24008.92,-22025.81,46120.0,-30596.75,1344057.25
BANKNIFTY_short_strangle_biweekly_monthly_BB+ATR_SD2.5_noTF_L3,BANKNIFTY,short_strangle,2.5,biweekly,BB+ATR,noTF,3,22,77.27,185459.55,18.55,5.89,4.03,2.47,954.14,5.64,40.91,1,8429.98,14509.98,-12242.01,25546.2,-30000.0,1185459.55
BANKNIFTY_short_strangle_biweekly_monthly_BB+ATR_SD2.5_noTF_L5,BANKNIFTY,short_strangle,2.5,biweekly,BB+ATR,noTF,5,22,77.27,329099.25,32.91,10.04,5.01,2.53,954.14,5.64,40.91,1,14959.06,24183.29,-16403.35,42577.0,-30000.0,1329099.25
BANKNIFTY_short_strangle_biweekly_monthly_BB+ATR_SD2.5_TF1.5_L3,BANKNIFTY,short_strangle,2.5,biweekly,BB+ATR,TF1.5,3,22,72.73,182179.05,18.22,5.79,3.86,2.47,960.84,5.68,40.91,2,8280.87,15368.52,-10619.55,27163.95,-30000.0,1182179.05
BANKNIFTY_short_strangle_biweekly_monthly_BB+ATR_SD2.5_TF1.5_L5,BANKNIFTY,short_strangle,2.5,biweekly,BB+ATR,TF1.5,5,22,72.73,323631.75,32.36,9.89,4.75,2.53,960.84,5.68,40.91,2,14710.53,25614.2,-14365.92,45273.25,-30000.0,1323631.75
BANKNIFTY_short_strangle_biweekly_monthly_BB+ATR_SD2.5_TF2.0_L3,BANKNIFTY,short_strangle,2.5,biweekly,BB+ATR,TF2.0,3,22,72.73,168723.15,16.87,5.38,3.65,2.5,954.23,5.64,40.91,2,7669.23,14527.53,-10619.55,25546.2,-30000.0,1168723.15
BANKNIFTY_short_strangle_biweekly_monthly_BB+ATR_SD2.5_TF2.0_L5,BANKNIFTY,short_strangle,2.5,biweekly,BB+ATR,TF2.0,5,22,72.73,301205.25,30.12,9.26,4.49,2.55,954.23,5.64,40.91,2,13691.15,24212.55,-14365.92,42577.0,-30000.0,1301205.25
BANKNIFTY_short_strangle_biweekly_monthly_BB+ATR_SD2.5_TF2.5_L3,BANKNIFTY,short_strangle,2.5,biweekly,BB+ATR,TF2.5,3,22,77.27,180047.4,18.0,5.73,3.94,2.48,954.29,5.64,40.91,1,8183.97,14191.61,-12242.01,25546.2,-30000.0,1180047.4
BANKNIFTY_short_strangle_biweekly_monthly_BB+ATR_SD2.5_TF2.5_L5,BANKNIFTY,short_strangle,2.5,biweekly,BB+ATR,TF2.5,5,22,77.27,320079.0,32.01,9.79,4.9,2.55,954.29,5.64,40.91,1,14549.05,23652.69,-16403.35,42577.0,-30000.0,1320079.0
BANKNIFTY_short_strangle_biweekly_monthly_Consensus3_SD1.5_noTF_L3,BANKNIFTY,short_strangle,1.5,biweekly,Consensus3,noTF,3,25,68.0,126764.7,12.68,4.11,1.79,5.93,1411.94,3.51,12.0,3,5070.59,16856.91,-19975.35,30548.4,-30000.0,1126764.7
BANKNIFTY_short_strangle_biweekly_monthly_Consensus3_SD1.5_noTF_L5,BANKNIFTY,short_strangle,1.5,biweekly,Consensus3,noTF,5,25,68.0,291022.25,29.1,9.01,2.56,6.25,1411.94,3.51,12.0,3,11640.89,28094.85,-23323.78,50914.0,-30000.0,1291022.25
BANKNIFTY_short_strangle_biweekly_monthly_Consensus3_SD1.5_TF1.5_L3,BANKNIFTY,short_strangle,1.5,biweekly,Consensus3,TF1.5,3,25,68.0,128433.75,12.84,4.16,1.8,5.93,1409.48,3.49,12.0,3,5137.35,16955.09,-19975.35,30548.4,-30000.0,1128433.75
