symbol,entry_date,exit_date,entry_px,exit_px,shares,pnl,ret_pct,bars,days,mae_pct,mfe_pct,reason
DMART,2021-08-24,2021-10-26,3700.0,4419.0,1309,925229.0,19.074667,43,63,0.0,43.885135135135144,RULE
VBL,2021-08-27,2021-10-26,113.8499984741211,110.4000015258789,42676,-161587.0,-3.3207715,40,60,-3.952569222934932,10.013176705022264,RULE
AXISBANK,2021-10-25,2021-10-29,830.0999755859375,762.0,6239,-439775.0,-8.478796,4,4,-8.643537177477246,1.8070112566154428,RULE
HINDALCO,2021-04-19,2021-11-01,358.70001220703125,463.79998779296875,11074,1.1502145e+06,28.912926,134,196,-2.885421174042757,51.32421782012104,RULE
BAJFINANCE,2021-08-23,2021-11-23,674.0,700.0,7068,169200.5,3.5464525,62,92,0.0,17.65578635014837,RULE
IOC,2021-09-29,2021-11-23,65.08999633789062,66.22000122070312,77204,72034.5,1.4313102,36,55,0.0,18.267026713783174,RULE
SOLARINDS,2021-11-23,2021-11-24,2806.550048828125,2887.699951171875,1853,134543.5,2.5832295,1,1,0.0,1.9543515191730698,RULE
WIPRO,2021-04-20,2021-11-25,233.35000610351562,312.29998779296875,17101,1.3361268e+06,33.43239,149,219,-1.242772264589942,49.49646324361501,RULE
SIEMENS,2021-05-18,2021-11-26,1574.6500244140625,1644.699951171875,2732,178183.5,4.135728,132,192,-6.039435691199058,16.521132974348763,RULE
BAJAJFINSV,2021-06-22,2021-11-29,1219.9000244140625,1667.0,3564,1.578031e+06,36.24121,108,160,-3.6765287882898123,56.37757080383183,RULE
CANBK,2021-10-04,2021-11-29,31.15999984741211,35.5099983215332,163097,693161.0,13.618827,37,56,-1.8613604831394959,41.3671355993892,RULE
SUNPHARMA,2021-10-04,2021-11-29,830.0,773.0,6123,-363733.5,-7.146442,37,56,-7.554218338196539,1.5120467220444356,RULE
BOSCHLTD,2021-10-07,2021-11-29,17300.0,16101.0,294,-367236.0,-7.209426,34,53,-6.489015083092486,9.203757225433517,RULE
SBIN,2021-10-22,2021-11-29,504.6000061035156,470.0,10349,-373204.5,-7.1359277,24,38,-6.757829110394464,5.122870747292985,RULE
BANKBARODA,2021-10-26,2021-11-29,86.31999969482422,77.81999969482422,60709,-530973.5,-10.117131,22,34,-9.012973594534623,10.588507208019005,RULE
ICICIBANK,2021-10-26,2021-11-29,828.7000122070312,726.75,6323,-659383.0,-12.565106,22,34,-12.85145389540473,0.7602253771169076,RULE
LT,2021-11-04,2021-11-29,1900.0,1778.0,2796,-356537.5,-6.7013683,15,25,-6.413156609786186,3.155260587993425,RULE
GRASIM,2021-10-04,2021-12-01,1645.449951171875,1660.4000244140625,3088,30853.0,0.60629845,39,58,-3.631225608378219,13.467446852359654,RULE
TVSMOTOR,2021-11-01,2021-12-15,662.5499877929688,663.0,7866,-12100.5,-0.23183823,30,44,-0.3622312916948034,13.727267962074286,RULE
BHARTIARTL,2021-11-24,2021-12-17,764.0,681.0,6769,-576499.0,-11.130887,17,23,-10.81151512904941,0.15052675576734398,RULE
WIPRO,2021-12-31,2022-01-14,350.95001220703125,318.29998779296875,14289,-480880.5,-9.575009,10,14,-9.232090977945084,0.7835873783579528,RULE
ASIANPAINT,2022-01-05,2022-01-20,3470.0,3282.0,1440,-285304.5,-5.70119,11,15,-5.4639797595461115,3.0634019835194426,RULE
INFY,2021-06-17,2022-01-24,1475.0999755859375,1765.0,2992,852839.0,19.294476,151,221,0.0,31.482613524523593,RULE
TECHM,2021-12-03,2022-01-24,1568.300048828125,1532.0,3185,-130427.0,-2.6072204,36,52,-4.584583445482138,11.343486374095413,RULE
MAXHEALTH,2021-12-14,2022-01-25,401.20001220703125,360.0,12533,-530670.5,-10.537994,30,42,-8.798608483673476,10.393813664176733,RULE
