symbol,entry_date,exit_date,entry_px,exit_px,shares,pnl,ret_pct,bars,days,mae_pct,mfe_pct,reason
SIEMENS,2011-03-04,2011-11-18,637.0499877929688,532.6500244140625,1426,-151376.44,-16.638506,175,259,-15.838625745598033,10.12479416622507,RULE
HINDZINC,2011-03-30,2011-11-18,142.85000610351562,108.94999694824219,6637,-227501.19,-23.95966,157,233,-23.556183211423253,6.33530794980206,RULE
ADANIPORTS,2011-11-08,2011-11-24,165.0500030517578,123.69999694824219,5394,-225378.19,-25.27752,11,16,-25.143895324246724,0.0,RULE
TVSMOTOR,2009-05-29,2012-03-05,22.600000381469727,50.29999923706055,27866,768840.94,121.89965,692,1011,-11.814159430205773,271.23893853856083,RULE
BHARTIARTL,2011-06-21,2012-04-17,382.8500061035156,311.1000061035156,2281,-166036.12,-18.984436,204,301,-18.714899504823702,13.151366148836342,RULE
TITAN,2011-05-24,2013-06-13,211.5,201.0,4119,-45798.125,-5.24922,515,751,-26.14657354693041,47.37589229646868,RULE
GRASIM,2011-03-28,2013-08-02,489.3500061035156,523.9000244140625,1908,63021.5,6.739688,589,858,-18.034126678100392,42.44405417367398,RULE
HDFCBANK,2012-02-10,2013-08-20,130.6999969482422,143.6999969482422,6445,81132.19,9.61709,381,557,-6.809482864799765,38.714619192801855,RULE
AMBUJACEM,2012-02-03,2013-08-21,171.0,163.0500030517578,4916,-41545.438,-4.93474,387,565,-19.269004063299523,27.543863218430186,RULE
ULTRACEMCO,2011-09-22,2013-08-22,1158.0,1610.0,741,331855.38,38.61635,479,700,-6.31692784231973,77.5777286404361,RULE
GODREJCP,2012-03-21,2014-01-28,158.3300018310547,229.3300018310547,5416,381386.5,44.409145,464,678,-0.6063327876996816,100.17052296504106,RULE
NESTLEIND,2011-09-05,2014-05-20,218.5,229.0,3999,39305.125,4.491544,674,988,-9.74828514954591,31.89931908788615,RULE
TATACONSUM,2012-02-06,2015-04-28,118.55000305175781,139.85000610351562,7127,149042.69,17.613733,798,1177,-14.129059104863206,49.00884803803898,RULE
GAIL,2014-02-03,2015-04-28,57.88999938964844,58.349998474121094,19674,5619.625,0.49268007,299,449,-3.299360628001047,51.56330763316384,RULE
ITC,2011-04-01,2015-06-04,104.4000015258789,175.85000610351562,9041,642178.9,67.93414,1034,1525,0.0,120.7375417433473,RULE
TECHM,2013-08-02,2015-06-30,281.0,439.0,3833,601474.4,55.759777,467,697,-2.3843459811499157,145.48042270212412,RULE
ADANIENT,2014-05-20,2015-08-25,91.41571807861328,73.69999694824219,12935,-232356.69,-19.620806,313,462,-24.301861427447957,45.235073056418365,RULE
M&M,2011-09-21,2015-09-07,408.2900085449219,555.5,2159,314705.12,35.64769,984,1447,-22.065197397055215,72.86242977440433,RULE
SUNPHARMA,2009-05-19,2015-11-09,141.10000610351562,761.0,4500,2.7834608e+06,437.7182,1612,2365,-22.707304861075816,728.7030462424557,RULE
ADANIPORTS,2015-05-05,2015-11-11,349.6000061035156,266.95001220703125,4670,-390294.5,-23.870039,132,190,-24.027459534748353,5.420475216994736,RULE
TCS,2013-08-29,2015-11-19,935.9099731445312,1182.6800537109375,1089,265272.0,25.98834,547,812,0.0,48.304862628667934,RULE
DRREDDY,2012-01-20,2015-12-10,338.79998779296875,598.7999877929688,2407,622434.8,76.21201,963,1420,-8.91380837590452,156.64109543337034,RULE
HINDUNILVR,2008-03-26,2016-01-22,240.0,780.5,3258,1.7559619e+06,224.23418,1938,2858,-18.187497456868485,306.66666666666663,RULE
CIPLA,2012-02-07,2016-02-03,359.95001220703125,570.0,2329,485957.7,57.880974,989,1457,-19.71107370492966,105.47296860780331,RULE
HCLTECH,2013-08-29,2016-02-12,243.35000610351562,407.0,4190,681606.06,66.74782,605,897,0.0,112.20464822770437,RULE
MARUTI,2012-03-14,2016-02-26,1380.0,3452.0,622,1.2842758e+06,149.39561,981,1444,-22.644927536231883,243.9673913043478,RULE
INFY,2013-08-29,2016-08-23,383.75,510.04998779296875,2657,332016.8,32.513905,734,1090,-4.74006578277687,65.15960593953582,RULE
TORNTPHARM,2013-06-20,2016-11-17,211.5,612.5,4982,1.9916242e+06,188.73062,839,1246,-7.588653925180999,302.12765957446805,RULE
BPCL,2015-06-05,2018-04-16,129.85000610351562,186.0500030517578,12127,675791.25,42.85152,708,1046,-16.28803092886478,94.68616955645517,RULE
GRASIM,2016-03-31,2018-05-22,765.3499755859375,1031.4000244140625,1978,520916.12,34.358204,530,782,-0.16985533866039626,70.19664429840631,RULE
ULTRACEMCO,2016-04-20,2018-05-23,3420.0,3750.0,440,140467.75,9.320664,520,763,-9.685672514619881,32.89766367415936,RULE
VEDL,2016-11-11,2018-06-19,98.5,99.9000015258789,17318,19091.375,1.1175156,398,585,-14.365483782618183,58.62944162436548,RULE
SHREECEM,2015-09-21,2018-06-20,12000.0,15810.0,133,501182.0,31.355345,679,1003,-20.622501627604162,68.61666666666666,RULE
POWERGRID,2016-11-17,2018-06-28,102.1500015258789,102.4000015258789,15991,-908.75,-0.05555153,402,588,-5.041606900587459,20.94958512600451,RULE
HINDZINC,2016-04-01,2018-07-17,183.85000610351562,267.0,7931,654099.0,44.792057,569,837,-13.217297930398676,80.74516005502292,RULE
BAJAJ-AUTO,2011-09-06,2018-07-24,1628.5,2624.5,534,528457.3,60.677814,1707,2513,-14.829597789376725,104.39054344488792,RULE
TVSMOTOR,2016-03-23,2018-07-27,316.45001220703125,523.5,4769,981412.6,64.93342,582,856,-10.048986280254057,148.08025201761254,RULE
JSWSTEEL,2016-01-06,2019-01-23,108.30000305175781,278.0,14364,2.4292475e+06,155.92542,754,1113,-10.203141957878703,285.0876971754615,RULE
GAIL,2018-07-30,2019-02-15,116.73999786376953,94.19000244140625,22494,-514356.5,-19.558107,135,200,-19.813258246252207,3.7947579118044805,RULE
GODREJCP,2016-04-05,2019-02-18,472.3299865722656,660.0,3084,573536.25,39.31426,712,1049,-6.7283466395870235,104.96263271606195,RULE
TECHM,2019-02-21,2019-08-02,771.9000244140625,586.2999877929688,3327,-624269.75,-24.272108,109,162,-23.966834324228802,2.9278371383771873,RULE
WIPRO,2019-01-23,2020-02-28,128.5,112.0,20267,-341717.0,-13.10156,271,401,-11.634238870227387,14.16342174960481,RULE
TCS,2018-05-22,2020-03-12,1779.0,1904.0,1388,165831.75,6.7058086,446,660,-3.226533131762932,28.046652679700678,RULE
RELIANCE,2016-01-12,2020-03-13,251.39999389648438,475.6499938964844,6040,1.3478828e+06,88.63371,1030,1522,-14.081143498778504,205.21082196561613,RULE
HDFCBANK,2016-04-28,2020-03-13,281.0,490.0,5276,1.0965821e+06,73.854866,960,1415,-0.8896797153024938,131.7437765861321,RULE
INFY,2018-06-29,2020-03-13,649.030029296875,592.0,3822,-225083.75,-9.060198,419,623,-4.611505224706192,29.44701885739198,RULE
PFC,2019-02-25,2020-03-13,89.0999984741211,67.5999984741211,29072,-631881.5,-24.357462,257,382,-18.855214040483748,22.502809646603183,RULE
TITAN,2018-04-16,2020-03-17,986.0,1005.0,2482,39745.25,1.6216397,474,701,-23.98580121703854,39.40669866411004,RULE
KOTAKBANK,2011-10-31,2020-03-19,51.0,219.0,17563,2.943471e+06,328.1255,2076,3062,-17.254900464824598,578.2352821499694,RULE
BAJAJFINSV,2015-12-03,2020-03-19,204.0,586.5,7617,2.9044705e+06,186.63878,1061,1568,-21.544116151099114,385.00001196767766,RULE
BAJFINANCE,2015-06-30,2020-03-20,54.0,280.0,29581,6.670486e+06,416.9653,1168,1725,-11.111111111111116,803.7037037037036,RULE
DRREDDY,2020-04-08,2022-02-15,705.0,846.7999877929688,3482,485642.5,19.75367,463,678,0.0,58.1773084275266,RULE
HINDUNILVR,2020-04-01,2022-03-04,2293.199951171875,2075.0,1029,-231270.0,-9.786129,478,702,-14.054593302826046,22.64303205373137,RULE
BRITANNIA,2020-06-01,2022-03-08,3416.0,3115.0,733,-227814.0,-9.084636,443,645,-7.685891359137154,20.731855834675052,RULE
NESTLEIND,2018-06-27,2022-05-10,505.3999938964844,832.0,4919,1.5966775e+06,64.12896,955,1413,-7.558366076529321,102.37435697366823,RULE
TORNTPHARM,2018-06-19,2022-05-13,741.4500122070312,1262.0,3366,1.7420558e+06,69.69717,964,1424,-5.75224542610886,121.0803053725178,RULE
MUTHOOTFIN,2020-06-11,2022-05-13,971.0,1130.0,2602,405517.75,16.02627,479,701,-1.673532440782699,76.39547361772657,RULE
DIVISLAB,2020-03-06,2022-05-24,2180.0,3894.0,1434,2.4448108e+06,78.08878,548,809,-17.190366972477065,146.42889460292432,RULE
ASIANPAINT,2018-07-24,2022-06-09,1443.0,2680.0,1820,2.240084e+06,85.16784,958,1416,-21.10533948912855,147.8378412216303,RULE
HINDALCO,2022-03-08,2022-06-14,618.0,363.8500061035156,6874,-1.7571508e+06,-41.300953,66,98,-40.703881519897855,2.1521015846227787,RULE
HCLTECH,2020-07-17,2022-06-17,629.5,952.4000244140625,4204,1.347496e+06,50.84146,478,700,-1.00873321460484,115.75853076598493,RULE
INFY,2020-07-17,2022-06-17,911.0,1391.050048828125,2905,1.3845142e+06,52.23745,478,700,-0.8616877701358439,112.89791437980243,RULE
PIDILITIND,2016-02-23,2022-06-20,318.5,1009.2000122070312,4492,3.0936785e+06,215.91113,1564,2309,-9.701724928252553,331.52277061666007,RULE
ADANIGREEN,2020-05-20,2023-01-30,231.0,1325.0,10639,1.1614234e+07,471.87485,673,985,0.0,1185.930735930736,RULE
CIPLA,2020-04-13,2023-03-03,605.0,891.0,4078,1.157157e+06,46.831573,722,1054,-5.826446280991737,93.95041725852273,RULE
RELIANCE,2020-06-16,2023-03-15,783.0499877929688,1088.5999755859375,3248,983307.75,38.60407,686,1002,-1.6793261712409358,71.63016054183286,RULE
TATACONSUM,2020-07-07,2023-03-15,403.3999938964844,687.4500122070312,6459,1.8241102e+06,69.9035,671,981,-0.9791724712982286,115.97670133420222,RULE
SHREECEM,2023-02-21,2024-11-19,26460.05078125,23935.0,162,-421304.25,-9.813845,431,637,-12.741097169922877,11.917966545380242,RULE
GODREJCP,2023-03-21,2024-12-30,961.1500244140625,1069.949951171875,4337,458652.0,10.986304,439,650,-5.581857467752627,57.80054233432368,RULE
VBL,2022-05-18,2025-02-12,149.25,525.0,30233,1.1329472e+07,250.7051,683,1001,-5.594643955454359,351.6582750994556,RULE
BOSCHLTD,2023-02-17,2025-02-18,18100.0,26980.0,236,2.0797215e+06,48.61425,497,732,-1.600548169889504,114.3403401243094,RULE
BRITANNIA,2023-02-03,2025-03-03,4590.0,4595.4501953125,919,-7654.0,-0.18118024,515,759,-8.497817095588234,40.436814916939,RULE
SIEMENS,2022-07-05,2025-04-08,1930.4000244140625,2938.35009765625,2074,2.0753412e+06,51.7586,685,1008,0.0,215.16525685701703,RULE
SUNPHARMA,2020-04-21,2025-09-02,467.8500061035156,1566.0,5335,5.842354e+06,233.71999,1335,1960,-5.803140652407556,316.52237378419727,RULE
PFC,2023-03-08,2025-11-25,129.0,363.79998779296875,33380,7.812949e+06,181.17073,673,993,-9.031008934789853,342.325562469719,RULE
ITC,2022-05-20,2025-11-26,239.60000610351562,392.75,18454,2.8087255e+06,63.427998,874,1286,-5.884810410824414,93.05090818450601,RULE
MAXHEALTH,2023-03-15,2026-01-29,466.1499938964844,955.0,8996,4.3785175e+06,104.25599,712,1051,-10.082591572539435,179.1805301842518,RULE
SHREECEM,2025-02-20,2026-03-05,28650.0,25355.0,263,-887890.0,-11.765975,255,378,-11.500872600349044,12.897033158813255,RULE
KOTAKBANK,2025-02-14,2026-03-13,394.79998779296875,373.0,19128,-439019.5,-5.804783,265,392,-4.939209879161832,14.944276044643479,RULE
BAJFINANCE,2025-03-20,2026-03-20,872.5,836.7000122070312,8986,-344737.0,-4.3904123,248,365,-4.618909775698421,25.404014259491415,RULE
CHOLAFIN,2022-02-23,2026-03-24,697.9500122070312,1400.0,6431,4.4946455e+06,99.986565,1012,1490,-12.988039663100281,158.67182360311082,RULE
HAL,2022-06-20,2026-03-30,950.0,3551.0,4068,1.0553403e+07,272.6698,937,1379,-9.257896021792767,491.78423108552636,RULE
BHARTIARTL,2020-05-20,2026-05-12,593.8499755859375,1751.5,4138,4.775798e+06,194.05632,1484,2183,-34.26790904245358,264.1828812130523,RULE
ADANIPOWER,2022-05-24,2026-09-11,68.19999694824219,209.00999450683594,62790,8.81535e+06,205.54823,1069,1571,-59.164220487274456,264.97069618787555,EOD
TVSMOTOR,2022-06-10,2026-09-11,762.0,4137.10009765625,5265,1.7731212e+07,441.3002,1056,1554,-4.1141700244012425,485.82677165354335,EOD
M&M,2022-06-27,2026-09-11,1089.800048828125,3114.800048828125,3687,7.442921e+06,184.95772,1045,1537,-0.7203245829077831,248.90803193049186,EOD
EICHERMOT,2022-07-08,2026-09-11,2952.0,7568.0,1386,6.375905e+06,155.6006,1036,1526,-3.373987047975946,177.4390243902439,EOD
CUMMINSIND,2023-02-10,2026-09-11,1579.5,5095.0,2683,9.405225e+06,221.60419,888,1309,-5.666350110794561,281.60810383032606,EOD
MUTHOOTFIN,2025-02-14,2026-09-11,2327.0,2815.0,3245,1.558531e+06,20.60883,388,574,-13.321873657069183,75.83583803918673,EOD
MARUTI,2025-09-02,2026-09-11,14859.0,12432.0,565,-1.394384e+06,-16.584158,255,374,-17.181506157884108,16.373914799111656,EOD
SBIN,2025-11-26,2026-09-11,986.5999755859375,996.2000122070312,9213,61044.0,0.6705761,197,289,-4.784102203513962,24.447605839331167,EOD
AXISBANK,2025-11-27,2026-09-11,1297.0,1251.0999755859375,6992,-347658.0,-3.8278937,196,288,-10.462602249180797,8.172706245181182,EOD
VEDL,2026-01-29,2026-09-11,390.04998779296875,263.3999938964844,22725,-2.900396e+06,-32.67248,154,225,-35.123699276700904,5.678765570381028,EOD
BEL,2026-03-06,2026-09-11,462.0,404.3500061035156,18895,-1.113851e+06,-12.740522,128,189,-16.709959352171268,1.3961065383184534,EOD
COALINDIA,2026-03-13,2026-09-11,473.0,425.29998779296875,17297,-848374.0,-10.35391,123,182,-15.465114988685913,1.8287513523222776,EOD
ONGC,2026-04-01,2026-09-11,290.0,233.5500030517578,27009,-1.545869e+06,-19.706762,112,163,-20.068964464911097,3.931032378098065,EOD
ADANIENSOL,2026-04-09,2026-09-11,1073.199951171875,1376.5,7679,2.300824e+06,27.877068,107,155,0.0,61.98286465777656,EOD
TITAN,2026-04-09,2026-09-11,4475.0,5000.0,1841,940359.0,11.397135,107,155,-10.064802287011176,15.512853526536308,EOD
ADANIGREEN,2026-05-12,2026-09-11,1380.0,1283.9000244140625,5933,-593868.5,-7.2424593,86,122,-11.96376634680707,16.159420289855063,EOD
