series,scope,start,dur,n_days,mean_exc_bp,med_exc_bp,p90_exc_bp,p95_exc_bp,max_exc_bp,pct_gt_30bp,pct_gt_50bp,mean_terminal_bp
SENSEX_5min,FRI,10:50,45,274,22.7,18.0,43.0,53.4,99.7,20.4,6.6,14.2
SENSEX_5min,FRI,10:50,60,274,25.7,20.5,48.3,56.7,100.0,26.3,9.1,15.8
SENSEX_5min,FRI,10:50,90,274,31.0,25.3,56.6,63.4,156.4,39.1,14.6,20.7
SENSEX_5min,FRI,10:50,HOLD,274,62.5,53.4,118.9,143.7,245.7,82.1,54.0,41.4
SENSEX_5min,FRI,11:05,120,274,36.3,29.8,63.9,84.6,186.0,50.0,19.0,23.8
SENSEX_5min,FRI,11:05,45,274,22.0,18.0,37.9,49.1,91.8,20.4,4.7,14.1
SENSEX_5min,FRI,11:05,60,274,25.0,20.4,40.9,52.0,147.3,27.0,6.6,16.0
SENSEX_5min,FRI,11:05,90,274,31.3,25.4,53.7,71.0,154.7,39.8,12.4,20.1
SENSEX_5min,FRI,11:05,HOLD,274,60.8,50.5,107.1,146.1,237.1,81.8,50.7,40.8
SENSEX_5min,FRI,11:20,120,274,34.7,27.5,65.3,81.6,161.5,45.6,18.2,22.4
SENSEX_5min,FRI,11:20,45,274,20.6,16.7,37.3,46.5,122.9,16.4,4.4,12.5
SENSEX_5min,FRI,11:20,60,274,24.3,19.4,44.5,53.9,123.6,25.5,6.9,15.7
SENSEX_5min,FRI,11:20,90,274,30.3,23.9,56.5,71.6,130.3,36.1,13.5,20.3
SENSEX_5min,FRI,11:20,HOLD,274,58.9,49.0,111.1,137.4,212.5,79.9,48.5,39.4
SENSEX_5min,FRI,11:35,120,274,34.8,27.8,64.9,79.6,151.7,44.9,21.9,23.6
SENSEX_5min,FRI,11:35,45,274,20.2,16.6,37.1,47.1,104.5,18.6,3.6,12.9
SENSEX_5min,FRI,11:35,60,274,24.4,19.4,44.6,54.1,121.5,26.3,6.2,15.7
SENSEX_5min,FRI,11:35,90,274,30.0,23.8,55.2,64.9,142.4,37.6,14.6,19.4
SENSEX_5min,FRI,11:35,HOLD,274,57.2,45.7,108.9,137.2,217.4,75.9,45.3,38.1
SENSEX_5min,FRI,11:50,120,274,36.8,28.2,71.5,87.7,169.6,46.0,21.2,24.3
SENSEX_5min,FRI,11:50,45,274,21.9,16.9,41.4,49.0,107.9,22.6,4.7,14.2
SENSEX_5min,FRI,11:50,60,274,25.0,19.6,46.2,54.9,111.9,27.7,8.0,16.0
SENSEX_5min,FRI,11:50,90,274,30.0,23.3,56.5,71.5,129.5,34.3,13.1,19.4
SENSEX_5min,FRI,11:50,HOLD,274,55.5,44.1,108.9,137.8,213.1,76.6,41.2,36.5
SENSEX_5min,FRI,12:05,120,274,38.1,28.8,69.8,90.7,177.6,48.2,23.7,25.5
SENSEX_5min,FRI,12:05,45,274,21.9,18.5,39.9,47.2,145.8,19.3,4.4,14.3
SENSEX_5min,FRI,12:05,60,274,25.1,20.3,45.0,53.1,159.9,26.3,7.3,16.4
SENSEX_5min,FRI,12:05,90,274,30.7,24.1,56.7,71.6,165.6,36.9,13.5,20.4
SENSEX_5min,FRI,12:05,HOLD,274,53.9,42.7,104.2,123.9,210.5,71.2,42.3,35.3
SENSEX_5min,FRI,12:20,120,274,40.1,31.2,72.7,93.9,188.9,52.2,25.9,26.3
SENSEX_5min,FRI,12:20,45,274,22.1,17.8,42.6,49.6,166.2,18.2,4.7,14.0
SENSEX_5min,FRI,12:20,60,274,24.9,19.9,46.5,54.6,169.7,23.7,7.7,16.3
SENSEX_5min,FRI,12:20,90,274,32.5,25.7,60.4,70.2,183.9,39.8,16.8,22.0
SENSEX_5min,FRI,12:20,HOLD,274,52.4,44.0,96.7,118.4,210.8,74.1,42.0,33.9
SENSEX_5min,FRI,12:35,120,274,38.8,32.3,67.9,85.9,184.2,55.1,25.2,23.8
SENSEX_5min,FRI,12:35,45,274,20.5,17.1,38.1,46.0,95.6,18.2,3.6,12.6
SENSEX_5min,FRI,12:35,60,274,24.3,19.7,46.4,53.5,100.0,23.7,8.0,15.6
SENSEX_5min,FRI,12:35,90,274,32.9,26.2,60.6,76.0,140.6,43.4,17.5,21.6
SENSEX_5min,FRI,12:35,HOLD,274,49.0,41.1,87.5,103.6,184.2,70.1,36.5,31.5
SENSEX_5min,FRI,12:50,120,274,39.5,32.3,68.9,83.7,171.4,55.5,24.1,24.2
SENSEX_5min,FRI,12:50,45,274,21.2,17.9,35.8,44.4,137.7,20.1,3.3,13.4
SENSEX_5min,FRI,12:50,60,274,26.2,21.3,46.0,54.8,137.7,31.0,7.3,16.5
SENSEX_5min,FRI,12:50,90,274,34.1,27.3,61.1,75.8,171.4,44.5,17.5,21.4
SENSEX_5min,FRI,12:50,HOLD,274,47.2,38.5,83.7,108.1,185.3,66.8,34.3,30.1
SENSEX_5min,FRI,13:05,120,274,43.0,35.2,71.7,96.9,176.0,59.5,28.5,27.5
SENSEX_5min,FRI,13:05,45,274,22.9,19.1,41.2,47.3,132.4,23.0,4.4,14.2
SENSEX_5min,FRI,13:05,60,274,27.8,22.3,52.5,58.3,132.4,32.1,10.9,17.6
SENSEX_5min,FRI,13:05,90,274,34.9,27.5,61.2,73.5,176.0,44.2,18.6,21.0
SENSEX_5min,FRI,13:05,HOLD,274,45.3,36.9,77.3,104.6,187.7,63.5,31.4,28.7
SENSEX_5min,FRI,13:20,120,274,44.1,36.5,77.6,106.5,193.0,61.3,30.3,27.5
SENSEX_5min,FRI,13:20,45,274,25.6,21.2,44.3,56.3,136.5,27.0,7.7,16.4
SENSEX_5min,FRI,13:20,60,274,30.3,24.0,53.5,62.2,172.5,36.5,11.3,19.2
SENSEX_5min,FRI,13:20,90,274,36.3,29.7,63.2,75.5,172.5,48.9,21.2,21.8
SENSEX_5min,FRI,13:20,HOLD,274,44.1,36.5,77.6,106.5,193.0,61.3,30.3,27.5
SENSEX_5min,FRI,13:35,120,274,41.4,34.7,71.9,88.0,202.2,63.1,24.5,25.7
SENSEX_5min,FRI,13:35,45,274,26.1,21.4,43.3,61.8,130.8,26.3,8.4,16.4
SENSEX_5min,FRI,13:35,60,274,29.5,24.1,52.9,70.1,139.4,35.0,11.3,17.9
SENSEX_5min,FRI,13:35,90,274,38.6,33.2,62.6,87.5,181.5,59.1,21.5,24.8
SENSEX_5min,FRI,13:35,HOLD,274,41.4,34.7,71.9,88.0,202.2,63.1,24.5,25.7
SENSEX_5min,FRI,13:50,120,274,38.7,31.9,68.1,78.4,184.7,55.8,24.1,24.1
SENSEX_5min,FRI,13:50,45,274,26.3,21.7,47.8,63.3,121.8,28.8,9.1,15.8
SENSEX_5min,FRI,13:50,60,274,29.9,24.1,56.1,67.4,121.8,36.1,13.1,17.6
SENSEX_5min,FRI,13:50,90,274,38.7,31.9,68.1,78.4,184.7,55.8,24.1,24.1
SENSEX_5min,FRI,13:50,HOLD,274,38.7,31.9,68.1,78.4,184.7,55.8,24.1,24.1
SENSEX_5min,FRI,14:05,120,274,35.3,29.6,64.9,72.6,139.5,49.3,19.7,22.4
SENSEX_5min,FRI,14:05,45,274,25.1,20.3,46.0,56.2,91.4,26.3,7.7,14.6
SENSEX_5min,FRI,14:05,60,274,32.1,27.1,55.9,68.2,118.7,42.7,13.9,20.8
SENSEX_5min,FRI,14:05,90,274,35.3,29.6,64.9,72.6,139.5,49.3,19.7,22.4
SENSEX_5min,FRI,14:05,HOLD,274,35.3,29.6,64.9,72.6,139.5,49.3,19.7,22.4
SENSEX_5min,FRI,14:20,120,274,33.1,27.1,61.8,70.8,174.6,43.4,17.5,21.9
SENSEX_5min,FRI,14:20,45,274,29.2,24.3,53.3,62.7,171.1,36.9,11.3,20.0
SENSEX_5min,FRI,14:20,60,274,33.1,27.1,61.8,70.8,174.6,43.4,17.5,21.9
SENSEX_5min,FRI,14:20,90,274,33.1,27.1,61.8,70.8,174.6,43.4,17.5,21.9
SENSEX_5min,FRI,14:20,HOLD,274,33.1,27.1,61.8,70.8,174.6,43.4,17.5,21.9
SENSEX_5min,FRI,14:30,120,274,30.1,24.8,51.5,63.7,171.7,36.1,10.9,19.3
SENSEX_5min,FRI,14:30,45,274,29.0,23.4,49.7,63.4,171.7,33.9,9.9,19.0
SENSEX_5min,FRI,14:30,60,274,30.1,24.8,51.5,63.7,171.7,36.1,10.9,19.3
SENSEX_5min,FRI,14:30,90,274,30.1,24.8,51.5,63.7,171.7,36.1,10.9,19.3
SENSEX_5min,FRI,14:30,HOLD,274,30.1,24.8,51.5,63.7,171.7,36.1,10.9,19.3
NIFTY50_5min,FRI,09:20,120,542,49.7,38.1,82.7,101.1,1304.5,66.6,34.9,31.2
NIFTY50_5min,FRI,09:20,45,542,33.1,27.4,57.6,72.2,288.8,42.6,15.1,20.0
NIFTY50_5min,FRI,09:20,60,542,37.9,29.8,66.2,77.7,626.3,49.4,21.0,23.4
NIFTY50_5min,FRI,09:20,90,542,45.4,35.6,76.0,93.9,1304.5,60.5,28.2,29.7
NIFTY50_5min,FRI,09:20,HOLD,542,83.3,66.9,141.3,171.6,1777.4,92.1,69.6,55.7
NIFTY50_5min,FRI,09:35,120,542,47.5,34.7,78.3,103.7,1304.5,60.7,29.7,30.7
NIFTY50_5min,FRI,09:35,45,542,31.7,24.7,56.7,71.1,626.3,36.7,13.3,19.9
NIFTY50_5min,FRI,09:35,60,542,36.2,27.7,62.4,79.8,962.0,44.3,17.5,23.7
NIFTY50_5min,FRI,09:35,90,542,42.8,31.6,71.1,94.1,1304.5,53.7,24.5,28.0
NIFTY50_5min,FRI,09:35,HOLD,542,80.7,63.6,142.5,165.6,1777.4,92.4,63.8,53.6
NIFTY50_5min,FRI,09:50,120,542,45.1,34.6,73.6,92.8,1304.5,59.0,24.4,28.9
NIFTY50_5min,FRI,09:50,45,542,29.7,22.0,50.3,65.6,962.0,32.1,10.3,19.7
NIFTY50_5min,FRI,09:50,60,542,34.4,25.0,58.8,71.6,1304.5,40.2,13.7,22.8
NIFTY50_5min,FRI,09:50,90,542,40.0,29.8,67.3,84.4,1304.5,49.3,18.8,26.0
NIFTY50_5min,FRI,09:50,HOLD,542,78.6,60.4,129.8,157.8,1777.4,89.7,63.3,51.9
NIFTY50_5min,FRI,10:05,120,542,43.2,31.6,74.2,88.5,1412.0,53.7,24.9,28.6
NIFTY50_5min,FRI,10:05,45,542,29.4,20.7,50.3,61.6,1412.0,29.2,10.1,19.6
NIFTY50_5min,FRI,10:05,60,542,32.8,23.5,52.9,75.4,1412.0,34.3,12.9,21.3
NIFTY50_5min,FRI,10:05,90,542,38.6,27.8,62.5,80.5,1412.0,45.2,18.6,24.7
NIFTY50_5min,FRI,10:05,HOLD,542,75.1,58.7,124.3,152.5,1889.4,87.6,61.1,49.0
NIFTY50_5min,FRI,10:20,120,542,40.1,30.5,67.5,90.6,698.8,51.5,19.4,26.1
NIFTY50_5min,FRI,10:20,45,542,26.0,19.4,43.2,58.5,695.1,24.7,7.4,16.6
NIFTY50_5min,FRI,10:20,60,542,29.4,22.2,50.1,64.2,695.1,31.0,10.1,18.5
NIFTY50_5min,FRI,10:20,90,542,35.2,26.6,59.7,80.1,695.1,41.1,14.9,22.0
NIFTY50_5min,FRI,10:20,HOLD,542,71.3,55.4,128.6,151.1,1142.5,84.7,57.2,46.6
NIFTY50_5min,FRI,10:35,120,542,39.2,30.0,67.6,87.7,566.7,50.2,20.3,24.7
NIFTY50_5min,FRI,10:35,45,542,24.0,17.8,42.4,52.4,405.7,19.6,6.1,14.9
NIFTY50_5min,FRI,10:35,60,542,28.0,21.0,48.5,61.3,430.2,27.9,9.0,17.4
NIFTY50_5min,FRI,10:35,90,542,33.7,25.7,58.2,80.9,494.3,38.7,13.8,22.0
NIFTY50_5min,FRI,10:35,HOLD,542,69.1,55.1,122.7,147.9,841.0,86.7,55.7,44.7
NIFTY50_5min,FRI,10:50,120,542,37.9,29.1,64.5,86.7,447.0,46.9,20.8,23.4
NIFTY50_5min,FRI,10:50,45,542,23.8,18.9,43.0,54.0,273.3,20.7,6.5,14.8
NIFTY50_5min,FRI,10:50,60,542,26.9,21.4,47.5,58.8,299.6,26.2,8.7,16.1
NIFTY50_5min,FRI,10:50,90,542,32.8,25.6,56.5,68.7,399.8,37.3,15.3,20.4
NIFTY50_5min,FRI,10:50,HOLD,542,66.3,54.1,122.1,146.0,654.0,83.2,54.6,42.3
NIFTY50_5min,FRI,11:05,120,542,38.2,29.5,65.8,87.1,462.5,48.9,19.4,24.5
NIFTY50_5min,FRI,11:05,45,542,22.5,17.3,39.5,51.9,245.6,20.3,5.4,13.4
NIFTY50_5min,FRI,11:05,60,542,25.9,19.8,45.1,58.5,245.8,26.4,8.1,16.2
NIFTY50_5min,FRI,11:05,90,542,32.3,25.3,54.2,78.2,405.5,38.6,13.3,19.3
NIFTY50_5min,FRI,11:05,HOLD,542,64.3,51.5,114.2,141.6,615.2,82.7,52.6,41.0
NIFTY50_5min,FRI,11:20,120,542,37.9,28.6,69.0,88.5,576.1,45.8,19.2,23.4
NIFTY50_5min,FRI,11:20,45,542,22.2,16.9,40.7,50.0,226.2,17.9,5.2,13.7
NIFTY50_5min,FRI,11:20,60,542,25.7,20.1,45.8,55.9,359.2,24.2,7.9,16.1
NIFTY50_5min,FRI,11:20,90,542,32.0,24.7,55.4,76.4,406.3,35.2,13.7,20.0
NIFTY50_5min,FRI,11:20,HOLD,542,62.7,50.1,113.4,138.2,612.4,80.8,50.2,40.2
NIFTY50_5min,FRI,11:35,120,542,38.4,28.6,69.8,82.2,706.5,47.4,21.2,24.3
NIFTY50_5min,FRI,11:35,45,542,21.7,16.4,38.4,46.9,280.2,17.3,4.1,13.4
NIFTY50_5min,FRI,11:35,60,542,25.9,19.5,43.6,58.5,435.7,26.0,6.6,15.8
NIFTY50_5min,FRI,11:35,90,542,32.6,24.2,55.6,74.2,615.9,38.6,14.6,21.0
NIFTY50_5min,FRI,11:35,HOLD,542,61.2,47.9,109.1,139.0,706.5,79.2,47.2,39.3
NIFTY50_5min,FRI,11:50,120,542,40.2,29.5,71.1,92.4,637.4,48.9,24.2,24.5
NIFTY50_5min,FRI,11:50,45,542,23.1,17.2,41.1,53.1,368.3,20.5,5.7,14.1
NIFTY50_5min,FRI,11:50,60,542,26.4,19.8,48.0,56.8,368.3,26.9,8.5,16.3
NIFTY50_5min,FRI,11:50,90,542,33.2,24.7,59.0,76.9,603.9,38.2,16.2,20.7
NIFTY50_5min,FRI,11:50,HOLD,542,59.9,47.9,109.4,132.9,637.4,80.1,45.4,38.3
NIFTY50_5min,FRI,12:05,120,542,41.2,31.9,71.2,94.9,491.3,53.0,24.9,25.6
NIFTY50_5min,FRI,12:05,45,542,22.7,17.5,42.1,52.8,225.9,19.9,6.1,14.0
NIFTY50_5min,FRI,12:05,60,542,27.2,20.7,48.3,59.9,402.5,27.3,8.9,17.5
NIFTY50_5min,FRI,12:05,90,542,33.7,25.7,57.7,72.6,491.3,40.6,15.3,21.3
NIFTY50_5min,FRI,12:05,HOLD,542,57.7,46.0,105.3,127.4,491.3,76.8,44.6,37.0
NIFTY50_5min,FRI,12:20,120,542,43.7,34.0,74.7,97.9,450.9,57.6,27.9,26.8
NIFTY50_5min,FRI,12:20,45,542,24.5,18.7,44.3,53.5,374.2,21.8,6.6,15.8
NIFTY50_5min,FRI,12:20,60,542,28.0,21.2,49.1,57.7,418.0,29.5,9.6,17.2
NIFTY50_5min,FRI,12:20,90,542,35.5,27.5,60.5,71.7,450.9,44.8,17.2,21.7
NIFTY50_5min,FRI,12:20,HOLD,542,56.5,46.1,97.8,120.7,450.9,77.3,45.8,36.1
NIFTY50_5min,FRI,12:35,120,542,43.6,34.5,76.0,100.9,315.8,59.6,28.6,26.2
NIFTY50_5min,FRI,12:35,45,542,23.5,18.0,41.4,49.9,306.4,23.1,5.0,14.1
NIFTY50_5min,FRI,12:35,60,542,27.9,21.6,49.0,58.7,306.4,30.1,9.2,17.0
NIFTY50_5min,FRI,12:35,90,542,36.6,29.0,64.5,84.1,315.8,46.9,18.3,23.0
NIFTY50_5min,FRI,12:35,HOLD,542,53.9,44.3,95.4,128.3,315.8,74.2,40.6,34.5
NIFTY50_5min,FRI,12:50,120,542,44.8,35.6,80.0,105.5,308.7,62.9,28.4,26.6
NIFTY50_5min,FRI,12:50,45,542,24.7,20.1,41.5,52.4,308.7,22.9,5.5,14.8
NIFTY50_5min,FRI,12:50,60,542,29.2,23.0,48.4,68.8,308.7,34.9,9.2,17.0
NIFTY50_5min,FRI,12:50,90,542,38.4,30.1,66.1,92.5,308.7,50.2,19.9,23.5
NIFTY50_5min,FRI,12:50,HOLD,542,52.5,41.9,95.0,121.8,308.7,73.4,39.9,33.4
NIFTY50_5min,FRI,13:05,120,542,48.2,37.4,83.2,109.6,332.1,65.9,33.2,31.2
NIFTY50_5min,FRI,13:05,45,542,25.5,20.3,44.9,55.8,288.4,24.2,7.7,15.6
NIFTY50_5min,FRI,13:05,60,542,31.0,24.7,55.8,67.0,288.4,36.3,13.1,19.9
NIFTY50_5min,FRI,13:05,90,542,39.9,30.9,67.4,94.6,332.1,51.5,23.8,24.7
NIFTY50_5min,FRI,13:05,HOLD,542,50.9,39.9,93.5,113.9,332.1,69.7,36.2,32.3
NIFTY50_5min,FRI,13:20,120,542,49.2,38.5,90.9,114.9,348.9,67.2,35.1,31.1
NIFTY50_5min,FRI,13:20,45,542,27.9,22.3,49.9,66.2,229.0,29.9,10.0,18.2
NIFTY50_5min,FRI,13:20,60,542,33.4,25.7,57.7,79.5,313.5,40.2,15.9,21.4
NIFTY50_5min,FRI,13:20,90,542,41.3,31.4,77.2,100.2,348.9,53.9,26.4,24.9
NIFTY50_5min,FRI,13:20,HOLD,542,49.2,38.5,90.9,114.9,348.9,67.2,35.1,31.1
NIFTY50_5min,FRI,13:35,120,542,46.3,36.6,81.7,106.2,367.0,64.9,30.8,28.6
NIFTY50_5min,FRI,13:35,45,542,29.7,23.0,50.5,68.4,367.0,30.1,10.5,18.9
NIFTY50_5min,FRI,13:35,60,542,34.3,25.9,61.7,81.6,367.0,40.2,15.7,21.4
NIFTY50_5min,FRI,13:35,90,542,43.4,34.4,78.3,101.5,367.0,60.5,26.4,27.4
NIFTY50_5min,FRI,13:35,HOLD,542,46.3,36.6,81.7,106.2,367.0,64.9,30.8,28.6
NIFTY50_5min,FRI,13:50,120,542,42.9,34.7,74.8,94.1,235.3,60.5,29.3,26.6
NIFTY50_5min,FRI,13:50,45,542,29.9,23.0,55.6,67.0,235.3,34.9,14.2,18.3
NIFTY50_5min,FRI,13:50,60,542,34.2,27.4,64.0,79.7,235.3,44.3,18.6,19.9
NIFTY50_5min,FRI,13:50,90,542,42.9,34.7,74.8,94.1,235.3,60.5,29.3,26.6
NIFTY50_5min,FRI,13:50,HOLD,542,42.9,34.7,74.8,94.1,235.3,60.5,29.3,26.6
NIFTY50_5min,FRI,14:05,120,542,39.1,32.5,67.4,80.6,308.4,55.5,24.0,24.8
NIFTY50_5min,FRI,14:05,45,542,29.2,23.3,52.7,65.7,277.9,34.3,11.1,17.2
NIFTY50_5min,FRI,14:05,60,542,35.7,29.6,63.4,79.2,277.9,49.6,18.5,23.1
NIFTY50_5min,FRI,14:05,90,542,39.1,32.5,67.4,80.6,308.4,55.5,24.0,24.8
NIFTY50_5min,FRI,14:05,HOLD,542,39.1,32.5,67.4,80.6,308.4,55.5,24.0,24.8
NIFTY50_5min,FRI,14:20,120,542,35.6,29.9,63.8,76.0,257.5,49.8,19.2,23.1
NIFTY50_5min,FRI,14:20,45,542,31.8,26.6,55.4,68.8,227.2,42.4,13.3,21.3
NIFTY50_5min,FRI,14:20,60,542,35.6,29.9,63.8,76.0,257.5,49.8,19.2,23.1
NIFTY50_5min,FRI,14:20,90,542,35.6,29.9,63.8,76.0,257.5,49.8,19.2,23.1
NIFTY50_5min,FRI,14:20,HOLD,542,35.6,29.9,63.8,76.0,257.5,49.8,19.2,23.1
NIFTY50_5min,FRI,14:30,120,542,32.4,27.1,57.0,67.8,212.2,41.3,14.9,21.1
NIFTY50_5min,FRI,14:30,45,542,31.4,26.0,56.2,67.7,212.2,38.6,14.0,20.8
NIFTY50_5min,FRI,14:30,60,542,32.4,27.1,57.0,67.8,212.2,41.3,14.9,21.1
NIFTY50_5min,FRI,14:30,90,542,32.4,27.1,57.0,67.8,212.2,41.3,14.9,21.1
NIFTY50_5min,FRI,14:30,HOLD,542,32.4,27.1,57.0,67.8,212.2,41.3,14.9,21.1
NIFTY50_5min,MON-THU,09:20,120,2211,45.9,37.4,79.4,98.3,661.6,65.7,30.8,28.7
NIFTY50_5min,MON-THU,09:20,45,2211,33.5,27.6,56.7,71.2,385.7,43.8,15.2,21.1
NIFTY50_5min,MON-THU,09:20,60,2211,36.9,30.7,62.5,77.6,474.6,51.2,19.1,23.0
NIFTY50_5min,MON-THU,09:20,90,2211,41.7,34.7,71.1,88.9,494.3,59.6,25.5,25.6
NIFTY50_5min,MON-THU,09:20,HOLD,2211,80.0,65.6,138.2,175.7,898.7,91.9,67.7,54.0
NIFTY50_5min,MON-THU,09:35,120,2212,42.0,34.2,72.4,92.2,533.0,59.2,26.3,25.9
NIFTY50_5min,MON-THU,09:35,45,2212,29.1,23.9,50.5,60.7,329.8,35.5,10.4,18.2
NIFTY50_5min,MON-THU,09:35,60,2212,32.5,26.4,56.3,70.2,349.2,41.8,14.8,20.5
NIFTY50_5min,MON-THU,09:35,90,2212,38.1,30.9,65.8,83.1,507.0,52.2,21.5,23.3
NIFTY50_5min,MON-THU,09:35,HOLD,2212,76.4,62.7,136.1,168.3,767.2,90.9,64.3,51.7
NIFTY50_5min,MON-THU,09:50,120,2212,39.4,31.8,68.7,87.4,578.6,53.9,22.1,24.2
NIFTY50_5min,MON-THU,09:50,45,2212,26.4,21.2,46.3,60.3,238.7,29.2,8.0,16.6
NIFTY50_5min,MON-THU,09:50,60,2212,29.8,23.8,52.8,68.0,550.1,35.7,11.3,18.1
NIFTY50_5min,MON-THU,09:50,90,2212,35.1,27.8,62.2,79.2,578.6,45.4,17.5,21.6
NIFTY50_5min,MON-THU,09:50,HOLD,2212,74.0,59.9,130.3,171.7,819.8,88.7,61.4,49.9
NIFTY50_5min,MON-THU,10:05,120,2212,37.6,29.9,67.8,87.6,572.6,49.6,20.0,23.7
NIFTY50_5min,MON-THU,10:05,45,2212,24.7,19.8,44.7,55.5,572.6,24.2,7.4,14.9
NIFTY50_5min,MON-THU,10:05,60,2212,28.1,22.5,49.7,64.4,572.6,31.1,9.9,17.3
NIFTY50_5min,MON-THU,10:05,90,2212,33.4,26.7,58.2,75.5,572.6,41.8,15.3,20.5
NIFTY50_5min,MON-THU,10:05,HOLD,2212,71.8,57.6,128.8,161.7,743.2,87.3,60.3,48.2
NIFTY50_5min,MON-THU,10:20,120,2212,36.9,29.5,64.7,84.2,572.6,48.9,19.4,23.1
NIFTY50_5min,MON-THU,10:20,45,2212,23.5,18.5,42.3,52.8,572.6,21.3,6.2,14.6
NIFTY50_5min,MON-THU,10:20,60,2212,26.8,21.1,46.5,61.5,572.6,27.6,8.7,16.2
NIFTY50_5min,MON-THU,10:20,90,2212,32.2,25.5,56.3,72.5,572.6,39.9,13.7,19.7
NIFTY50_5min,MON-THU,10:20,HOLD,2212,70.1,55.5,125.0,158.4,758.5,86.0,57.4,47.1
NIFTY50_5min,MON-THU,10:35,120,2212,36.6,29.0,64.1,81.9,572.6,47.5,18.4,22.9
NIFTY50_5min,MON-THU,10:35,45,2212,22.7,17.3,40.1,51.3,572.6,19.2,5.7,13.7
NIFTY50_5min,MON-THU,10:35,60,2212,26.0,19.9,45.6,57.0,572.6,26.7,7.7,15.9
NIFTY50_5min,MON-THU,10:35,90,2212,31.5,24.8,55.3,70.3,572.6,37.1,12.9,19.8
NIFTY50_5min,MON-THU,10:35,HOLD,2212,68.5,54.7,121.7,158.3,730.5,85.1,55.7,46.3
NIFTY50_5min,MON-THU,10:50,120,2212,36.8,28.8,64.5,84.1,479.6,47.6,19.3,23.5
NIFTY50_5min,MON-THU,10:50,45,2212,22.2,17.1,40.1,51.1,479.6,19.3,5.5,13.7
NIFTY50_5min,MON-THU,10:50,60,2212,25.4,19.8,45.6,58.0,479.6,25.2,7.7,15.7
NIFTY50_5min,MON-THU,10:50,90,2212,31.2,24.4,55.8,74.4,479.6,36.3,13.7,19.7
NIFTY50_5min,MON-THU,10:50,HOLD,2212,67.0,53.4,119.3,157.6,733.1,83.4,54.2,45.3
NIFTY50_5min,MON-THU,11:05,120,2211,37.1,29.2,66.7,85.4,437.0,47.8,19.9,23.9
NIFTY50_5min,MON-THU,11:05,45,2211,21.7,16.5,40.2,52.5,302.5,19.1,5.8,13.3
NIFTY50_5min,MON-THU,11:05,60,2211,25.1,19.2,46.8,59.8,302.5,25.1,8.6,15.6
NIFTY50_5min,MON-THU,11:05,90,2211,31.2,24.6,55.9,72.5,307.5,37.3,13.7,19.6
NIFTY50_5min,MON-THU,11:05,HOLD,2211,65.4,52.0,118.5,151.1,701.5,82.5,52.6,44.3
NIFTY50_5min,MON-THU,11:20,120,2211,37.5,29.6,68.2,88.8,561.9,49.1,20.2,23.9
NIFTY50_5min,MON-THU,11:20,45,2211,21.5,16.8,40.0,50.8,271.7,18.7,5.2,13.5
NIFTY50_5min,MON-THU,11:20,60,2211,25.0,19.9,45.5,58.0,271.7,25.4,8.2,15.6
NIFTY50_5min,MON-THU,11:20,90,2211,31.4,24.8,56.4,72.9,398.1,38.4,13.4,19.9
NIFTY50_5min,MON-THU,11:20,HOLD,2211,63.7,51.0,114.4,144.8,710.3,81.6,51.7,43.0
NIFTY50_5min,MON-THU,11:35,120,2212,38.2,30.2,69.2,89.0,476.2,50.2,22.1,23.9
NIFTY50_5min,MON-THU,11:35,45,2212,21.4,17.1,38.7,50.8,224.6,17.7,5.4,13.2
NIFTY50_5min,MON-THU,11:35,60,2212,25.1,20.1,44.8,58.5,237.7,25.1,7.8,15.7
NIFTY50_5min,MON-THU,11:35,90,2212,31.9,25.1,57.7,74.1,357.5,38.3,14.6,20.1
NIFTY50_5min,MON-THU,11:35,HOLD,2212,61.8,49.9,112.9,141.6,620.0,79.4,49.9,41.5
NIFTY50_5min,MON-THU,11:50,120,2211,38.9,31.0,71.0,91.8,465.1,52.4,21.8,24.5
NIFTY50_5min,MON-THU,11:50,45,2211,21.6,17.2,39.2,48.4,291.7,18.6,4.5,13.4
NIFTY50_5min,MON-THU,11:50,60,2211,25.4,20.4,46.0,58.5,291.7,26.5,7.8,15.9
NIFTY50_5min,MON-THU,11:50,90,2211,32.4,25.7,57.8,77.9,439.5,39.7,14.6,20.1
NIFTY50_5min,MON-THU,11:50,HOLD,2211,60.3,48.0,109.7,139.4,586.1,77.0,47.4,40.4
NIFTY50_5min,MON-THU,12:05,120,2211,40.5,31.9,73.1,94.3,496.1,53.6,23.0,26.5
NIFTY50_5min,MON-THU,12:05,45,2211,21.8,17.2,38.7,49.3,262.8,19.1,4.8,13.5
NIFTY50_5min,MON-THU,12:05,60,2211,25.8,20.3,45.1,59.4,309.7,27.0,8.0,16.0
NIFTY50_5min,MON-THU,12:05,90,2211,33.1,26.4,59.3,76.7,427.9,41.4,15.0,20.6
NIFTY50_5min,MON-THU,12:05,HOLD,2211,58.8,46.8,107.9,140.7,571.0,76.0,45.7,39.4
NIFTY50_5min,MON-THU,12:20,120,2211,42.5,33.5,76.7,98.3,503.1,56.8,25.6,27.8
NIFTY50_5min,MON-THU,12:20,45,2211,23.0,17.8,41.4,54.5,297.1,21.8,6.1,14.5
NIFTY50_5min,MON-THU,12:20,60,2211,27.1,21.2,48.5,64.6,411.8,29.4,9.2,16.8
