,nav
2012-11-01,4152937.0
2012-11-02,4198261.5
2012-11-05,4194758.0
2012-11-06,4218901.5
2012-11-07,4300072.0
2012-11-08,4337553.5
2012-11-09,4304556.5
2012-11-12,4331859.5
2012-11-13,4342731.0
2012-11-15,4370452.0
2012-11-16,4298232.0
2012-11-19,4252444.5
2012-11-20,4294910.0
2012-11-21,4291899.0
2012-11-22,4322049.0
2012-11-23,4362323.0
2012-11-26,4383861.0
2012-11-27,4380665.0
2012-11-29,4341004.5
2012-11-30,4347861.0
2012-12-03,4369080.0
2012-12-04,4393276.0
2012-12-05,4407214.5
2012-12-06,4413864.0
2012-12-07,4394937.0
2012-12-10,4425589.5
2012-12-11,4382041.5
2012-12-12,4373825.5
2012-12-13,4352700.0
2012-12-14,4395471.0
2012-12-17,4380785.0
2012-12-18,4425380.5
2012-12-19,4444512.5
2012-12-20,4435173.5
2012-12-21,4389593.0
2012-12-24,4422126.5
2012-12-26,4418287.0
2012-12-27,4395043.5
2012-12-28,4415159.5
2012-12-31,4411784.5
2013-01-01,4432469.0
2013-01-02,4460696.0
2013-01-03,4479254.5
2013-01-04,4502423.5
2013-01-07,4446136.5
2013-01-08,4448622.0
2013-01-09,4428035.5
2013-01-10,4433987.0
2013-01-11,4376330.0
2013-01-14,4409804.5
2013-01-15,4411092.0
2013-01-16,4395783.0
2013-01-17,4428535.5
2013-01-18,4392020.5
2013-01-21,4371085.5
2013-01-22,4337984.0
2013-01-23,4324572.0
2013-01-24,4238056.0
2013-01-25,4259926.5
2013-01-28,4289541.0
2013-01-29,4260442.0
2013-01-30,4256581.0
2013-01-31,4306219.0
2013-02-01,4322125.5
2013-02-04,4316168.0
2013-02-05,4298214.0
2013-02-06,4320614.0
2013-02-07,4293198.5
2013-02-08,4251950.0
2013-02-11,4240852.5
2013-02-12,4269155.0
2013-02-13,4251084.0
2013-02-14,4208428.5
2013-02-15,4226531.0
2013-02-18,4242803.0
2013-02-19,4278920.0
