date,invested_pct
2007-02-06,95.0532
2007-02-07,95.0451
2007-02-08,95.0686
2007-02-09,94.9759
2007-02-12,94.8292
2007-02-13,94.8495
2007-02-14,94.8988
2007-02-15,95.0414
2007-02-19,95.0735
2007-02-20,95.031
2007-02-21,95.0715
2007-02-22,95.0389
2007-02-23,94.9172
2007-02-26,94.8964
2007-02-27,89.7828
2007-02-28,89.502
2007-03-01,83.9024
2007-03-02,83.8881
2007-03-05,83.1896
2007-03-06,69.621
2007-03-07,62.9361
2007-03-08,57.967
2007-03-09,57.7797
2007-03-12,58.071
2007-03-13,58.8461
2007-03-14,58.2391
2007-03-15,58.3413
2007-03-16,58.2274
2007-03-19,58.3791
2007-03-20,58.3731
2007-03-21,58.4055
2007-03-22,58.7471
2007-03-23,58.7793
2007-03-26,58.7185
2007-03-28,58.4828
2007-03-29,58.7791
2007-03-30,59.3632
2007-04-02,61.5025
2007-04-03,61.8142
2007-04-04,62.3819
2007-04-05,62.5855
2007-04-09,63.1053
2007-04-10,63.974
2007-04-11,63.8535
2007-04-12,63.8686
2007-04-13,64.1312
2007-04-16,64.4806
2007-04-17,64.1863
2007-04-18,64.4244
2007-04-19,64.3876
2007-04-20,64.5756
2007-04-23,64.6166
2007-04-24,64.6192
2007-04-25,65.1435
2007-04-26,65.3032
2007-04-27,65.0493
2007-04-30,65.2233
2007-05-03,65.1977
2007-05-04,57.5595
2007-05-07,57.4198
2007-05-08,57.1895
2007-05-09,57.4993
2007-05-10,57.2757
2007-05-11,57.3229
2007-05-14,64.5163
2007-05-15,64.3191
2007-05-16,64.6368
2007-05-17,83.6528
2007-05-18,83.8379
2007-05-21,84.0522
2007-05-22,84.1059
2007-05-23,96.4398
2007-05-24,96.4173
2007-05-25,96.3975
2007-05-28,96.4273
2007-05-29,96.4735
2007-05-30,96.3992
2007-05-31,96.3991
2007-06-01,96.4546
2007-06-04,96.4076
2007-06-05,96.4402
2007-06-06,96.3673
2007-06-07,96.383
2007-06-08,96.3627
2007-06-11,96.341
2007-06-12,96.3033
2007-06-13,96.2991
2007-06-14,90.8414
2007-06-15,90.9012
2007-06-18,97.0865
2007-06-19,97.1441
2007-06-20,97.1802
2007-06-21,97.1826
2007-06-22,97.1652
2007-06-25,97.1408
2007-06-26,97.171
2007-06-27,97.1677
2007-06-28,97.1565
2007-06-29,97.2024
2007-07-02,97.224
2007-07-03,97.2379
2007-07-04,97.2217
2007-07-05,97.206
2007-07-06,97.2014
2007-07-09,97.2472
2007-07-10,97.2353
2007-07-11,97.2637
2007-07-12,97.3083
2007-07-13,97.3087
2007-07-16,88.3317
2007-07-17,94.5568
2007-07-18,94.5349
2007-07-19,94.5671
2007-07-20,94.5373
2007-07-23,94.5629
2007-07-24,94.569
2007-07-25,94.5131
2007-07-26,94.5182
2007-07-27,94.4142
2007-07-30,88.2607
2007-07-31,83.6922
2007-08-01,83.1624
2007-08-02,83.4085
2007-08-03,83.5248
2007-08-06,83.324
2007-08-07,83.3269
2007-08-08,83.5007
2007-08-09,83.2957
2007-08-10,75.3087
2007-08-13,75.4556
2007-08-14,75.3793
2007-08-16,74.5968
2007-08-17,60.7852
2007-08-20,53.5765
2007-08-21,52.8618
2007-08-22,33.1652
2007-08-23,38.4364
2007-08-24,39.1016
2007-08-27,39.3471
2007-08-28,39.4972
2007-08-29,39.4571
2007-08-30,39.6021
2007-08-31,40.4189
2007-09-03,40.7992
2007-09-04,53.4619
2007-09-05,59.5986
2007-09-06,66.0484
2007-09-07,65.7435
2007-09-10,65.9601
2007-09-11,72.0801
2007-09-12,84.7185
2007-09-13,84.7566
2007-09-14,90.6842
2007-09-17,90.729
2007-09-18,90.7868
2007-09-19,90.8827
2007-09-20,97.1778
2007-09-21,97.2159
2007-09-24,97.2354
2007-09-25,97.2312
