,Open Alpha - Base Age,True North,IPO Base - First Base,NIFTYBEES (index)
2016-08-29,4.9570702598814105,4.379425562771838,4.647136515566298,2.507868383404864
2016-08-30,5.043104644965821,4.392298426340187,4.689129793003088,2.545064377682403
2016-08-31,5.002723110687744,4.396424351404606,4.708764290033403,2.5636623748211727
2016-09-01,4.969853756383733,4.364983478898564,4.853540492309304,2.5593705293276106
2016-09-02,5.009801553497468,4.391971229316872,4.815843048231078,2.5636623748211727
2016-09-06,5.039871087406263,4.454190513086935,4.842997970020055,2.6037195994277536
2016-09-07,5.044642531923912,4.490248373279977,4.819173331553312,2.6008583690987126
2016-09-08,5.091476745796283,4.536288533502589,4.785599847988307,2.610872675250357
2016-09-09,5.059000172051313,4.533709177352394,4.727793774892617,2.590844062947067
2016-09-12,4.961039022077121,4.407752250888345,4.670567525706211,2.549356223175965
2016-09-14,5.0567616585746595,4.494240933582325,4.69330906891481,2.552217453505007
2016-09-15,5.075099475033676,4.470340171132637,4.668825090653439,2.549356223175965
2016-09-16,5.100570790722657,4.435138425817798,4.77862269946492,2.5608011444921317
2016-09-19,5.158052714843832,4.436379665299911,4.778792102872829,2.567954220314735
2016-09-20,5.213305525364979,4.522502002723227,4.82434927241302,2.5665236051502145
2016-09-21,5.197880999240456,4.524015270131618,4.91537668729576,2.562231759656652
2016-09-22,5.256923974301409,4.5669079102678545,4.933056377654059,2.585121602288984
2016-09-23,5.260951821435915,4.552774820054858,4.9312166467664245,2.5765379113018594
2016-09-26,5.224285924104389,4.555181176636166,4.939251208398652,2.552217453505007
2016-09-27,5.21728872308551,4.609096625949378,4.950072283230351,2.5422031473533617
2016-09-28,5.271403141405198,4.647728527683653,4.972200418180577,2.553648068669528
2016-09-29,5.046974372747072,4.447966093375184,4.853801758789722,2.5193133047210297
2016-09-30,5.140725049412298,4.505906834176686,4.888663300919816,2.513590844062947
2016-10-03,5.314483447404752,4.722603988610703,4.94695585318982,2.5507868383404864
2016-10-04,5.342772376112563,4.750874289451705,5.180368067138279,2.5550786838340485
2016-10-05,5.391306960524714,4.814734130984382,5.160869389166782,2.549356223175965
2016-10-06,5.344153486556918,4.79050322815565,5.151641101479411,2.5379113018598
2016-10-07,5.315011519045241,4.838218156475551,5.20069153721242,2.535050071530758
2016-10-10,5.32625276436104,4.817065963481559,5.241834340397261,2.545064377682403
2016-10-13,5.2533919706589565,4.790414287192031,5.13296128896072,2.50071530758226
2016-10-14,5.299542007796862,4.808648638146017,5.269900978486526,2.5092989985693848
2016-10-17,5.234076902740652,4.828214783804412,5.419278236587718,2.4864091559370527
2016-10-18,5.293474723144259,4.885007819027144,5.56627396922846,2.523605150214592
2016-10-19,5.337227456032497,4.912891134088501,5.632537865532404,2.523605150214592
2016-10-20,5.330844268383263,4.984129128097601,5.680239000651985,2.536480686695279
2016-10-21,5.323132341030881,4.973862462415682,5.786144282181467,2.535050071530758
2016-10-24,5.327469041254548,4.956982254160726,5.721107696281757,2.5393419170243203
2016-10-25,5.320539989341212,4.967811583641213,5.592287023148387,2.5379113018598
2016-10-26,5.246691537173574,4.937287748700876,5.546457721603071,2.515021459227468
2016-10-27,5.248153553698893,4.871283113485119,5.4972927039731685,2.5193133047210297
2016-10-28,5.273819916827877,4.890693066793299,5.526865698896605,2.5221745350500715
2016-10-30,5.273819916827877,4.889252066608638,5.283460597734591,2.5221745350500715
2016-11-01,5.334216474123063,4.942276022191743,5.589362221452662,2.523605150214592
2016-11-02,5.250390388626149,4.8515161243645615,5.521560853402892,2.496423462088698
2016-11-03,5.154519704071741,4.853575899521219,5.511137357997915,2.490701001430615
2016-11-04,5.059313389368907,4.780130189652204,5.35978158662535,2.470672389127325
2016-11-07,5.124509590811621,4.7810557686821715,5.316271580717171,2.496423462088698
2016-11-08,5.129295470854088,4.781981526932476,5.344169803173501,2.5221745350500715
2016-11-09,5.050432520216029,4.78290746443782,5.399082189485124,2.467811158798283
2016-11-10,5.067035723727555,4.783833581232913,5.479541893816798,2.5050071530758222
2016-11-11,4.888448139118174,4.784759877352469,5.479169996539377,2.4320457796852644
2016-11-15,4.821641201673514,4.785686352831212,5.46728113696162,2.377682403433476
2016-11-16,4.848988128459386,4.786613007703871,5.422724583469306,2.373390557939914
2016-11-17,4.851007759094591,4.787539842005183,5.577315317879189,2.374821173104434
2016-11-18,4.854917436351505,4.788466855769889,5.487736474994686,2.3662374821173104
2016-11-21,4.818254560408895,4.789394049032741,5.455116688166332,2.326180257510729
2016-11-22,4.81256058514232,4.790321421828495,5.437783212936148,2.34620886981402
2016-11-23,4.810233779967352,4.7912489741919115,5.413749660062567,2.353361945636624
2016-11-24,4.813413959656065,4.792176706157763,5.434319086105042,2.3390557939914163
2016-11-25,4.814965946429096,4.793104617760824,5.580743884811259,2.3705293276108725
2016-11-28,4.8225157259096685,4.794032709035879,5.583514099723674,2.3819742489270386
2016-11-29,4.814593308462826,4.794960980017718,5.613926703374353,2.3862660944206007
2016-11-30,4.824456464723186,4.795889430741138,5.576281611369707,2.400572246065808
2016-12-01,4.8088600551403475,4.796818061240941,5.482095786010075,2.389127324749642
2016-12-02,4.788140041376242,4.797746871551938,5.423361157562276,2.3633762517882686
2016-12-05,4.791404819954595,4.798675861708946,5.424437221284014,2.380543633762518
2016-12-06,4.806715540429961,4.799605031746789,5.42551349851046,2.3819742489270386
2016-12-07,4.806198547215496,4.800534381700297,5.426589989283974,2.369098712446352
2016-12-08,4.810238815615545,4.801463911604308,5.427666693646927,2.403433476394849
2016-12-09,4.81875711809854,4.802393621493664,5.428743611641698,2.4091559370529327
2016-12-12,4.816767029932732,4.803323511403217,5.416794970305026,2.38483547925608
2016-12-13,4.810802472503263,4.804253581367825,5.389486449507713,2.3991416309012874
2016-12-14,4.809151451315773,4.805183831422351,5.3602221342634095,2.3876967095851214
2016-12-15,4.817697617718768,4.8061142616016665,5.378962201055467,2.3819742489270386
2016-12-16,4.824674340434996,4.807044871940649,5.375831942165312,2.376251788268956
2016-12-19,4.821928233620505,4.807975662474182,5.350960262226949,2.371959942775393
2016-12-20,4.806053520547543,4.808906633237158,5.365263243839272,2.3633762517882686
2016-12-21,4.805232038472353,4.809837784264475,5.331147471813966,2.360515021459227
2016-12-22,4.796285034473208,4.810769115591036,5.283444361144439,2.3347639484978537
2016-12-23,4.794974758813433,4.811700627251754,5.246204750766303,2.336194563662375
2016-12-26,4.782726383859069,4.812632319281547,5.279747119419651,2.311874105865522
2016-12-27,4.793666161703056,4.813564191715339,5.271861217920895,2.341917024320457
2016-12-28,4.796240049349352,4.814496244588063,5.279017153714436,2.341917024320457
2016-12-29,4.802959954007746,4.815428477934656,5.298155293820705,2.3633762517882686
2016-12-30,4.805651340111876,4.816360891790064,5.310665463856623,2.389127324749642
