,OA v3 (gated),TN incumbent,NIFTYBEES,OA v2,IPO (honest)
2022-03-22,3.509291151199146,4.667323492287832,2.327205,4.577835834116877,2.702144686417231
2022-03-23,3.5122517381509484,4.668227228499849,2.3147826,4.571218870590922,2.714546436584495
2022-03-24,3.5174313276529787,4.669131139702766,2.311677,4.603246310936357,2.698803615907831
2022-03-25,3.528190052130308,4.670035225930466,2.3083231,4.5153121540416805,2.714141863222004
2022-03-28,3.5307595945763577,4.670939487216842,2.3145342,4.572876660710848,2.7332249527435466
2022-03-29,3.535031080724875,4.671843923595787,2.3257143,4.542511447033384,2.7806017227102537
2022-03-30,3.521890085115312,4.672748535101207,2.346708,4.490190052845203,2.840284043101493
2022-03-31,3.5148337820198163,4.6666533417543805,2.3462112,4.425576167100512,2.843815108102791
2022-04-01,3.519421054108721,4.370308757087567,2.366087,4.165905601496832,2.8603609294097643
2022-04-04,3.5156056198646106,4.452632177787364,2.4247205,4.293768986577076,2.8702043008633598
2022-04-05,3.5146090064375453,4.589862445037316,2.4167702,4.324845231021409,2.925888987501048
2022-04-06,3.5589593040557927,4.687745580036876,2.3975155,4.392234916993665,2.9090855646607574
2022-04-07,3.560898774791806,4.551407804602037,2.3759005,4.341814435758341,2.8614621492425445
2022-04-08,3.609558312855482,4.599873645032385,2.394534,4.353592287741493,2.877677684766136
2022-04-11,3.6420622622112178,4.60881107380543,2.3809938,4.349551479781024,2.921083275908545
2022-04-12,3.5843006882220783,4.476670192504047,2.3654659,4.2631106649586945,2.884144178028313
2022-04-13,3.5841074162253093,4.482362824638676,2.3545341,4.318691443111476,2.8865080194844563
2022-04-18,3.579285367415879,4.34464875940259,2.313416,4.390010136033436,2.9124130068732708
2022-04-19,3.539753368180216,4.269629379838313,2.281739,4.325566022193979,2.8237697539324147
2022-04-20,3.5198656047041355,4.259323503390335,2.3088198,4.336400368292642,2.833838393116908
2022-04-21,3.5368262850415664,4.41395354234319,2.336646,4.441431206738111,2.8494393191730425
