variant,symbol,date,direction,entry_time,entry,stop,target,qty,atr_at_entry,vol_spike,exit_time,exit_price,exit_reason,gross_pnl,net_pnl
spike_2x_rsi,PNB,2024-03-20,LONG,2024-03-20T13:15:00,113.41,112.68,114.63,2645,0.40,2.49,2024-03-20T14:10:00,113.07,TIME_STOP,-899.30,-1348.58
spike_2x_rsi,PNB,2024-04-03,LONG,2024-04-03T14:00:00,125.76,124.93,127.10,2385,0.39,5.61,2024-04-03T14:15:00,127.10,TARGET,3207.82,2755.51
spike_2x_rsi,PNB,2024-04-04,SHORT,2024-04-04T11:50:00,131.30,131.73,130.76,2284,0.58,2.59,2024-04-04T11:50:00,130.76,TARGET,1244.78,795.88
spike_2x_rsi,PNB,2024-04-05,LONG,2024-04-05T11:00:00,133.48,132.51,134.69,2247,0.48,3.83,2024-04-05T11:15:00,132.51,STOP,-2179.59,-2627.85
spike_2x_rsi,PNB,2024-04-09,SHORT,2024-04-09T13:50:00,128.14,128.67,127.47,2341,0.42,4.24,2024-04-09T14:20:00,128.67,STOP,-1240.73,-1691.62
spike_2x_rsi,PNB,2024-04-12,SHORT,2024-04-12T12:45:00,131.88,132.66,130.46,2274,0.40,6.14,2024-04-12T13:40:00,131.93,TIME_STOP,-113.70,-563.63
spike_2x_rsi,PNB,2024-04-15,LONG,2024-04-15T13:20:00,131.30,130.37,132.44,2284,0.49,3.18,2024-04-15T13:30:00,130.37,STOP,-2124.12,-2572.36
spike_2x_rsi,PNB,2024-04-29,LONG,2024-04-29T13:55:00,134.89,133.53,136.93,1838,0.44,7.55,2024-04-29T14:15:00,133.53,STOP,-2499.68,-2869.70
spike_2x_rsi,PNB,2024-04-30,LONG,2024-04-30T13:25:00,135.33,134.79,136.14,2216,0.56,5.02,2024-04-30T13:45:00,136.14,TARGET,1794.96,1343.78
spike_2x_rsi,PNB,2024-05-06,SHORT,2024-05-06T13:30:00,123.28,123.76,122.31,2433,0.44,2.52,2024-05-06T13:40:00,123.76,STOP,-1167.84,-1618.63
spike_2x_rsi,PNB,2024-05-07,SHORT,2024-05-07T11:20:00,119.68,120.31,118.74,2506,0.55,2.11,2024-05-07T11:30:00,118.74,TARGET,2368.17,1920.07
