config,score,N,buffer,gate,donchian,cagr,net20,maxdd,sharpe,sortino,calmar,net_calmar,fills,donch_exits,gate_derisk,avg_turn,cost_pct
mom30_N10_buf26_g0_d30,mom30,10,26,0,30,25.3,21.6,-33.2,1.25,1.56,0.76,0.65,149,491,0,0.194,174.8
mom30_N10_buf26_g100_d0,mom30,10,26,100,0,24.0,19.8,-28.7,1.32,1.46,0.84,0.69,110,0,23,0.169,100.9
mom30_N10_buf26_g100_d15,mom30,10,26,100,15,24.0,20.7,-15.9,1.58,1.63,1.51,1.3,111,560,23,0.315,185.5
mom30_N10_buf26_g100_d20,mom30,10,26,100,20,25.0,21.6,-19.1,1.53,1.57,1.31,1.13,111,444,23,0.272,176.1
mom30_N10_buf26_g100_d30,mom30,10,26,100,30,24.2,20.6,-22.9,1.45,1.51,1.06,0.9,111,289,23,0.225,142.5
mom30_N10_buf26_g200_d0,mom30,10,26,200,0,23.9,20.0,-38.1,1.23,1.44,0.63,0.53,120,0,18,0.148,82.6
mom30_N10_buf26_g200_d15,mom30,10,26,200,15,25.1,21.2,-29.1,1.54,1.68,0.86,0.73,121,651,18,0.317,195.9
mom30_N10_buf26_g200_d20,mom30,10,26,200,20,25.2,21.4,-25.7,1.45,1.56,0.98,0.83,120,508,18,0.271,168.9
mom30_N10_buf26_g200_d30,mom30,10,26,200,30,25.2,21.2,-33.2,1.39,1.54,0.76,0.64,120,343,18,0.22,147.7
mom30_N15_buf18_g0_d0,mom30,15,18,0,0,26.1,22.4,-45.9,1.14,1.36,0.57,0.49,149,0,0,0.155,128.4
mom30_N15_buf18_g0_d15,mom30,15,18,0,15,24.5,21.1,-31.5,1.41,1.64,0.78,0.67,149,1279,0,0.318,203.2
mom30_N15_buf18_g0_d20,mom30,15,18,0,20,25.0,21.6,-34.6,1.36,1.6,0.72,0.62,149,1020,0,0.275,184.6
mom30_N15_buf18_g0_d30,mom30,15,18,0,30,24.6,21.2,-32.4,1.27,1.53,0.76,0.65,149,715,0,0.23,160.2
mom30_N15_buf18_g100_d0,mom30,15,18,100,0,23.8,20.0,-24.4,1.34,1.37,0.98,0.82,110,0,23,0.215,115.2
mom30_N15_buf18_g100_d15,mom30,15,18,100,15,20.8,18.0,-18.9,1.44,1.36,1.1,0.95,111,853,23,0.335,142.9
mom30_N15_buf18_g100_d20,mom30,15,18,100,20,22.1,19.2,-17.9,1.43,1.37,1.23,1.07,111,657,23,0.294,139.6
mom30_N15_buf18_g100_d30,mom30,15,18,100,30,22.7,19.5,-24.3,1.41,1.39,0.94,0.8,111,426,23,0.259,127.8
