cell,x_bars,depth_min,vol_K,saucer,exit,hard_stop,liq_cr,n_events,seeds,cagr_med,cagr_min,cagr_max,maxdd_med,maxdd_worst,calmar_med,sharpe_med,trades,win_rate,avg_win,avg_loss,expectancy,max_loss_streak,trades_per_yr,final_med
x40|d10|k3|s0|ST_14_4|h0|L2,40,10.0,3.0,0,ST_14_4,0,2.0,3315,10,17.81,17.65,18.45,-36.7,-36.7,0.485,1.028,691,47.8,35.71,-12.27,10.651,13,31.9,34985324.0
x40|d10|k3|s0|SMA15|h1|L2,40,10.0,3.0,0,SMA15,1,2.0,3315,10,6.03,5.21,6.51,-28.49,-32.85,0.212,0.545,2222,37.4,11.9,-6.27,0.553,19,102.5,3559369.0
x40|d10|k3|s1|ST_14_4|h0|L2,40,10.0,3.0,1,ST_14_4,0,2.0,79,10,6.05,6.05,6.05,-15.86,-15.86,0.382,1.227,79,45.6,30.1,-13.51,6.367,5,3.6,3576845.0
x40|d10|k3|s1|SMA15|h1|L2,40,10.0,3.0,1,SMA15,1,2.0,79,10,5.43,5.43,5.43,-2.75,-2.75,1.974,3.323,79,41.8,10.39,-6.44,0.589,8,3.6,3145546.0
x40|d10|k5|s0|ST_14_4|h0|L2,40,10.0,5.0,0,ST_14_4,0,2.0,2281,10,17.05,16.79,17.56,-34.61,-34.61,0.493,1.055,600,45.4,40.08,-12.36,11.348,12,27.7,30421594.0
x40|d10|k5|s0|SMA15|h1|L2,40,10.0,5.0,0,SMA15,1,2.0,2281,10,5.74,5.37,5.96,-23.87,-26.65,0.239,0.575,1694,36.5,12.93,-6.55,0.546,23,78.2,3353543.0
x40|d10|k5|s1|ST_14_4|h0|L2,40,10.0,5.0,1,ST_14_4,0,2.0,50,10,6.28,6.28,6.28,-12.52,-12.52,0.501,1.43,50,46.0,40.08,-14.45,10.63,6,2.3,3747267.0
x40|d10|k5|s1|SMA15|h1|L2,40,10.0,5.0,1,SMA15,1,2.0,50,10,5.48,5.48,5.48,-2.61,-2.61,2.097,4.252,50,44.0,11.14,-6.75,1.119,7,2.3,3183406.0
x40|d20|k0|s0|ST_14_4|h0|L2,40,20.0,0.0,0,ST_14_4,0,2.0,3881,10,21.07,19.88,21.83,-34.38,-34.4,0.613,1.183,700,48.5,37.84,-11.84,12.318,14,32.2,63281382.0
x40|d20|k0|s0|SMA15|h1|L2,40,20.0,0.0,0,SMA15,1,2.0,3881,10,5.74,5.18,6.36,-29.42,-31.91,0.194,0.495,2516,35.4,12.34,-5.94,0.516,17,116.0,3355068.0
x40|d20|k0|s1|ST_14_4|h0|L2,40,20.0,0.0,1,ST_14_4,0,2.0,123,10,5.9,5.9,5.9,-18.34,-18.34,0.322,1.055,121,40.5,28.95,-11.98,4.591,7,5.6,3466917.0
x40|d20|k0|s1|SMA15|h1|L2,40,20.0,0.0,1,SMA15,1,2.0,123,10,5.28,5.28,5.28,-3.18,-3.18,1.661,2.756,123,38.2,9.98,-6.06,0.067,9,5.7,3055414.0
x40|d20|k2|s0|ST_14_4|h0|L2,40,20.0,2.0,0,ST_14_4,0,2.0,2977,10,19.04,18.72,19.64,-41.26,-41.52,0.46,1.073,670,45.5,41.26,-12.65,11.849,15,30.9,43793174.0
x40|d20|k2|s0|SMA15|h1|L2,40,20.0,2.0,0,SMA15,1,2.0,2977,10,5.42,5.04,5.9,-26.48,-31.69,0.211,0.494,2094,36.2,12.47,-6.39,0.456,15,96.6,3142382.0
x40|d20|k2|s1|ST_14_4|h0|L2,40,20.0,2.0,1,ST_14_4,0,2.0,98,10,6.17,6.17,6.17,-17.76,-17.76,0.347,1.166,97,44.3,30.25,-12.73,6.321,6,4.5,3662671.0
x40|d20|k2|s1|SMA15|h1|L2,40,20.0,2.0,1,SMA15,1,2.0,98,10,5.42,5.42,5.42,-2.98,-2.98,1.822,3.006,98,38.8,11.28,-6.27,0.54,9,4.5,3143642.0
x40|d20|k3|s0|ST_14_4|h0|L2,40,20.0,3.0,0,ST_14_4,0,2.0,2375,10,18.82,18.71,18.84,-42.45,-42.45,0.444,1.046,611,46.2,41.72,-12.5,12.52,15,28.2,42084438.0
x40|d20|k3|s0|SMA15|h1|L2,40,20.0,3.0,0,SMA15,1,2.0,2375,10,5.84,5.53,6.24,-23.27,-25.83,0.252,0.567,1779,37.2,12.66,-6.65,0.549,17,82.0,3425062.0
x40|d20|k3|s1|ST_14_4|h0|L2,40,20.0,3.0,1,ST_14_4,0,2.0,79,10,6.05,6.05,6.05,-15.86,-15.86,0.382,1.227,79,45.6,30.1,-13.51,6.367,5,3.6,3576845.0
x40|d20|k3|s1|SMA15|h1|L2,40,20.0,3.0,1,SMA15,1,2.0,79,10,5.43,5.43,5.43,-2.75,-2.75,1.974,3.323,79,41.8,10.39,-6.44,0.589,8,3.6,3145546.0
x40|d20|k5|s0|ST_14_4|h0|L2,40,20.0,5.0,0,ST_14_4,0,2.0,1668,10,16.75,16.62,16.82,-33.58,-33.58,0.499,1.056,536,44.8,42.62,-13.03,11.888,14,24.7,28742100.0
x40|d20|k5|s0|SMA15|h1|L2,40,20.0,5.0,0,SMA15,1,2.0,1668,10,6.51,6.36,6.74,-19.31,-22.36,0.34,0.685,1357,36.8,13.93,-6.82,0.807,16,62.6,3925850.0
x40|d20|k5|s1|ST_14_4|h0|L2,40,20.0,5.0,1,ST_14_4,0,2.0,50,10,6.28,6.28,6.28,-12.52,-12.52,0.501,1.43,50,46.0,40.08,-14.45,10.63,6,2.3,3747267.0
x40|d20|k5|s1|SMA15|h1|L2,40,20.0,5.0,1,SMA15,1,2.0,50,10,5.48,5.48,5.48,-2.61,-2.61,2.097,4.252,50,44.0,11.14,-6.75,1.119,7,2.3,3183406.0
x60|d0|k0|s0|ST_14_4|h0|L2,60,0.0,0.0,0,ST_14_4,0,2.0,4651,10,18.85,18.26,19.53,-32.28,-32.51,0.585,1.124,745,49.3,32.04,-10.97,10.201,17,34.3,42336768.0
x60|d0|k0|s0|SMA15|h1|L2,60,0.0,0.0,0,SMA15,1,2.0,4651,10,6.08,5.32,6.91,-32.31,-33.16,0.188,0.524,2863,35.9,11.39,-5.52,0.544,17,132.1,3597456.0
x60|d0|k0|s1|ST_14_4|h0|L2,60,0.0,0.0,1,ST_14_4,0,2.0,123,10,5.9,5.9,5.9,-18.34,-18.34,0.322,1.055,121,40.5,28.95,-11.98,4.591,7,5.6,3466917.0
x60|d0|k0|s1|SMA15|h1|L2,60,0.0,0.0,1,SMA15,1,2.0,123,10,5.28,5.28,5.28,-3.18,-3.18,1.661,2.756,123,38.2,9.98,-6.06,0.067,9,5.7,3055414.0
x60|d0|k2|s0|ST_14_4|h0|L2,60,0.0,2.0,0,ST_14_4,0,2.0,3483,10,18.1,17.55,18.95,-37.37,-37.37,0.484,1.075,716,47.2,35.45,-11.71,10.55,15,33.0,36875346.0
x60|d0|k2|s0|SMA15|h1|L2,60,0.0,2.0,0,SMA15,1,2.0,3483,10,5.36,4.87,5.92,-25.29,-27.77,0.22,0.483,2349,36.8,11.59,-6.06,0.427,17,108.3,3104913.0
x60|d0|k2|s1|ST_14_4|h0|L2,60,0.0,2.0,1,ST_14_4,0,2.0,98,10,6.17,6.17,6.17,-17.76,-17.76,0.347,1.166,97,44.3,30.25,-12.73,6.321,6,4.5,3662671.0
x60|d0|k2|s1|SMA15|h1|L2,60,0.0,2.0,1,SMA15,1,2.0,98,10,5.42,5.42,5.42,-2.98,-2.98,1.822,3.006,98,38.8,11.28,-6.27,0.54,9,4.5,3143642.0
x60|d0|k3|s0|ST_14_4|h0|L2,60,0.0,3.0,0,ST_14_4,0,2.0,2744,10,17.79,17.72,17.84,-38.12,-38.12,0.467,1.05,658,46.0,38.08,-11.77,11.165,13,30.4,34863902.0
x60|d0|k3|s0|SMA15|h1|L2,60,0.0,3.0,0,SMA15,1,2.0,2744,10,5.68,5.11,6.08,-20.53,-23.61,0.269,0.546,1983,37.3,11.88,-6.28,0.511,14,91.4,3310287.0
x60|d0|k3|s1|ST_14_4|h0|L2,60,0.0,3.0,1,ST_14_4,0,2.0,79,10,6.05,6.05,6.05,-15.86,-15.86,0.382,1.227,79,45.6,30.1,-13.51,6.367,5,3.6,3576845.0
x60|d0|k3|s1|SMA15|h1|L2,60,0.0,3.0,1,SMA15,1,2.0,79,10,5.43,5.43,5.43,-2.75,-2.75,1.974,3.323,79,41.8,10.39,-6.44,0.589,8,3.6,3145546.0
x60|d0|k5|s0|ST_14_4|h0|L2,60,0.0,5.0,0,ST_14_4,0,2.0,1897,10,16.0,15.84,16.08,-35.78,-35.78,0.447,1.023,581,45.2,38.62,-12.27,10.751,12,26.8,24991401.0
x60|d0|k5|s0|SMA15|h1|L2,60,0.0,5.0,0,SMA15,1,2.0,1897,10,5.83,5.66,6.22,-22.61,-24.52,0.256,0.602,1514,36.7,13.01,-6.59,0.592,14,69.8,3422110.0
x60|d0|k5|s1|ST_14_4|h0|L2,60,0.0,5.0,1,ST_14_4,0,2.0,50,10,6.28,6.28,6.28,-12.52,-12.52,0.501,1.43,50,46.0,40.08,-14.45,10.63,6,2.3,3747267.0
x60|d0|k5|s1|SMA15|h1|L2,60,0.0,5.0,1,SMA15,1,2.0,50,10,5.48,5.48,5.48,-2.61,-2.61,2.097,4.252,50,44.0,11.14,-6.75,1.119,7,2.3,3183406.0
x60|d10|k0|s0|ST_14_4|h0|L2,60,10.0,0.0,0,ST_14_4,0,2.0,4580,10,18.54,17.64,19.39,-32.3,-34.75,0.569,1.099,748,48.0,32.64,-10.85,10.041,17,34.5,39956620.0
x60|d10|k0|s0|SMA15|h1|L2,60,10.0,0.0,0,SMA15,1,2.0,4580,10,6.28,5.72,6.64,-31.63,-31.98,0.199,0.542,2826,35.7,11.6,-5.53,0.574,19,130.4,3751001.0
x60|d10|k0|s1|ST_14_4|h0|L2,60,10.0,0.0,1,ST_14_4,0,2.0,123,10,5.9,5.9,5.9,-18.34,-18.34,0.322,1.055,121,40.5,28.95,-11.98,4.591,7,5.6,3466917.0
x60|d10|k0|s1|SMA15|h1|L2,60,10.0,0.0,1,SMA15,1,2.0,123,10,5.28,5.28,5.28,-3.18,-3.18,1.661,2.756,123,38.2,9.98,-6.06,0.067,9,5.7,3055414.0
x60|d10|k2|s0|ST_14_4|h0|L2,60,10.0,2.0,0,ST_14_4,0,2.0,3439,10,18.91,18.54,19.27,-36.25,-36.25,0.522,1.106,711,47.8,35.89,-11.69,11.049,15,32.8,42801102.0
x60|d10|k2|s0|SMA15|h1|L2,60,10.0,2.0,0,SMA15,1,2.0,3439,10,5.03,4.55,5.69,-25.04,-28.43,0.202,0.466,2329,36.5,11.6,-6.06,0.374,18,107.3,2898464.0
x60|d10|k2|s1|ST_14_4|h0|L2,60,10.0,2.0,1,ST_14_4,0,2.0,98,10,6.17,6.17,6.17,-17.76,-17.76,0.347,1.166,97,44.3,30.25,-12.73,6.321,6,4.5,3662671.0
x60|d10|k2|s1|SMA15|h1|L2,60,10.0,2.0,1,SMA15,1,2.0,98,10,5.42,5.42,5.42,-2.98,-2.98,1.822,3.006,98,38.8,11.28,-6.27,0.54,9,4.5,3143642.0
x60|d10|k3|s0|ST_14_4|h0|L2,60,10.0,3.0,0,ST_14_4,0,2.0,2716,10,17.67,17.64,17.81,-40.88,-40.88,0.432,1.042,658,46.0,38.19,-11.93,11.122,13,30.3,34088032.0
x60|d10|k3|s0|SMA15|h1|L2,60,10.0,3.0,0,SMA15,1,2.0,2716,10,5.12,4.93,5.67,-21.54,-24.58,0.236,0.503,1969,37.2,11.77,-6.3,0.394,16,90.8,2951879.0
x60|d10|k3|s1|ST_14_4|h0|L2,60,10.0,3.0,1,ST_14_4,0,2.0,79,10,6.05,6.05,6.05,-15.86,-15.86,0.382,1.227,79,45.6,30.1,-13.51,6.367,5,3.6,3576845.0
x60|d10|k3|s1|SMA15|h1|L2,60,10.0,3.0,1,SMA15,1,2.0,79,10,5.43,5.43,5.43,-2.75,-2.75,1.974,3.323,79,41.8,10.39,-6.44,0.589,8,3.6,3145546.0
x60|d10|k5|s0|ST_14_4|h0|L2,60,10.0,5.0,0,ST_14_4,0,2.0,1882,10,16.26,16.05,16.49,-35.07,-35.07,0.464,1.036,574,45.5,39.1,-12.3,11.08,12,26.5,26235931.0
x60|d10|k5|s0|SMA15|h1|L2,60,10.0,5.0,0,SMA15,1,2.0,1882,10,5.71,5.51,6.34,-22.46,-24.28,0.254,0.594,1506,36.7,12.91,-6.6,0.553,13,69.5,3332464.0
x60|d10|k5|s1|ST_14_4|h0|L2,60,10.0,5.0,1,ST_14_4,0,2.0,50,10,6.28,6.28,6.28,-12.52,-12.52,0.501,1.43,50,46.0,40.08,-14.45,10.63,6,2.3,3747267.0
x60|d10|k5|s1|SMA15|h1|L2,60,10.0,5.0,1,SMA15,1,2.0,50,10,5.48,5.48,5.48,-2.61,-2.61,2.097,4.252,50,44.0,11.14,-6.75,1.119,7,2.3,3183406.0
x60|d20|k0|s0|ST_14_4|h0|L2,60,20.0,0.0,0,ST_14_4,0,2.0,3619,10,21.14,19.87,21.82,-33.66,-35.91,0.613,1.202,689,48.9,37.12,-11.57,12.302,14,31.8,64063534.0
x60|d20|k0|s0|SMA15|h1|L2,60,20.0,0.0,0,SMA15,1,2.0,3619,10,6.2,5.62,7.07,-27.2,-29.01,0.223,0.542,2406,35.3,12.44,-5.88,0.599,17,111.0,3686970.0
x60|d20|k0|s1|ST_14_4|h0|L2,60,20.0,0.0,1,ST_14_4,0,2.0,123,10,5.9,5.9,5.9,-18.34,-18.34,0.322,1.055,121,40.5,28.95,-11.98,4.591,7,5.6,3466917.0
x60|d20|k0|s1|SMA15|h1|L2,60,20.0,0.0,1,SMA15,1,2.0,123,10,5.28,5.28,5.28,-3.18,-3.18,1.661,2.756,123,38.2,9.98,-6.06,0.067,9,5.7,3055414.0
x60|d20|k2|s0|ST_14_4|h0|L2,60,20.0,2.0,0,ST_14_4,0,2.0,2772,10,20.41,19.76,21.29,-44.14,-44.14,0.464,1.148,641,47.1,41.72,-12.48,13.041,15,29.6,56161622.0
x60|d20|k2|s0|SMA15|h1|L2,60,20.0,2.0,0,SMA15,1,2.0,2772,10,5.08,4.96,5.59,-24.31,-26.86,0.212,0.479,1999,36.4,12.26,-6.36,0.395,15,92.2,2929548.0
x60|d20|k2|s1|ST_14_4|h0|L2,60,20.0,2.0,1,ST_14_4,0,2.0,98,10,6.17,6.17,6.17,-17.76,-17.76,0.347,1.166,97,44.3,30.25,-12.73,6.321,6,4.5,3662671.0
x60|d20|k2|s1|SMA15|h1|L2,60,20.0,2.0,1,SMA15,1,2.0,98,10,5.42,5.42,5.42,-2.98,-2.98,1.822,3.006,98,38.8,11.28,-6.27,0.54,9,4.5,3143642.0
x60|d20|k3|s0|ST_14_4|h0|L2,60,20.0,3.0,0,ST_14_4,0,2.0,2209,10,19.56,19.37,19.7,-39.52,-39.52,0.495,1.094,588,47.7,41.49,-12.32,13.344,13,27.1,48183778.0
x60|d20|k3|s0|SMA15|h1|L2,60,20.0,3.0,0,SMA15,1,2.0,2209,10,5.33,4.82,5.57,-22.76,-26.16,0.238,0.542,1692,37.5,12.21,-6.62,0.446,16,78.0,3086000.0
x60|d20|k3|s1|ST_14_4|h0|L2,60,20.0,3.0,1,ST_14_4,0,2.0,79,10,6.05,6.05,6.05,-15.86,-15.86,0.382,1.227,79,45.6,30.1,-13.51,6.367,5,3.6,3576845.0
x60|d20|k3|s1|SMA15|h1|L2,60,20.0,3.0,1,SMA15,1,2.0,79,10,5.43,5.43,5.43,-2.75,-2.75,1.974,3.323,79,41.8,10.39,-6.44,0.589,8,3.6,3145546.0
x60|d20|k5|s0|ST_14_4|h0|L2,60,20.0,5.0,0,ST_14_4,0,2.0,1555,10,17.85,17.43,17.85,-32.95,-32.95,0.542,1.115,519,45.9,43.2,-12.67,12.946,13,23.9,35217748.0
x60|d20|k5|s0|SMA15|h1|L2,60,20.0,5.0,0,SMA15,1,2.0,1555,10,6.38,6.3,6.44,-20.8,-22.1,0.309,0.688,1298,37.1,13.58,-6.78,0.773,15,59.9,3820590.0
x60|d20|k5|s1|ST_14_4|h0|L2,60,20.0,5.0,1,ST_14_4,0,2.0,50,10,6.28,6.28,6.28,-12.52,-12.52,0.501,1.43,50,46.0,40.08,-14.45,10.63,6,2.3,3747267.0
x60|d20|k5|s1|SMA15|h1|L2,60,20.0,5.0,1,SMA15,1,2.0,50,10,5.48,5.48,5.48,-2.61,-2.61,2.097,4.252,50,44.0,11.14,-6.75,1.119,7,2.3,3183406.0
x120|d0|k0|s0|ST_14_4|h0|L2,120,0.0,0.0,0,ST_14_4,0,2.0,3000,10,18.03,17.67,18.66,-30.97,-30.98,0.582,1.064,692,46.3,35.58,-11.19,10.365,15,31.9,36405176.0
x120|d0|k0|s0|SMA15|h1|L2,120,0.0,0.0,0,SMA15,1,2.0,3000,10,6.08,5.83,6.85,-21.0,-24.49,0.281,0.577,2188,36.0,11.69,-5.7,0.561,21,100.9,3595242.0
x120|d0|k0|s1|ST_14_4|h0|L2,120,0.0,0.0,1,ST_14_4,0,2.0,89,10,6.4,6.4,6.4,-14.88,-14.88,0.43,1.284,89,42.7,33.19,-11.58,7.535,7,4.1,3841732.0
x120|d0|k0|s1|SMA15|h1|L2,120,0.0,0.0,1,SMA15,1,2.0,89,10,5.34,5.34,5.34,-2.98,-2.98,1.789,3.448,89,39.3,9.35,-5.84,0.134,7,4.1,3088972.0
x120|d0|k2|s0|ST_14_4|h0|L2,120,0.0,2.0,0,ST_14_4,0,2.0,2252,10,18.09,17.34,18.54,-33.37,-33.37,0.542,1.067,622,46.5,37.83,-11.73,11.158,14,28.7,36817428.0
x120|d0|k2|s0|SMA15|h1|L2,120,0.0,2.0,0,SMA15,1,2.0,2252,10,5.5,5.1,5.89,-18.55,-20.46,0.299,0.561,1784,37.8,11.34,-6.2,0.451,17,82.3,3194364.0
x120|d0|k2|s1|ST_14_4|h0|L2,120,0.0,2.0,1,ST_14_4,0,2.0,69,10,6.58,6.58,6.58,-14.93,-14.93,0.441,1.406,69,47.8,34.68,-12.1,10.273,5,3.2,3985951.0
x120|d0|k2|s1|SMA15|h1|L2,120,0.0,2.0,1,SMA15,1,2.0,69,10,5.46,5.46,5.46,-2.78,-2.78,1.966,3.738,69,42.0,10.25,-6.1,0.77,7,3.2,3165523.0
x120|d0|k3|s0|ST_14_4|h0|L2,120,0.0,3.0,0,ST_14_4,0,2.0,1773,10,17.34,17.28,17.53,-34.7,-34.7,0.5,1.017,578,45.8,39.77,-12.23,11.559,12,26.7,32089930.0
x120|d0|k3|s0|SMA15|h1|L2,120,0.0,3.0,0,SMA15,1,2.0,1773,10,5.99,5.89,6.18,-15.34,-16.62,0.392,0.653,1493,39.5,11.45,-6.45,0.618,19,68.8,3529826.0
x120|d0|k3|s1|ST_14_4|h0|L2,120,0.0,3.0,1,ST_14_4,0,2.0,56,10,6.6,6.6,6.6,-12.25,-12.25,0.539,1.503,56,51.8,34.81,-12.48,12.008,3,2.6,4000738.0
x120|d0|k3|s1|SMA15|h1|L2,120,0.0,3.0,1,SMA15,1,2.0,56,10,5.6,5.6,5.6,-2.61,-2.61,2.145,3.993,56,48.2,10.74,-6.3,1.917,6,2.6,3261021.0
x120|d0|k5|s0|ST_14_4|h0|L2,120,0.0,5.0,0,ST_14_4,0,2.0,1235,10,15.29,15.04,15.44,-29.43,-29.43,0.52,1.027,506,43.9,42.86,-12.59,11.729,12,23.3,21889691.0
x120|d0|k5|s0|SMA15|h1|L2,120,0.0,5.0,0,SMA15,1,2.0,1235,10,7.12,7.06,7.2,-13.88,-13.88,0.513,0.851,1111,38.8,13.34,-6.64,1.106,14,51.2,4447871.0
x120|d0|k5|s1|ST_14_4|h0|L2,120,0.0,5.0,1,ST_14_4,0,2.0,35,10,6.71,6.71,6.71,-9.72,-9.72,0.691,1.656,35,54.3,46.98,-14.01,19.099,3,1.6,4089991.0
x120|d0|k5|s1|SMA15|h1|L2,120,0.0,5.0,1,SMA15,1,2.0,35,10,5.66,5.66,5.66,-2.61,-2.61,2.17,4.791,35,54.3,12.25,-6.93,3.485,4,1.6,3301679.0
x120|d10|k0|s0|ST_14_4|h0|L2,120,10.0,0.0,0,ST_14_4,0,2.0,2995,10,17.95,17.51,18.55,-30.97,-30.98,0.58,1.067,692,46.2,35.73,-11.16,10.299,15,31.9,35940548.0
x120|d10|k0|s0|SMA15|h1|L2,120,10.0,0.0,0,SMA15,1,2.0,2995,10,6.19,5.92,6.76,-21.12,-23.63,0.287,0.583,2180,36.1,11.74,-5.7,0.582,16,100.5,3679728.0
x120|d10|k0|s1|ST_14_4|h0|L2,120,10.0,0.0,1,ST_14_4,0,2.0,89,10,6.4,6.4,6.4,-14.88,-14.88,0.43,1.284,89,42.7,33.19,-11.58,7.535,7,4.1,3841732.0
x120|d10|k0|s1|SMA15|h1|L2,120,10.0,0.0,1,SMA15,1,2.0,89,10,5.34,5.34,5.34,-2.98,-2.98,1.789,3.448,89,39.3,9.35,-5.84,0.134,7,4.1,3088972.0
x120|d10|k2|s0|ST_14_4|h0|L2,120,10.0,2.0,0,ST_14_4,0,2.0,2248,10,17.52,16.74,18.31,-33.37,-33.37,0.525,1.048,622,46.3,37.42,-11.9,10.988,14,28.7,33169541.0
x120|d10|k2|s0|SMA15|h1|L2,120,10.0,2.0,0,SMA15,1,2.0,2248,10,5.57,5.16,5.99,-18.02,-20.29,0.306,0.567,1780,38.0,11.36,-6.22,0.469,17,82.1,3241355.0
x120|d10|k2|s1|ST_14_4|h0|L2,120,10.0,2.0,1,ST_14_4,0,2.0,69,10,6.58,6.58,6.58,-14.93,-14.93,0.441,1.406,69,47.8,34.68,-12.1,10.273,5,3.2,3985951.0
x120|d10|k2|s1|SMA15|h1|L2,120,10.0,2.0,1,SMA15,1,2.0,69,10,5.46,5.46,5.46,-2.78,-2.78,1.966,3.738,69,42.0,10.25,-6.1,0.77,7,3.2,3165523.0
x120|d10|k3|s0|ST_14_4|h0|L2,120,10.0,3.0,0,ST_14_4,0,2.0,1770,10,17.18,17.01,17.43,-34.7,-34.7,0.495,1.009,579,45.7,39.76,-12.34,11.433,12,26.7,31161132.0
x120|d10|k3|s0|SMA15|h1|L2,120,10.0,3.0,0,SMA15,1,2.0,1770,10,6.03,5.89,6.17,-15.32,-15.99,0.394,0.657,1490,39.6,11.46,-6.47,0.632,19,68.7,3560948.0
x120|d10|k3|s1|ST_14_4|h0|L2,120,10.0,3.0,1,ST_14_4,0,2.0,56,10,6.6,6.6,6.6,-12.25,-12.25,0.539,1.503,56,51.8,34.81,-12.48,12.008,3,2.6,4000738.0
x120|d10|k3|s1|SMA15|h1|L2,120,10.0,3.0,1,SMA15,1,2.0,56,10,5.6,5.6,5.6,-2.61,-2.61,2.145,3.993,56,48.2,10.74,-6.3,1.917,6,2.6,3261021.0
x120|d10|k5|s0|ST_14_4|h0|L2,120,10.0,5.0,0,ST_14_4,0,2.0,1235,10,15.29,15.04,15.44,-29.43,-29.43,0.52,1.027,506,43.9,42.86,-12.59,11.729,12,23.3,21889691.0
x120|d10|k5|s0|SMA15|h1|L2,120,10.0,5.0,0,SMA15,1,2.0,1235,10,7.12,7.06,7.2,-13.88,-13.88,0.513,0.851,1111,38.8,13.34,-6.64,1.106,14,51.2,4447871.0
x120|d10|k5|s1|ST_14_4|h0|L2,120,10.0,5.0,1,ST_14_4,0,2.0,35,10,6.71,6.71,6.71,-9.72,-9.72,0.691,1.656,35,54.3,46.98,-14.01,19.099,3,1.6,4089991.0
x120|d10|k5|s1|SMA15|h1|L2,120,10.0,5.0,1,SMA15,1,2.0,35,10,5.66,5.66,5.66,-2.61,-2.61,2.17,4.791,35,54.3,12.25,-6.93,3.485,4,1.6,3301679.0
x120|d20|k0|s0|ST_14_4|h0|L2,120,20.0,0.0,0,ST_14_4,0,2.0,2781,10,18.7,18.48,19.19,-31.94,-31.95,0.586,1.093,652,46.2,37.42,-11.27,11.225,24,30.1,41230230.0
x120|d20|k0|s0|SMA15|h1|L2,120,20.0,0.0,0,SMA15,1,2.0,2781,10,6.21,5.73,6.6,-22.62,-27.45,0.266,0.591,2055,35.9,12.14,-5.84,0.605,13,94.8,3691890.0
x120|d20|k0|s1|ST_14_4|h0|L2,120,20.0,0.0,1,ST_14_4,0,2.0,89,10,6.4,6.4,6.4,-14.88,-14.88,0.43,1.284,89,42.7,33.19,-11.58,7.535,7,4.1,3841732.0
x120|d20|k0|s1|SMA15|h1|L2,120,20.0,0.0,1,SMA15,1,2.0,89,10,5.34,5.34,5.34,-2.98,-2.98,1.789,3.448,89,39.3,9.35,-5.84,0.134,7,4.1,3088972.0
x120|d20|k2|s0|ST_14_4|h0|L2,120,20.0,2.0,0,ST_14_4,0,2.0,2102,10,18.31,17.82,18.61,-33.84,-33.84,0.542,1.082,590,45.2,41.37,-12.21,11.931,18,27.2,38372424.0
x120|d20|k2|s0|SMA15|h1|L2,120,20.0,2.0,0,SMA15,1,2.0,2102,10,5.48,5.29,5.9,-18.48,-19.34,0.309,0.567,1685,37.8,11.62,-6.31,0.448,16,77.7,3183542.0
x120|d20|k2|s1|ST_14_4|h0|L2,120,20.0,2.0,1,ST_14_4,0,2.0,69,10,6.58,6.58,6.58,-14.93,-14.93,0.441,1.406,69,47.8,34.68,-12.1,10.273,5,3.2,3985951.0
x120|d20|k2|s1|SMA15|h1|L2,120,20.0,2.0,1,SMA15,1,2.0,69,10,5.46,5.46,5.46,-2.78,-2.78,1.966,3.738,69,42.0,10.25,-6.1,0.77,7,3.2,3165523.0
x120|d20|k3|s0|ST_14_4|h0|L2,120,20.0,3.0,0,ST_14_4,0,2.0,1668,10,18.07,18.07,18.09,-34.53,-34.53,0.523,1.052,546,46.3,41.69,-12.58,12.564,12,25.2,36684450.0
x120|d20|k3|s0|SMA15|h1|L2,120,20.0,3.0,0,SMA15,1,2.0,1668,10,5.78,5.63,5.86,-16.61,-17.01,0.348,0.639,1425,38.9,11.81,-6.61,0.556,18,65.7,3376910.0
x120|d20|k3|s1|ST_14_4|h0|L2,120,20.0,3.0,1,ST_14_4,0,2.0,56,10,6.6,6.6,6.6,-12.25,-12.25,0.539,1.503,56,51.8,34.81,-12.48,12.008,3,2.6,4000738.0
x120|d20|k3|s1|SMA15|h1|L2,120,20.0,3.0,1,SMA15,1,2.0,56,10,5.6,5.6,5.6,-2.61,-2.61,2.145,3.993,56,48.2,10.74,-6.3,1.917,6,2.6,3261021.0
x120|d20|k5|s0|ST_14_4|h0|L2,120,20.0,5.0,0,ST_14_4,0,2.0,1169,10,16.72,15.84,16.85,-29.32,-29.32,0.57,1.087,475,44.4,46.08,-12.73,13.391,14,21.9,28591380.0
x120|d20|k5|s0|SMA15|h1|L2,120,20.0,5.0,0,SMA15,1,2.0,1169,10,6.79,6.73,6.81,-15.06,-15.06,0.451,0.823,1057,38.6,13.28,-6.75,0.991,15,48.7,4154940.0
x120|d20|k5|s1|ST_14_4|h0|L2,120,20.0,5.0,1,ST_14_4,0,2.0,35,10,6.71,6.71,6.71,-9.72,-9.72,0.691,1.656,35,54.3,46.98,-14.01,19.099,3,1.6,4089991.0
x120|d20|k5|s1|SMA15|h1|L2,120,20.0,5.0,1,SMA15,1,2.0,35,10,5.66,5.66,5.66,-2.61,-2.61,2.17,4.791,35,54.3,12.25,-6.93,3.485,4,1.6,3301679.0
x250|d0|k0|s0|ST_14_4|h0|L2,250,0.0,0.0,0,ST_14_4,0,2.0,1806,10,19.02,18.55,19.05,-33.05,-33.05,0.576,1.194,559,47.0,38.66,-10.99,12.368,13,25.8,43677024.0
