cell,n_years,level,athvar,age_m,window,start,end,signals,seeds,cagr_med,cagr_min,cagr_max,dd_med,dd_worst,calmar_med,x_med,trades_med,trades_yr,win_med,mean_tr,avg_win,avg_loss,streak,avg_hold,bench_cagr,elapsed_s
N5_high_incl_age0,5,high,incl,0,W2,2010-01-01,2026-09-04,13305,10,25.6,23.3,28.79,-37.99,-45.22,0.67,44.61,1184,71.1,43.7,7.609,26.38,-6.94,30,62.4,10.42,4.2
N5_high_incl_age0,5,high,incl,0,W1,2020-01-01,2025-12-31,8249,10,42.88,34.96,46.48,-29.61,-33.59,1.39,8.51,509,84.9,46.4,9.912,30.0,-7.48,33,55.9,14.74,1.8
N5_high_incl_age6,5,high,incl,6,W2,2010-01-01,2026-09-04,410,10,12.91,12.69,13.24,-19.5,-19.72,0.66,7.57,373,22.4,43.6,8.576,29.33,-7.59,7,59.9,10.42,1.3
N5_high_incl_age6,5,high,incl,6,W1,2020-01-01,2025-12-31,265,10,20.3,19.83,20.38,-19.66,-19.71,1.03,3.03,239,39.9,45.6,8.761,28.66,-8.06,7,56.0,14.74,0.6
N5_high_incl_age12,5,high,incl,12,W2,2010-01-01,2026-09-04,286,10,10.77,10.77,10.77,-18.76,-18.76,0.57,5.5,274,16.4,44.9,8.587,29.18,-8.18,9,58.3,10.42,1.1
N5_high_incl_age12,5,high,incl,12,W1,2020-01-01,2025-12-31,188,10,19.11,19.11,19.11,-18.75,-18.75,1.02,2.86,177,29.5,49.2,10.56,30.5,-8.72,9,58.1,14.74,0.6
N5_high_excl_age0,5,high,excl,0,W2,2010-01-01,2026-09-04,1627,10,21.17,20.32,21.95,-30.13,-32.41,0.68,24.53,564,33.8,44.4,12.255,37.82,-8.3,21,60.3,10.42,1.8
N5_high_excl_age0,5,high,excl,0,W1,2020-01-01,2025-12-31,1137,10,37.59,36.59,38.89,-29.98,-29.98,1.25,6.78,312,52.1,43.8,14.991,45.33,-8.64,17,56.7,14.74,1.0
N5_high_excl_age6,5,high,excl,6,W2,2010-01-01,2026-09-04,125,10,6.95,6.91,6.96,-12.53,-12.54,0.55,3.06,124,7.4,37.9,6.958,32.99,-8.92,10,55.6,10.42,0.7
N5_high_excl_age6,5,high,excl,6,W1,2020-01-01,2025-12-31,90,10,6.6,6.48,6.62,-12.52,-12.54,0.53,1.47,89,14.8,39.3,3.824,23.84,-9.13,6,49.2,14.74,0.3
N5_high_excl_age12,5,high,excl,12,W2,2010-01-01,2026-09-04,104,10,5.88,5.88,5.88,-10.11,-10.11,0.58,2.59,104,6.2,36.5,4.625,28.46,-9.1,9,52.1,10.42,0.6
N5_high_excl_age12,5,high,excl,12,W1,2020-01-01,2025-12-31,73,10,5.8,5.8,5.8,-10.11,-10.11,0.57,1.4,73,12.2,38.4,3.082,23.16,-9.41,6,47.6,14.74,0.3
N5_high_athonly_age0,5,high,athonly,0,W2,2010-01-01,2026-09-04,11598,10,20.83,19.55,22.7,-34.07,-36.64,0.61,23.42,1184,71.0,44.1,6.284,22.93,-6.78,35,62.3,10.42,4.5
