sym,entry,net_ret_pct,hold_days
BIKAJI,2024-05-31,41.54,91
BIOCON,2016-04-11,28.49,65
BIOCON,2016-07-22,11.64,63
BIOCON,2017-07-14,-15.71,18
BIOCON,2017-11-20,34.57,85
BIOCON,2018-04-24,-7.04,29
BIRLACORPN,2014-05-20,5.45,39
BIRLACORPN,2014-08-06,17.42,27
BIRLACORPN,2016-08-08,18.68,64
BIRLACORPN,2017-05-29,17.19,53
BIRLACORPN,2017-08-31,-3.41,10
BIRLACORPN,2017-10-12,12.73,74
BIRLACORPN,2021-05-19,-10.88,22
BIRLACORPN,2021-07-13,-0.86,26
BIRLACORPN,2021-10-29,-15.22,19
BIRLACORPN,2024-02-01,-6.29,25
BLISSGVS,2014-01-31,-5.08,12
BLISSGVS,2014-02-24,-11.16,20
BLISSGVS,2014-06-26,-11.58,29
BLISSGVS,2014-09-05,4.04,23
BLISSGVS,2014-11-10,-11.65,26
BLISSGVS,2015-01-15,54.54,67
BLISSGVS,2015-07-03,11.18,28
BLISSGVS,2015-10-05,-11.69,14
BLISSGVS,2017-12-21,-5.15,18
BLISSGVS,2026-04-30,-0.08,10
BLS,2017-07-04,-10.74,17
BLS,2017-08-24,12.97,54
BLS,2018-01-09,-13.28,6
BLS,2022-06-14,10.03,47
BLS,2022-08-30,21.4,79
