weights,n,w_OA,w_TN,w_IPO,w_GOLD,A_cagr,A_dcagr,A_dd,A_calmar,A_dcalmar,A_winb,A_winc,A_winm,B_cagr,B_dcagr,B_dd,B_calmar,B_dcalmar,B_winb,B_winc,B_winm,C_cagr,C_dcagr,C_dd,C_calmar,C_dcalmar,C_winb,C_winc,C_winm,ADMITTED,minCalmar
GOLD:0.20|OA:0.05|TN:0.75,3,0.05,0.75,0.0,0.2,18.98,-7.91,-13.05,1.494,-0.208,14,300,300,20.1,-7.88,-13.17,1.558,-0.074,108,330,330,20.42,-9.94,-12.77,1.756,-0.22,31,360,360,False,1.494
GOLD:0.15|IPO:0.05|OA:0.05|TN:0.75,4,0.05,0.75,0.05,0.15,19.81,-7.04,-13.16,1.553,-0.148,66,360,360,20.99,-7.0,-13.39,1.631,-0.001,179,360,360,21.68,-8.71,-12.98,1.811,-0.153,76,360,360,False,1.553
GOLD:0.10|IPO:0.10|OA:0.05|TN:0.75,4,0.05,0.75,0.1,0.1,20.62,-6.22,-13.41,1.595,-0.089,108,360,360,21.88,-6.14,-13.6,1.675,0.039,207,360,360,22.9,-7.47,-13.09,1.866,-0.088,123,360,360,False,1.595
GOLD:0.05|IPO:0.15|OA:0.05|TN:0.75,4,0.05,0.75,0.15,0.05,21.43,-5.42,-13.45,1.634,-0.06,131,360,360,22.7,-5.28,-13.75,1.718,0.071,227,360,360,24.06,-6.26,-13.22,1.921,-0.039,149,360,360,False,1.634
IPO:0.20|OA:0.05|TN:0.75,3,0.05,0.75,0.2,0.0,22.22,-4.66,-13.8,1.688,-0.055,139,360,359,23.52,-4.44,-13.98,1.782,0.109,256,360,360,25.27,-5.05,-13.63,1.983,-0.026,162,360,360,False,1.688
GOLD:0.15|OA:0.05|TN:0.80,3,0.05,0.8,0.0,0.15,19.15,-7.71,-14.46,1.423,-0.289,6,330,330,20.31,-7.7,-14.48,1.475,-0.16,22,330,330,20.57,-9.75,-13.67,1.656,-0.338,4,360,360,False,1.423
GOLD:0.10|IPO:0.05|OA:0.05|TN:0.80,4,0.05,0.8,0.05,0.1,19.97,-6.89,-14.52,1.461,-0.241,24,360,360,21.19,-6.84,-14.64,1.519,-0.119,32,360,360,21.82,-8.48,-13.89,1.713,-0.271,8,360,360,False,1.461
GOLD:0.05|IPO:0.10|OA:0.05|TN:0.80,4,0.05,0.8,0.1,0.05,20.75,-6.1,-14.18,1.499,-0.208,34,360,360,22.07,-5.95,-14.71,1.56,-0.082,48,360,360,23.03,-7.26,-14.12,1.771,-0.217,35,360,360,False,1.499
IPO:0.15|OA:0.05|TN:0.80,3,0.05,0.8,0.15,0.0,21.58,-5.3,-14.41,1.542,-0.187,29,360,359,22.88,-5.13,-14.94,1.621,-0.05,86,360,360,24.18,-6.1,-14.39,1.826,-0.186,55,360,360,False,1.542
GOLD:0.10|OA:0.05|TN:0.85,3,0.05,0.85,0.0,0.1,19.31,-7.58,-15.74,1.335,-0.38,0,330,330,20.5,-7.53,-15.74,1.374,-0.264,0,330,330,20.7,-9.54,-14.93,1.573,-0.437,1,360,360,False,1.335
GOLD:0.05|IPO:0.05|OA:0.05|TN:0.85,4,0.05,0.85,0.05,0.05,20.12,-6.76,-15.3,1.371,-0.342,0,360,360,21.37,-6.67,-15.78,1.415,-0.225,0,360,360,21.94,-8.28,-14.91,1.634,-0.387,1,360,360,False,1.371
IPO:0.10|OA:0.05|TN:0.85,3,0.05,0.85,0.1,0.0,20.88,-5.96,-14.96,1.404,-0.314,0,360,359,22.23,-5.81,-16.0,1.468,-0.191,1,360,360,23.14,-7.09,-14.95,1.686,-0.336,3,360,360,False,1.404
GOLD:0.05|OA:0.05|TN:0.90,3,0.05,0.9,0.0,0.05,19.44,-7.48,-16.53,1.255,-0.465,0,330,330,20.67,-7.38,-16.81,1.288,-0.348,0,330,330,20.81,-9.35,-16.05,1.483,-0.552,0,360,360,False,1.255
IPO:0.05|OA:0.05|TN:0.90,3,0.05,0.9,0.05,0.0,20.24,-6.67,-16.24,1.289,-0.431,0,360,360,21.53,-6.52,-17.02,1.335,-0.315,0,360,360,22.04,-8.14,-15.89,1.563,-0.494,0,360,360,False,1.289
OA:0.05|TN:0.95,2,0.05,0.95,0.0,0.0,19.56,-7.37,-17.84,1.148,-0.561,0,0,0,20.82,-7.21,-18.03,1.209,-0.432,0,0,0,20.91,-9.22,-17.79,1.337,-0.683,0,0,0,False,1.148
GOLD:0.90|OA:0.10,2,0.1,0.0,0.0,0.9,15.44,-11.19,-19.38,0.798,-0.885,0,0,0,15.93,-11.86,-19.38,0.822,-0.853,0,0,0,17.47,-12.97,-11.87,1.47,-0.452,20,0,0,False,0.798
GOLD:0.85|IPO:0.05|OA:0.10,3,0.1,0.0,0.05,0.85,16.46,-10.18,-18.25,0.901,-0.784,0,0,360,16.98,-10.79,-18.25,0.929,-0.746,0,0,360,18.89,-11.65,-9.48,1.973,0.065,209,0,360,False,0.901
GOLD:0.80|IPO:0.10|OA:0.10,3,0.1,0.0,0.1,0.8,17.42,-9.25,-17.12,1.017,-0.666,0,0,360,18.02,-9.77,-17.12,1.051,-0.625,0,0,360,20.27,-10.24,-8.1,2.479,0.553,345,0,360,False,1.017
GOLD:0.75|IPO:0.15|OA:0.10,3,0.1,0.0,0.15,0.75,18.38,-8.32,-15.97,1.15,-0.533,0,0,360,19.02,-8.78,-15.97,1.19,-0.486,0,0,360,21.68,-8.93,-7.32,2.915,0.993,360,0,360,False,1.15
GOLD:0.70|IPO:0.20|OA:0.10,3,0.1,0.0,0.2,0.7,19.33,-7.36,-14.81,1.303,-0.38,16,0,360,20.0,-7.8,-14.81,1.349,-0.326,40,0,360,23.05,-7.56,-6.56,3.446,1.532,360,0,360,False,1.303
GOLD:0.65|IPO:0.25|OA:0.10,3,0.1,0.0,0.25,0.65,20.25,-6.41,-13.63,1.482,-0.201,60,0,360,20.96,-6.8,-13.63,1.538,-0.137,80,0,360,24.42,-6.18,-5.99,4.071,2.152,360,12,360,False,1.482
GOLD:0.60|IPO:0.30|OA:0.10,3,0.1,0.0,0.3,0.6,21.15,-5.48,-12.45,1.696,0.018,186,0,360,21.92,-5.81,-12.45,1.764,0.089,315,0,360,25.75,-4.9,-5.84,4.395,2.488,360,96,360,False,1.696
GOLD:0.55|IPO:0.35|OA:0.10,3,0.1,0.0,0.35,0.55,22.03,-4.55,-11.25,1.956,0.278,318,0,360,22.88,-4.82,-11.25,2.037,0.363,360,0,360,27.07,-3.63,-6.33,4.276,2.365,360,48,360,False,1.956
GOLD:0.50|IPO:0.40|OA:0.10,3,0.1,0.0,0.4,0.5,22.91,-3.64,-10.04,2.28,0.596,351,0,360,23.81,-3.88,-10.04,2.376,0.706,360,0,360,28.36,-2.26,-6.82,4.153,2.246,360,36,360,False,2.28
GOLD:0.45|IPO:0.45|OA:0.10,3,0.1,0.0,0.45,0.45,23.76,-2.8,-8.81,2.694,1.017,360,0,360,24.74,-2.97,-8.81,2.811,1.146,360,0,360,29.66,-0.94,-7.31,4.049,2.145,360,0,360,False,2.694
GOLD:0.40|IPO:0.50|OA:0.10,3,0.1,0.0,0.5,0.4,24.6,-1.97,-7.81,3.155,1.47,360,0,360,25.65,-2.08,-7.81,3.28,1.627,360,0,360,30.93,0.38,-7.81,3.963,2.055,360,0,360,False,3.155
GOLD:0.35|IPO:0.55|OA:0.10,3,0.1,0.0,0.55,0.35,25.43,-1.13,-8.3,3.067,1.385,360,0,360,26.54,-1.19,-8.3,3.203,1.544,360,0,360,32.19,1.67,-8.3,3.884,1.974,360,0,348,False,3.067
GOLD:0.30|IPO:0.60|OA:0.10,3,0.1,0.0,0.6,0.3,26.24,-0.32,-8.81,2.978,1.303,360,0,360,27.41,-0.28,-8.81,3.111,1.457,360,0,360,33.44,2.98,-8.81,3.792,1.887,360,0,300,False,2.978
GOLD:0.25|IPO:0.65|OA:0.10,3,0.1,0.0,0.65,0.25,27.03,0.47,-9.32,2.891,1.214,360,0,12,28.27,0.59,-9.32,3.032,1.37,360,0,360,34.68,4.3,-9.32,3.707,1.79,360,0,192,False,2.891
GOLD:0.20|IPO:0.70|OA:0.10,3,0.1,0.0,0.7,0.2,27.81,1.24,-10.29,2.701,1.005,360,0,0,29.12,1.46,-10.29,2.83,1.187,360,0,324,35.89,5.57,-10.29,3.456,1.548,360,0,60,False,2.701
GOLD:0.15|IPO:0.75|OA:0.10,3,0.1,0.0,0.75,0.15,28.57,2.01,-12.15,2.398,0.692,356,0,0,29.94,2.29,-12.15,2.509,0.857,360,0,24,37.1,6.79,-12.15,3.113,1.173,360,0,0,False,2.398
GOLD:0.10|IPO:0.80|OA:0.10,3,0.1,0.0,0.8,0.1,29.31,2.75,-14.0,2.137,0.436,339,0,0,30.76,3.11,-14.0,2.24,0.582,360,0,0,38.29,8.01,-14.0,2.787,0.841,357,0,12,False,2.137
GOLD:0.05|IPO:0.85|OA:0.10,3,0.1,0.0,0.85,0.05,30.04,3.5,-15.82,1.936,0.24,298,0,0,31.55,3.9,-15.82,2.036,0.369,358,0,0,39.46,9.24,-15.82,2.529,0.595,348,0,120,False,1.936
IPO:0.90|OA:0.10,2,0.1,0.0,0.9,0.0,30.75,4.25,-17.61,1.771,0.08,226,0,0,32.33,4.65,-17.61,1.872,0.206,332,0,12,40.61,10.42,-17.61,2.336,0.407,333,0,228,False,1.771
GOLD:0.85|OA:0.10|TN:0.05,3,0.1,0.05,0.0,0.85,15.88,-10.75,-18.66,0.85,-0.834,0,0,0,16.4,-11.37,-18.66,0.878,-0.794,0,0,0,17.89,-12.57,-8.99,1.994,0.082,224,0,0,False,0.85
GOLD:0.80|IPO:0.05|OA:0.10|TN:0.05,4,0.1,0.05,0.05,0.8,16.84,-9.78,-17.53,0.96,-0.724,0,0,360,17.42,-10.34,-17.53,0.993,-0.677,0,0,360,19.26,-11.24,-7.76,2.482,0.572,345,0,360,False,0.96
GOLD:0.75|IPO:0.10|OA:0.10|TN:0.05,4,0.1,0.05,0.1,0.75,17.79,-8.84,-16.38,1.085,-0.596,0,0,360,18.42,-9.32,-16.38,1.124,-0.545,0,0,360,20.61,-9.87,-6.76,3.038,1.131,360,0,360,False,1.085
GOLD:0.70|IPO:0.15|OA:0.10|TN:0.05,4,0.1,0.05,0.15,0.7,18.73,-7.92,-15.22,1.23,-0.454,1,0,360,19.42,-8.33,-15.22,1.275,-0.391,1,0,360,21.99,-8.5,-6.14,3.569,1.665,360,0,360,False,1.23
GOLD:0.65|IPO:0.20|OA:0.10|TN:0.05,4,0.1,0.05,0.2,0.65,19.66,-6.96,-14.05,1.399,-0.281,28,0,360,20.39,-7.34,-14.05,1.451,-0.214,56,0,360,23.37,-7.15,-5.57,4.153,2.252,360,0,360,False,1.399
GOLD:0.60|IPO:0.25|OA:0.10|TN:0.05,4,0.1,0.05,0.25,0.6,20.58,-6.02,-12.87,1.598,-0.078,123,0,360,21.37,-6.36,-12.87,1.66,-0.002,178,0,360,24.72,-5.81,-5.23,4.706,2.777,360,65,360,False,1.598
GOLD:0.55|IPO:0.30|OA:0.10|TN:0.05,4,0.1,0.05,0.3,0.55,21.49,-5.1,-11.68,1.839,0.165,271,0,360,22.32,-5.38,-11.68,1.912,0.252,358,0,360,26.03,-4.54,-5.62,4.634,2.73,360,45,360,False,1.839
GOLD:0.50|IPO:0.35|OA:0.10|TN:0.05,4,0.1,0.05,0.35,0.5,22.37,-4.22,-10.47,2.136,0.463,342,0,360,23.27,-4.4,-10.47,2.221,0.567,360,0,360,27.35,-3.22,-6.12,4.481,2.574,360,10,360,False,2.136
GOLD:0.45|IPO:0.40|OA:0.10|TN:0.05,4,0.1,0.05,0.4,0.45,23.24,-3.35,-9.25,2.511,0.833,360,0,360,24.2,-3.49,-9.25,2.614,0.967,360,0,360,28.66,-1.89,-6.6,4.343,2.438,360,1,360,False,2.511
GOLD:0.40|IPO:0.45|OA:0.10|TN:0.05,4,0.1,0.05,0.45,0.4,24.1,-2.52,-8.02,3.003,1.321,360,0,360,25.12,-2.59,-8.02,3.128,1.49,360,0,360,29.97,-0.61,-7.11,4.222,2.318,360,0,360,False,3.003
GOLD:0.35|IPO:0.50|OA:0.10|TN:0.05,4,0.1,0.05,0.5,0.35,24.94,-1.67,-7.62,3.28,1.595,360,0,360,26.02,-1.72,-7.62,3.417,1.77,360,1,360,31.26,0.73,-7.62,4.103,2.192,360,0,342,False,3.28
GOLD:0.30|IPO:0.55|OA:0.10|TN:0.05,4,0.1,0.05,0.55,0.3,25.76,-0.84,-8.14,3.167,1.477,360,0,360,26.91,-0.79,-8.14,3.306,1.65,360,0,360,32.52,2.03,-8.14,3.987,2.065,360,0,268,False,3.167
GOLD:0.25|IPO:0.60|OA:0.10|TN:0.05,4,0.1,0.05,0.6,0.25,26.57,-0.05,-8.68,3.04,1.347,360,0,58,27.78,0.07,-8.68,3.179,1.537,360,0,360,33.77,3.4,-8.68,3.853,1.928,360,0,147,False,3.04
GOLD:0.20|IPO:0.65|OA:0.10|TN:0.05,4,0.1,0.05,0.65,0.2,27.36,0.72,-9.63,2.824,1.138,360,0,0,28.63,0.93,-9.63,2.944,1.319,360,0,355,35.0,4.62,-9.63,3.6,1.691,360,0,31,False,2.824
GOLD:0.15|IPO:0.70|OA:0.10|TN:0.05,4,0.1,0.05,0.7,0.15,28.13,1.51,-11.35,2.499,0.802,359,0,0,29.47,1.79,-11.35,2.617,0.962,360,0,84,36.22,5.83,-11.35,3.215,1.279,360,0,0,False,2.499
GOLD:0.10|IPO:0.75|OA:0.10|TN:0.05,4,0.1,0.05,0.75,0.1,28.88,2.27,-13.19,2.21,0.517,346,0,0,30.29,2.63,-13.19,2.316,0.663,360,0,0,37.4,7.08,-13.19,2.859,0.919,360,0,3,False,2.21
GOLD:0.05|IPO:0.80|OA:0.10|TN:0.05,4,0.1,0.05,0.8,0.05,29.61,3.01,-15.02,1.991,0.297,317,0,0,31.09,3.41,-15.02,2.092,0.43,360,0,0,38.59,8.32,-15.02,2.584,0.652,350,0,19,False,1.991
IPO:0.85|OA:0.10|TN:0.05,3,0.1,0.05,0.85,0.0,30.34,3.75,-16.82,1.817,0.132,246,0,0,31.86,4.18,-16.82,1.917,0.254,351,0,0,39.75,9.45,-16.82,2.374,0.451,337,0,129,False,1.817
GOLD:0.80|OA:0.10|TN:0.10,3,0.1,0.1,0.0,0.8,16.27,-10.36,-17.94,0.902,-0.775,0,0,0,16.86,-10.9,-17.94,0.935,-0.728,0,0,0,18.33,-12.2,-8.64,2.125,0.208,289,0,0,False,0.902
GOLD:0.75|IPO:0.05|OA:0.10|TN:0.10,4,0.1,0.1,0.05,0.75,17.22,-9.37,-16.8,1.02,-0.658,0,0,360,17.85,-9.89,-16.8,1.059,-0.604,0,0,360,19.66,-10.87,-7.37,2.671,0.728,356,0,360,False,1.02
GOLD:0.70|IPO:0.10|OA:0.10|TN:0.10,4,0.1,0.1,0.1,0.7,18.17,-8.45,-15.65,1.155,-0.515,0,0,360,18.85,-8.89,-15.65,1.199,-0.459,0,0,360,20.99,-9.5,-6.28,3.354,1.385,360,0,360,False,1.155
GOLD:0.65|IPO:0.15|OA:0.10|TN:0.10,4,0.1,0.1,0.15,0.65,19.09,-7.54,-14.49,1.313,-0.353,16,0,360,19.83,-7.9,-14.49,1.363,-0.289,38,0,360,22.32,-8.1,-5.66,3.93,2.007,360,0,360,False,1.313
GOLD:0.60|IPO:0.20|OA:0.10|TN:0.10,4,0.1,0.1,0.2,0.6,19.98,-6.6,-13.31,1.498,-0.166,61,0,360,20.8,-6.92,-13.31,1.557,-0.092,82,0,360,23.63,-6.72,-5.15,4.568,2.656,360,3,360,False,1.498
GOLD:0.55|IPO:0.25|OA:0.10|TN:0.10,4,0.1,0.1,0.25,0.55,20.88,-5.7,-12.12,1.721,0.055,213,0,360,21.76,-5.93,-12.12,1.789,0.142,319,0,360,24.99,-5.44,-4.97,5.034,3.127,360,40,360,False,1.721
GOLD:0.50|IPO:0.30|OA:0.10|TN:0.10,4,0.1,0.1,0.3,0.5,21.79,-4.8,-10.92,1.992,0.327,326,0,360,22.7,-4.97,-10.92,2.072,0.432,360,0,360,26.31,-4.18,-5.42,4.884,2.978,360,22,360,False,1.992
GOLD:0.45|IPO:0.35|OA:0.10|TN:0.10,4,0.1,0.1,0.35,0.45,22.67,-3.92,-9.7,2.33,0.67,355,0,360,23.61,-4.04,-9.7,2.427,0.796,360,0,360,27.63,-2.83,-5.93,4.692,2.766,360,6,360,False,2.33
GOLD:0.40|IPO:0.40|OA:0.10|TN:0.10,4,0.1,0.1,0.4,0.4,23.55,-3.08,-8.48,2.768,1.109,360,0,360,24.53,-3.15,-8.48,2.886,1.269,360,30,360,28.93,-1.54,-6.46,4.497,2.571,360,0,360,False,2.768
GOLD:0.35|IPO:0.45|OA:0.10|TN:0.10,4,0.1,0.1,0.45,0.35,24.4,-2.22,-7.31,3.322,1.652,360,0,360,25.43,-2.24,-7.31,3.472,1.845,360,74,360,30.2,-0.19,-6.98,4.317,2.353,360,0,328,False,3.322
GOLD:0.30|IPO:0.50|OA:0.10|TN:0.10,4,0.1,0.1,0.5,0.3,25.22,-1.39,-7.56,3.308,1.596,360,0,360,26.3,-1.32,-7.56,3.47,1.806,360,60,360,31.46,1.13,-7.56,4.128,2.179,360,0,237,False,3.308
GOLD:0.25|IPO:0.55|OA:0.10|TN:0.10,4,0.1,0.1,0.55,0.25,26.02,-0.6,-8.16,3.151,1.434,360,0,214,27.19,-0.44,-8.16,3.302,1.647,360,36,360,32.71,2.48,-8.16,3.953,1.999,360,0,103,False,3.151
GOLD:0.20|IPO:0.60|OA:0.10|TN:0.10,4,0.1,0.1,0.6,0.2,26.83,0.2,-9.2,2.906,1.223,360,0,0,28.05,0.43,-9.2,3.037,1.414,360,25,357,33.96,3.68,-9.2,3.668,1.754,360,0,5,False,2.906
GOLD:0.15|IPO:0.65|OA:0.10|TN:0.10,4,0.1,0.1,0.65,0.15,27.6,1.01,-10.68,2.593,0.92,360,0,0,28.88,1.28,-10.68,2.713,1.077,360,14,149,35.18,4.95,-10.68,3.31,1.406,360,0,0,False,2.593
GOLD:0.10|IPO:0.70|OA:0.10|TN:0.10,4,0.1,0.1,0.7,0.1,28.36,1.76,-12.46,2.296,0.605,350,0,0,29.71,2.11,-12.46,2.399,0.749,360,0,0,36.41,6.2,-12.46,2.943,1.021,360,0,0,False,2.296
GOLD:0.05|IPO:0.75|OA:0.10|TN:0.10,4,0.1,0.1,0.75,0.05,29.11,2.55,-14.29,2.05,0.367,328,0,0,30.52,2.9,-14.29,2.151,0.497,360,0,0,37.63,7.38,-14.29,2.641,0.716,354,0,4,False,2.05
IPO:0.80|OA:0.10|TN:0.10,3,0.1,0.1,0.8,0.0,29.84,3.28,-16.1,1.863,0.183,273,0,0,31.31,3.69,-16.1,1.96,0.303,354,0,0,38.82,8.55,-16.1,2.415,0.494,338,0,27,False,1.863
GOLD:0.75|OA:0.10|TN:0.15,3,0.1,0.15,0.0,0.75,16.66,-9.96,-17.21,0.959,-0.709,0,0,0,17.29,-10.45,-17.21,0.998,-0.659,0,0,0,18.7,-11.85,-8.32,2.251,0.295,320,0,0,False,0.959
GOLD:0.70|IPO:0.05|OA:0.10|TN:0.15,4,0.1,0.15,0.05,0.7,17.6,-8.99,-16.07,1.085,-0.579,0,0,360,18.28,-9.45,-16.07,1.129,-0.521,0,0,360,20.05,-10.49,-7.12,2.831,0.872,360,0,360,False,1.085
GOLD:0.65|IPO:0.10|OA:0.10|TN:0.15,4,0.1,0.15,0.1,0.65,18.53,-8.08,-14.91,1.231,-0.433,1,0,360,19.26,-8.48,-14.91,1.282,-0.362,1,0,360,21.39,-9.1,-5.95,3.589,1.613,360,6,360,False,1.231
GOLD:0.60|IPO:0.15|OA:0.10|TN:0.15,4,0.1,0.15,0.15,0.6,19.45,-7.19,-13.74,1.402,-0.258,28,0,360,20.24,-7.48,-13.74,1.46,-0.176,56,0,360,22.69,-7.69,-5.25,4.298,2.329,360,70,360,False,1.402
GOLD:0.55|IPO:0.20|OA:0.10|TN:0.15,4,0.1,0.15,0.2,0.55,20.36,-6.27,-12.55,1.606,-0.051,139,0,360,21.19,-6.49,-12.55,1.671,0.045,251,0,360,24.01,-6.37,-4.84,4.935,2.985,360,227,360,False,1.606
GOLD:0.50|IPO:0.25|OA:0.10|TN:0.15,4,0.1,0.15,0.25,0.5,21.24,-5.36,-11.36,1.852,0.203,296,0,360,22.13,-5.54,-11.36,1.932,0.313,360,0,360,25.3,-5.09,-4.92,5.135,3.159,360,284,360,False,1.852
GOLD:0.45|IPO:0.30|OA:0.10|TN:0.15,4,0.1,0.15,0.3,0.45,22.11,-4.5,-10.15,2.16,0.514,346,0,360,23.05,-4.6,-10.15,2.253,0.647,360,12,360,26.59,-3.76,-5.38,4.966,2.957,360,224,360,False,2.16
GOLD:0.40|IPO:0.35|OA:0.10|TN:0.15,4,0.1,0.15,0.35,0.4,22.96,-3.62,-8.93,2.551,0.912,360,0,360,23.98,-3.67,-8.93,2.666,1.058,360,40,360,27.87,-2.45,-5.9,4.74,2.718,360,159,358,False,2.551
GOLD:0.35|IPO:0.40|OA:0.10|TN:0.15,4,0.1,0.15,0.4,0.35,23.82,-2.78,-7.71,3.06,1.422,360,2,360,24.88,-2.75,-7.71,3.196,1.602,360,174,360,29.18,-1.15,-6.48,4.477,2.469,360,113,298,False,3.06
GOLD:0.30|IPO:0.45|OA:0.10|TN:0.15,4,0.1,0.15,0.45,0.3,24.65,-1.93,-7.21,3.401,1.653,360,18,360,25.76,-1.86,-7.21,3.567,1.888,360,296,360,30.44,0.21,-7.19,4.211,2.223,360,68,185,False,3.401
GOLD:0.25|IPO:0.50|OA:0.10|TN:0.15,4,0.1,0.15,0.5,0.25,25.47,-1.1,-7.95,3.203,1.462,360,5,288,26.62,-0.96,-7.95,3.349,1.684,360,210,360,31.69,1.53,-7.95,3.975,2.004,360,37,68,False,3.203
GOLD:0.20|IPO:0.55|OA:0.10|TN:0.15,4,0.1,0.15,0.55,0.2,26.26,-0.31,-8.85,2.969,1.271,360,2,21,27.49,-0.09,-8.85,3.115,1.46,360,122,352,32.93,2.74,-8.85,3.719,1.78,360,18,5,False,2.969
GOLD:0.15|IPO:0.60|OA:0.10|TN:0.15,4,0.1,0.15,0.6,0.15,27.04,0.48,-10.19,2.663,1.001,360,1,0,28.33,0.75,-10.19,2.789,1.168,360,40,203,34.15,4.05,-10.19,3.361,1.472,360,6,3,False,2.663
GOLD:0.10|IPO:0.65|OA:0.10|TN:0.15,4,0.1,0.15,0.65,0.1,27.84,1.24,-11.78,2.374,0.696,355,0,0,29.16,1.58,-11.78,2.484,0.85,360,30,16,35.36,5.23,-11.78,3.016,1.111,360,1,0,False,2.374
GOLD:0.05|IPO:0.70|OA:0.10|TN:0.15,4,0.1,0.15,0.7,0.05,28.57,2.02,-13.57,2.118,0.439,337,0,0,29.97,2.38,-13.57,2.216,0.572,360,15,14,36.55,6.42,-13.57,2.711,0.79,355,0,0,False,2.118
IPO:0.75|OA:0.10|TN:0.15,3,0.1,0.15,0.75,0.0,29.3,2.76,-15.4,1.919,0.24,289,0,0,30.75,3.17,-15.4,2.011,0.359,357,0,16,37.73,7.6,-15.4,2.469,0.545,342,0,5,False,1.919
GOLD:0.70|OA:0.10|TN:0.20,3,0.1,0.2,0.0,0.7,17.03,-9.6,-16.49,1.019,-0.645,0,0,0,17.72,-10.04,-16.49,1.063,-0.579,0,0,0,19.02,-11.39,-8.08,2.377,0.403,328,0,0,False,1.019
GOLD:0.65|IPO:0.05|OA:0.10|TN:0.20,4,0.1,0.2,0.05,0.65,17.96,-8.65,-15.33,1.153,-0.505,0,0,360,18.69,-9.03,-15.33,1.203,-0.43,0,0,360,20.4,-10.06,-6.87,2.972,1.033,360,28,360,False,1.153
GOLD:0.60|IPO:0.10|OA:0.10|TN:0.20,4,0.1,0.2,0.1,0.6,18.9,-7.75,-14.16,1.312,-0.342,12,0,360,19.65,-8.06,-14.16,1.37,-0.258,31,0,360,21.74,-8.69,-5.72,3.797,1.827,360,153,360,False,1.312
GOLD:0.55|IPO:0.15|OA:0.10|TN:0.20,4,0.1,0.2,0.15,0.55,19.77,-6.84,-12.99,1.502,-0.147,60,0,360,20.61,-7.08,-12.99,1.564,-0.054,116,0,360,23.06,-7.33,-5.11,4.481,2.519,360,306,360,False,1.502
GOLD:0.50|IPO:0.20|OA:0.10|TN:0.20,4,0.1,0.2,0.2,0.5,20.67,-5.94,-11.8,1.726,0.09,236,0,360,21.54,-6.11,-11.8,1.803,0.199,312,0,360,24.35,-6.02,-5.26,4.632,2.68,360,346,360,False,1.726
GOLD:0.45|IPO:0.25|OA:0.10|TN:0.20,4,0.1,0.2,0.25,0.45,21.57,-5.04,-10.59,2.003,0.375,335,0,360,22.49,-5.16,-10.59,2.095,0.499,360,30,360,25.64,-4.69,-5.56,4.606,2.635,360,345,360,False,2.003
GOLD:0.40|IPO:0.30|OA:0.10|TN:0.20,4,0.1,0.2,0.3,0.4,22.42,-4.19,-9.38,2.358,0.729,357,1,360,23.4,-4.23,-9.38,2.464,0.865,360,62,360,26.9,-3.37,-5.93,4.555,2.585,360,337,358,False,2.358
GOLD:0.35|IPO:0.35|OA:0.10|TN:0.20,4,0.1,0.2,0.35,0.35,23.27,-3.32,-8.16,2.812,1.196,360,70,360,24.31,-3.33,-8.16,2.936,1.344,360,273,360,28.16,-2.06,-6.4,4.427,2.459,360,315,311,False,2.812
GOLD:0.30|IPO:0.40|OA:0.10|TN:0.20,4,0.1,0.2,0.4,0.3,24.07,-2.46,-7.31,3.325,1.562,360,132,360,25.2,-2.42,-7.31,3.475,1.817,360,348,360,29.42,-0.78,-7.01,4.232,2.241,360,280,176,False,3.325
GOLD:0.25|IPO:0.45|OA:0.10|TN:0.20,4,0.1,0.2,0.45,0.25,24.9,-1.63,-7.75,3.22,1.49,360,128,319,26.07,-1.52,-7.75,3.377,1.696,360,329,360,30.65,0.55,-7.75,3.977,1.999,360,218,87,False,3.22
GOLD:0.20|IPO:0.50|OA:0.10|TN:0.20,4,0.1,0.2,0.5,0.2,25.73,-0.83,-8.55,3.014,1.276,360,73,128,26.93,-0.63,-8.55,3.154,1.487,360,272,347,31.89,1.79,-8.55,3.75,1.765,360,152,38,False,3.014
GOLD:0.15|IPO:0.55|OA:0.10|TN:0.20,4,0.1,0.2,0.55,0.15,26.51,-0.04,-9.7,2.731,1.031,360,18,22,27.77,0.21,-9.7,2.859,1.225,360,190,219,33.11,3.06,-9.7,3.416,1.484,360,92,20,False,2.731
GOLD:0.10|IPO:0.60|OA:0.10|TN:0.20,4,0.1,0.2,0.6,0.1,27.27,0.75,-11.23,2.431,0.777,359,5,0,28.61,1.03,-11.23,2.552,0.931,360,55,64,34.35,4.28,-11.23,3.067,1.191,360,44,18,False,2.431
GOLD:0.05|IPO:0.65|OA:0.10|TN:0.20,4,0.1,0.2,0.65,0.05,28.03,1.51,-12.91,2.186,0.512,342,1,0,29.42,1.82,-12.91,2.29,0.649,360,31,35,35.55,5.43,-12.91,2.767,0.866,357,22,20,False,2.186
IPO:0.70|OA:0.10|TN:0.20,3,0.1,0.2,0.7,0.0,28.79,2.28,-14.65,1.969,0.293,312,0,0,30.21,2.63,-14.65,2.066,0.422,360,28,33,36.71,6.64,-14.65,2.516,0.602,343,4,7,False,1.969
GOLD:0.65|OA:0.10|TN:0.25,3,0.1,0.25,0.0,0.65,17.39,-9.25,-15.75,1.083,-0.576,0,0,0,18.11,-9.64,-15.75,1.13,-0.498,0,0,0,19.33,-10.97,-7.86,2.485,0.541,339,28,28,False,1.083
