weights,n,w_OA,w_TN,w_IPO,w_GOLD,w_MYB,A_cagr,A_dcagr,A_dd,A_calmar,A_dcalmar,A_winb,A_winc,A_winm,C_cagr,C_dcagr,C_dd,C_calmar,C_dcalmar,C_winb,C_winc,C_winm,ADMITTED,minCalmar
IPO:0.10|MYB:0.70|TN:0.20,3,0.0,0.2,0.1,0.0,0.7,23.72,-2.8,-14.29,1.644,-0.017,168,0,360,31.46,1.36,-14.29,2.181,0.297,312,11,360,False,1.644
GOLD:0.10|IPO:0.10|MYB:0.60|TN:0.20,4,0.0,0.2,0.1,0.1,0.6,22.91,-3.64,-11.5,1.986,0.305,319,1,355,29.91,-0.25,-11.5,2.592,0.68,355,67,360,False,1.986
GOLD:0.20|IPO:0.10|MYB:0.50|TN:0.20,4,0.0,0.2,0.1,0.2,0.5,22.03,-4.53,-9.24,2.371,0.688,360,25,316,28.3,-1.97,-9.24,3.042,1.117,360,172,347,False,2.371
GOLD:0.30|IPO:0.10|MYB:0.40|TN:0.20,4,0.0,0.2,0.1,0.3,0.4,21.1,-5.48,-8.04,2.604,0.941,360,113,347,26.59,-3.7,-7.61,3.443,1.539,360,250,321,False,2.604
GOLD:0.40|IPO:0.10|MYB:0.30|TN:0.20,4,0.0,0.2,0.1,0.4,0.3,20.09,-6.5,-10.03,1.965,0.337,326,0,360,24.78,-5.49,-6.47,3.809,1.914,360,315,313,False,1.965
GOLD:0.50|IPO:0.10|MYB:0.20|TN:0.20,4,0.0,0.2,0.1,0.5,0.2,19.01,-7.58,-12.19,1.533,-0.112,86,0,360,22.96,-7.34,-5.56,4.167,2.113,360,332,360,False,1.533
GOLD:0.60|IPO:0.10|MYB:0.10|TN:0.20,4,0.0,0.2,0.1,0.6,0.1,17.88,-8.72,-14.3,1.229,-0.426,1,0,360,21.04,-9.21,-6.89,3.073,1.105,360,148,360,False,1.229
GOLD:0.70|IPO:0.10|TN:0.20,3,0.0,0.2,0.1,0.7,0.0,16.68,-9.95,-16.38,1.003,-0.662,0,0,360,19.06,-11.2,-8.46,2.271,0.301,316,0,360,False,1.003
IPO:0.20|MYB:0.60|TN:0.20,3,0.0,0.2,0.2,0.0,0.6,24.5,-2.06,-12.91,1.888,0.205,300,1,359,32.41,2.25,-12.91,2.51,0.587,349,47,360,False,1.888
GOLD:0.10|IPO:0.20|MYB:0.50|TN:0.20,4,0.0,0.2,0.2,0.1,0.5,23.68,-2.9,-10.43,2.259,0.576,358,11,332,30.79,0.6,-10.43,2.941,1.011,360,151,349,False,2.259
GOLD:0.20|IPO:0.20|MYB:0.40|TN:0.20,4,0.0,0.2,0.2,0.2,0.4,22.77,-3.82,-8.68,2.611,0.944,360,107,249,29.11,-1.11,-8.68,3.326,1.447,360,238,316,False,2.611
GOLD:0.30|IPO:0.20|MYB:0.30|TN:0.20,4,0.0,0.2,0.2,0.3,0.3,21.78,-4.79,-7.7,2.809,1.141,360,155,358,27.36,-2.9,-7.26,3.739,1.881,360,303,278,False,2.809
GOLD:0.40|IPO:0.20|MYB:0.20|TN:0.20,4,0.0,0.2,0.2,0.4,0.2,20.75,-5.83,-9.78,2.088,0.458,343,18,360,25.54,-4.76,-6.11,4.181,2.309,360,340,282,False,2.088
GOLD:0.50|IPO:0.20|MYB:0.10|TN:0.20,4,0.0,0.2,0.2,0.5,0.1,19.65,-6.94,-11.93,1.618,-0.026,160,0,360,23.68,-6.63,-5.18,4.602,2.61,360,360,360,False,1.618
GOLD:0.60|IPO:0.20|TN:0.20,3,0.0,0.2,0.2,0.6,0.0,18.47,-8.11,-14.06,1.293,-0.366,10,0,360,21.71,-8.6,-6.3,3.441,1.489,360,237,360,False,1.293
IPO:0.30|MYB:0.50|TN:0.20,3,0.0,0.2,0.3,0.0,0.5,25.23,-1.28,-11.69,2.155,0.439,344,2,349,33.27,3.16,-11.69,2.832,0.881,359,124,354,False,2.155
GOLD:0.10|IPO:0.30|MYB:0.40|TN:0.20,4,0.0,0.2,0.3,0.1,0.4,24.38,-2.19,-9.79,2.478,0.834,360,70,267,31.64,1.41,-9.79,3.214,1.329,360,216,318,False,2.478
GOLD:0.20|IPO:0.30|MYB:0.30|TN:0.20,4,0.0,0.2,0.3,0.2,0.3,23.44,-3.09,-8.22,2.841,1.2,360,181,196,29.91,-0.34,-8.22,3.624,1.75,360,286,266,False,2.841
GOLD:0.30|IPO:0.30|MYB:0.20|TN:0.20,4,0.0,0.2,0.3,0.3,0.2,22.42,-4.09,-7.33,3.003,1.345,360,176,360,28.08,-2.15,-6.89,4.085,2.196,360,328,235,False,3.003
GOLD:0.40|IPO:0.30|MYB:0.10|TN:0.20,4,0.0,0.2,0.3,0.4,0.1,21.37,-5.18,-9.52,2.211,0.579,355,30,360,26.17,-4.02,-5.74,4.555,2.699,360,357,334,False,2.211
GOLD:0.50|IPO:0.30|TN:0.20,3,0.0,0.2,0.3,0.5,0.0,20.24,-6.33,-11.68,1.707,0.066,228,0,360,24.26,-5.93,-5.36,4.526,2.617,360,359,360,False,1.707
IPO:0.40|MYB:0.40|TN:0.20,3,0.0,0.2,0.4,0.0,0.4,25.91,-0.62,-11.23,2.316,0.606,354,25,265,34.04,3.89,-11.23,3.038,1.085,360,166,321,False,2.316
GOLD:0.10|IPO:0.40|MYB:0.30|TN:0.20,4,0.0,0.2,0.4,0.1,0.3,25.01,-1.49,-9.21,2.717,1.032,360,131,175,32.31,2.17,-9.21,3.509,1.591,360,261,266,False,2.717
GOLD:0.20|IPO:0.40|MYB:0.20|TN:0.20,4,0.0,0.2,0.4,0.2,0.2,24.06,-2.44,-7.77,3.099,1.432,360,229,189,30.52,0.41,-7.77,3.935,2.032,360,315,215,False,3.099
GOLD:0.30|IPO:0.40|MYB:0.10|TN:0.20,4,0.0,0.2,0.4,0.3,0.1,23.04,-3.49,-7.07,3.192,1.542,360,251,360,28.69,-1.4,-6.63,4.292,2.438,360,348,205,False,3.192
GOLD:0.40|IPO:0.40|TN:0.20,3,0.0,0.2,0.4,0.4,0.0,21.94,-4.57,-9.26,2.337,0.698,357,31,360,26.76,-3.34,-6.0,4.505,2.47,360,360,360,False,2.337
IPO:0.50|MYB:0.30|TN:0.20,3,0.0,0.2,0.5,0.0,0.3,26.56,0.04,-11.71,2.278,0.598,349,28,71,34.75,4.71,-11.71,2.977,1.076,360,168,142,False,2.278
GOLD:0.10|IPO:0.50|MYB:0.20|TN:0.20,4,0.0,0.2,0.5,0.1,0.2,25.66,-0.87,-9.29,2.78,1.083,360,143,25,32.98,3.01,-9.29,3.582,1.639,360,243,132,False,2.78
GOLD:0.20|IPO:0.50|MYB:0.10|TN:0.20,4,0.0,0.2,0.5,0.2,0.1,24.64,-1.85,-7.74,3.168,1.522,360,254,232,31.17,1.14,-7.74,4.028,2.128,360,328,106,False,3.168
GOLD:0.30|IPO:0.50|TN:0.20,3,0.0,0.2,0.5,0.3,0.0,23.57,-2.9,-7.25,3.272,1.52,360,246,360,29.27,-0.78,-7.0,4.226,2.144,360,346,155,False,3.272
IPO:0.60|MYB:0.20|TN:0.20,3,0.0,0.2,0.6,0.0,0.2,27.16,0.65,-12.54,2.161,0.492,343,28,8,35.37,5.38,-12.54,2.819,0.93,357,149,22,False,2.161
GOLD:0.10|IPO:0.60|MYB:0.10|TN:0.20,4,0.0,0.2,0.6,0.1,0.1,26.2,-0.31,-10.04,2.617,0.941,360,118,3,33.58,3.56,-10.04,3.355,1.454,360,220,33,False,2.617
GOLD:0.20|IPO:0.60|TN:0.20,3,0.0,0.2,0.6,0.2,0.0,25.17,-1.31,-8.45,2.962,1.239,360,165,215,31.7,1.69,-8.45,3.736,1.767,360,303,61,False,2.962
IPO:0.70|MYB:0.10|TN:0.20,3,0.0,0.2,0.7,0.0,0.1,27.69,1.17,-13.48,2.049,0.383,328,12,0,35.95,5.92,-13.48,2.665,0.77,353,123,4,False,2.049
GOLD:0.10|IPO:0.70|TN:0.20,3,0.0,0.2,0.7,0.1,0.0,26.7,0.22,-11.08,2.417,0.75,356,49,0,34.13,4.08,-11.08,3.09,1.199,360,191,9,False,2.417
IPO:0.80|TN:0.20,2,0.0,0.2,0.8,0.0,0.0,28.19,1.69,-14.46,1.945,0.274,302,4,0,36.48,6.44,-14.46,2.524,0.615,347,80,2,False,1.945
MYB:0.70|TN:0.30,2,0.0,0.3,0.0,0.0,0.7,22.53,-4.02,-14.95,1.502,-0.164,55,1,1,29.41,-0.75,-14.95,1.954,0.056,221,98,98,False,1.502
GOLD:0.10|MYB:0.60|TN:0.30,3,0.0,0.3,0.0,0.1,0.6,21.71,-4.81,-12.02,1.801,0.118,254,44,44,27.84,-2.34,-12.02,2.301,0.383,329,192,192,False,1.801
GOLD:0.20|MYB:0.50|TN:0.30,3,0.0,0.3,0.0,0.2,0.5,20.86,-5.73,-9.41,2.195,0.496,354,192,192,26.18,-4.01,-9.41,2.751,0.831,360,321,321,False,2.195
GOLD:0.30|MYB:0.40|TN:0.30,3,0.0,0.3,0.0,0.3,0.4,19.94,-6.68,-8.78,2.194,0.579,355,200,200,24.46,-5.75,-7.78,3.165,1.205,360,357,357,False,2.194
GOLD:0.40|MYB:0.30|TN:0.30,3,0.0,0.3,0.0,0.4,0.3,18.93,-7.72,-10.92,1.678,0.069,229,33,33,22.71,-7.53,-6.74,3.44,1.434,360,360,360,False,1.678
GOLD:0.50|MYB:0.20|TN:0.30,3,0.0,0.3,0.0,0.5,0.2,17.86,-8.8,-13.06,1.33,-0.3,15,0,0,20.9,-9.34,-7.22,2.902,0.914,352,321,321,False,1.33
GOLD:0.60|MYB:0.10|TN:0.30,3,0.0,0.3,0.0,0.6,0.1,16.72,-9.93,-15.16,1.079,-0.576,0,0,0,18.96,-11.21,-8.82,2.195,0.212,260,111,111,False,1.079
GOLD:0.70|TN:0.30,2,0.0,0.3,0.0,0.7,0.0,15.53,-11.12,-17.22,0.884,-0.781,0,0,0,16.99,-13.14,-10.41,1.661,-0.307,44,0,0,False,0.884
IPO:0.10|MYB:0.60|TN:0.30,3,0.0,0.3,0.1,0.0,0.6,23.31,-3.21,-13.56,1.718,0.045,213,29,359,30.37,0.17,-13.56,2.233,0.314,320,173,360,False,1.718
GOLD:0.10|IPO:0.10|MYB:0.50|TN:0.30,4,0.0,0.3,0.1,0.1,0.5,22.48,-4.07,-10.7,2.097,0.391,345,148,352,28.74,-1.47,-10.7,2.683,0.723,359,301,356,False,2.097
GOLD:0.20|IPO:0.10|MYB:0.40|TN:0.30,4,0.0,0.3,0.1,0.2,0.4,21.58,-4.99,-8.6,2.488,0.815,360,315,294,27.03,-3.21,-8.6,3.11,1.217,360,357,330,False,2.488
GOLD:0.30|IPO:0.10|MYB:0.30|TN:0.30,4,0.0,0.3,0.1,0.3,0.3,20.65,-5.97,-8.56,2.356,0.743,360,267,358,25.35,-4.9,-7.2,3.516,1.61,360,360,312,False,2.356
GOLD:0.40|IPO:0.10|MYB:0.20|TN:0.30,4,0.0,0.3,0.1,0.4,0.2,19.62,-7.01,-10.67,1.783,0.169,269,108,360,23.52,-6.72,-6.2,3.859,1.851,360,360,356,False,1.783
GOLD:0.50|IPO:0.10|MYB:0.10|TN:0.30,4,0.0,0.3,0.1,0.5,0.1,18.54,-8.12,-12.81,1.404,-0.221,36,0,360,21.62,-8.59,-6.48,3.342,1.292,360,357,360,False,1.404
GOLD:0.60|IPO:0.10|TN:0.30,3,0.0,0.3,0.1,0.6,0.0,17.38,-9.27,-14.91,1.136,-0.51,0,0,360,19.69,-10.52,-8.07,2.474,0.494,326,214,360,False,1.136
IPO:0.20|MYB:0.50|TN:0.30,3,0.0,0.3,0.2,0.0,0.5,24.07,-2.49,-12.14,1.979,0.27,322,108,350,31.23,1.01,-12.14,2.565,0.612,357,274,352,False,1.979
GOLD:0.10|IPO:0.20|MYB:0.40|TN:0.30,4,0.0,0.3,0.2,0.1,0.4,23.22,-3.37,-9.7,2.381,0.674,360,283,304,29.6,-0.69,-9.7,3.044,1.083,360,352,344,False,2.381
GOLD:0.20|IPO:0.20|MYB:0.30|TN:0.30,4,0.0,0.3,0.2,0.2,0.3,22.31,-4.3,-7.99,2.762,1.108,360,342,279,27.88,-2.39,-7.99,3.433,1.563,360,360,300,False,2.762
GOLD:0.30|IPO:0.20|MYB:0.20|TN:0.30,4,0.0,0.3,0.2,0.3,0.2,21.34,-5.29,-8.28,2.513,0.891,360,292,360,26.09,-4.14,-6.82,3.822,1.938,360,360,322,False,2.513
GOLD:0.40|IPO:0.20|MYB:0.10|TN:0.30,4,0.0,0.3,0.2,0.4,0.1,20.27,-6.36,-10.41,1.891,0.28,305,178,360,24.28,-6.02,-6.17,3.924,1.978,360,360,359,False,1.891
GOLD:0.50|IPO:0.20|TN:0.30,3,0.0,0.3,0.2,0.5,0.0,19.14,-7.46,-12.56,1.481,-0.14,65,12,360,22.35,-7.91,-6.3,3.552,1.627,360,360,360,False,1.481
IPO:0.30|MYB:0.40|TN:0.30,3,0.0,0.3,0.3,0.0,0.4,24.77,-1.8,-10.98,2.25,0.519,358,203,333,32.03,1.82,-10.98,2.9,0.925,360,334,348,False,2.25
GOLD:0.10|IPO:0.30|MYB:0.30|TN:0.30,4,0.0,0.3,0.3,0.1,0.3,23.88,-2.67,-9.05,2.635,0.944,360,329,242,30.36,0.11,-9.05,3.341,1.417,360,359,310,False,2.635
GOLD:0.20|IPO:0.30|MYB:0.20|TN:0.30,4,0.0,0.3,0.3,0.2,0.2,22.96,-3.64,-7.68,2.98,1.344,360,354,307,28.64,-1.58,-7.68,3.708,1.848,360,360,289,False,2.98
GOLD:0.30|IPO:0.30|MYB:0.10|TN:0.30,4,0.0,0.3,0.3,0.3,0.1,21.94,-4.63,-8.04,2.675,1.044,360,322,360,26.79,-3.41,-6.84,3.908,1.963,360,360,347,False,2.675
GOLD:0.40|IPO:0.30|TN:0.30,3,0.0,0.3,0.3,0.4,0.0,20.84,-5.69,-10.15,1.998,0.389,331,180,360,24.91,-5.32,-6.64,3.727,1.785,360,360,360,False,1.998
IPO:0.40|MYB:0.30|TN:0.30,3,0.0,0.3,0.4,0.0,0.3,25.43,-1.13,-10.82,2.369,0.658,356,250,207,32.81,2.57,-10.82,3.048,1.114,360,349,273,False,2.369
GOLD:0.10|IPO:0.40|MYB:0.20|TN:0.30,4,0.0,0.3,0.4,0.1,0.2,24.53,-2.04,-8.75,2.788,1.1,360,334,195,31.0,0.86,-8.75,3.528,1.604,360,359,270,False,2.788
GOLD:0.20|IPO:0.40|MYB:0.10|TN:0.30,4,0.0,0.3,0.4,0.2,0.1,23.54,-3.02,-7.8,3.063,1.356,360,355,325,29.19,-0.92,-7.8,3.811,1.85,360,360,300,False,3.063
GOLD:0.30|IPO:0.40|TN:0.30,3,0.0,0.3,0.4,0.3,0.0,22.51,-4.07,-7.95,2.791,1.129,360,353,360,27.34,-2.82,-7.29,3.749,1.781,360,360,354,False,2.791
IPO:0.50|MYB:0.20|TN:0.30,3,0.0,0.3,0.5,0.0,0.2,26.04,-0.52,-11.3,2.302,0.638,349,225,116,33.33,3.28,-11.3,2.947,1.057,360,322,176,False,2.302
GOLD:0.10|IPO:0.50|MYB:0.10|TN:0.30,4,0.0,0.3,0.5,0.1,0.1,25.12,-1.46,-9.21,2.734,1.013,360,325,187,31.57,1.52,-9.21,3.438,1.485,360,359,229,False,2.734
GOLD:0.20|IPO:0.50|TN:0.30,3,0.0,0.3,0.5,0.2,0.0,24.12,-2.46,-8.32,2.913,1.177,360,354,300,29.75,-0.31,-8.32,3.629,1.622,360,360,309,False,2.913
IPO:0.60|MYB:0.10|TN:0.30,3,0.0,0.3,0.6,0.0,0.1,26.61,0.04,-12.18,2.178,0.525,343,190,62,33.92,3.88,-12.18,2.783,0.904,357,270,147,False,2.178
GOLD:0.10|IPO:0.60|TN:0.30,3,0.0,0.3,0.6,0.1,0.0,25.65,-0.9,-10.16,2.536,0.815,360,293,134,32.12,2.11,-10.16,3.192,1.213,360,359,222,False,2.536
IPO:0.70|TN:0.30,2,0.0,0.3,0.7,0.0,0.0,27.09,0.59,-13.21,2.046,0.393,328,158,25,34.44,4.41,-13.21,2.604,0.733,351,244,134,False,2.046
MYB:0.60|TN:0.40,2,0.0,0.4,0.0,0.0,0.6,22.11,-4.47,-14.19,1.554,-0.127,84,72,72,28.16,-1.95,-14.19,1.988,0.062,226,227,227,False,1.554
GOLD:0.10|MYB:0.50|TN:0.40,3,0.0,0.4,0.0,0.1,0.5,21.3,-5.31,-11.28,1.879,0.177,276,242,242,26.55,-3.55,-11.28,2.341,0.415,335,348,348,False,1.879
GOLD:0.20|MYB:0.40|TN:0.40,3,0.0,0.4,0.0,0.2,0.4,20.42,-6.23,-9.21,2.236,0.489,359,358,358,24.94,-5.23,-8.93,2.835,0.801,360,360,360,False,2.236
GOLD:0.30|MYB:0.30|TN:0.40,3,0.0,0.4,0.0,0.3,0.3,19.46,-7.22,-9.72,1.971,0.333,315,268,268,23.25,-6.99,-7.68,3.042,1.062,360,360,360,False,1.971
GOLD:0.40|MYB:0.20|TN:0.40,3,0.0,0.4,0.0,0.4,0.2,18.42,-8.23,-11.62,1.533,-0.072,109,176,176,21.38,-8.81,-7.55,2.888,0.913,346,360,360,False,1.533
GOLD:0.50|MYB:0.10|TN:0.40,3,0.0,0.4,0.0,0.5,0.1,17.35,-9.32,-13.68,1.223,-0.397,2,3,3,19.56,-10.64,-8.45,2.354,0.361,288,307,307,False,1.223
GOLD:0.60|TN:0.40,2,0.0,0.4,0.0,0.6,0.0,16.19,-10.48,-15.77,0.996,-0.65,0,0,0,17.6,-12.53,-10.0,1.8,-0.174,79,120,120,False,0.996
IPO:0.10|MYB:0.50|TN:0.40,3,0.0,0.4,0.1,0.0,0.5,22.88,-3.7,-12.79,1.777,0.093,237,194,348,29.11,-1.09,-12.79,2.276,0.334,326,335,353,False,1.777
GOLD:0.10|IPO:0.10|MYB:0.40|TN:0.40,4,0.0,0.4,0.1,0.1,0.4,22.04,-4.6,-10.07,2.169,0.479,354,351,330,27.47,-2.76,-10.07,2.722,0.778,360,360,351,False,2.169
GOLD:0.20|IPO:0.10|MYB:0.30|TN:0.40,4,0.0,0.4,0.1,0.2,0.3,21.15,-5.52,-8.24,2.586,0.797,360,360,335,25.77,-4.48,-8.11,3.203,1.212,360,360,341,False,2.586
GOLD:0.30|IPO:0.10|MYB:0.20|TN:0.40,4,0.0,0.4,0.1,0.3,0.2,20.16,-6.49,-9.44,2.115,0.48,344,300,360,23.99,-6.27,-7.26,3.268,1.356,360,360,358,False,2.115
GOLD:0.40|IPO:0.10|MYB:0.10|TN:0.40,4,0.0,0.4,0.1,0.4,0.1,19.12,-7.54,-11.35,1.621,0.02,196,182,360,22.13,-8.08,-7.1,3.097,1.177,355,360,360,False,1.621
GOLD:0.50|IPO:0.10|TN:0.40,3,0.0,0.4,0.1,0.5,0.0,18.0,-8.67,-13.43,1.289,-0.324,10,30,360,20.22,-9.97,-7.75,2.664,0.667,322,360,360,False,1.289
IPO:0.20|MYB:0.40|TN:0.40,3,0.0,0.4,0.2,0.0,0.4,23.62,-2.99,-11.43,2.048,0.325,341,318,339,30.0,-0.29,-11.43,2.597,0.626,358,359,349,False,2.048
GOLD:0.10|IPO:0.20|MYB:0.30|TN:0.40,4,0.0,0.4,0.2,0.1,0.3,22.76,-3.87,-9.14,2.466,0.779,360,358,312,28.32,-2.02,-9.14,3.081,1.137,360,360,335,False,2.466
GOLD:0.20|IPO:0.20|MYB:0.20|TN:0.40,4,0.0,0.4,0.2,0.2,0.2,21.81,-4.83,-8.26,2.699,0.996,360,360,352,26.56,-3.73,-7.84,3.365,1.407,360,360,347,False,2.699
GOLD:0.30|IPO:0.20|MYB:0.10|TN:0.40,4,0.0,0.4,0.2,0.3,0.1,20.82,-5.84,-9.2,2.247,0.617,356,332,360,24.72,-5.54,-7.59,3.264,1.33,360,360,359,False,2.247
GOLD:0.40|IPO:0.20|TN:0.40,3,0.0,0.4,0.2,0.4,0.0,19.74,-6.93,-11.11,1.715,0.116,241,210,360,22.89,-7.38,-7.45,3.058,1.135,360,360,360,False,1.715
IPO:0.30|MYB:0.30|TN:0.40,3,0.0,0.4,0.3,0.0,0.3,24.32,-2.32,-10.54,2.306,0.563,360,346,290,30.76,0.43,-10.54,2.9,0.921,360,360,324,False,2.306
GOLD:0.10|IPO:0.30|MYB:0.20|TN:0.40,4,0.0,0.4,0.3,0.1,0.2,23.42,-3.23,-8.95,2.653,0.94,360,359,308,29.04,-1.35,-8.95,3.297,1.332,360,360,325,False,2.653
GOLD:0.20|IPO:0.30|MYB:0.10|TN:0.40,4,0.0,0.4,0.3,0.2,0.1,22.45,-4.21,-8.42,2.643,0.99,360,360,356,27.29,-3.12,-8.18,3.309,1.365,360,360,354,False,2.643
GOLD:0.30|IPO:0.30|TN:0.40,3,0.0,0.4,0.3,0.3,0.0,21.41,-5.24,-9.01,2.355,0.725,360,360,360,25.43,-4.93,-8.0,3.141,1.194,360,360,360,False,2.355
IPO:0.40|MYB:0.20|TN:0.40,3,0.0,0.4,0.4,0.0,0.2,24.95,-1.72,-10.54,2.356,0.667,358,347,257,31.49,1.03,-10.54,2.97,1.043,360,360,299,False,2.356
GOLD:0.10|IPO:0.40|MYB:0.10|TN:0.40,4,0.0,0.4,0.4,0.1,0.1,24.0,-2.63,-9.32,2.616,0.901,360,359,307,29.73,-0.72,-9.32,3.257,1.274,360,360,332,False,2.616
GOLD:0.20|IPO:0.40|TN:0.40,3,0.0,0.4,0.4,0.2,0.0,23.0,-3.65,-8.69,2.608,0.901,360,360,354,27.89,-2.49,-8.69,3.191,1.224,360,360,359,False,2.608
IPO:0.50|MYB:0.10|TN:0.40,3,0.0,0.4,0.5,0.0,0.1,25.52,-1.18,-11.32,2.246,0.593,350,330,248,32.03,1.63,-11.32,2.834,0.935,359,360,280,False,2.246
GOLD:0.10|IPO:0.50|TN:0.40,3,0.0,0.4,0.5,0.1,0.0,24.56,-2.12,-9.86,2.527,0.765,360,359,307,30.28,-0.09,-9.86,3.13,1.106,360,360,345,False,2.527
IPO:0.60|TN:0.40,2,0.0,0.4,0.6,0.0,0.0,26.07,-0.65,-12.26,2.103,0.441,343,305,236,32.56,2.26,-12.26,2.646,0.732,355,360,293,False,2.103
MYB:0.50|TN:0.50,2,0.0,0.5,0.0,0.0,0.5,21.67,-5.04,-13.47,1.593,-0.089,126,231,231,26.93,-3.26,-13.47,1.992,0.063,215,348,348,False,1.593
GOLD:0.10|MYB:0.40|TN:0.50,3,0.0,0.5,0.0,0.1,0.4,20.82,-5.83,-11.01,1.919,0.177,282,360,360,25.37,-4.96,-11.01,2.364,0.358,331,360,360,False,1.919
GOLD:0.20|MYB:0.30|TN:0.50,3,0.0,0.5,0.0,0.2,0.3,19.9,-6.75,-10.06,2.012,0.297,335,360,360,23.62,-6.64,-9.41,2.543,0.599,346,360,360,False,2.012
GOLD:0.30|MYB:0.20|TN:0.50,3,0.0,0.5,0.0,0.3,0.2,18.93,-7.73,-10.48,1.782,0.116,227,273,273,21.83,-8.35,-8.92,2.552,0.599,322,360,360,False,1.782
GOLD:0.40|MYB:0.10|TN:0.50,3,0.0,0.5,0.0,0.4,0.1,17.91,-8.75,-12.53,1.394,-0.224,55,200,200,20.03,-10.09,-8.75,2.314,0.378,293,360,360,False,1.394
GOLD:0.50|TN:0.50,2,0.0,0.5,0.0,0.5,0.0,16.78,-9.85,-14.54,1.124,-0.502,0,30,30,18.14,-11.87,-9.64,1.934,-0.062,146,300,300,False,1.124
IPO:0.10|MYB:0.40|TN:0.50,3,0.0,0.5,0.1,0.0,0.4,22.41,-4.2,-12.09,1.835,0.144,249,353,333,27.79,-2.37,-12.09,2.286,0.342,324,360,347,False,1.835
GOLD:0.10|IPO:0.10|MYB:0.30|TN:0.50,4,0.0,0.5,0.1,0.1,0.3,21.54,-5.08,-9.77,2.237,0.448,353,360,329,26.15,-4.14,-9.77,2.761,0.694,360,360,342,False,2.237
GOLD:0.20|IPO:0.10|MYB:0.20|TN:0.50,4,0.0,0.5,0.1,0.2,0.2,20.64,-6.02,-9.44,2.243,0.521,356,360,360,24.42,-5.9,-9.27,2.736,0.826,360,360,359,False,2.243
GOLD:0.30|IPO:0.10|MYB:0.10|TN:0.50,4,0.0,0.5,0.1,0.3,0.1,19.63,-7.03,-10.25,1.906,0.238,277,328,360,22.55,-7.61,-8.45,2.666,0.756,344,360,360,False,1.906
GOLD:0.40|IPO:0.10|TN:0.50,3,0.0,0.5,0.1,0.4,0.0,18.55,-8.08,-12.3,1.474,-0.145,93,210,360,20.69,-9.39,-8.29,2.502,0.559,315,360,360,False,1.474
IPO:0.20|MYB:0.30|TN:0.50,3,0.0,0.5,0.2,0.0,0.3,23.14,-3.59,-11.01,2.089,0.386,343,360,323,28.64,-1.82,-11.01,2.586,0.647,360,360,334,False,2.089
GOLD:0.10|IPO:0.20|MYB:0.20|TN:0.50,4,0.0,0.5,0.2,0.1,0.2,22.25,-4.48,-9.77,2.33,0.628,360,360,334,26.92,-3.44,-9.77,2.86,0.883,360,360,342,False,2.33
GOLD:0.20|IPO:0.20|MYB:0.10|TN:0.50,4,0.0,0.5,0.2,0.2,0.1,21.3,-5.44,-9.36,2.259,0.62,360,360,360,25.11,-5.25,-8.98,2.78,0.852,360,360,360,False,2.259
GOLD:0.30|IPO:0.20|TN:0.50,3,0.0,0.5,0.2,0.3,0.0,20.26,-6.49,-10.01,1.983,0.351,316,357,360,23.36,-6.99,-8.82,2.619,0.704,354,360,360,False,1.983
IPO:0.30|MYB:0.20|TN:0.50,3,0.0,0.5,0.3,0.0,0.2,23.79,-2.96,-10.65,2.264,0.51,359,360,330,29.39,-1.02,-10.65,2.812,0.789,360,360,336,False,2.264
GOLD:0.10|IPO:0.30|MYB:0.10|TN:0.50,4,0.0,0.5,0.3,0.1,0.1,22.9,-3.91,-9.66,2.33,0.629,360,360,340,27.66,-2.7,-9.66,2.84,0.89,360,360,353,False,2.33
GOLD:0.20|IPO:0.30|TN:0.50,3,0.0,0.5,0.3,0.2,0.0,21.89,-4.94,-9.74,2.218,0.573,360,360,360,25.91,-4.52,-9.37,2.721,0.78,360,360,360,False,2.218
IPO:0.40|MYB:0.10|TN:0.50,3,0.0,0.5,0.4,0.0,0.1,24.39,-2.46,-10.98,2.272,0.487,358,360,334,30.09,-0.41,-10.98,2.815,0.75,359,360,351,False,2.272
GOLD:0.10|IPO:0.40|TN:0.50,3,0.0,0.5,0.4,0.1,0.0,23.45,-3.41,-10.13,2.276,0.568,360,360,347,28.3,-2.18,-10.13,2.781,0.807,360,360,359,False,2.276
IPO:0.50|TN:0.50,2,0.0,0.5,0.5,0.0,0.0,24.93,-1.96,-11.61,2.181,0.403,353,360,339,30.66,0.13,-11.61,2.682,0.634,358,360,360,False,2.181
MYB:0.40|TN:0.60,2,0.0,0.6,0.0,0.0,0.4,21.14,-5.57,-13.04,1.613,-0.081,131,358,358,25.61,-4.68,-13.04,1.997,0.022,198,360,360,False,1.613
GOLD:0.10|MYB:0.30|TN:0.60,3,0.0,0.6,0.0,0.1,0.3,20.28,-6.41,-11.54,1.763,0.066,199,360,360,23.92,-6.33,-11.54,2.171,0.183,233,360,360,False,1.763
GOLD:0.20|MYB:0.20|TN:0.60,3,0.0,0.6,0.0,0.2,0.2,19.37,-7.37,-11.27,1.735,0.067,220,360,360,22.26,-8.0,-10.54,2.212,0.216,261,360,360,False,1.735
GOLD:0.30|MYB:0.10|TN:0.60,3,0.0,0.6,0.0,0.3,0.1,18.4,-8.35,-11.27,1.6,-0.105,137,300,300,20.44,-9.72,-10.02,2.141,0.175,275,360,360,False,1.6
