panel,subset,n,scheme,weights,cagr,cagr_lo,cagr_hi,dd,dd_worst,calmar,calmar_worst,d_cagr,d_dd,d_calmar,calmar_wins,cn_calmar,d_calmar_vs_cash,cash_wins
C,VCP+IPO,2,IPO@80,IPO:0.80|VCP:0.20,40.97,38.42,45.21,-16.27,-18.16,2.536,2.21,10.96,-0.6,0.619,348/360,,,n/a
C,VCP+IPO,2,IPO@90,IPO:0.90|VCP:0.10,40.58,37.56,45.05,-16.79,-18.53,2.428,2.16,10.58,-1.09,0.513,341/360,,,n/a
C,VCP+GOLD,2,GOLD@10,GOLD:0.10|VCP:0.90,39.26,33.31,43.71,-18.86,-22.99,2.082,1.674,8.71,-3.14,0.113,231/360,,,n/a
C,VCP+GOLD,2,GOLD@20,GOLD:0.20|VCP:0.80,36.77,31.5,40.64,-16.1,-19.85,2.257,1.838,6.18,-0.46,0.318,289/360,,,n/a
C,VCP+GOLD,2,GOLD@25,GOLD:0.25|VCP:0.75,35.51,30.57,39.09,-14.78,-18.25,2.358,1.931,4.86,0.87,0.45,312/360,,,n/a
C,VCP+GOLD,2,GOLD@33,GOLD:0.33|VCP:0.67,33.44,29.04,36.58,-13.14,-15.78,2.538,2.068,2.78,2.51,0.611,341/360,,,n/a
C,VCP+GOLD,2,GOLD@67,GOLD:0.67|VCP:0.33,24.24,22.11,25.65,-9.76,-11.84,2.46,2.013,-6.45,5.79,0.495,336/360,,,n/a
C,VCP+GOLD,2,GOLD@75,GOLD:0.75|VCP:0.25,21.98,20.38,23.03,-9.36,-11.75,2.35,1.844,-8.71,6.13,0.344,310/360,,,n/a
C,VCP+GOLD,2,GOLD@80,GOLD:0.80|VCP:0.20,20.56,19.28,21.39,-9.45,-11.7,2.157,1.736,-10.12,6.05,0.181,270/360,,,n/a
C,VCP+GOLD,2,GOLD@90,GOLD:0.90|VCP:0.10,17.68,17.05,18.09,-12.39,-14.17,1.427,1.241,-12.9,3.32,-0.498,17/360,,,n/a
C,MYB+IPO,2,IPO@10,IPO:0.10|MYB:0.90,33.75,31.36,36.41,-15.97,-19.29,2.077,1.801,3.69,-0.12,0.226,265/360,,,n/a
C,MYB+IPO,2,IPO@20,IPO:0.20|MYB:0.80,34.62,32.36,37.29,-14.52,-18.03,2.38,1.973,4.75,1.15,0.487,328/360,,,n/a
C,MYB+IPO,2,IPO@25,IPO:0.25|MYB:0.75,35.14,32.85,37.74,-13.94,-17.4,2.538,2.067,5.18,1.77,0.62,344/360,,,n/a
C,MYB+IPO,2,IPO@33,IPO:0.33|MYB:0.67,36.02,33.59,38.43,-13.15,-16.38,2.728,2.232,5.91,2.48,0.808,357/360,,,n/a
C,MYB+IPO,2,IPO@67,IPO:0.67|MYB:0.33,38.67,36.17,41.75,-14.21,-15.2,2.729,2.46,8.38,1.59,0.832,355/360,,,n/a
