cand,offset,w3,cagr_med,cagr_min,dd_med,dd_worst,calmar_med
TSHORT,4,0.33,18.55,18.24,-13.36,-14.06,1.39
TSHORT,8,0.0,25.23,24.76,-15.99,-16.54,1.6
TSHORT,8,0.1,22.76,22.34,-15.1,-15.42,1.54
TSHORT,8,0.15,21.52,21.12,-14.58,-14.97,1.5
TSHORT,8,0.2,20.27,19.9,-14.05,-14.53,1.46
TSHORT,8,0.25,19.02,18.68,-13.48,-14.09,1.41
TSHORT,8,0.33,17.02,16.72,-12.75,-13.39,1.33
SECROT,0,0.0,29.98,29.55,-14.88,-16.69,2.04
SECROT,0,0.1,28.19,27.79,-14.16,-15.38,2.0
SECROT,0,0.15,27.27,26.9,-14.43,-15.81,1.9
SECROT,0,0.2,26.36,26.0,-16.17,-18.05,1.65
SECROT,0,0.25,25.43,25.09,-18.55,-20.27,1.4
SECROT,0,0.33,23.92,23.63,-22.29,-23.75,1.08
SECROT,4,0.0,31.11,30.73,-17.49,-18.87,1.78
SECROT,4,0.1,29.21,28.86,-16.34,-17.37,1.79
SECROT,4,0.15,28.24,27.91,-16.18,-16.62,1.77
SECROT,4,0.2,27.27,26.95,-16.66,-18.55,1.67
SECROT,4,0.25,26.29,25.99,-19.0,-20.72,1.41
SECROT,4,0.33,24.7,24.42,-22.66,-24.14,1.1
SECROT,8,0.0,27.36,26.94,-15.99,-16.54,1.73
SECROT,8,0.1,25.85,25.47,-15.75,-16.35,1.66
SECROT,8,0.15,25.09,24.72,-15.8,-16.36,1.61
SECROT,8,0.2,24.3,23.96,-16.18,-17.65,1.52
SECROT,8,0.25,23.52,23.19,-18.18,-19.92,1.31
SECROT,8,0.33,22.23,21.94,-21.99,-23.48,1.02
CASHNULL,0,0.0,29.63,29.16,-14.88,-16.69,2.02
CASHNULL,0,0.1,27.08,26.67,-12.79,-14.42,2.13
CASHNULL,0,0.15,25.81,25.43,-11.8,-13.26,2.2
CASHNULL,0,0.2,24.55,24.2,-10.8,-12.1,2.29
CASHNULL,0,0.25,23.29,22.96,-9.8,-10.93,2.38
CASHNULL,0,0.33,21.28,21.0,-8.15,-9.16,2.62
CASHNULL,4,0.0,30.87,30.44,-17.49,-18.87,1.77
CASHNULL,4,0.1,28.2,27.82,-15.17,-16.42,1.86
CASHNULL,4,0.15,26.86,26.51,-14.0,-15.17,1.92
CASHNULL,4,0.2,25.54,25.2,-12.82,-13.91,1.99
CASHNULL,4,0.25,24.21,23.9,-11.66,-12.64,2.07
CASHNULL,4,0.33,22.1,21.83,-9.84,-10.59,2.25
CASHNULL,8,0.0,27.15,26.7,-15.99,-16.54,1.72
CASHNULL,8,0.1,24.89,24.5,-14.08,-14.43,1.79
CASHNULL,8,0.15,23.77,23.4,-13.02,-13.42,1.84
CASHNULL,8,0.2,22.64,22.3,-11.96,-12.44,1.9
CASHNULL,8,0.25,21.52,21.2,-10.91,-11.45,1.98
CASHNULL,8,0.33,19.73,19.45,-9.34,-9.84,2.14
