variant,symbol,direction,entry_date,exit_date,entry_price,exit_price,qty,days_held,exit_reason,gross_pnl,net_pnl
adx_30,FEDERALBNK,LONG,2019-05-27,2019-07-18,105.95,99.32,866,52,INITIAL_STOP,-5737.61,-5915.37
adx_30,BAJFINANCE,LONG,2019-05-23,2019-07-19,349.50,330.67,262,57,INITIAL_STOP,-4932.64,-5110.84
adx_30,BANKBARODA,LONG,2019-05-21,2019-07-22,111.75,107.06,821,62,MAX_HOLD,-3850.49,-4030.13
adx_30,SBIN,LONG,2019-05-24,2019-07-23,344.95,342.20,266,60,MAX_HOLD,-731.50,-914.28
adx_30,SIEMENS,LONG,2019-05-24,2019-07-23,901.65,917.75,101,60,MAX_HOLD,1626.10,1442.34
adx_30,TATACONSUM,LONG,2019-05-24,2019-07-23,227.85,247.35,402,60,MAX_HOLD,7839.00,7647.97
adx_30,SHREECEM,LONG,2019-05-27,2019-07-26,20899.95,21431.30,4,60,MAX_HOLD,2125.40,1956.07
adx_30,COLPAL,LONG,2019-08-13,2019-08-22,1234.95,1181.89,75,9,INITIAL_STOP,-3979.43,-4160.69
adx_30,HINDUNILVR,LONG,2019-08-27,2019-08-28,1884.00,1812.91,49,1,INITIAL_STOP,-3483.43,-3664.58
adx_30,HDFCLIFE,LONG,2019-07-09,2019-09-09,465.40,530.90,197,62,MAX_HOLD,12903.50,12707.23
adx_30,GODREJPROP,LONG,2019-07-09,2019-09-09,873.00,895.00,105,62,MAX_HOLD,2310.00,2124.36
adx_30,APOLLOHOSP,LONG,2019-09-11,2019-09-17,1500.00,1415.96,62,6,INITIAL_STOP,-5210.73,-5391.52
adx_30,PIDILITIND,LONG,2019-08-22,2019-09-18,684.60,652.45,136,27,INITIAL_STOP,-4373.07,-4554.91
adx_30,COFORGE,LONG,2019-08-28,2019-09-18,288.00,271.02,323,21,INITIAL_STOP,-5484.60,-5665.16
adx_30,TCS,LONG,2019-07-31,2019-09-20,2171.75,2082.09,43,51,INITIAL_STOP,-3855.22,-4038.14
adx_30,INFY,LONG,2019-07-24,2019-09-23,788.00,757.52,118,61,INITIAL_STOP,-3596.71,-3779.08
adx_30,BPCL,LONG,2019-09-16,2019-09-26,177.80,222.25,529,10,TARGET,23514.05,23302.42
adx_30,ASIANPAINT,LONG,2019-08-01,2019-09-30,1515.00,1762.15,61,60,MAX_HOLD,15076.15,14876.24
adx_30,PERSISTENT,LONG,2019-09-23,2019-10-01,299.50,280.68,308,8,INITIAL_STOP,-5797.81,-5976.50
adx_30,HAL,LONG,2019-09-24,2019-10-01,370.65,348.37,247,7,INITIAL_STOP,-5504.01,-5681.61
adx_30,GODREJPROP,LONG,2019-09-27,2019-10-01,1094.00,1007.53,86,4,INITIAL_STOP,-7436.75,-7617.48
adx_30,HEROMOTOCO,LONG,2019-08-08,2019-10-07,2341.75,2511.00,39,60,MAX_HOLD,6600.75,6411.49
adx_30,TITAN,LONG,2019-09-26,2019-10-09,1273.00,1184.54,72,13,INITIAL_STOP,-6369.06,-6546.00
adx_30,KOTAKBANK,LONG,2019-10-03,2019-10-09,1644.25,1548.40,57,6,INITIAL_STOP,-5463.73,-5645.71
adx_30,BAJAJFINSV,LONG,2019-10-01,2019-10-14,857.10,806.35,111,13,INITIAL_STOP,-5632.82,-5817.46
adx_30,NESTLEIND,LONG,2019-08-23,2019-10-22,625.00,751.00,148,60,MAX_HOLD,18648.00,18444.35
adx_30,BHARTIARTL,LONG,2019-10-18,2019-10-23,377.85,350.12,245,5,INITIAL_STOP,-6792.67,-6971.03
adx_30,HINDUNILVR,LONG,2019-08-29,2019-10-29,1817.00,2160.20,51,61,MAX_HOLD,17503.20,17300.36
adx_30,IOC,LONG,2019-09-27,2019-11-05,81.00,74.52,1163,39,INITIAL_STOP,-7536.24,-7717.11
adx_30,SIEMENS,LONG,2019-09-25,2019-11-25,1084.85,1159.15,84,61,MAX_HOLD,6241.20,6052.70
adx_30,BEL,LONG,2019-11-06,2019-11-26,37.50,34.92,2525,20,INITIAL_STOP,-6514.11,-6696.97
adx_30,HDFCBANK,LONG,2019-10-03,2019-12-02,620.00,632.90,151,60,MAX_HOLD,1947.90,1758.71
adx_30,VOLTAS,LONG,2019-10-03,2019-12-02,669.95,695.10,139,60,MAX_HOLD,3495.85,3306.11
adx_30,TATASTEEL,LONG,2019-11-27,2019-12-04,38.06,35.08,2487,7,INITIAL_STOP,-7408.36,-7590.26
adx_30,JSWSTEEL,LONG,2019-12-03,2019-12-04,267.25,250.22,356,1,INITIAL_STOP,-6063.67,-6247.89
adx_30,BAJFINANCE,LONG,2019-10-09,2019-12-09,391.50,394.50,241,61,MAX_HOLD,723.00,533.57
adx_30,KOTAKBANK,LONG,2019-10-10,2019-12-09,1599.90,1659.25,58,60,MAX_HOLD,3442.30,3253.27
adx_30,BHARTIARTL,LONG,2019-12-05,2019-12-13,454.75,418.37,206,8,INITIAL_STOP,-7494.28,-7674.14
adx_30,EICHERMOT,LONG,2019-10-18,2019-12-17,2060.00,2170.50,44,60,MAX_HOLD,4862.00,4675.86
adx_30,PERSISTENT,LONG,2019-10-23,2019-12-23,310.00,335.40,304,61,MAX_HOLD,7721.60,7525.40
adx_30,BAJAJ-AUTO,LONG,2019-10-24,2019-12-23,3087.00,3140.00,30,60,MAX_HOLD,1590.00,1403.19
adx_30,ADANIENT,LONG,2019-10-30,2019-12-30,194.35,208.65,491,61,MAX_HOLD,7021.30,6823.43
adx_30,KOTAKBANK,LONG,2019-12-18,2020-01-03,1719.00,1662.45,54,16,INITIAL_STOP,-3053.77,-3236.37
adx_30,BAJAJFINSV,LONG,2019-12-31,2020-01-06,942.25,916.76,101,6,INITIAL_STOP,-2574.37,-2762.13
adx_30,HEROMOTOCO,LONG,2019-12-26,2020-01-08,2275.55,2169.98,41,13,INITIAL_STOP,-4328.30,-4510.57
adx_30,TATACONSUM,LONG,2019-11-26,2020-01-14,300.05,375.06,317,49,TARGET,23778.96,23564.95
adx_30,HDFCLIFE,LONG,2020-01-03,2020-01-17,631.00,602.60,151,14,INITIAL_STOP,-4287.88,-4474.15
adx_30,TATAMOTORS,LONG,2020-01-06,2020-01-28,191.00,177.98,497,22,INITIAL_STOP,-6470.62,-6654.00
adx_30,TATASTEEL,LONG,2019-12-27,2020-01-30,42.31,39.65,2239,34,INITIAL_STOP,-5964.16,-6147.66
adx_30,SUNPHARMA,LONG,2019-12-03,2020-02-01,441.40,422.80,215,60,MAX_HOLD,-3999.00,-4184.80
adx_30,JSWSTEEL,LONG,2019-12-05,2020-02-03,260.75,251.50,359,60,MAX_HOLD,-3320.75,-3504.65
adx_30,GODREJPROP,LONG,2020-02-01,2020-02-03,1083.70,1018.39,87,2,INITIAL_STOP,-5681.78,-5864.66
adx_30,MUTHOOTFIN,LONG,2020-01-01,2020-02-25,761.00,951.25,125,55,TARGET,23781.25,23567.22
adx_30,HCLTECH,LONG,2020-01-15,2020-02-25,597.00,576.32,162,41,INITIAL_STOP,-3349.52,-3539.60
adx_30,DRREDDY,LONG,2020-01-29,2020-02-25,637.85,612.49,149,27,INITIAL_STOP,-3778.18,-3964.48
adx_30,TATACONSUM,LONG,2020-01-20,2020-02-28,375.65,354.35,256,39,INITIAL_STOP,-5452.75,-5639.63
adx_30,GODREJPROP,LONG,2020-02-05,2020-02-28,1102.00,1013.84,84,23,INITIAL_STOP,-7405.44,-7583.17
adx_30,MUTHOOTFIN,LONG,2020-02-26,2020-02-28,940.00,875.80,101,2,INITIAL_STOP,-6483.88,-6667.28
adx_30,ADANIENT,LONG,2020-02-26,2020-02-28,244.00,227.89,390,2,INITIAL_STOP,-6283.08,-6467.12
adx_30,MCX,LONG,2020-01-06,2020-03-06,1233.00,1301.85,77,60,MAX_HOLD,5301.45,5106.27
adx_30,NESTLEIND,LONG,2020-01-07,2020-03-09,721.20,801.60,131,62,MAX_HOLD,10532.40,10332.91
adx_30,COFORGE,LONG,2020-01-09,2020-03-09,348.00,329.47,271,60,INITIAL_STOP,-5021.26,-5204.86
adx_30,HINDUNILVR,LONG,2020-02-05,2020-03-11,2167.40,2087.65,43,35,INITIAL_STOP,-3429.37,-3612.34
adx_30,CIPLA,LONG,2020-03-05,2020-03-11,447.85,417.02,206,6,INITIAL_STOP,-6351.00,-6529.16
adx_30,DIVISLAB,LONG,2020-02-03,2020-03-12,1994.90,1918.55,47,38,INITIAL_STOP,-3588.50,-3772.43
adx_30,MUTHOOTFIN,LONG,2020-03-02,2020-03-12,882.10,814.37,105,10,INITIAL_STOP,-7111.63,-7289.76
adx_30,HINDUNILVR,LONG,2020-03-26,2020-04-08,2089.00,2611.25,43,13,TARGET,22456.75,22254.64
adx_30,HINDUNILVR,LONG,2020-04-17,2020-04-21,2498.80,2298.90,37,4,INITIAL_STOP,-7396.45,-7573.96
adx_30,HINDUNILVR,LONG,2020-04-22,2020-05-04,2317.95,2132.51,40,12,INITIAL_STOP,-7417.44,-7595.46
