date,side,dte,bkt,entry,target,exit_reason,captured,mfe,mae,dist_pct,width_pct
2025-08-12,bull,2,2,24573.3,24674.783854166664,target,101.48385416666497,111.60000000000218,-5.849999999998545,0.10550817028555047,0.3009941428659538
2025-08-21,bull,0,0DTE,25074.7,25116.266927083336,st_flip,-8.75,9.299999999999272,-15.25,0.1496820973536938,0.10964803250869365
2025-08-29,bear,6,3+,24508.7,24420.783203125,st_flip,-47.75,44.54999999999927,-55.29999999999927,0.09771891489248057,0.24856807926692198
2025-09-01,bull,3,3+,24522.55,24531.299479166664,target,8.749479166664969,10.100000000002183,-19.950000000000728,0.1429468754988192,0.16842076227079184
2025-09-02,bull,2,2,24662.05,24696.200520833336,target,34.150520833336486,40.75,-30.700000000000728,0.2764356243831002,0.2458155658878666
2025-09-09,bull,2,2,24851.85,24855.25,target,3.400000000001455,27.200000000000728,-1.0999999999985448,0.14347838600633336,0.12166135110460465
2025-09-17,bull,1,1,25296.45,25310.18359375,target,13.733593749999272,27.899999999997817,-2.9500000000007276,0.3257637189633862,0.19299748828956428
2025-09-26,bear,6,3+,24815.15,24815.200520833336,target,-0.05052083333430346,30.0,-4.25,0.4287105394285152,0.2542463617603133
2025-09-29,bear,3,3+,24672.75,24566.565755208336,st_flip,-39.349999999998545,0.0,-40.599999999998545,0.05031006881048437,0.2542949891589448
2025-09-30,bull,2,2,24712.55,24748.734375,st_flip,-88.54999999999927,19.25,-93.59999999999854,0.060343553263316405,0.1723898122667509
2025-10-01,bear,1,1,24621.8,24555.265625,st_flip,-48.0,15.849999999998545,-51.25,0.027685840689992712,0.13173383108825756
2025-10-06,bull,3,3+,24927.5,24950.18359375,target,22.68359375,31.75,-45.849999999998545,0.2227090277345751,0.18213923075225102
2025-10-07,bull,2,2,25083.7,25155.182942708336,target,71.48294270833503,83.14999999999782,-7.400000000001455,0.1469644427380406,0.23612922292472388
2025-10-09,bear,0,0DTE,25059.6,24972.266927083336,st_flip,-45.55000000000291,0.0,-48.10000000000218,0.021204688000602333,0.1445028292581019
2025-10-10,bull,6,3+,25221.1,25245.93359375,target,24.833593750001455,32.85000000000218,-12.349999999998545,0.2492923082806727,0.18549047586882367
2025-10-15,bull,1,1,25242.0,25283.716145833336,target,41.71614583333576,49.150000000001455,-32.900000000001455,0.21642408426472423,0.10576410302484215
2025-10-16,bull,0,0DTE,25412.5,25406.017578125,target,-6.482421875,15.049999999999272,-10.849999999998545,0.4293492492587151,0.16092675104056325
2025-10-24,bear,6,3+,25851.15,25801.166666666664,target,49.983333333337214,55.35000000000218,-63.54999999999927,0.27469208395828426,0.23629194444338275
2025-10-28,bull,2,2,25968.05,26039.0,target,70.95000000000073,71.29999999999927,-15.450000000000728,0.07160618804199138,0.12741266367128695
2025-10-31,bear,6,3+,25863.65,25804.716145833336,st_flip,-83.64999999999782,23.150000000001455,-85.19999999999709,0.13635481429000076,0.15672041295812775
