date,baseline,vwap,htf,rsi50,cpr,bb,confluence,fast_pair
2024-11-25,-6042.50,-6042.50,-3432.09,-6042.50,349.81,-6042.50,-3432.09,-1818.21
2024-11-27,-2186.55,-1874.59,2221.86,-2186.55,-2907.53,-2186.55,2221.86,-5504.24
2024-11-28,982.06,982.06,-897.93,982.06,-264.61,982.06,-897.93,-7818.14
2024-11-29,1803.41,1803.41,-3655.19,1803.41,1819.91,1803.41,-3655.19,-5799.11
2024-12-02,-4724.22,-4724.22,-4049.39,-4724.22,-3367.13,-4724.22,-3061.76,-10222.72
2024-12-03,-5086.09,-5086.09,-4042.50,-5086.09,-5086.09,-5086.09,-4042.50,-6216.41
2024-12-05,1211.32,1211.32,-1195.70,1211.32,-1731.89,1211.32,-1195.70,-3157.75
2024-12-06,-4662.08,-4662.08,-1956.17,-4662.08,-1606.82,-4662.08,-3343.62,-13510.13
2024-12-09,-1414.96,-1414.96,382.24,-1414.96,-3236.04,-1414.96,382.24,-8129.09
2024-12-10,-5277.78,-5277.78,440.35,-5277.78,-4503.01,-5277.78,440.35,-6030.96
2024-12-11,-6375.98,-6375.98,-3238.92,-5314.98,-4429.51,-6375.98,-3238.92,-2116.20
2024-12-13,1666.10,1666.10,2749.87,1666.10,-512.51,1666.10,2749.87,4993.49
2024-12-16,494.70,494.70,-1303.07,494.70,334.92,494.70,-1303.07,-4109.56
2024-12-17,-3549.03,-3549.03,-1404.43,-3549.03,1277.15,-3549.03,-802.62,-116.43
2024-12-18,-4205.63,-4205.63,-3461.77,-4205.63,-4232.32,-4205.63,-3461.77,-6343.82
2024-12-19,-9819.82,-9819.82,-6698.35,-9819.82,-9019.05,-9819.82,1163.38,-7238.71
2024-12-23,2570.50,2246.37,887.79,2570.50,3523.07,2570.50,887.79,-16665.89
2024-12-24,-8973.47,-8973.47,3569.47,-8973.47,-9886.93,-8973.47,4274.48,-9975.80
2024-12-26,430.29,430.29,-636.11,430.29,1250.39,430.29,-636.11,-12488.32
2024-12-27,-5012.75,-5012.75,463.32,-5012.75,-3999.03,-5012.75,463.32,1735.43
2024-12-30,-4023.46,-4023.46,-4834.50,-4023.46,-2727.98,-4023.46,-3593.26,-5346.09
2024-12-31,-2668.92,-4551.79,2394.14,-2668.92,-1987.00,-2668.92,511.27,-1881.51
2025-01-01,-5780.88,-5780.88,-3314.18,-5780.88,-8029.34,-5780.88,-3314.18,-6284.30
2025-01-02,1421.04,1421.04,-1463.39,1421.04,765.73,1421.04,-1463.39,664.71
2025-01-03,-4012.64,-4012.64,-1473.24,-4012.64,-3752.81,-4012.64,-251.18,708.04
2025-01-06,1419.92,1419.92,0.00,1419.92,1419.92,1419.92,0.00,-9288.71
2025-01-07,-1469.62,-4226.23,-5852.12,-1469.62,335.52,-1469.62,-5852.12,-2932.01
2025-01-08,1607.62,490.42,193.84,1607.62,-1150.89,1607.62,-923.36,-1689.07
2025-01-09,-9897.73,-9897.73,-4993.54,-9897.73,-4547.37,-9897.73,-4993.54,-6290.94
2025-01-10,-348.83,-348.83,1145.12,-348.83,301.05,-348.83,1145.12,-12419.34
2025-01-14,-4962.66,-4962.66,-2609.11,-4962.66,-1615.47,-4962.66,-2609.11,-13026.48
2025-01-15,-1321.17,-1321.17,-765.76,-1321.17,958.96,-1321.17,-765.76,-6427.38
2025-01-16,-1229.92,-1229.92,2098.30,-1229.92,-1229.92,-1229.92,2098.30,2602.25
2025-01-17,-3952.64,-3952.64,-1932.38,-3952.64,-5201.86,-3952.64,-1932.38,-13049.56
2025-01-20,-992.34,-992.34,-999.97,-992.34,1600.69,-992.34,-999.97,3299.11
2025-01-22,95.68,95.68,0.00,95.68,95.68,95.68,0.00,-1310.26
2025-01-23,-5173.99,-5173.99,345.99,-5173.99,-3484.82,-5173.99,345.99,2843.19
2025-01-24,-11733.72,-11733.72,-2572.62,-11733.72,-11733.72,-11733.72,-2572.62,-13658.02
2025-01-27,-4082.51,-4082.51,-1915.20,-4082.51,-383.06,-4082.51,-1915.20,-18584.54
2025-01-28,-13778.72,-13778.72,-2540.70,-13778.72,-12353.83,-13778.72,-2540.70,-7749.57
2025-01-30,-1027.92,-1027.92,3680.96,-1027.92,-1723.38,-1027.92,3680.96,4671.64
2025-01-31,-4333.27,-4333.27,-4259.16,-4333.27,-2554.04,-4333.27,-4259.16,-10004.20
2025-02-01,7516.74,7763.44,3098.36,7516.74,996.40,7516.74,3098.36,-2684.33
2025-02-03,5068.41,5068.41,-290.41,5068.41,6152.17,5068.41,-290.41,-4887.21
2025-02-04,1374.38,5765.27,-4236.46,1374.38,4215.02,1374.38,-2317.26,-3556.83
2025-02-05,-7736.84,-7736.84,-5118.59,-7736.84,-6838.72,-7736.84,-5118.59,-1515.60
2025-02-07,-3185.29,-3185.29,-2728.11,-3185.29,-5591.17,-3185.29,-2728.11,-3253.20
2025-02-10,-259.24,-259.24,3806.47,-259.24,1936.91,-259.24,3806.47,-3416.69
2025-02-11,6241.69,6241.69,4069.36,9490.48,7384.63,6241.69,4069.36,2459.90
2025-02-12,-11342.67,-11342.67,-5282.53,-11342.67,-2924.10,-11342.67,-4243.12,9934.12
2025-02-13,3942.32,3942.32,18.50,3942.32,-1410.60,3942.32,18.50,294.32
2025-02-17,2959.78,2959.78,2198.86,2959.78,1946.23,2959.78,2198.86,8403.33
2025-02-18,-5596.27,-5596.27,-4563.61,-5596.27,-601.14,-5596.27,-4563.61,-15455.65
2025-02-19,1140.06,1140.06,-1980.35,1140.06,1074.46,1140.06,-1980.35,4822.80
2025-02-20,-1342.49,-1342.49,-1359.31,-1342.49,-1342.49,-1342.49,-1359.31,-7423.74
2025-02-21,-4135.52,-4135.52,-4938.36,-4135.52,-3723.12,-4135.52,-4938.36,-227.38
2025-02-24,-5607.27,-5612.43,-4700.01,-5607.27,-5586.38,-5607.27,-4700.01,-7588.22
2025-02-25,-9355.23,-9285.13,460.64,-9355.23,-9088.42,-9355.23,2933.26,-1515.77
2025-02-27,-3172.84,-3172.84,-4240.32,-3172.84,-3172.84,-3172.84,-4240.32,-12810.84
2025-02-28,-6954.64,-6954.64,-2389.31,-6954.64,-2389.31,-6954.64,-2389.31,-5748.51
2025-03-03,-5426.91,-5521.05,-2842.68,-5426.91,-3599.69,-5426.91,-2842.68,-5575.00
2025-03-04,-12408.64,-12408.64,-7596.27,-12408.64,-8190.36,-12408.64,-7596.27,-13850.52
2025-03-05,1880.54,1880.54,-1900.64,1880.54,1880.54,1880.54,-1900.64,-5995.81
2025-03-06,20.03,20.03,1113.76,20.03,2260.91,20.03,0.00,-8565.14
2025-03-07,-7377.82,-7377.82,-948.05,-7377.82,-3985.43,-7377.82,-948.05,-2229.50
2025-03-11,-1406.26,-1406.26,1934.89,-1406.26,-1567.51,-1406.26,1934.89,-5654.00
2025-03-12,-6742.91,-6742.91,-1176.94,-6742.91,-4012.88,-6742.91,-1176.94,12703.19
2025-03-13,-15335.26,-15335.26,-7455.80,-15335.26,-12612.78,-15335.26,-7455.80,-5154.12
2025-03-17,-8046.52,-8125.79,-5010.60,-8046.52,-7281.24,-8046.52,-5010.60,-5847.33
2025-03-19,-561.51,-561.51,-2241.92,-561.51,-561.51,-561.51,-545.89,371.71
2025-03-20,-3084.22,-3716.20,-3426.85,-3084.22,-3084.22,-3084.22,-3426.85,-4157.51
2025-03-21,289.56,289.56,1280.77,289.56,5138.55,289.56,1280.77,-37.61
2025-03-24,3421.24,2719.03,4145.66,3421.24,3475.07,3421.24,4372.16,-281.31
2025-03-25,-5391.05,-5391.05,-3372.33,-5391.05,-2610.66,-5391.05,-4055.96,-436.44
2025-03-27,-2945.03,-6165.33,-6352.63,-2945.03,-3404.48,-2945.03,-6352.63,-9102.98
2025-03-28,-5404.74,-5404.74,-2585.11,-5404.74,-2126.35,-5404.74,-2585.11,-4740.45
2025-04-01,-8071.10,-8071.10,872.62,-8071.10,-8071.10,-8071.10,1906.99,-1470.47
2025-04-02,-5301.09,-5301.09,-6253.49,-5301.09,-5798.70,-5301.09,-6253.49,-7665.21
2025-04-04,4104.60,4104.60,-2257.07,4104.60,740.00,4104.60,-2257.07,-4495.98
2025-04-07,-2897.40,-2944.36,-2944.36,-2897.40,-2897.40,-2897.40,-2944.36,-906.96
2025-04-08,2429.24,2429.24,0.00,2429.24,2429.24,2429.24,0.00,-17027.80
2025-04-09,-4102.28,-4102.28,-4777.80,-4102.28,-4086.70,-4102.28,-4777.80,-10012.47
2025-04-15,-349.51,-349.51,-349.51,-349.51,-349.51,-349.51,-349.51,-1589.42
2025-04-16,-6792.51,-6792.51,29.54,-6792.51,-6990.44,-6792.51,29.54,-15574.39
