symbol,side,entry_dt,entry_price,exit_dt,exit_price,exit_reason,candles_held,return_pct
INFY,long,2024-12-13 12:45:00,1993.95,2024-12-16 13:45:00,1980.25,X9_chand,14,-0.6871
ICICIBANK,long,2024-12-13 12:45:00,1340.4,2024-12-17 10:15:00,1332.25,X9_chand,19,-0.608
ITC,long,2024-12-17 11:45:00,405.25,2024-12-19 10:45:00,403.75,X9_chand,10,-0.3701
ITC,long,2025-01-01 12:15:00,419.8,2025-01-06 11:30:00,448.8,X9_chand,22,6.9081
RELIANCE,long,2025-01-07 09:45:00,1236.45,2025-01-07 11:45:00,1239.7,X9_chand,4,0.2628
INFY,long,2025-01-07 10:15:00,1950.65,2025-01-07 11:15:00,1935.1,X9_chand,2,-0.7972
HINDUNILVR,long,2025-01-07 10:15:00,2393.0,2025-01-07 13:45:00,2386.15,X9_chand,7,-0.2863
RELIANCE,long,2025-01-08 10:15:00,1268.85,2025-01-09 14:15:00,1251.65,X9_chand,20,-1.3556
TCS,long,2025-01-13 10:15:00,4293.45,2025-01-14 12:45:00,4235.75,X9_chand,17,-1.3439
INFY,long,2025-01-15 14:15:00,1951.9,2025-01-16 11:45:00,1939.7,X1_rev_ema,7,-0.625
KOTAKBANK,long,2025-01-20 13:15:00,1925.05,2025-01-21 14:45:00,1892.5,X9_chand,15,-1.6909
SBIN,long,2025-01-20 13:15:00,783.9,2025-01-21 09:45:00,771.05,X9_chand,5,-1.6392
KOTAKBANK,long,2025-01-22 10:15:00,1905.05,2025-01-22 11:45:00,1890.35,X9_chand,3,-0.7716
KOTAKBANK,long,2025-01-22 13:45:00,1903.2,2025-01-23 14:45:00,1893.3,X9_chand,14,-0.5202
KOTAKBANK,long,2025-01-24 11:15:00,1903.8,2025-01-24 13:45:00,1888.25,X9_chand,5,-0.8168
HDFCBANK,long,2025-01-29 10:45:00,839.75,2025-02-01 11:45:00,842.9,X9_chand,38,0.3751
KOTAKBANK,long,2025-01-29 13:45:00,1923.05,2025-01-30 12:45:00,1904.1,X9_chand,10,-0.9854
ICICIBANK,long,2025-01-29 14:15:00,1252.3,2025-02-01 12:45:00,1236.4,X9_chand,33,-1.2697
ICICIBANK,long,2025-02-01 14:45:00,1254.75,2025-02-07 10:15:00,1262.05,X9_chand,39,0.5818
HDFCBANK,long,2025-02-01 14:45:00,849.05,2025-02-03 09:15:00,839.8,X9_chand,1,-1.0895
KOTAKBANK,long,2025-02-06 12:45:00,1910.05,2025-02-06 13:15:00,1910.95,X9_chand,1,0.0471
ICICIBANK,long,2025-02-06 13:45:00,1270.85,2025-02-07 10:15:00,1262.05,X9_chand,5,-0.6924
RELIANCE,long,2025-02-06 14:15:00,1279.45,2025-02-07 13:45:00,1264.95,X9_chand,11,-1.1333
BHARTIARTL,long,2025-02-07 09:45:00,1697.45,2025-02-07 13:45:00,1670.05,X9_chand,8,-1.6142
KOTAKBANK,long,2025-02-10 09:15:00,1935.3,2025-02-11 09:15:00,1936.0,X9_chand,12,0.0362
KOTAKBANK,long,2025-02-17 14:45:00,1946.75,2025-02-21 09:15:00,1945.45,X9_chand,25,-0.0668
HDFCBANK,long,2025-03-04 12:15:00,853.55,2025-03-04 12:45:00,855.0,X9_chand,1,0.1699
BHARTIARTL,long,2025-03-11 10:15:00,1643.95,2025-03-12 09:15:00,1664.5,X9_chand,10,1.25
RELIANCE,long,2025-03-12 14:15:00,1252.55,2025-03-13 14:15:00,1247.85,X9_chand,12,-0.3752
ICICIBANK,long,2025-03-12 14:45:00,1244.9,2025-03-25 11:45:00,1340.95,X9_chand,78,7.7155
BHARTIARTL,long,2025-03-13 09:45:00,1655.7,2025-03-13 10:15:00,1648.45,X9_chand,1,-0.4379
HDFCBANK,long,2025-03-18 09:45:00,864.05,2025-03-26 11:45:00,908.7,X9_chand,64,5.1675
KOTAKBANK,long,2025-03-20 10:15:00,2031.95,2025-03-26 09:45:00,2155.45,X9_chand,35,6.0779
KOTAKBANK,long,2025-03-25 09:45:00,2200.05,2025-03-26 09:45:00,2155.45,X9_chand,12,-2.0272
ICICIBANK,long,2025-03-26 09:15:00,1346.95,2025-03-26 11:15:00,1340.95,X9_chand,4,-0.4455
ITC,long,2025-03-26 14:15:00,410.55,2025-03-26 14:45:00,407.2,X9_chand,1,-0.816
ICICIBANK,long,2025-03-27 09:45:00,1349.55,2025-03-27 14:45:00,1336.15,X9_chand,10,-0.9929
RELIANCE,long,2025-03-27 09:45:00,1283.05,2025-03-27 11:45:00,1275.85,X9_chand,4,-0.5612
SBIN,long,2025-03-27 14:45:00,770.65,2025-04-04 14:15:00,767.75,X9_chand,47,-0.3763
HINDUNILVR,long,2025-03-28 09:45:00,2277.05,2025-03-28 14:45:00,2261.05,X9_chand,10,-0.7027
KOTAKBANK,long,2025-03-28 09:45:00,2162.6,2025-04-02 11:15:00,2146.05,X9_chand,15,-0.7653
HDFCBANK,long,2025-03-28 13:45:00,911.85,2025-04-02 09:15:00,894.7,X9_chand,3,-1.8808
ICICIBANK,long,2025-03-28 14:15:00,1349.05,2025-04-02 09:45:00,1333.0,X9_chand,3,-1.1897
