symbol,signal_dt,signal_k,signal_d,signal_adx,entry_dt,entry_price,exit_dt,exit_price,exit_reason,candles_held,gross_return_pct,net_return_pct
BEL,2025-09-15 14:45:00,19.568414910029855,18.227966993989916,54.80428941531562,2025-09-16 09:15:00,399.25,2025-09-17 13:15:00,410.35,X9OR4,20,2.7802,2.6802
BANKBARODA,2025-09-12 13:15:00,18.931492874682522,13.33165903044265,26.39839086156865,2025-09-12 13:45:00,237.8,2025-09-12 14:15:00,237.27,X9OR4,1,-0.2229,-0.3229
PNB,2025-09-12 13:15:00,16.9200107188322,16.454287154616555,40.33491169480041,2025-09-12 13:45:00,107.7,2025-09-22 14:15:00,113.13,X9OR4,61,5.0418,4.9418
KOTAKBANK,2025-09-11 12:15:00,37.58314370733429,26.08404987623796,31.845596742147457,2025-09-11 13:45:00,1981.05,2025-09-12 13:15:00,1973.4,X9OR4,11,-0.3862,-0.4862
HDFCBANK,2025-09-10 14:45:00,15.991325442916713,14.109262734019728,28.96730545707491,2025-09-11 13:15:00,966.95,2025-09-12 09:15:00,962.9,X9OR4,4,-0.4188,-0.5188
COLPAL,2025-09-05 12:45:00,15.46944755347447,13.912782768360652,29.773534127061627,2025-09-05 13:15:00,2434.05,2025-09-05 13:45:00,2431.0,X9OR4,1,-0.1253,-0.2253
HDFCBANK,2025-09-05 12:15:00,26.98884758364333,24.93492462097278,27.788528613271016,2025-09-05 13:15:00,958.75,2025-09-09 14:15:00,964.55,X9OR4,14,0.605,0.505
DABUR,2025-09-04 14:15:00,33.93162393162394,33.846153846153896,54.09899579795229,2025-09-05 09:15:00,554.0,2025-09-05 09:45:00,551.5,X9OR4,1,-0.4513,-0.5513
DIVISLAB,2025-08-29 10:15:00,27.534594298419584,19.548029008226255,48.91491478007589,2025-08-29 10:45:00,6162.55,2025-08-29 11:15:00,6158.0,X9OR4,1,-0.0738,-0.1738
INFY,2025-08-25 09:15:00,31.875231769182584,26.11453789555578,35.04795522542144,2025-08-25 10:15:00,1528.95,2025-08-28 09:15:00,1516.0,X9OR4,22,-0.847,-0.947
VEDL,2025-08-20 14:45:00,32.85430317308402,28.476440498154886,35.22319275122656,2025-08-21 09:15:00,430.4,2025-08-21 12:45:00,429.15,X9OR4,7,-0.2904,-0.3904
DABUR,2025-08-19 12:15:00,28.644688644688614,26.300286910564722,28.498279443780596,2025-08-19 13:15:00,521.05,2025-08-19 13:45:00,519.85,X9OR4,1,-0.2303,-0.3303
ULTRACEMCO,2025-08-19 12:15:00,26.454876822523865,25.64649235896697,32.61532741560951,2025-08-19 12:45:00,12747.05,2025-08-21 09:15:00,12796.0,X9OR4,17,0.384,0.284
M&M,2025-08-18 09:15:00,36.742435488687555,29.137740132693448,45.3347724150007,2025-08-18 09:45:00,3416.05,2025-08-19 09:15:00,3347.2,X9OR4,11,-2.0155,-2.1155
M&M,2025-08-14 13:45:00,30.29300813222755,29.12182758774112,45.789806043038254,2025-08-14 14:15:00,3287.25,2025-08-14 14:45:00,3263.5,X9OR4,1,-0.7225,-0.8225
HDFCLIFE,2025-08-11 12:15:00,32.407407407407135,27.88461538461516,29.056823952410593,2025-08-11 12:45:00,759.95,2025-08-12 10:45:00,760.45,X9OR4,8,0.0658,-0.0342
SBIN,2025-08-08 13:15:00,19.575699767958334,15.11737403907216,27.151013002632027,2025-08-08 13:45:00,805.05,2025-08-18 10:15:00,829.1,X9OR4,53,2.9874,2.8874
MARICO,2025-08-05 11:45:00,24.513168906611448,23.79348666013691,26.04539787710798,2025-08-05 12:15:00,721.05,2025-08-05 12:45:00,716.8,X9OR4,1,-0.5894,-0.6894
HINDUNILVR,2025-08-04 10:45:00,16.466202107327742,16.053120611772442,43.25510761282962,2025-08-04 11:45:00,2555.25,2025-08-04 12:15:00,2551.0,X9OR4,1,-0.1663,-0.2663
HDFCLIFE,2025-07-25 11:45:00,29.499759983031442,21.69171679639301,30.161727012234586,2025-07-25 12:15:00,761.85,2025-07-28 12:45:00,761.05,X9OR4,13,-0.105,-0.205
VEDL,2025-07-23 14:15:00,31.094244149272686,23.384015310011637,27.429049837168314,2025-07-23 14:45:00,438.05,2025-07-25 09:15:00,432.35,X9OR4,1,-1.3012,-1.4012
M&M,2025-07-21 09:45:00,29.515581441656728,23.396588344616987,35.28635552085546,2025-07-21 10:15:00,3234.35,2025-07-23 13:15:00,3250.5,X9OR4,30,0.4993,0.3993
M&M,2025-07-18 14:15:00,20.024691358024654,19.02057613168714,38.21398415226463,2025-07-21 09:45:00,3200.15,2025-07-23 13:15:00,3250.5,X9OR4,31,1.5734,1.4734
BANKBARODA,2025-07-18 11:15:00,31.821073285662294,30.262876863662683,35.47503235012557,2025-07-18 11:45:00,246.62,2025-07-18 12:15:00,245.27,X9OR4,1,-0.5474,-0.6474
KOTAKBANK,2025-07-11 13:45:00,37.66666666666701,34.01509193723573,26.588585843379796,2025-07-11 14:45:00,2224.05,2025-07-15 11:45:00,2216.8,X9OR4,6,-0.326,-0.426
ULTRACEMCO,2025-07-09 09:15:00,26.77966101694914,24.689265536723138,26.755854324346828,2025-07-09 11:15:00,12461.05,2025-07-10 14:45:00,12527.0,X9OR4,19,0.5292,0.4292
DIVISLAB,2025-07-07 10:45:00,29.38424075588471,28.928776192139907,25.23657351138272,2025-07-09 09:15:00,6930.0,2025-07-10 09:15:00,6923.0,X9OR4,12,-0.101,-0.201
ULTRACEMCO,2025-07-04 13:15:00,15.367345744058065,12.225165649271318,34.14997199391766,2025-07-04 13:45:00,12419.05,2025-07-07 09:45:00,12393.0,X9OR4,4,-0.2098,-0.3098
ASIANPAINT,2025-07-04 12:15:00,28.81416718321186,24.825752602650127,31.248702969858147,2025-07-04 12:45:00,2428.05,2025-07-04 13:15:00,2427.3,X9OR4,1,-0.0309,-0.1309
FEDERALBNK,2025-07-03 14:45:00,35.51301301301284,34.80814147480789,27.914678176025358,2025-07-04 09:15:00,217.3,2025-07-04 10:45:00,216.36,X9OR4,3,-0.4326,-0.5326
FEDERALBNK,2025-07-03 10:15:00,26.965502149884763,23.229493988893733,31.469676360744653,2025-07-03 10:45:00,217.3,2025-07-03 12:15:00,216.89,X9OR4,3,-0.1887,-0.2887
ADANIPORTS,2025-07-03 09:45:00,33.828571428571294,30.642857142857235,31.31697195462762,2025-07-03 10:15:00,1450.05,2025-07-03 11:15:00,1441.1,X9OR4,2,-0.6172,-0.7172
ADANIPORTS,2025-07-02 12:15:00,34.16728349370847,29.891297114622187,41.735718863125186,2025-07-02 13:45:00,1448.25,2025-07-03 09:15:00,1443.3,X9OR4,3,-0.3418,-0.4418
SHREECEM,2025-07-02 11:15:00,28.27260485707894,27.86139316415832,52.32034535885911,2025-07-02 11:45:00,31285.05,2025-07-03 14:45:00,31445.0,X9OR4,18,0.5113,0.4113
VEDL,2025-07-01 12:15:00,31.289765366337427,19.64828514654384,39.15469957089776,2025-07-01 13:45:00,449.95,2025-07-03 11:15:00,446.8,X9OR4,19,-0.7001,-0.8001
RELIANCE,2025-07-01 09:15:00,21.918695380774388,12.324123665300915,34.456221316654336,2025-07-01 09:45:00,1518.55,2025-07-02 11:15:00,1517.1,X9OR4,15,-0.0955,-0.1955
AXISBANK,2025-06-27 13:45:00,15.112781954886852,13.768214882129442,32.905989452409436,2025-06-27 14:45:00,1227.55,2025-07-01 09:15:00,1185.0,X1,1,-3.4663,-3.5663
KOTAKBANK,2025-06-26 11:45:00,20.430322705003437,14.145606837797894,28.444385150042372,2025-06-26 14:15:00,2205.05,2025-06-27 09:15:00,2187.6,X9OR4,2,-0.7914,-0.8914
ADANIPORTS,2025-06-25 12:45:00,21.332511133950312,19.694277072448998,31.552303880894215,2025-06-25 13:15:00,1391.55,2025-06-25 13:45:00,1391.1,X9OR4,1,-0.0323,-0.1323
RELIANCE,2025-06-25 09:15:00,24.926755007797603,20.91176627258826,32.77353702300262,2025-06-25 09:45:00,1467.55,2025-06-30 12:45:00,1504.8,X9OR4,42,2.5382,2.4382
BEL,2025-06-18 09:15:00,23.564318440180514,22.602820182340803,25.97888742121828,2025-06-18 10:15:00,404.55,2025-06-18 12:15:00,399.25,X9OR4,4,-1.3101,-1.4101
PNB,2025-06-10 14:15:00,28.933333333333923,27.42222222222274,30.24639671376853,2025-06-10 14:45:00,108.75,2025-06-11 09:15:00,107.61,X9OR4,1,-1.0483,-1.1483
FEDERALBNK,2025-06-04 12:15:00,28.065573770491746,26.892293916796707,36.79709282445089,2025-06-04 12:45:00,209.4,2025-06-05 09:45:00,208.83,X9OR4,6,-0.2722,-0.3722
PNB,2025-06-03 13:45:00,38.28251977093019,29.82528861012662,65.03784279091121,2025-06-03 14:15:00,106.4,2025-06-04 09:45:00,105.86,X9OR4,3,-0.5075,-0.6075
BANKBARODA,2025-06-03 13:45:00,22.488505747126418,18.0528104235478,46.289670005968624,2025-06-03 14:15:00,245.75,2025-06-04 09:15:00,244.15,X9OR4,2,-0.6511,-0.7511
PNB,2025-05-30 11:45:00,20.32705776521242,17.86004637010203,31.166153314609605,2025-05-30 12:45:00,99.4,2025-06-04 09:45:00,105.86,X9OR4,30,6.499,6.399
INFY,2025-05-29 13:15:00,30.07751937984495,29.99138673557275,27.627094152969025,2025-05-29 14:15:00,1584.75,2025-05-29 14:45:00,1586.5,X9OR4,1,0.1104,0.0104
FEDERALBNK,2025-05-22 09:15:00,20.848615773853147,11.699552724665645,36.56601785449933,2025-05-22 10:15:00,202.8,2025-05-22 12:45:00,200.82,X9OR4,5,-0.9763,-1.0763
