cell,signal,side,n,skipped,total_all,total_kept,pnl_retained_pct,median_all,median_kept,worst_all,worst_kept,rand_total_mean,rand_total_pctile,rand_worst_mean,rand_worst_pctile
FRI_NIFTY_DTE2,placebo_noise,skip_low,14,5,55920,33720,60.3,3575,4030,-3440,-3440,35948,37.1,-1653,64.3
FRI_NIFTY_DTE2,placebo_prepath,skip_high,14,5,55920,36570,65.4,3575,3120,-3440,1300,35948,55.2,-1653,89.0
FRI_NIFTY_DTE2,placebo_prepath,skip_low,14,5,55920,34110,61.0,3575,3120,-3440,-3440,35948,39.3,-1653,64.3
FRI_NIFTY_DTE2,cpr_today,skip_high,14,7,55920,20420,36.5,3575,3120,-3440,-3440,27960,11.2,-845,50.0
FRI_NIFTY_DTE2,cpr_today,skip_low,14,7,55920,35500,63.5,3575,5620,-3440,1300,27960,88.8,-845,76.9
FRI_NIFTY_DTE2,cpr_prev,skip_high,14,7,55920,12400,22.2,3575,2470,-3440,-3440,27960,0.1,-845,50.0
FRI_NIFTY_DTE2,cpr_prev,skip_low,14,7,55920,43520,77.8,3575,6110,-3440,2860,27960,99.9,-845,99.0
FRI_NIFTY_DTE2,wcpr_this,skip_high,14,7,55920,23380,41.8,3575,4030,-3440,-3440,27960,23.8,-845,50.0
FRI_NIFTY_DTE2,wcpr_this,skip_low,14,7,55920,32540,58.2,3575,2860,-3440,1300,27960,76.3,-845,76.9
FRI_NIFTY_DTE2,wcpr_prev,skip_high,14,7,55920,31370,56.1,3575,3120,-3440,1300,27960,70.0,-845,76.9
FRI_NIFTY_DTE2,wcpr_prev,skip_low,14,7,55920,24550,43.9,3575,4030,-3440,-3440,27960,30.2,-845,50.0
FRI_NIFTY_DTE2,gap_abs,skip_high,14,7,55920,25790,46.1,3575,4030,-3440,-3440,27960,37.2,-845,50.0
FRI_NIFTY_DTE2,gap_abs,skip_low,14,7,55920,30130,53.9,3575,3120,-3440,1300,27960,62.8,-845,76.9
FRI_NIFTY_DTE2,gap_pct,skip_high,14,7,55920,28730,51.4,3575,4030,-3440,1300,27960,54.5,-845,76.9
FRI_NIFTY_DTE2,gap_pct,skip_low,14,7,55920,27190,48.6,3575,3120,-3440,-3440,27960,45.5,-845,50.0
FRI_NIFTY_DTE2,pdr_pct,skip_high,14,7,55920,15840,28.3,3575,2470,-3440,-3440,27960,1.5,-845,50.0
FRI_NIFTY_DTE2,pdr_pct,skip_low,14,7,55920,40080,71.7,3575,5620,-3440,2860,27960,98.5,-845,99.0
FRI_NIFTY_DTE2,pdr_rel,skip_high,14,7,55920,19930,35.6,3575,3120,-3440,-3440,27960,9.6,-845,50.0
FRI_NIFTY_DTE2,pdr_rel,skip_low,14,7,55920,35990,64.4,3575,5040,-3440,2020,27960,90.4,-845,90.4
FRI_NIFTY_DTE2,atr14_pct,skip_high,14,7,55920,20290,36.3,3575,2860,-3440,-3440,27960,10.7,-845,50.0
FRI_NIFTY_DTE2,atr14_pct,skip_low,14,7,55920,35630,63.7,3575,5620,-3440,1300,27960,89.4,-845,76.9
FRI_NIFTY_DTE2,vix_open,skip_high,14,7,55920,18730,33.5,3575,2470,-3440,-3440,27960,6.3,-845,50.0
FRI_NIFTY_DTE2,vix_open,skip_low,14,7,55920,37190,66.5,3575,5620,-3440,2860,27960,93.7,-845,99.0
FRI_NIFTY_DTE2,vix_chg_oc_pct,skip_high,14,7,55920,20290,36.3,3575,2860,-3440,-3440,27960,10.7,-845,50.0
FRI_NIFTY_DTE2,vix_chg_oc_pct,skip_low,14,7,55920,20290,36.3,3575,2860,-3440,-3440,27960,10.7,-845,50.0
FRI_NIFTY_DTE2,vix_chg_oc_pts,skip_high,14,7,55920,20290,36.3,3575,2860,-3440,-3440,27960,10.7,-845,50.0
