scope,outcome,signal,n,spearman,p
WED_SENSEX_DTE1,exc_over_credit,vix_chg_cc_pts,17,-0.2256,0.3839
WED_SENSEX_DTE1,exc_over_credit,pre_move_bp,17,-0.2391,0.35532
WED_SENSEX_DTE1,exc_over_credit,pre_range_bp,17,-0.0196,0.94046
WED_SENSEX_DTE1,exc_over_credit,pcr_oi_all,17,-0.1838,0.48003
WED_SENSEX_DTE1,exc_over_credit,pcr_oi_atm,17,-0.1912,0.46233
WED_SENSEX_DTE1,exc_over_credit,pcr_vol_all,17,0.2843,0.26873
WED_SENSEX_DTE1,exc_over_credit,oi_atm_share,17,-0.1446,0.57975
WED_SENSEX_DTE1,exc_over_credit,dist_ce_wall_bp,17,-0.1471,0.57328
WED_SENSEX_DTE1,exc_over_credit,dist_pe_wall_bp,17,0.0822,0.75392
WED_SENSEX_DTE1,exc_over_credit,wall_span_bp,17,0.0049,0.98509
WED_SENSEX_DTE1,exc_over_credit,maxpain_drift_bp,17,-0.3015,0.23962
WED_SENSEX_DTE1,exc_over_credit,d_pcr_oi_all,17,-0.1544,0.55403
WED_SENSEX_DTE1,exc_over_credit,d_oi_total_pct,17,0.1961,0.4507
WED_SENSEX_DTE1,exc_over_credit,d_oi_atm_pct,17,0.1324,0.61259
WED_SENSEX_DTE1,exc_over_credit,d_oi_wing_pct,17,0.152,0.56042
WED_SENSEX_DTE1,exc_over_credit,placebo_noise,17,-0.0662,0.80077
WED_SENSEX_DTE1,exc_over_credit,placebo_prepath,17,0.049,0.85179
