symbol,entry_date,entry_price,exit_date,exit_price,exit_reason,bars_held,return_pct,pnl_inr,shares,seed
KAJARIACER,2021-01-20,772.2,2021-03-25,876.25,"SuperTrend(14,4) trail",44,12.91,140600,1407,20
JSWDULUX,2021-01-25,2515.0,2021-02-19,2142.0,"SuperTrend(14,4) trail",18,-15.26,-160396,417,20
CARBORUNIV,2021-01-27,424.5,2021-03-26,459.0,"SuperTrend(14,4) trail",41,7.59,79049,2448,20
COSMOFIRST,2021-01-29,338.65,2021-11-30,913.25,"SuperTrend(14,4) trail",205,168.33,1719554,3009,20
SUNDRMFAST,2021-02-19,698.0,2021-04-20,689.0,"SuperTrend(14,4) trail",38,-1.78,-19998,1604,20
TRENT,2021-02-23,824.9,2021-03-26,772.0,"SuperTrend(14,4) trail",22,-6.88,-75098,1320,20
KABRAEXTRU,2021-03-15,181.0,2022-02-25,418.0,"SuperTrend(14,4) trail",237,129.79,1483666,6300,20
GPIL,2021-03-16,32.5,2021-08-10,70.05,"SuperTrend(14,4) trail",99,114.46,1300018,34859,20
IFGLEXPOR,2021-04-07,186.5,2021-08-23,162.0,"SuperTrend(14,4) trail",93,-13.57,-145403,5731,20
RHIM,2021-04-08,264.15,2021-11-30,329.45,"SuperTrend(14,4) trail",159,24.1,260880,4088,20
DALMIASUG,2021-04-12,198.8,2021-08-24,381.3,"SuperTrend(14,4) trail",91,90.84,941821,5202,20
KSB,2021-04-12,186.0,2022-02-15,217.0,"SuperTrend(14,4) trail",211,16.08,166758,5560,20
BUTTERFLY,2021-04-12,621.16,2021-11-30,820.05,"SuperTrend(14,4) trail",157,31.36,324958,1664,20
FLUOROCHEM,2021-04-15,719.22,2021-10-26,1743.25,"SuperTrend(14,4) trail",132,141.17,1476935,1451,20
MASTEK,2021-04-22,1376.0,2021-10-22,2849.0,"SuperTrend(14,4) trail",126,106.02,1118765,765,20
VENUSREM-BE,2021-08-10,611.0,2021-10-12,427.55,"SuperTrend(14,4) trail",43,-30.37,-461767,2482,20
