symbol,months,n_young,n_young_liq,first
ADSL,3,61,0,2015-01-01
ADSL,6,123,0,2015-01-01
ADSL,12,247,0,2015-01-01
ADSL,24,492,0,2015-01-01
ADSL,36,739,0,2015-01-01
ADVAIT,3,60,15,2026-01-20
ADVAIT,6,122,77,2026-01-20
ADVAIT,12,152,107,2026-01-20
ADVAIT,24,152,107,2026-01-20
ADVAIT,36,152,107,2026-01-20
ADVANCE,3,62,24,2025-10-08
ADVANCE,6,121,42,2025-10-08
ADVANCE,12,146,42,2025-10-08
ADVANCE,24,146,42,2025-10-08
ADVANCE,36,146,42,2025-10-08
ADVANIHOTR,3,64,0,2007-06-25
ADVANIHOTR,6,127,0,2007-06-25
ADVANIHOTR,12,250,0,2007-06-25
ADVANIHOTR,24,491,0,2007-06-25
ADVANIHOTR,36,737,0,2007-06-25
ADVENTHTL,3,62,18,2025-11-13
ADVENTHTL,6,121,18,2025-11-13
ADVENTHTL,12,122,18,2025-11-13
ADVENTHTL,24,122,18,2025-11-13
ADVENTHTL,36,122,18,2025-11-13
ADVENZYMES,3,59,40,2016-08-01
ADVENZYMES,6,122,103,2016-08-01
ADVENZYMES,12,247,228,2016-08-01
ADVENZYMES,24,496,284,2016-08-01
ADVENZYMES,36,740,286,2016-08-01
AEGISLOG,3,62,0,2005-01-03
AEGISLOG,6,126,0,2005-01-03
AEGISLOG,12,250,0,2005-01-03
AEGISLOG,24,497,0,2005-01-03
AEGISLOG,36,747,0,2005-01-03
AEGISVOPAK,3,63,44,2025-06-02
AEGISVOPAK,6,125,106,2025-06-02
AEGISVOPAK,12,236,217,2025-06-02
AEGISVOPAK,24,236,217,2025-06-02
AEGISVOPAK,36,236,217,2025-06-02
AEPL,3,59,0,2026-03-12
AEPL,6,116,0,2026-03-12
AEPL,12,116,0,2026-03-12
AEPL,24,116,0,2026-03-12
AEPL,36,116,0,2026-03-12
AEQUS,3,61,42,2025-12-10
AEQUS,6,103,84,2025-12-10
AEQUS,12,103,84,2025-12-10
AEQUS,24,103,84,2025-12-10
AEQUS,36,103,84,2025-12-10
AEROENTER,3,63,0,2025-06-16
AEROENTER,6,125,0,2025-06-16
AEROENTER,12,225,0,2025-06-16
AEROENTER,24,225,0,2025-06-16
AEROENTER,36,225,0,2025-06-16
AEROFLEX,3,60,41,2023-08-31
AEROFLEX,6,122,103,2023-08-31
AEROFLEX,12,243,207,2023-08-31
AEROFLEX,24,491,455,2023-08-31
AEROFLEX,36,737,693,2023-08-31
AERONEU,3,60,0,2023-01-12
AERONEU,6,122,0,2023-01-12
AERONEU,12,246,0,2023-01-12
AERONEU,24,490,0,2023-01-12
AERONEU,36,738,0,2023-01-12
AEROPLANE,3,60,26,2026-04-02
AEROPLANE,6,103,69,2026-04-02
AEROPLANE,12,103,69,2026-04-02
AEROPLANE,24,103,69,2026-04-02
AEROPLANE,36,103,69,2026-04-02
AETHER,3,62,43,2022-06-03
AETHER,6,124,90,2022-06-03
AETHER,12,247,90,2022-06-03
AETHER,24,494,250,2022-06-03
AETHER,36,742,355,2022-06-03
AFCONS,3,63,44,2024-11-04
AFCONS,6,121,102,2024-11-04
AFCONS,12,248,229,2024-11-04
AFCONS,24,454,435,2024-11-04
AFCONS,36,454,435,2024-11-04
AFFLE,3,58,30,2019-08-08
AFFLE,6,122,94,2019-08-08
AFFLE,12,245,168,2019-08-08
AFFLE,24,494,417,2019-08-08
AFFLE,36,743,666,2019-08-08
AFFORDABLE,3,60,0,2024-10-23
AFFORDABLE,6,120,0,2024-10-23
AFFORDABLE,12,246,0,2024-10-23
AFFORDABLE,24,460,0,2024-10-23
AFFORDABLE,36,460,0,2024-10-23
AFIL,3,63,0,2024-06-26
AFIL,6,124,0,2024-06-26
AFIL,12,249,0,2024-06-26
AFIL,24,493,0,2024-06-26
AFIL,36,543,0,2024-06-26
AFSL,3,63,3,2022-12-23
AFSL,6,123,19,2022-12-23
AFSL,12,246,89,2022-12-23
AFSL,24,490,209,2022-12-23
AFSL,36,739,216,2022-12-23
AGARIND,3,63,0,2014-05-26
AGARIND,6,120,0,2014-05-26
AGARIND,12,243,0,2014-05-26
AGARIND,24,489,0,2014-05-26
AGARIND,36,736,0,2014-05-26
AGARWALEYE,3,58,39,2025-02-04
AGARWALEYE,6,123,104,2025-02-04
AGARWALEYE,12,246,208,2025-02-04
AGARWALEYE,24,390,236,2025-02-04
AGARWALEYE,36,390,236,2025-02-04
AGI,3,62,0,2005-01-03
AGI,6,126,0,2005-01-03
AGI,12,250,0,2005-01-03
AGI,24,497,0,2005-01-03
