symbol,system,direction,entry_time,exit_time,entry_price,exit_price,bars_held,gross_ret_pct,net_ret_pct,exit_reason,capital_used,risk_rs,nav_at_entry,nav_after,exit_date
NAM-INDIA,SHORT,short,2026-01-09 09:50:00,2026-01-09 10:20:00,878.5,882.014,6,-0.40000000000000113,-0.6000000000000012,SL,750000.0,3000.0,147436.1694499541,142936.1694499541,2026-01-09
AMBER,SHORT,short,2026-01-09 09:50:00,2026-01-09 10:20:00,6482.0,6507.928,6,-0.3999999999999982,-0.5999999999999982,SL,750000.0,3000.0,147436.1694499541,138436.1694499541,2026-01-09
NBCC,SHORT,short,2026-01-12 09:50:00,2026-01-12 09:50:00,107.11,107.53844,0,-0.39999999999999514,-0.5999999999999952,SL,750000.0,3000.0,138436.1694499541,133936.16944995412,2026-01-12
SUZLON,SHORT,short,2026-01-12 09:50:00,2026-01-12 09:50:00,48.69,48.88476,0,-0.4000000000000047,-0.6000000000000048,SL,750000.0,3000.0,133936.16944995412,129436.16944995409,2026-01-12
NATCOPHARM,SHORT,short,2026-01-12 09:50:00,2026-01-12 10:45:00,868.8,862.7184,11,0.6999999999999977,0.4999999999999977,TP,750000.0,3000.0,138436.1694499541,133186.16944995406,2026-01-12
TIINDIA,SHORT,short,2026-01-12 09:50:00,2026-01-12 10:00:00,2390.6,2373.8658,2,0.6999999999999947,0.4999999999999947,TP,750000.0,3000.0,138436.1694499541,136936.16944995403,2026-01-12
AMBER,SHORT,short,2026-01-12 09:50:00,2026-01-12 10:15:00,6274.5,6230.5785,5,0.700000000000006,0.500000000000006,TP,750000.0,3000.0,133936.16944995412,140686.1694499541,2026-01-12
NAM-INDIA,SHORT,short,2026-01-12 09:50:00,2026-01-12 10:55:00,862.35,856.31355,13,0.7000000000000067,0.5000000000000067,TP,750000.0,3000.0,129436.16944995409,144436.16944995415,2026-01-12
BAYERCROP,SHORT,short,2026-01-12 09:50:00,2026-01-12 11:25:00,4408.8,4377.9384,19,0.7000000000000041,0.500000000000004,TP,750000.0,3000.0,129436.16944995409,148186.16944995418,2026-01-12
ASTRAL,LONG_MR,long,2026-01-12 12:10:00,2026-01-12 12:20:00,1423.1,1433.0616999999997,2,0.6999999999999885,0.4999999999999885,TP,750000.0,3000.0,148186.16944995418,151936.1694499541,2026-01-12
CESC,LONG_MR,long,2026-01-12 12:20:00,2026-01-12 13:15:00,161.18,162.30826,11,0.6999999999999895,0.4999999999999895,TP,750000.0,3000.0,151936.1694499541,155686.169449954,2026-01-12
SUZLON,SHORT,short,2026-01-13 09:50:00,2026-01-13 10:05:00,48.64,48.83456,3,-0.40000000000000563,-0.6000000000000056,SL,750000.0,3000.0,155686.169449954,151186.16944995397,2026-01-13
IDEA,SHORT,short,2026-01-13 09:50:00,2026-01-13 10:40:00,11.12,11.042159999999999,10,0.7000000000000012,0.5000000000000011,TP,750000.0,3000.0,155686.169449954,154936.16944995397,2026-01-13
GODFRYPHLP,LONG_TC,long,2026-01-16 10:00:00,2026-01-16 15:00:00,2253.5,2251.5,60,-0.08875083203905038,-0.2887508320390504,EOD,750000.0,3000.0,154936.16944995397,152770.53820966108,2026-01-16
INDIANB,LONG_TC,long,2026-01-16 10:05:00,2026-01-16 11:25:00,853.3,859.2730999999999,16,0.699999999999992,0.49999999999999195,TP,750000.0,3000.0,154936.16944995397,156520.53820966103,2026-01-16
BANDHANBNK,SHORT,short,2026-01-19 09:50:00,2026-01-19 09:50:00,142.71,143.28084,0,-0.4000000000000028,-0.6000000000000028,SL,750000.0,3000.0,156520.53820966103,152020.538209661,2026-01-19
NBCC,SHORT,short,2026-01-19 09:50:00,2026-01-19 09:50:00,103.09,103.50236000000001,0,-0.4000000000000065,-0.6000000000000065,SL,750000.0,3000.0,152020.538209661,147520.53820966094,2026-01-19
SUZLON,SHORT,short,2026-01-19 09:50:00,2026-01-19 09:50:00,47.97,48.16188,0,-0.3999999999999951,-0.5999999999999951,SL,750000.0,3000.0,147520.53820966094,143020.53820966097,2026-01-19
EDELWEISS,SHORT,short,2026-01-19 09:50:00,2026-01-19 09:50:00,106.56,106.98624000000001,0,-0.4000000000000066,-0.6000000000000065,SL,750000.0,3000.0,143020.53820966097,138520.5382096609,2026-01-19
AARTIIND,SHORT,short,2026-01-19 09:50:00,2026-01-19 12:10:00,351.9,353.3076,28,-0.40000000000000063,-0.6000000000000006,SL,750000.0,3000.0,156520.53820966103,134020.5382096609,2026-01-19
LTTS,SHORT,short,2026-01-19 09:50:00,2026-01-19 09:55:00,3868.5,3883.974,1,-0.4000000000000042,-0.6000000000000042,SL,750000.0,3000.0,143020.53820966097,129520.53820966088,2026-01-19
ZEEL,SHORT,short,2026-01-19 09:50:00,2026-01-19 14:50:00,88.67,88.88,60,-0.23683320175932532,-0.43683320175932533,EOD,750000.0,3000.0,143020.53820966097,126244.28919646594,2026-01-19
IDEA,SHORT,short,2026-01-19 09:50:00,2026-01-19 11:30:00,10.66,10.58538,20,0.699999999999995,0.49999999999999495,TP,750000.0,3000.0,138520.5382096609,129994.28919646589,2026-01-19
PRAJIND,SHORT,short,2026-01-19 09:50:00,2026-01-19 10:05:00,306.45,307.6758,3,-0.3999999999999976,-0.5999999999999976,SL,750000.0,3000.0,138520.5382096609,125494.2891964659,2026-01-19
NAM-INDIA,SHORT,short,2026-01-20 09:50:00,2026-01-20 09:50:00,860.7,864.1428000000001,0,-0.4000000000000039,-0.6000000000000039,SL,750000.0,3000.0,125494.2891964659,120994.28919646588,2026-01-20
NBCC,SHORT,short,2026-01-20 09:50:00,2026-01-20 09:50:00,100.0,100.4,0,-0.40000000000000563,-0.6000000000000056,SL,750000.0,3000.0,120994.28919646588,116494.28919646583,2026-01-20
LTTS,SHORT,short,2026-01-20 09:50:00,2026-01-20 09:50:00,3815.3,3830.5612,0,-0.39999999999999786,-0.5999999999999979,SL,750000.0,3000.0,116494.28919646583,111994.28919646585,2026-01-20
NETWORK18,SHORT,short,2026-01-20 09:50:00,2026-01-20 09:50:00,38.77,38.92508,0,-0.3999999999999951,-0.5999999999999951,SL,750000.0,3000.0,111994.28919646585,107494.28919646589,2026-01-20
AMBER,SHORT,short,2026-01-20 09:50:00,2026-01-20 09:50:00,6065.0,6089.26,0,-0.4000000000000036,-0.6000000000000036,SL,750000.0,3000.0,107494.28919646589,102994.28919646586,2026-01-20
EDELWEISS,SHORT,short,2026-01-20 09:50:00,2026-01-20 09:50:00,105.44,105.86176,0,-0.4000000000000058,-0.6000000000000059,SL,750000.0,3000.0,102994.28919646586,98494.28919646582,2026-01-20
KNRCON,SHORT,short,2026-01-20 09:50:00,2026-01-20 11:00:00,137.95,136.98434999999998,14,0.700000000000008,0.500000000000008,TP,750000.0,3000.0,125494.2891964659,102244.28919646588,2026-01-20
BANDHANBNK,SHORT,short,2026-01-20 09:50:00,2026-01-20 10:00:00,140.22,140.78088,2,-0.3999999999999981,-0.5999999999999981,SL,750000.0,3000.0,120994.28919646588,97744.28919646589,2026-01-20
TIINDIA,SHORT,short,2026-01-20 09:50:00,2026-01-20 10:00:00,2351.0,2360.404,2,-0.39999999999999986,-0.5999999999999999,SL,750000.0,3000.0,116494.28919646583,93244.28919646589,2026-01-20
RAIN,SHORT,short,2026-01-20 09:50:00,2026-01-20 09:55:00,136.54,137.08616,1,-0.4000000000000108,-0.6000000000000107,SL,750000.0,3000.0,116494.28919646583,88744.2891964658,2026-01-20
IDEA,SHORT,short,2026-01-20 09:50:00,2026-01-20 10:05:00,10.43,10.47172,3,-0.3999999999999977,-0.5999999999999976,SL,750000.0,3000.0,98494.28919646582,84244.28919646582,2026-01-20
CESC,LONG_MR,long,2026-01-21 12:05:00,2026-01-21 13:40:00,143.78,144.78645999999998,19,0.6999999999999831,0.49999999999998307,TP,750000.0,3000.0,84244.28919646582,87994.28919646569,2026-01-21
BALRAMCHIN,LONG_MR,long,2026-01-21 12:05:00,2026-01-21 12:10:00,396.5,399.27549999999997,1,0.6999999999999913,0.4999999999999913,TP,750000.0,3000.0,84244.28919646582,91744.28919646563,2026-01-21
CERA,LONG_MR,long,2026-01-21 12:05:00,2026-01-21 12:10:00,4900.0,4934.299999999999,1,0.6999999999999852,0.4999999999999852,TP,750000.0,3000.0,84244.28919646582,95494.28919646551,2026-01-21
