symbol,n_sessions,L_b3_wr,L_b3_n,L_b3_avg_ret,L_b6_wr,L_b6_n,L_b6_avg_ret,S_b3_wr,S_b3_n,S_b3_avg_ret,S_b6_wr,S_b6_n,S_b6_avg_ret,L_b3_aboveVWAP_wr,L_b3_aboveVWAP_n,L_b3_aboveVWAP_avg_ret,S_b3_belowVWAP_wr,S_b3_belowVWAP_n,S_b3_belowVWAP_avg_ret,L_b3_strong_wr,L_b3_strong_n,L_b3_strong_avg_ret,S_b3_weak_wr,S_b3_weak_n,S_b3_weak_avg_ret
ATUL,442,0.47285067873303166,442,5.206854544325273e-05,0.4479638009049774,442,-0.00024005910853952973,0.5271493212669683,442,-5.206854544325273e-05,0.5497737556561086,442,0.00024005910853952973,0.423728813559322,177,-0.0007267351949517118,0.49433962264150944,265,-0.0005722506663863044,0.2716049382716049,81,-0.005431646881299566,0.5178571428571429,112,0.0013772227164640788
AUBANK,442,0.5180995475113123,442,0.0006294845955705518,0.5203619909502263,442,0.0009372168643109978,0.47058823529411764,442,-0.0006294845955705518,0.47737556561085975,442,-0.0009372168643109978,0.5480769230769231,208,0.0012649160493053548,0.49572649572649574,234,-6.465663669517125e-05,0.5531914893617021,94,0.0003033817690186425,0.4479166666666667,96,-0.0011601188436919292
AUROPHARMA,442,0.4457013574660634,442,-0.0008350007340425823,0.47737556561085975,442,-0.0004494795082938076,0.5520361990950227,442,0.0008350007340425823,0.5226244343891403,442,0.0004494795082938076,0.4711111111111111,225,7.17562638133999e-05,0.576036866359447,217,0.0017751865613126105,0.5087719298245614,114,-0.000549610399530704,0.5555555555555556,99,0.0009613353248082612
BAJAJCON,442,0.45701357466063347,442,-7.58630145434615e-05,0.45248868778280543,442,-0.0002550658510116176,0.5384615384615384,442,7.58630145434615e-05,0.5407239819004525,442,0.0002550658510116176,0.4626865671641791,201,0.00038145523701706944,0.5435684647302904,241,0.00045727782186158044,0.42857142857142855,105,-0.0002870430822205153,0.580952380952381,105,0.0006779009636196103
BAJAJELEC,442,0.4502262443438914,442,-0.0019181313526511722,0.43665158371040724,442,-0.0015643370157249097,0.5429864253393665,442,0.0019181313526511722,0.5633484162895928,442,0.0015643370157249097,0.43157894736842106,190,-0.0025865500628207525,0.5238095238095238,252,0.0014141648648249017,0.40963855421686746,83,-0.00427923424893569,0.4375,96,-0.0011672617978865576
BAJAJHLDNG,442,0.4796380090497738,442,-0.00021657226412893652,0.49095022624434387,442,0.00021321385555801288,0.5158371040723982,442,0.00021657226412893652,0.504524886877828,442,-0.00021321385555801288,0.44021739130434784,184,-0.001670469611715856,0.4844961240310077,258,-0.0008203157667082469,0.39805825242718446,103,-0.0023067697380720546,0.4881889763779528,127,-0.0006394109854876975
BALKRISIND,442,0.48868778280542985,442,0.0003736710373776276,0.5135746606334841,442,0.0005146768658212672,0.502262443438914,442,-0.0003736710373776276,0.4819004524886878,442,-0.0005146768658212672,0.44776119402985076,201,-0.0008574809444947221,0.46887966804979253,241,-0.001400482441345853,0.4175824175824176,91,-0.0007656446909616476,0.43,100,-0.0032120145388024575
BALMLAWRIE,442,0.4343891402714932,442,-0.0009356875016789495,0.4253393665158371,442,-0.0007501651190676715,0.5565610859728507,442,0.0009356875016789495,0.5746606334841629,442,0.0007501651190676715,0.44,200,-4.34303558779385e-05,0.5619834710743802,242,0.0016730901015144957,0.5053763440860215,93,0.002105264551620877,0.5876288659793815,97,0.0030367222616944694
BALRAMCHIN,442,0.502262443438914,442,-6.295197600725695e-06,0.47737556561085975,442,-2.4205663761057737e-05,0.49547511312217196,442,6.295197600725695e-06,0.5203619909502263,442,2.4205663761057737e-05,0.5138121546961326,181,0.0008713465742495504,0.5057471264367817,261,0.000614927997236358,0.5172413793103449,87,0.0012895751606562204,0.47619047619047616,105,0.00015481969645406998
BANDHANBNK,442,0.4457013574660634,442,-0.001923260497490393,0.43665158371040724,442,-0.001642927083178885,0.5520361990950227,442,0.001923260497490393,0.5633484162895928,442,0.001642927083178885,0.5069767441860465,215,0.0001680086058362375,0.6079295154185022,227,0.0039039779301565853,0.5583333333333333,120,0.0021661764660786177,0.6637168141592921,113,0.006404524565343834
BANKINDIA,442,0.46153846153846156,442,-0.0015399794994708895,0.4660633484162896,442,-0.0011478820849675938,0.5361990950226244,442,0.0015399794994708895,0.5294117647058824,442,0.0011478820849675938,0.4439252336448598,214,-0.0013619977482397978,0.5219298245614035,228,0.001707032546679019,0.45901639344262296,122,1.1788062955358903e-06,0.5625,96,0.0056682735408837255
BASF,442,0.4457013574660634,442,0.0007357086608840346,0.41855203619909503,442,0.00036864280353529844,0.5542986425339367,442,-0.0007357086608840346,0.579185520361991,442,-0.00036864280353529844,0.4444444444444444,171,-0.0004957894682841692,0.5535055350553506,271,-0.001512779436115632,0.4520547945205479,73,-0.0020187244546636244,0.543859649122807,114,-0.00035659668219985296
BATAINDIA,442,0.4298642533936652,442,-0.001261670577556425,0.4276018099547511,442,-0.0013473609699826755,0.5678733031674208,442,0.001261670577556425,0.5723981900452488,442,0.0013473609699826755,0.4322916666666667,192,-0.0009395953706430012,0.568,250,0.0015090243364659344,0.4186046511627907,86,-1.9124393807475045e-05,0.5675675675675675,111,0.0028209927694138204
BAYERCROP,442,0.45248868778280543,442,-0.0001311341637865421,0.4230769230769231,442,-0.00046090939609463025,0.5452488687782805,442,0.0001311341637865421,0.5746606334841629,442,0.00046090939609463025,0.47668393782383417,193,-0.0001742511071971475,0.5622489959839357,249,9.771420363294013e-05,0.4691358024691358,81,-0.0009580442015665764,0.6235294117647059,85,0.0019613272065142962
BDL,442,0.43891402714932126,442,-0.00012819874622961065,0.46153846153846156,442,9.773639294429742e-05,0.5610859728506787,442,0.00012819874622961065,0.5361990950226244,442,-9.773639294429742e-05,0.4523809523809524,210,0.001142102122173016,0.5732758620689655,232,0.001278040049525092,0.5149253731343284,134,0.0035384259143079527,0.559322033898305,118,0.0013456198576729242
BEML,442,0.4095022624434389,442,-0.0022207038049794742,0.39819004524886875,442,-0.002298767517613205,0.5882352941176471,442,0.0022207038049794742,0.5972850678733032,442,0.002298767517613205,0.38974358974358975,195,-0.0019678426166184187,0.5748987854251012,247,0.0024203310589487287,0.41379310344827586,116,-0.0002238627827109017,0.5981308411214953,107,0.0069528623300808235
BERGEPAINT,442,0.5180995475113123,442,0.0009508145679414148,0.502262443438914,442,0.0007334143869086218,0.4796380090497738,442,-0.0009508145679414148,0.48642533936651583,442,-0.0007334143869086218,0.4860335195530726,179,-0.0003168746780224772,0.4600760456273764,263,-0.0018136144729890829,0.5,82,0.001324692218975207,0.421875,128,-0.0025590841128058945
