symbol,system,direction,entry_time,exit_time,entry_price,exit_price,bars_held,gross_ret_pct,net_ret_pct,exit_reason,capital_used,risk_rs,nav_at_entry,nav_after,exit_date
PRAJIND,SHORT,short,2024-08-27 09:50:00,2024-08-27 14:50:00,745.45,742.0,60,0.4628077000469576,0.2628077000469576,EOD,200000.0,3000.0,1027318.2082794918,1023700.4760401007,2024-08-27
APLLTD,LONG_MR,long,2024-08-27 12:25:00,2024-08-27 15:25:00,1069.95,1070.2,36,0.023365577830739753,-0.17663442216926026,EOD,200000.0,3000.0,1023918.2082794918,1023347.2071957622,2024-08-27
NATCOPHARM,SHORT,short,2024-08-28 09:50:00,2024-08-28 14:50:00,1548.85,1545.1,60,0.24211511766794722,0.042115117667947205,EOD,200000.0,3000.0,1023347.2071957622,1023431.4374310981,2024-08-28
TCIEXP,SHORT,short,2024-08-28 09:50:00,2024-08-28 14:50:00,1124.05,1125.95,60,-0.16903162670700514,-0.3690316267070052,EOD,200000.0,3000.0,1023347.2071957622,1022693.3741776841,2024-08-28
CDSL,SHORT,short,2024-08-28 09:50:00,2024-08-28 14:50:00,1507.25,1491.95,60,1.0150937137170313,0.8150937137170313,EOD,200000.0,3000.0,1023347.2071957622,1024323.5616051181,2024-08-28
APLLTD,LONG_MR,long,2024-08-29 12:20:00,2024-08-29 15:25:00,1034.4,1051.95,37,1.696635730858464,1.4966357308584641,EOD,200000.0,3000.0,1024323.5616051181,1027316.8330668351,2024-08-29
BALRAMCHIN,LONG_MR,long,2024-08-29 13:15:00,2024-08-29 15:05:00,568.7,580.0740000000001,22,2.000000000000004,1.800000000000004,TP,200000.0,3000.0,1024323.5616051181,1030916.8330668351,2024-08-29
TCIEXP,SHORT,short,2024-08-30 09:50:00,2024-08-30 12:10:00,1116.35,1133.0952499999999,28,-1.499999999999995,-1.6999999999999948,SL,200000.0,3000.0,1030916.8330668351,1027516.8330668351,2024-08-30
SUZLON,SHORT,short,2024-08-30 09:50:00,2024-08-30 14:50:00,76.3,76.6,60,-0.39318479685451796,-0.593184796854518,EOD,200000.0,3000.0,1030916.8330668351,1026330.4634731261,2024-08-30
BAYERCROP,SHORT,short,2024-08-30 09:50:00,2024-08-30 14:50:00,6294.6,6322.1,60,-0.43688240714263016,-0.6368824071426302,EOD,200000.0,3000.0,1030916.8330668351,1025056.6986588408,2024-08-30
AMBER,SHORT,short,2024-08-30 09:50:00,2024-08-30 14:50:00,4494.45,4472.5,60,0.488380113250783,0.288380113250783,EOD,200000.0,3000.0,1030916.8330668351,1025633.4588853425,2024-08-30
NETWORK18,SHORT,short,2024-08-30 09:50:00,2024-08-30 14:50:00,98.01,97.2,60,0.8264462809917378,0.6264462809917377,EOD,200000.0,3000.0,1030916.8330668351,1026886.3514473259,2024-08-30
KNRCON,SHORT,short,2024-09-02 09:50:00,2024-09-02 14:50:00,330.55,330.65,60,-0.03025260928754073,-0.23025260928754074,EOD,200000.0,3000.0,1026886.3514473259,1026425.8462287508,2024-09-02
RAIN,SHORT,short,2024-09-02 09:50:00,2024-09-02 14:50:00,168.82,167.92,60,0.5331121904987595,0.33311219049875945,EOD,200000.0,3000.0,1026886.3514473259,1027092.0706097482,2024-09-02
ZEEL,SHORT,short,2024-09-02 09:50:00,2024-09-02 14:50:00,138.28,138.59,60,-0.224182817471798,-0.424182817471798,EOD,200000.0,3000.0,1026886.3514473259,1026243.7049748047,2024-09-02
SUZLON,SHORT,short,2024-09-02 09:50:00,2024-09-02 14:50:00,73.84,73.66,60,0.24377031419285863,0.04377031419285862,EOD,200000.0,3000.0,1026886.3514473259,1026331.2456031904,2024-09-02
TCIEXP,SHORT,short,2024-09-02 09:50:00,2024-09-02 14:50:00,1118.75,1109.45,60,0.8312849162011132,0.6312849162011132,EOD,200000.0,3000.0,1026886.3514473259,1027593.8154355927,2024-09-02
EDELWEISS,SHORT,short,2024-09-03 09:50:00,2024-09-03 13:05:00,107.93,109.54894999999999,39,-1.4999999999999851,-1.699999999999985,SL,200000.0,3000.0,1027593.8154355927,1024193.8154355927,2024-09-03
ZEEL,SHORT,short,2024-09-03 09:50:00,2024-09-03 13:45:00,137.37,134.6226,47,1.9999999999999991,1.7999999999999992,TP,200000.0,3000.0,1027593.8154355927,1027793.8154355927,2024-09-03
