symbol,n_sessions,first_session,last_session,avg_range_pct,median_range_pct,avg_abs_ret_pct,trending_up_freq,trending_dn_freq,trending_freq,ranging_freq,open_eq_low_freq,open_eq_high_freq,gap_up_3_freq,gap_dn_3_freq,avg_volume,avg_close
SUNDARMFIN,442,2024-03-18,2026-03-24,3.741,3.377,1.818,0.156,0.213,0.369,0.622,0.048,0.066,0.408,0.227,135432,4726.47
SUNDRMFAST,442,2024-03-18,2026-03-24,2.9,2.627,1.253,0.124,0.253,0.378,0.602,0.043,0.034,0.408,0.215,141757,1079.99
SUNTV,442,2024-03-18,2026-03-24,2.961,2.488,1.37,0.158,0.233,0.391,0.606,0.052,0.066,0.363,0.229,529903,648.14
SUPREMEIND,442,2024-03-18,2026-03-24,3.299,2.908,1.557,0.188,0.244,0.432,0.55,0.052,0.052,0.356,0.24,235148,4363.23
SUZLON,442,2024-03-18,2026-03-24,3.553,3.133,1.79,0.176,0.265,0.441,0.544,0.027,0.059,0.451,0.179,63721851,57.44
SYMPHONY,442,2024-03-18,2026-03-24,3.459,3.007,1.676,0.14,0.269,0.41,0.561,0.054,0.077,0.42,0.265,146439,1134.39
SYNGENE,442,2024-03-18,2026-03-24,2.626,2.365,1.245,0.192,0.197,0.389,0.595,0.038,0.045,0.331,0.224,946179,701.71
TATAELXSI,442,2024-03-18,2026-03-24,2.573,2.172,1.313,0.147,0.274,0.421,0.559,0.029,0.07,0.367,0.17,243505,6245.73
THERMAX,442,2024-03-18,2026-03-24,3.643,3.256,1.736,0.133,0.217,0.351,0.633,0.048,0.079,0.481,0.218,170889,3888.08
THYROCARE,442,2024-03-18,2026-03-24,4.169,3.675,1.913,0.133,0.238,0.371,0.611,0.054,0.104,0.481,0.238,512182,326.09
TIINDIA,442,2024-03-18,2026-03-24,3.312,2.936,1.726,0.156,0.278,0.434,0.545,0.041,0.075,0.399,0.202,345517,3287.03
TIMKEN,442,2024-03-18,2026-03-24,3.256,2.945,1.546,0.19,0.226,0.416,0.561,0.048,0.079,0.372,0.231,108911,3250.64
TORNTPHARM,442,2024-03-18,2026-03-24,2.374,2.097,1.073,0.206,0.197,0.403,0.584,0.054,0.088,0.345,0.172,333606,3365.47
TORNTPOWER,442,2024-03-18,2026-03-24,3.462,3.053,1.696,0.174,0.267,0.441,0.548,0.038,0.02,0.399,0.206,743823,1465.36
TRIDENT,442,2024-03-18,2026-03-24,2.968,2.463,1.459,0.131,0.26,0.391,0.586,0.034,0.079,0.333,0.245,10783947,31.59
TRITURBINE,442,2024-03-18,2026-03-24,3.894,3.308,1.808,0.163,0.213,0.376,0.62,0.014,0.048,0.415,0.24,1394760,593.76
TTKPRESTIG,442,2024-03-18,2026-03-24,2.93,2.419,1.291,0.115,0.197,0.312,0.663,0.063,0.1,0.385,0.274,111107,711.02
TVSMOTOR,442,2024-03-18,2026-03-24,2.547,2.322,1.197,0.197,0.188,0.385,0.6,0.027,0.066,0.429,0.154,852218,2839.38
UBL,442,2024-03-18,2026-03-24,2.504,2.147,1.129,0.172,0.156,0.328,0.649,0.025,0.115,0.367,0.209,228935,1901.57
UCOBANK,442,2024-03-18,2026-03-24,3.196,2.763,1.529,0.122,0.271,0.394,0.588,0.038,0.054,0.404,0.184,10003791,39.37
UNIONBANK,442,2024-03-18,2026-03-24,3.008,2.706,1.555,0.213,0.256,0.468,0.523,0.041,0.045,0.433,0.197,13535187,135.08
UPL,442,2024-03-18,2026-03-24,2.713,2.377,1.311,0.156,0.21,0.367,0.613,0.032,0.043,0.383,0.168,2916338,616.24
VBL,442,2024-03-18,2026-03-24,2.895,2.504,1.474,0.181,0.226,0.407,0.577,0.02,0.075,0.381,0.22,6257609,535.71
VGUARD,442,2024-03-18,2026-03-24,3.128,2.708,1.363,0.188,0.201,0.389,0.59,0.054,0.081,0.376,0.22,445836,380.65
VINATIORGA,442,2024-03-18,2026-03-24,2.97,2.641,1.313,0.163,0.226,0.389,0.6,0.05,0.079,0.331,0.295,67491,1737.21
VIPIND,442,2024-03-18,2026-03-24,3.608,3.112,1.701,0.138,0.242,0.38,0.609,0.054,0.038,0.313,0.265,781197,425.23
VRLLOG,442,2024-03-18,2026-03-24,3.173,2.777,1.487,0.138,0.231,0.369,0.624,0.045,0.124,0.483,0.209,281753,271.45
VSTIND,442,2024-03-18,2026-03-24,2.721,2.266,1.31,0.111,0.253,0.364,0.62,0.057,0.097,0.401,0.22,427636,307.56
WELCORP,442,2024-03-18,2026-03-24,3.63,3.248,1.794,0.172,0.219,0.391,0.593,0.038,0.077,0.454,0.215,865729,762.13
WHIRLPOOL,442,2024-03-18,2026-03-24,3.511,3.228,1.606,0.133,0.226,0.36,0.626,0.052,0.072,0.399,0.238,373773,1437.42
WOCKPHARMA,442,2024-03-18,2026-03-24,4.431,4.025,2.132,0.143,0.299,0.441,0.545,0.041,0.061,0.474,0.222,643052,1224.29
YESBANK,442,2024-03-18,2026-03-24,2.653,2.241,1.37,0.17,0.296,0.466,0.514,0.043,0.052,0.293,0.166,125004731,21.24
ZEEL,442,2024-03-18,2026-03-24,3.501,3.119,1.865,0.095,0.357,0.452,0.529,0.043,0.029,0.41,0.179,12814113,117.82
ZENSARTECH,442,2024-03-18,2026-03-24,3.592,3.164,1.68,0.145,0.251,0.396,0.59,0.043,0.052,0.431,0.197,934830,731.33
AKZOINDIA,442,2024-03-18,2026-03-24,3.143,2.788,1.388,0.158,0.192,0.351,0.613,0.041,0.104,0.426,0.215,50827,3286.06
ASTRAZEN,442,2024-03-18,2026-03-24,3.343,2.738,1.501,0.124,0.244,0.369,0.618,0.054,0.093,0.392,0.204,37851,7730.96
FINEORG,442,2024-03-18,2026-03-24,3.026,2.625,1.383,0.118,0.219,0.337,0.638,0.068,0.077,0.345,0.279,25250,4629.89
LUXIND,442,2024-03-18,2026-03-24,3.64,3.148,1.86,0.136,0.244,0.38,0.604,0.075,0.081,0.404,0.281,83695,1492.29
SHK,442,2024-03-18,2026-03-24,4.192,3.709,2.127,0.14,0.238,0.378,0.602,0.07,0.113,0.408,0.261,509429,215.0
SIS,442,2024-03-18,2026-03-24,2.871,2.541,1.239,0.127,0.181,0.308,0.667,0.095,0.127,0.372,0.281,89699,362.18
VMART,442,2024-03-18,2026-03-24,3.96,3.428,1.819,0.167,0.24,0.407,0.575,0.061,0.136,0.408,0.286,178466,779.34
ZYDUSWELL,442,2024-03-18,2026-03-24,3.317,2.987,1.526,0.176,0.233,0.41,0.568,0.054,0.097,0.433,0.222,470573,398.19
3MINDIA,442,2024-03-18,2026-03-24,2.661,2.397,1.175,0.14,0.265,0.405,0.577,0.038,0.102,0.456,0.181,6451,32189.04
GUJALKALI,442,2024-03-18,2026-03-24,3.228,2.695,1.52,0.156,0.199,0.355,0.613,0.079,0.084,0.39,0.247,347988,638.3
MASFIN,442,2024-03-18,2026-03-24,3.175,2.846,1.452,0.129,0.192,0.321,0.665,0.066,0.109,0.478,0.245,185135,292.05
ABFRL,442,2024-03-18,2026-03-24,3.396,2.971,1.64,0.12,0.249,0.369,0.613,0.034,0.066,0.388,0.17,7267069,157.38
HATSUN,442,2024-03-18,2026-03-24,3.296,2.869,1.441,0.131,0.224,0.355,0.618,0.061,0.093,0.363,0.32,84538,1014.11
DBCORP,442,2024-03-18,2026-03-24,3.794,3.319,1.757,0.165,0.215,0.38,0.611,0.052,0.095,0.413,0.297,184180,276.52
GALAXYSURF,442,2024-03-18,2026-03-24,3.014,2.681,1.396,0.167,0.188,0.355,0.62,0.075,0.075,0.311,0.302,22139,2428.13
SKFINDIA,442,2024-03-18,2026-03-24,2.79,2.324,1.235,0.118,0.201,0.319,0.665,0.054,0.143,0.46,0.181,109441,2171.74
TCIEXP,442,2024-03-18,2026-03-24,3.258,2.791,1.601,0.176,0.235,0.412,0.572,0.068,0.124,0.383,0.302,40558,815.95
RAYMOND,442,2024-03-18,2026-03-24,3.977,3.175,1.992,0.095,0.283,0.378,0.609,0.041,0.102,0.456,0.184,778012,862.43
NILKAMAL,442,2024-03-18,2026-03-24,2.633,2.327,1.218,0.1,0.333,0.432,0.538,0.106,0.133,0.467,0.236,8603,1697.48
