variant,symbol,direction,entry_date,exit_date,entry_price,exit_price,qty,days_held,exit_reason,gross_pnl,net_pnl
55_vol_3x_atr_floor,SIEMENS,LONG,2021-12-13,2022-01-06,1877.85,1756.60,90,24,INITIAL_STOP,-10912.33,-11239.43
55_vol_3x_atr_floor,PERSISTENT,LONG,2021-12-20,2022-01-17,2335.00,2172.20,72,28,INITIAL_STOP,-11721.26,-12045.78
55_vol_3x_atr_floor,BANKBARODA,LONG,2022-02-08,2022-02-14,102.86,94.63,1630,6,INITIAL_STOP,-13412.94,-13734.85
55_vol_3x_atr_floor,SUNPHARMA,LONG,2022-02-02,2022-02-22,890.00,839.49,188,20,INITIAL_STOP,-9496.52,-9821.67
55_vol_3x_atr_floor,MARUTI,LONG,2022-01-28,2022-02-24,8795.00,8221.67,19,27,INITIAL_STOP,-10893.23,-11216.55
55_vol_3x_atr_floor,AXISBANK,LONG,2022-01-28,2022-02-24,778.10,736.12,215,27,INITIAL_STOP,-9025.64,-9351.19
55_vol_3x_atr_floor,GAIL,LONG,2022-03-03,2022-03-22,94.09,87.07,1735,19,INITIAL_STOP,-12179.78,-12494.09
55_vol_3x_atr_floor,HDFCBANK,LONG,2022-04-05,2022-04-06,833.40,782.41,194,1,INITIAL_STOP,-9891.43,-10204.89
55_vol_3x_atr_floor,HINDALCO,LONG,2022-03-02,2022-04-18,575.25,538.09,283,47,INITIAL_STOP,-10517.27,-10832.35
55_vol_3x_atr_floor,TATAPOWER,LONG,2022-04-06,2022-04-18,275.95,259.21,587,12,INITIAL_STOP,-9823.67,-10137.82
55_vol_3x_atr_floor,CIPLA,LONG,2022-03-14,2022-04-19,1045.00,989.71,156,36,INITIAL_STOP,-8625.31,-8942.73
55_vol_3x_atr_floor,TATASTEEL,LONG,2022-03-03,2022-05-02,124.11,123.03,1315,60,MAX_HOLD,-1420.20,-1745.19
55_vol_3x_atr_floor,BAJAJ-AUTO,LONG,2022-04-27,2022-05-02,3774.50,3579.94,41,5,INITIAL_STOP,-7977.09,-8278.62
