date,daily_pnl
2025-01-16,-3311.21
2025-01-17,-1061.92
2025-01-20,-9036.19
2025-01-21,332.36
2025-01-22,-6949.51
2025-01-23,-5743.82
2025-01-24,-7569.97
2025-01-27,3163.56
2025-01-28,-11633.42
2025-01-29,186.97
2025-01-30,-3795.13
2025-01-31,-11056.90
2025-02-01,4021.32
2025-02-03,-7656.63
2025-02-04,-5872.20
2025-02-05,-5972.05
2025-02-06,-64.10
2025-02-07,-1066.17
2025-02-10,-12620.19
2025-02-11,-11481.78
2025-02-12,-15807.29
2025-02-13,-14468.71
2025-02-14,224.68
2025-02-17,4683.36
2025-02-18,-981.44
2025-02-19,-4122.12
2025-02-20,-7247.30
2025-02-21,-8598.80
2025-02-24,-6129.81
2025-02-25,-8873.23
2025-02-27,-11181.67
2025-02-28,-6868.21
2025-03-03,-10619.48
2025-03-04,-2748.98
2025-03-05,-6785.06
2025-03-06,-8805.30
2025-03-07,-6468.61
2025-03-10,-864.18
2025-03-11,-8164.27
2025-03-12,-6309.66
2025-03-13,-5247.30
2025-03-17,-9242.96
2025-03-18,-770.95
2025-03-19,-4978.39
2025-03-20,-4453.35
2025-03-21,-3760.63
2025-03-24,-6065.53
2025-03-25,-2801.02
2025-03-26,-859.63
2025-03-27,-4115.75
2025-03-28,-5793.01
2025-04-01,-2940.36
2025-04-02,-3688.22
2025-04-03,-449.26
2025-04-04,-12192.90
2025-04-07,-6692.89
2025-04-08,-16555.95
2025-04-09,-12120.75
2025-04-11,-1036.40
2025-04-15,-4406.24
2025-04-16,-5366.86
2025-04-17,-10988.60
2025-04-21,-8388.30
2025-04-22,-5094.52
2025-04-23,-1529.45
2025-04-24,-6484.43
2025-04-25,-9310.12
2025-04-28,-7069.70
2025-04-29,-10354.23
2025-04-30,-5819.68
2025-05-02,-8432.26
2025-05-05,-22.85
2025-05-06,-9295.40
2025-05-07,-1780.01
2025-05-08,-10490.34
2025-05-09,-2896.95
2025-05-12,-8844.14
2025-05-13,-1137.44
2025-05-14,-1830.55
2025-05-15,-7583.57
2025-05-16,-5941.05
2025-05-19,-3635.05
2025-05-20,-8140.87
2025-05-21,-953.78
2025-05-22,-6025.97
2025-05-23,-5230.49
2025-05-26,-6887.71
2025-05-27,-3335.09
2025-05-28,-4679.84
