symbol,date,direction,entry_time,entry,stop,target,qty,atr_at_entry,deviation_at_entry,exit_time,exit_price,exit_reason,gross_pnl,net_pnl
TRENT,2025-03-20,SHORT,2025-03-20T12:05:00,5235.85,5248.36,5223.34,57,12.51,2.09,2025-03-20T12:30:00,5223.34,TARGET,712.91,265.78
TRENT,2025-03-21,LONG,2025-03-21T11:35:00,5172.05,5160.71,5183.39,58,11.34,-4.48,2025-03-21T11:45:00,5183.39,TARGET,657.68,207.22
TRENT,2025-03-24,LONG,2025-03-24T12:40:00,5084.85,5076.64,5093.06,58,8.21,-1.83,2025-03-24T13:00:00,5076.64,STOP,-476.22,-918.25
TRENT,2025-03-25,SHORT,2025-03-25T11:55:00,5177.00,5194.18,5159.82,57,17.18,3.66,2025-03-25T12:10:00,5194.18,STOP,-979.38,-1422.75
TRENT,2025-03-27,SHORT,2025-03-27T12:40:00,5412.25,5424.12,5400.38,55,11.87,2.21,2025-03-27T13:40:00,5411.95,TIME_STOP,16.50,-430.00
TRENT,2025-03-28,LONG,2025-03-28T11:35:00,5419.00,5395.69,5442.31,55,23.31,-2.29,2025-03-28T12:25:00,5395.69,STOP,-1281.89,-1728.00
TRENT,2025-04-01,SHORT,2025-04-01T12:45:00,5586.35,5608.08,5564.62,53,21.72,1.81,2025-04-01T13:45:00,5579.55,TIME_STOP,360.40,-83.44
TRENT,2025-04-02,SHORT,2025-04-02T11:35:00,5640.10,5657.46,5622.74,53,17.36,2.77,2025-04-02T11:40:00,5622.74,TARGET,920.12,472.42
TRENT,2025-04-04,LONG,2025-04-04T13:30:00,5568.90,5556.32,5581.47,53,12.58,-2.65,2025-04-04T13:45:00,5556.32,STOP,-666.47,-1108.70
TRENT,2025-04-07,LONG,2025-04-07T12:20:00,4601.80,4572.41,4631.19,65,29.39,-2.19,2025-04-07T12:35:00,4631.19,TARGET,1910.07,1459.96
TRENT,2025-04-08,LONG,2025-04-08T11:35:00,4729.05,4711.55,4746.55,63,17.50,-2.36,2025-04-08T11:50:00,4711.55,STOP,-1102.72,-1548.79
TRENT,2025-04-09,LONG,2025-04-09T11:35:00,4648.80,4634.65,4662.95,64,14.15,-2.46,2025-04-09T11:45:00,4634.65,STOP,-905.37,-1350.98
TRENT,2025-04-15,LONG,2025-04-15T11:35:00,4863.00,4843.39,4882.61,61,19.61,-2.71,2025-04-15T11:45:00,4843.39,STOP,-1196.04,-1640.10
