date,baseline,stoch,rsi,stoch_and_rsi
2025-03-28,-4892.15,-4771.03,-3229.01,-2449.21
2025-04-01,-3589.42,-2794.04,-546.11,514.89
2025-04-02,-2607.77,-3087.65,-1127.54,-1104.60
2025-04-03,-902.62,-243.22,-741.14,0.00
2025-04-04,-11407.42,-5954.95,-4723.27,-3350.90
2025-04-07,-1177.76,1938.02,3612.16,1618.30
2025-04-08,-8792.07,-9708.01,-4358.82,-4885.67
2025-04-09,-10241.68,-4266.52,-2446.61,804.27
2025-04-11,-148.91,-156.67,0.00,0.00
2025-04-15,-3681.69,-4170.81,-1696.94,-754.42
2025-04-16,-6205.16,-4628.73,-1021.61,-607.81
2025-04-17,-9451.37,-3417.97,-2211.54,-2189.95
2025-04-21,-7377.64,-3701.73,-2893.12,-918.39
2025-04-22,-8618.72,-6537.55,-4776.49,-4846.52
2025-04-23,-3983.69,-2739.10,-2499.85,-1847.29
2025-04-24,-5070.72,-1916.02,-2828.61,223.29
2025-04-25,-10065.87,-2963.50,-8078.17,-2323.32
2025-04-28,-5083.26,-4688.89,-1806.67,-1628.93
2025-04-29,-8638.03,-5091.00,-3330.48,-2503.55
2025-04-30,-6805.98,-6791.33,-4818.52,-4706.21
2025-05-02,-8302.67,-10293.94,-4516.26,-5199.05
2025-05-05,-893.70,0.00,0.00,0.00
2025-05-06,-5095.07,-4525.44,-5027.53,-2910.53
2025-05-07,-3823.11,-3390.67,-2062.12,-2026.91
2025-05-08,-7032.50,-4899.36,-5294.67,-4203.36
2025-05-09,-6033.04,-4551.26,-2099.37,0.00
2025-05-12,-1663.24,-1738.01,295.33,115.31
2025-05-13,-2351.14,446.47,-2234.75,168.86
2025-05-14,-4183.26,-2206.28,416.68,-507.84
2025-05-15,-9304.55,-11781.66,-11994.56,-7283.75
2025-05-16,-7558.29,-5170.54,-3132.15,-977.57
2025-05-19,-2350.48,-2528.61,-153.97,0.00
2025-05-20,-7977.97,-7514.94,-5921.81,-5723.99
2025-05-21,-918.18,-837.37,0.00,0.00
2025-05-22,-2075.05,-1480.04,-3648.80,-1820.97
2025-05-23,-2596.65,-2461.29,-3119.51,-1157.01
2025-05-26,-4177.15,-789.83,-811.44,-944.08
2025-05-27,-57.45,-455.16,-500.29,-602.59
2025-05-28,-1803.91,-3687.79,-861.97,-846.97
2025-05-29,-82.53,-788.32,-787.61,-793.17
2025-05-30,-5644.20,-4558.53,-1823.76,-1823.76
2025-06-02,-7966.68,-3276.41,-5396.81,-673.75
2025-06-03,-4067.32,-1104.05,-1953.62,-903.02
2025-06-04,-4229.49,-2857.45,-1173.81,-1005.82
2025-06-05,-8396.58,-4833.61,-2788.96,-2944.07
2025-06-06,-1130.68,-73.16,0.00,0.00
2025-06-09,-3470.18,-4931.20,-2360.18,-919.68
2025-06-10,-4265.67,-2438.40,-2499.00,-1374.76
2025-06-11,-6014.82,-6800.27,-4931.13,-5778.15
