seg_idx,seg_dir,seg_entry_dt,seg_end_dt,seg_bars,cst_idx,cst_dt,cst_close,cst_atr,continuation_pts,reversal_pts,outcome,mfe_before_cst,mfe_after_cst,mfe_extension_pct
39,1,2025-05-12 11:00:00,2025-05-20 14:00:00,67,3088,2025-05-12 14:30:00,24921.6,81.5231017904024,194.65000000000146,427.1499999999978,CST_CORRECT,192.90000000000146,382.9500000000007,0.9852255054432236
41,-1,2025-06-03 12:30:00,2025-06-06 10:00:00,32,3242,2025-06-03 13:30:00,24568.35,73.63121761254453,43.89999999999782,331.5,CST_CORRECT,28.349999999998545,28.349999999998545,0.0
42,1,2025-06-06 11:00:00,2025-06-12 12:30:00,52,3276,2025-06-06 12:30:00,24982.75,63.43851076925699,239.65000000000146,20.400000000001455,TREND_CONTINUED,59.599999999998545,252.5,3.236577181208157
43,-1,2025-06-12 13:30:00,2025-06-16 12:30:00,23,3328,2025-06-12 14:30:00,24907.0,49.80998749748871,323.9500000000007,46.04999999999927,TREND_CONTINUED,63.39999999999782,306.25,3.8304416403787154
44,1,2025-06-16 13:30:00,2025-07-04 11:00:00,140,3352,2025-06-16 14:30:00,24942.45,52.52290703996476,711.75,209.04999999999927,TREND_CONTINUED,29.19999999999709,716.2999999999993,23.530821917810638
45,-1,2025-07-04 12:00:00,2025-07-23 13:00:00,135,3493,2025-07-04 13:00:00,25363.6,44.35498370071253,481.2999999999993,184.45000000000073,TREND_CONTINUED,18.94999999999709,468.2999999999993,23.712401055412727
46,1,2025-07-23 14:00:00,2025-07-24 15:00:00,15,3629,2025-07-23 15:00:00,25209.2,39.007622965541394,-12.75,190.5,CST_CORRECT,38.099999999998545,38.099999999998545,0.0
47,-1,2025-07-28 10:30:00,2025-07-31 12:30:00,41,3652,2025-07-28 14:30:00,24700.7,53.736015159173746,86.40000000000146,205.34999999999854,CST_CORRECT,180.60000000000218,212.90000000000146,0.1788482834994401
48,1,2025-07-31 13:30:00,2025-08-01 13:30:00,13,3687,2025-07-31 14:00:00,24867.15,58.647489869881774,26.19999999999709,256.1000000000022,CST_CORRECT,48.79999999999927,48.79999999999927,0.0
49,-1,2025-08-01 14:30:00,2025-08-07 14:30:00,49,3702,2025-08-04 09:30:00,24608.1,65.73111217635916,263.9499999999971,128.15000000000146,TREND_CONTINUED,78.75,269.6499999999978,2.4241269841269566
