seg_idx,seg_dir,seg_entry_dt,seg_end_dt,seg_bars,cst_idx,cst_dt,cst_close,cst_atr,continuation_pts,reversal_pts,outcome,mfe_before_cst,mfe_after_cst,mfe_extension_pct
5,-1,2024-05-06 10:00:00,2024-05-14 11:30:00,76,475,2024-05-09 11:30:00,22165.35,61.69239929913696,344.2999999999993,24.450000000000728,TREND_CONTINUED,373.7000000000007,674.7000000000007,0.8054589242708039
5,-1,2024-05-06 10:00:00,2024-05-14 11:30:00,76,482,2024-05-09 15:00:00,21968.15,63.0142269817736,147.10000000000218,221.64999999999782,CST_CORRECT,563.3499999999985,674.7000000000007,0.19765687405698495
5,-1,2024-05-06 10:00:00,2024-05-14 11:30:00,76,498,2024-05-13 11:00:00,21936.15,67.67810802669548,3.2000000000007276,253.64999999999782,CST_CORRECT,674.7000000000007,674.7000000000007,0.0
6,1,2024-05-14 12:30:00,2024-05-29 09:30:00,106,517,2024-05-14 14:30:00,22236.75,57.63418860834209,789.6500000000015,182.20000000000073,TREND_CONTINUED,46.29999999999927,802.6500000000015,16.335853131749765
6,1,2024-05-14 12:30:00,2024-05-29 09:30:00,106,549,2024-05-17 12:30:00,22464.2,65.96456593314387,562.2000000000007,22.75,TREND_CONTINUED,267.0499999999993,802.6500000000015,2.005616925669364
6,1,2024-05-14 12:30:00,2024-05-29 09:30:00,106,565,2024-05-21 13:00:00,22554.1,51.3711265758041,472.3000000000029,70.94999999999709,TREND_CONTINUED,367.34999999999854,802.6500000000015,1.1849734585545246
6,1,2024-05-14 12:30:00,2024-05-29 09:30:00,106,580,2024-05-22 14:30:00,22552.35,46.08281135557877,474.0500000000029,1.0,TREND_CONTINUED,384.40000000000146,802.6500000000015,1.0880593132153964
6,1,2024-05-14 12:30:00,2024-05-29 09:30:00,106,585,2024-05-23 11:00:00,22709.9,50.87186873876342,316.5,0.10000000000218279,TREND_CONTINUED,499.4500000000007,802.6500000000015,0.6070677745520078
6,1,2024-05-14 12:30:00,2024-05-29 09:30:00,106,590,2024-05-23 13:30:00,22857.9,52.296171657861656,168.5,78.90000000000146,TREND_CONTINUED,645.75,802.6500000000015,0.24297328687572817
6,1,2024-05-14 12:30:00,2024-05-29 09:30:00,106,599,2024-05-24 12:00:00,22968.2,51.574562830784295,58.20000000000073,189.20000000000073,CST_CORRECT,780.2999999999993,802.6500000000015,0.02864282968089479
6,1,2024-05-14 12:30:00,2024-05-29 09:30:00,106,603,2024-05-24 14:00:00,22984.2,49.350283847396376,14.349999999998545,205.20000000000073,CST_CORRECT,802.6500000000015,802.6500000000015,0.0
7,-1,2024-05-29 11:00:00,2024-05-31 15:00:00,33,622,2024-05-29 11:30:00,22735.2,48.472447795057086,318.2000000000007,67.20000000000073,TREND_CONTINUED,29.5,318.09999999999854,9.783050847457577
7,-1,2024-05-29 11:00:00,2024-05-31 15:00:00,33,632,2024-05-30 10:30:00,22580.6,50.814558936450894,163.59999999999854,73.15000000000146,TREND_CONTINUED,181.09999999999854,318.09999999999854,0.7564881281060248
7,-1,2024-05-29 11:00:00,2024-05-31 15:00:00,33,636,2024-05-30 12:30:00,22595.45,48.802447179067045,178.45000000000073,58.29999999999927,TREND_CONTINUED,194.1999999999971,318.09999999999854,0.6380020597322519
7,-1,2024-05-29 11:00:00,2024-05-31 15:00:00,33,641,2024-05-30 15:00:00,22557.1,55.50492221495392,92.0,96.65000000000146,CST_CORRECT,318.09999999999854,318.09999999999854,0.0
8,1,2024-06-03 10:00:00,2024-06-03 15:00:00,11,658,2024-06-03 11:30:00,23227.7,81.6715265246942,80.54999999999927,66.70000000000073,NEUTRAL,29.349999999998545,105.25,2.5860306643954076
8,1,2024-06-03 10:00:00,2024-06-03 15:00:00,11,661,2024-06-03 13:00:00,23233.5,75.8157609542765,74.75,72.5,NEUTRAL,45.45000000000073,105.25,1.3157315731572787
8,1,2024-06-03 10:00:00,2024-06-03 15:00:00,11,663,2024-06-03 14:00:00,23221.95,74.23901220342525,86.29999999999927,9.650000000001455,TREND_CONTINUED,57.54999999999927,105.25,0.8288444830582333
9,1,2024-06-06 10:00:00,2024-07-10 10:00:00,241,683,2024-06-06 12:00:00,22767.55,139.25024392465087,1676.0499999999993,122.39999999999782,TREND_CONTINUED,58.650000000001455,1592.0999999999985,26.145780051150197
9,1,2024-06-06 10:00:00,2024-07-10 10:00:00,241,693,2024-06-07 11:00:00,23043.0,122.83177189008505,1400.5999999999985,-0.9500000000007276,TREND_CONTINUED,231.40000000000146,1592.0999999999985,5.880293863439881
9,1,2024-06-06 10:00:00,2024-07-10 10:00:00,241,697,2024-06-07 13:00:00,23178.55,118.69457480377861,1265.0499999999993,8.200000000000728,TREND_CONTINUED,398.5,1592.0999999999985,2.99523212045169
9,1,2024-06-06 10:00:00,2024-07-10 10:00:00,241,702,2024-06-10 09:30:00,23266.15,114.36724365339948,1177.449999999997,59.5,TREND_CONTINUED,552.6500000000015,1592.0999999999985,1.8808468289152165
9,1,2024-06-06 10:00:00,2024-07-10 10:00:00,241,706,2024-06-10 11:30:00,23332.45,105.97282091589348,1111.1499999999978,125.79999999999927,TREND_CONTINUED,552.6500000000015,1592.0999999999985,1.8808468289152165
