label,axis,rot_score,rot_margin,trim_mult,trim_when,min_fill,cagr,cagr_worst,maxdd,calmar,invested,streak,tr_yr,swaps_yr,trims_yr,cash_refused,slot_refused,entries,tax,turnover,w1_cagr,w1_dd,w2_cagr,w2_dd,w1_w2_drop,robust_w2,cagr_wins,cagr_delta,calmar_wins,calmar_delta,w1_wins,w2_wins,top10,top10_all,cap_med,cap_p95,cap_over1,pos_rs
X_entrs_unre_m010,X,unreal,10.0,0.0,month,0.0,22.725,21.34,-31.78,0.715,73.31,15.0,34.3,4.47,0.0,1965.0,1008.0,744.0,10896547.0,2.777,20.36,-31.78,25.185000000000002,-31.015,-4.83,True,30,1.66,30,0.094,30,29,42.95,42.95,0.5,7.168,37.35,661245.0
X_entage_unre_m010,X,unreal,10.0,0.0,month,0.0,22.835,21.57,-37.285,0.611,73.38,15.0,34.35,4.38,0.0,1994.0,976.0,745.0,11256086.5,2.757,20.28,-31.77,25.395,-37.285,-5.11,True,30,1.82,15,-0.004,30,28,45.35,45.35,0.477,6.77,36.55,600101.5
X_entrs_unre_m005,X,unreal,5.0,0.0,month,0.0,20.235,19.22,-33.36,0.607,72.885,16.0,40.05,10.425,0.0,2094.5,886.0,868.0,8621584.5,3.312,19.78,-32.55,20.805,-33.36,-1.02,True,3,-0.71,13,-0.01,30,2,47.95,47.95,0.494,5.756,37.1,676658.5
X_entrs_unre_m007,X,unreal,7.5,0.0,month,0.0,21.82,21.02,-32.13,0.679,73.115,16.0,35.9,6.55,0.0,2054.0,931.5,779.0,9862355.5,2.898,21.52,-32.13,21.990000000000002,-31.72,-0.47,True,27,0.77,30,0.059,30,6,41.7,41.7,0.543,6.312,39.9,742919.0
X_entrs_unre_m012,X,unreal,12.5,0.0,month,0.0,21.485,20.05,-33.26,0.638,73.14,16.0,32.8,2.515,0.0,1932.5,1030.5,712.0,9201543.5,2.569,18.84,-31.78,24.18,-33.26,-5.34,True,23,0.59,21,0.016,0,25,38.6,38.6,0.421,5.546,32.9,551528.0
X_entrs_unre_m015,X,unreal,15.0,0.0,month,0.0,20.33,19.3,-35.06,0.575,72.99,16.0,32.3,1.01,0.0,1959.0,982.5,700.0,7210368.5,2.481,18.2,-32.965,22.14,-35.06,-3.94,True,5,-0.88,4,-0.056,0,9,37.9,37.9,0.394,4.232,29.8,519596.0
X_entrs_unre_m020,X,unreal,20.0,0.0,month,0.0,20.935,20.02,-35.16,0.599,72.885,14.0,31.5,0.23,0.0,1963.5,976.5,683.5,8449389.0,2.428,18.98,-32.61,22.89,-35.16,-3.91,True,14,-0.07,12,-0.006,0,14,35.35,35.35,0.407,4.681,32.35,537658.0
X_max2_unre_m010,X,unreal,10.0,0.0,month,0.0,22.345,20.61,-37.29,0.599,73.19,15.0,34.4,4.33,0.0,1945.5,1019.5,746.0,10121235.5,2.74,20.485,-31.79,24.255,-37.29,-3.77,True,29,1.28,12,-0.017,30,23,42.25,42.25,0.476,6.276,35.65,619555.0
CTRL_sel_rs,CTRL,,0.0,0.0,month,0.0,20.9,20.9,-32.64,0.64,72.9,14.0,32.0,0.0,0.0,1939.0,987.0,693.0,8703106.0,2.536,19.33,-32.64,22.4,-32.51,-3.07,True,9,-0.08,19,0.027,30,7,36.4,36.4,0.443,5.78,34.5,570582.0
CTRL_sel_age,CTRL,,0.0,0.0,month,0.0,21.77,21.77,-36.77,0.592,72.81,13.0,31.4,0.0,0.0,1960.0,978.0,681.0,9174593.0,2.427,19.54,-32.58,23.96,-36.77,-4.42,True,30,0.79,8,-0.021,30,27,39.2,39.2,0.448,4.758,33.9,552616.0
CTRL_sel_ext,CTRL,,0.0,0.0,month,0.0,20.8,20.8,-35.94,0.579,72.85,14.0,32.0,0.0,0.0,1970.0,956.0,693.0,8669292.0,2.55,19.54,-32.58,21.98,-35.94,-2.44,True,7,-0.18,6,-0.034,30,6,36.1,36.1,0.44,5.666,34.8,567806.0
A_null_p002,A_null,rand,0.02,0.0,month,0.0,20.58,18.47,-35.225,0.577,72.815,14.0,34.25,2.65,0.0,1861.5,1071.0,742.5,8019284.0,2.775,18.58,-33.235,22.605,-35.225,-4.03,True,12,-0.15,7,-0.041,10,11,40.15,40.15,0.44,4.848,33.35,542484.5
A_null_p003,A_null,rand,0.03,0.0,month,0.0,20.385,18.48,-35.745,0.569,72.8,14.5,35.6,3.965,0.0,1803.0,1134.0,772.0,8042595.0,2.893,18.57,-33.224999999999994,22.09,-35.665000000000006,-3.52,True,7,-0.5,3,-0.052,10,11,40.2,40.2,0.448,4.964,33.5,550790.5
CTRL_sellonly_unre_m010,CTRL,unreal,10.0,0.0,month,0.0,21.81,20.97,-36.27,0.603,72.92,15.0,33.75,3.87,0.0,2061.0,831.5,731.5,10114527.0,2.662,20.63,-33.08,23.02,-36.27,-2.39,True,26,0.9,14,-0.004,30,18,39.95,39.95,0.475,6.165,36.8,621322.0
CTRL_hardstop08,CTRL,,0.0,0.0,month,0.0,19.805,19.08,-30.19,0.657,68.595,15.0,39.5,0.0,0.0,1998.0,762.0,857.0,6560869.0,3.135,19.99,-30.19,19.604999999999997,-26.95,0.39,True,2,-1.17,26,0.043,30,0,44.6,44.6,0.451,4.855,34.5,638045.5
CTRL_hardstop10,CTRL,,0.0,0.0,month,0.0,20.62,19.82,-30.46,0.677,70.34,12.0,36.5,0.0,0.0,2068.0,760.5,792.0,7685773.0,2.898,19.42,-30.46,21.86,-29.9,-2.44,True,6,-0.43,29,0.066,30,4,46.35,46.35,0.463,5.039,34.3,632492.0
CTRL_hardstop15,CTRL,,0.0,0.0,month,0.0,19.935,19.3,-33.735,0.585,72.07,14.0,32.7,0.0,0.0,2016.5,891.0,710.0,6655093.5,2.517,18.59,-32.04,21.155,-33.735,-2.57,True,0,-1.07,6,-0.039,0,1,42.45,42.45,0.415,4.552,31.3,545086.5
