label,axis,slots,slot_pct,select,idle,cost_bps,rot_score,rot_margin,rot_max_per_day,rot_entrant,trim_mult,trim_when,min_fill_frac,rot_sell_only,hard_stop,hard_stop_pct,seeds,cagr_med,cagr_min,cagr_max,maxdd_med,maxdd_worst,calmar_med,calmar_min,cagr_med,maxdd_med,calmar_med,sharpe_med,trades_med,trades_per_yr_med,win_rate_med,avg_win_med,avg_loss_med,expectancy_med,max_loss_streak_med,invested_pct_med,w1_cagr_med,w1_dd_med,w2_cagr_med,w2_dd_med,days_signal_med,days_bind_med,days_full_med,turned_away_med,cash_refused_med,entries_taken_med,swaps_med,swap_attempts_med,swaps_per_yr_med,trims_med,trims_per_yr_med,trim_notional_med,partial_fills_med,tax_paid_med,tax_st_med,tax_lt_med,turnover_x_med,pos_rs_med_med,cap_pct_med_med,cap_pct_p95_med,cap_over1pct_med,profit_total_med,top10_share_med,top10_share_all_med,mult_all_med,mult_drop10_med,med_seed,secs
B3_fill_f025,B,16,0.0625,random,0.052,25.0,,0.0,1,tv,0.0,month,0.25,0,0,0.92,30,21.11,20.09,22.41,-34.26,-38.29,0.615,0.536,21.11,-34.26,0.615,1.176,746.0,34.4,48.75,36.55,-11.74,11.867,14.0,74.395,18.855,-33.41,23.27,-34.26,1880.0,1106.0,804.0,2378.0,496.0,746.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,8146569.5,6802637.0,1289612.5,2.485,517526.0,0.389,4.66,30.85,69329262.5,36.2,36.2,4.2556060991395725e+21,2.831693949960192e+16,23,4.6
B3_fill_f050,B,16,0.0625,random,0.052,25.0,,0.0,1,tv,0.0,month,0.5,0,0,0.92,30,20.675,20.1,21.94,-36.64,-38.17,0.567,0.531,20.675,-36.64,0.567,1.162,726.0,33.5,49.1,36.365,-11.785,11.825,14.0,74.23,18.71,-33.455,22.64,-36.64,1880.0,899.0,396.0,1911.0,980.5,726.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,7761683.0,6556481.0,1231966.0,2.493,512471.0,0.397,4.583,31.35,63880391.0,35.8,35.8,1.8233260081310796e+21,1.2938590052941824e+16,29,5.4
B3_fill_f075,B,16,0.0625,random,0.052,25.0,,0.0,1,tv,0.0,month,0.75,0,0,0.92,30,20.715,19.13,21.55,-38.01,-38.14,0.557,0.513,20.715,-38.01,0.557,1.161,711.0,32.8,48.85,36.71,-11.79,11.963,14.0,73.715,18.91,-32.62,22.4,-38.01,1880.0,690.0,154.5,1422.5,1479.0,711.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,7843334.0,6743167.5,1064575.0,2.506,524126.0,0.422,4.726,32.5,64239247.5,37.9,37.9,6.651205145239319e+20,5527392055459840.0,12,5.5
X_plat_unre_m002,X,16,0.0625,random,0.052,25.0,unreal,2.5,1,tv,0.0,month,0.0,0,0,0.92,30,19.945,18.71,20.31,-39.56,-39.57,0.504,0.473,19.945,-39.56,0.504,1.098,1068.5,49.25,34.6,35.42,-7.19,7.569,20.0,73.12,19.49,-33.53,20.27,-39.56,1880.0,439.5,21.0,857.0,2121.0,1068.5,430.0,2636.5,19.83,0.0,0.0,0.0,0.0,6899378.0,5877097.0,996139.5,4.189,596533.5,0.407,4.464,30.9,55841149.0,48.0,48.0,1.3091326949777736e+19,109256397291520.0,6,11.3
X_plat_unre_m007,X,16,0.0625,random,0.052,25.0,unreal,7.5,1,tv,0.0,month,0.0,0,0,0.92,30,21.4,20.47,22.11,-35.61,-35.94,0.601,0.575,21.4,-35.61,0.601,1.197,783.0,36.1,45.5,36.495,-9.97,11.156,16.0,72.905,21.39,-32.12,21.28,-35.61,1880.0,496.0,36.0,979.5,1993.0,783.0,137.0,2878.5,6.32,0.0,0.0,0.0,0.0,9453099.5,7856315.0,1465768.0,2.911,691789.0,0.482,5.806,37.05,73238308.5,36.0,36.0,1.1381995751949449e+22,9.335066320699392e+16,15,8.7
X_plat_unre_m012,X,16,0.0625,random,0.052,25.0,unreal,12.5,1,tv,0.0,month,0.0,0,0,0.92,30,21.675,20.31,22.49,-33.74,-37.7,0.641,0.539,21.675,-33.74,0.641,1.224,712.0,32.8,48.6,37.85,-11.32,12.545,16.0,73.105,19.0,-31.76,24.335,-33.74,1880.0,522.5,93.0,1043.0,1918.5,712.0,51.5,2928.0,2.375,0.0,0.0,0.0,0.0,9501644.0,8031525.0,1252591.5,2.561,553532.0,0.406,5.185,32.3,76847252.5,37.7,37.7,7.912444554071402e+21,3.571481450853171e+16,22,11.0
X_plat_unre_m015,X,16,0.0625,random,0.052,25.0,unreal,15.0,1,tv,0.0,month,0.0,0,0,0.92,30,20.355,19.51,21.12,-33.03,-37.17,0.609,0.525,20.355,-33.03,0.609,1.15,702.0,32.4,48.1,36.435,-11.27,11.684,15.0,73.01,18.41,-32.98,22.15,-32.99,1880.0,484.5,41.0,986.0,1954.5,702.0,22.0,2927.0,1.01,0.0,0.0,0.0,0.0,7348094.0,6443913.0,899208.0,2.491,527724.0,0.402,4.281,30.4,59742656.0,37.8,37.8,2.020227007830043e+20,1657992466399232.0,30,11.4
X_plat_cush_m007,X,16,0.0625,random,0.052,25.0,cushion,7.5,1,tv,0.0,month,0.0,0,0,0.92,30,24.08,23.41,24.34,-43.82,-43.82,0.55,0.535,24.08,-43.82,0.55,1.115,1676.0,77.3,46.45,24.265,-9.89,5.984,13.0,75.41,21.06,-43.82,27.155,-37.13,1880.0,791.0,258.0,1693.0,1482.0,1676.0,1229.0,2120.0,56.67,0.0,0.0,0.0,0.0,19045892.0,18780530.0,265040.0,7.813,814110.0,0.784,9.078,45.3,123783321.5,46.1,46.1,8.36655010432354e+21,6.369025901094502e+16,16,10.7
X_plat_cush_m015,X,16,0.0625,random,0.052,25.0,cushion,15.0,1,tv,0.0,month,0.0,0,0,0.92,30,22.91,21.67,23.85,-42.9,-45.48,0.53,0.491,22.91,-42.9,0.53,1.082,1231.5,56.8,45.6,31.17,-11.385,8.026,14.0,74.62,22.645,-42.32,23.19,-42.9,1880.0,777.5,250.5,1610.0,1504.5,1231.5,728.0,2548.0,33.57,0.0,0.0,0.0,0.0,15136243.5,14834754.5,305475.5,5.413,888606.0,1.063,9.808,51.35,99727110.5,48.5,48.5,6.124220656967211e+20,2566958071414784.0,19,9.7
X_plat_cush_m020,X,16,0.0625,random,0.052,25.0,cushion,20.0,1,tv,0.0,month,0.0,0,0,0.92,30,20.105,19.3,21.12,-44.09,-45.74,0.458,0.422,20.105,-44.09,0.458,0.992,1017.0,46.9,45.05,34.495,-12.39,8.722,18.5,74.3,21.585,-42.43,18.445,-44.09,1880.0,640.5,103.0,1351.5,1727.5,1017.0,477.5,2723.5,22.02,0.0,0.0,0.0,0.0,10372300.0,9952994.5,406426.5,4.184,866163.0,0.877,8.084,47.3,60648795.0,50.75,50.75,1.6412038982637978e+17,454265733120.0,16,8.6
X_plat_rs_m015,X,16,0.0625,random,0.052,25.0,rs,15.0,1,tv,0.0,month,0.0,0,0,0.92,30,22.76,22.53,23.11,-41.32,-41.35,0.553,0.545,22.76,-41.32,0.553,1.148,1254.0,57.8,46.6,27.615,-9.555,7.763,16.0,72.78,19.8,-38.1,25.695,-41.32,1880.0,497.0,24.0,1015.0,1947.5,1254.0,598.0,2286.0,27.575,0.0,0.0,0.0,0.0,13499655.5,11967113.0,1536412.5,5.426,684921.0,0.659,8.851,42.05,95510641.5,44.95,44.95,1.975642532603354e+21,3505117844209664.0,22,6.2
