trigger,dist,coverage,unwind,n,armed,total,mean,median,win,worst,p10,d_total,d_mean,t,worst_delta,wing_pnl,wing_paid_days
T1300_5000,150,BIGGEST,EOD,84,68,788607,9388,9004,77.4,-37859,-9647,-40538,-483,-0.39,34492,-40535,18
ABS_12000,100,ADVERSE,EOD,84,4,787879,9380,11230,78.6,-72351,-12496,-41266,-491,-1.81,0,-41265,0
T1300_10000,200,ADVERSE,EOD,84,5,787555,9376,10950,78.6,-72351,-12496,-41590,-495,-2.0,0,-41588,0
ABS_5000,200,ALL,RECOVER,84,77,787326,9373,11181,78.6,-72767,-13039,-41819,-498,-4.42,-416,-41815,12
ABS_8000,100,BIGGEST,RECOVER,84,67,786888,9368,10623,78.6,-72357,-12496,-42257,-503,-6.01,-6,-42259,6
ABS_10000,100,BIGGEST,RECOVER,84,63,786771,9366,10572,78.6,-73642,-12496,-42374,-504,-6.13,-1291,-42367,5
T1400_8000,250,ADVERSE,EOD,84,6,786387,9362,10852,78.6,-72351,-12496,-42758,-509,-2.06,0,-42756,0
ABS_10000,500,BIGGEST,EOD,84,63,786136,9359,9568,78.6,-53863,-12496,-43009,-512,-0.75,18488,-43010,10
T1400_8000,100,ALL,RECOVER,84,63,786116,9359,10814,78.6,-72351,-12496,-43029,-512,-2.85,0,-43031,9
T1300_5000,150,ALL,EOD,84,68,785759,9354,9042,78.6,-37859,-8897,-43386,-516,-0.3,34492,-43385,17
T1300_5000,150,ADVERSE,EOD,84,5,785669,9353,10950,78.6,-72351,-12496,-43476,-518,-1.92,0,-43475,0
T1300_10000,150,ADVERSE,EOD,84,5,785484,9351,10950,78.6,-72351,-12496,-43661,-520,-2.02,0,-43661,0
T1300_10000,100,ADVERSE,EOD,84,5,784409,9338,10950,78.6,-72351,-12496,-44736,-533,-2.01,0,-44734,0
T1300_5000,100,ADVERSE,EOD,84,5,784382,9338,10950,78.6,-72351,-12496,-44763,-533,-1.94,0,-44762,0
ABS_10000,300,BIGGEST,EOD,84,63,784180,9335,8266,79.8,-38721,-8346,-44965,-535,-0.41,33630,-44958,15
ABS_8000,300,ALL,EOD,84,67,783880,9332,7284,78.6,-38721,-9182,-45265,-539,-0.29,33630,-45256,11
ABS_8000,100,ALL,RECOVER,84,67,782812,9319,10623,78.6,-72479,-12496,-46333,-552,-6.35,-128,-46333,6
T1400_8000,200,ADVERSE,EOD,84,6,782518,9316,10852,78.6,-72351,-12496,-46627,-555,-2.08,0,-46627,0
ABS_10000,150,ALL,RECOVER,84,63,780929,9297,10377,77.4,-74212,-12496,-48216,-574,-6.21,-1861,-48208,4
T1400_8000,150,ADVERSE,EOD,84,6,779798,9283,10852,78.6,-72351,-12496,-49347,-587,-2.12,0,-49346,0
ABS_10000,100,BIGGEST,EOD,84,63,777394,9255,5950,75.0,-38721,-9004,-51751,-616,-0.23,33630,-51750,18
T1400_8000,100,ADVERSE,EOD,84,6,776582,9245,10852,78.6,-72351,-12496,-52563,-626,-2.17,0,-52563,0
ABS_10000,100,ALL,RECOVER,84,63,775481,9232,10491,77.4,-74990,-12496,-53664,-639,-5.71,-2639,-53656,4
ABS_8000,100,BIGGEST,EOD,84,67,774482,9220,3823,69.0,-38721,-10674,-54663,-651,-0.21,33630,-54657,16
ABS_5000,150,BIGGEST,RECOVER,84,77,773975,9214,10998,77.4,-73343,-12550,-55170,-657,-4.04,-992,-55173,11
T1400_8000,500,BIGGEST,EOD,84,63,773223,9205,9465,78.6,-72351,-12496,-55922,-666,-1.24,0,-55924,14
ABS_8000,150,BIGGEST,EOD,84,67,772858,9201,5766,72.6,-38721,-9718,-56287,-670,-0.27,33630,-56279,15
ABS_5000,150,ALL,RECOVER,84,77,771375,9183,10998,77.4,-73503,-13051,-57770,-688,-4.18,-1152,-57775,11
T1300_10000,100,ALL,EOD,84,60,771132,9180,8705,76.2,-38721,-9004,-58013,-691,-0.35,33630,-58016,16
ABS_5000,500,ALL,EOD,84,77,768355,9147,9250,78.6,-38732,-16666,-60790,-724,-0.88,33619,-60792,14
ABS_10000,250,BIGGEST,EOD,84,63,767963,9142,8251,78.6,-38721,-8346,-61182,-728,-0.47,33630,-61173,15
PCT_20,100,BIGGEST,EOD,84,15,766104,9120,11706,78.6,-72351,-12496,-63041,-750,-2.0,0,-63043,4
T1400_8000,400,BIGGEST,EOD,84,63,765948,9118,8729,78.6,-72351,-12536,-63197,-752,-1.09,0,-63200,15
PCT_20,100,ALL,EOD,84,15,765874,9118,11706,78.6,-72351,-12496,-63271,-753,-2.01,0,-63273,4
T1400_8000,500,ALL,EOD,84,63,762822,9081,9275,78.6,-72351,-12496,-66323,-790,-1.38,0,-66325,14
ABS_5000,500,BIGGEST,EOD,84,77,762472,9077,9390,78.6,-56571,-13974,-66673,-794,-1.1,15780,-66679,13
ABS_8000,500,BIGGEST,EOD,84,67,762408,9076,9139,78.6,-53852,-12496,-66737,-794,-1.26,18499,-66736,7
ABS_8000,400,BIGGEST,EOD,84,67,760615,9055,7875,78.6,-40319,-12496,-68530,-816,-0.91,32032,-68529,10
ABS_5000,100,BIGGEST,RECOVER,84,77,759389,9040,10924,78.6,-73409,-12573,-69756,-830,-3.86,-1058,-69750,8
T1400_8000,400,ALL,EOD,84,63,758680,9032,8453,78.6,-72351,-10059,-70465,-839,-1.1,0,-70468,15
ABS_8000,200,BIGGEST,EOD,84,67,758352,9028,6164,76.2,-38721,-9264,-70793,-843,-0.43,33630,-70790,14
ABS_5000,100,ALL,RECOVER,84,77,757603,9019,10924,78.6,-73547,-13096,-71542,-852,-3.94,-1196,-71540,8
ABS_5000,400,ALL,EOD,84,77,756647,9008,8446,76.2,-37859,-11832,-72498,-863,-0.76,34492,-72499,16
T1400_8000,300,BIGGEST,EOD,84,63,747786,8902,8034,78.6,-72351,-10898,-81359,-969,-1.17,0,-81355,16
ABS_10000,150,BIGGEST,EOD,84,63,747183,8895,7633,79.8,-38721,-8436,-81962,-976,-0.45,33630,-81957,17
ABS_10000,200,BIGGEST,EOD,84,63,745720,8878,7968,79.8,-38721,-8346,-83425,-993,-0.53,33630,-83416,15
ABS_5000,400,BIGGEST,EOD,84,77,744191,8859,8446,76.2,-47757,-11832,-84954,-1011,-1.03,24594,-84959,15
T1400_8000,300,ALL,EOD,84,63,740329,8813,8034,79.8,-72351,-12233,-88816,-1057,-1.1,0,-88802,15
T1300_5000,100,BIGGEST,EOD,84,68,736860,8772,9492,73.8,-37859,-10588,-92285,-1099,-0.83,34492,-92283,18
T1400_8000,250,BIGGEST,EOD,84,63,733789,8736,8850,78.6,-72351,-11036,-95356,-1135,-1.26,0,-95352,15
ABS_8000,250,BIGGEST,EOD,84,67,732858,8724,7012,77.4,-38721,-9162,-96287,-1146,-0.75,33630,-96288,15
ABS_8000,300,BIGGEST,EOD,84,67,730820,8700,6734,76.2,-38721,-9182,-98325,-1171,-0.93,33630,-98317,12
T1400_8000,250,ALL,EOD,84,63,723509,8613,8480,79.8,-72351,-12496,-105636,-1258,-1.17,0,-105630,14
T1300_5000,100,ALL,EOD,84,68,714781,8509,9172,77.4,-37859,-10730,-114364,-1361,-0.72,34492,-114364,16
T1400_8000,200,BIGGEST,EOD,84,63,713439,8493,8783,79.8,-72351,-11643,-115706,-1377,-1.39,0,-115707,15
ABS_5000,300,ALL,EOD,84,77,710132,8454,6499,75.0,-37859,-7630,-119013,-1417,-0.91,34492,-119004,17
T1400_8000,200,ALL,EOD,84,63,696325,8290,8246,78.6,-72351,-12507,-132820,-1581,-1.3,0,-132816,14
ABS_5000,250,ALL,EOD,84,77,690713,8223,7744,78.6,-37859,-8890,-138432,-1648,-0.9,34492,-138428,19
ABS_5000,300,BIGGEST,EOD,84,77,690620,8222,6499,75.0,-37859,-9223,-138525,-1649,-1.25,34492,-138516,17
ABS_5000,200,ALL,EOD,84,77,686653,8174,6666,75.0,-39086,-9122,-142492,-1696,-0.76,33265,-142489,19
T1400_8000,150,BIGGEST,EOD,84,63,680371,8100,7451,78.6,-72351,-12589,-148774,-1771,-1.71,0,-148773,14
ABS_5000,250,BIGGEST,EOD,84,77,668480,7958,7078,76.2,-37859,-9237,-160665,-1913,-1.25,34492,-160663,19
ABS_5000,200,BIGGEST,EOD,84,77,662871,7891,5751,73.8,-39086,-9360,-166274,-1979,-1.04,33265,-166273,19
ABS_5000,150,ALL,EOD,84,77,658987,7845,5238,67.9,-41084,-10274,-170158,-2026,-0.74,31267,-170159,21
T1400_8000,150,ALL,EOD,84,63,651107,7751,6408,77.4,-72351,-12589,-178038,-2120,-1.61,0,-178039,14
ABS_5000,150,BIGGEST,EOD,84,77,634840,7558,4688,70.2,-41084,-10274,-194305,-2313,-0.97,31267,-194306,21
T1400_8000,100,BIGGEST,EOD,84,63,631559,7519,6072,75.0,-72351,-12876,-197586,-2352,-2.08,0,-197580,15
ABS_5000,100,ALL,EOD,84,77,619082,7370,2700,59.5,-42019,-12918,-210063,-2501,-0.75,30332,-210058,22
ABS_5000,100,BIGGEST,EOD,84,77,595859,7094,2554,60.7,-42019,-12918,-233286,-2777,-0.94,30332,-233278,21
T1400_8000,100,ALL,EOD,84,63,580547,6911,5702,75.0,-72351,-12876,-248598,-2960,-2.04,0,-248593,14
