underlying,timeframe,atr_period,multiplier,label,n_trades,raw_n_flips,filter_rate,trades_per_month,avg_entry_lag_bars,avg_trend_bars,avg_trend_cal_days,median_trend_cal_days,pct_in_market,pct_bars_long,pct_bars_short,dominant_direction_pct,mean_mae_pts,mean_mfe_pts,mfe_mae_ratio,weekly_alignment_pct,total_bars,calendar_days_span,passed_gates
NIFTY50,60min,7,3.0,NIFTY50_60min_p7_m3.0,99,114,0.13157894736842102,4.127825342465754,2.19,31.151515151515152,6.289983164983165,4.875,0.8967723175341669,0.4873509741203838,0.40942134341378306,0.4873509741203838,123.77274700126263,431.1318852588384,3.4832537509605435,0.494949494949495,3439,730,1
NIFTY50,60min,7,3.5,NIFTY50_60min_p7_m3.5,75,84,0.1071428571428571,3.1271404109589045,2.1973684210526314,42.12,8.61888888888889,6.875,0.9185809828438499,0.4858970630997383,0.43268391974411163,0.4858970630997383,141.439375,520.7280208333333,3.681634062886189,0.5866666666666667,3439,730,1
NIFTY50,60min,7,4.0,NIFTY50_60min_p7_m4.0,68,74,0.08108108108108103,2.83527397260274,2.3043478260869565,46.35294117647059,9.409926470588237,7.020833333333334,0.9165455074149462,0.4611805757487642,0.455364931666182,0.4611805757487642,156.6705824908088,525.9772231158088,3.357217511760165,0.6323529411764706,3439,730,1
NIFTY50,60min,7,5.0,NIFTY50_60min_p7_m5.0,52,60,0.1333333333333333,2.168150684931507,3.1132075471698113,58.57692307692308,12.05048076923077,10.104166666666668,0.8857225937772608,0.39371910439081126,0.49200348938644956,0.49200348938644956,186.04826472355768,588.1643254206731,3.161353460052987,0.8076923076923077,3439,730,1
NIFTY50,60min,10,1.5,NIFTY50_60min_p10_m1.5,214,236,0.09322033898305082,8.92277397260274,1.7767441860465116,13.682242990654206,2.5155763239875384,1.1875,0.8514102936900262,0.4771735969758651,0.3742366967141611,0.4771735969758651,80.71586594626169,272.5238664573598,3.376335783088772,0.1822429906542056,3439,730,0
NIFTY50,60min,10,2.0,NIFTY50_60min_p10_m2.0,165,182,0.09340659340659341,6.87970890410959,1.8132530120481927,18.303030303030305,3.5813131313131312,3.0,0.8781622564699041,0.4902587961616749,0.38790346030822914,0.4902587961616749,88.76122159090909,313.85031960227275,3.5358945491847225,0.26666666666666666,3439,730,1
NIFTY50,60min,10,2.5,NIFTY50_60min_p10_m2.5,134,150,0.10666666666666669,5.587157534246575,1.9703703703703703,22.723880597014926,4.584266169154229,3.854166666666667,0.8854318115731318,0.5045071241640011,0.38092468740913055,0.5045071241640011,113.85536672108209,343.3007229477612,3.015235318584185,0.35074626865671643,3439,730,1
NIFTY50,60min,10,3.0,NIFTY50_60min_p10_m3.0,97,110,0.11818181818181817,4.044434931506849,1.7244897959183674,32.134020618556704,6.5021477663230245,4.958333333333333,0.9063681302704274,0.5132305902878744,0.3931375399825531,0.5132305902878744,130.86861710695877,441.3310043492268,3.3723211424212383,0.4948453608247423,3439,730,1
NIFTY50,60min,10,3.5,NIFTY50_60min_p10_m3.5,76,82,0.07317073170731703,3.1688356164383564,1.974025974025974,41.8421052631579,8.49780701754386,6.125,0.9246874091305612,0.5033439953474848,0.4213434137830765,0.5033439953474848,134.33293071546052,516.6888877467105,3.8463307916741836,0.5789473684210527,3439,730,1
NIFTY50,60min,10,4.0,NIFTY50_60min_p10_m4.0,69,74,0.06756756756756754,2.876969178082192,2.742857142857143,45.492753623188406,9.304347826086957,6.166666666666667,0.9127653387612679,0.48037220122128527,0.43239313753998254,0.48037220122128527,151.14574841485506,521.2274682971015,3.448508964118991,0.6231884057971014,3439,730,1
