symbol,mode,ipo_short_window,base_qualify_date,rim_date,rim_level,trough_date,trough_close,depth_pct,base_len_bars,trough_pos,fit_r2,fit_curvature,vertex_frac,flat_frac,r2_ge_060,r2_ge_080,vol_ratio,obv_gain,obv_slope_norm,obv_filter_pass,tv20_cr_at_q,tv20_cr_at_breakout,breakout_date,breakout_close,breakout_day_move_pct,days_q_to_breakout,fill_a_nextopen_date,fill_a_nextopen,fill_b_buystop,gap_pct_a_vs_rim,pattern_quality,info_fwd60_pct,info_fwd120_pct,info_fwd250_pct,info_st73_exit_date,info_st73_exit_close,info_st73_ret_pct,info_st73_bars_held,info_st73_still_open,info_mfe_250_pct,info_mae_250_pct
ADANIPORTS,VAR,0,2022-09-07,2022-04-26,909.5,2022-06-20,663.15,27.09,93,0.413,0.794,1.048e-04,0.455,0.473,1,0,0.61,0.2187,0.2347,0,552.47,632.59,2022-09-12,938.5,3.49,3,2022-09-13,946.0,946.0,4.01,0.4186,-5.61,-27.63,-10.18,2022-09-26,863.4,-8.73,10,0,4.42,-58.23
ADANIPOWER,L120,0,2022-03-31,2021-10-19,24.95,2021-12-20,19.4,22.24,120,0.412,0.711,6.297e-05,0.362,0.425,1,0,3.608,0.3648,0.2907,1,336.35,336.35,2022-03-31,37.0,7.87,0,2022-04-01,37.55,37.55,50.5,0.3771,43.94,105.33,1.46,2022-05-12,48.5,29.16,27,0,130.36,-29.43
ADANIPOWER,L120,0,2026-04-21,2025-10-24,167.72,2026-02-01,132.85,20.79,120,0.563,0.701,6.019e-05,0.459,0.425,1,0,1.753,0.5713,0.3934,1,835.51,835.51,2026-04-21,202.98,1.07,0,2026-04-22,203.99,203.99,21.63,0.3461,5.22,4.42,4.42,2026-06-10,220.58,8.13,34,0,24.61,-2.94
ADOR,L180,0,2023-05-18,2022-09-21,1011.7,2022-12-23,776.1,23.29,180,0.458,0.738,2.995e-05,0.439,0.439,1,0,1.174,0.3407,0.3113,0,4.2,4.2,2023-05-18,1172.0,0.81,0,2023-05-19,1183.6,1183.6,16.99,0.3778,-6.58,22.25,14.91,2023-06-27,1090.0,-7.91,28,0,49.54,-13.65
ADSL,L120,0,2024-07-05,2024-01-15,191.85,2024-03-13,128.45,33.05,120,0.361,0.7,9.353e-05,0.529,0.483,1,0,0.765,0.6158,0.3131,0,20.76,20.76,2024-07-05,221.92,-0.85,0,2024-07-08,224.1,224.1,16.81,0.3542,23.61,2.9,-20.56,2024-12-20,244.35,9.04,115,0,42.75,-29.47
ADSL,VAR,0,2024-06-28,2024-01-15,191.85,2024-03-13,128.45,33.05,113,0.366,0.814,7.532e-05,0.592,0.513,1,1,0.772,0.4324,0.2272,0,6.63,7.31,2024-07-01,217.4,18.99,1,2024-07-02,218.0,218.0,13.63,0.5076,23.92,10.41,-17.07,2024-12-20,244.35,12.09,119,0,46.74,-27.5
ADVENZYMES,L120,0,2025-06-17,2025-01-03,358.5,2025-02-28,259.85,27.52,120,0.403,0.789,5.757e-05,0.597,0.433,1,0,0.823,0.2644,0.0431,0,5.43,7.48,2025-08-01,360.35,2.75,33,2025-08-04,354.0,358.5,-1.26,0.381,-12.34,-20.83,-8.38,2025-08-06,307.85,-13.04,3,0,18.36,-28.83
AETHER,L250,0,2026-02-17,2025-03-11,932.95,2025-09-17,730.8,21.67,250,0.582,0.709,1.486e-05,0.425,0.512,1,0,1.405,0.4236,0.5602,1,20.14,20.14,2026-02-17,977.7,1.23,0,2026-02-18,977.7,977.7,4.8,0.3815,11.03,66.22,68.25,2026-05-22,1051.3,7.53,62,0,75.62,-8.81
AFFLE,L120,0,2024-06-14,2024-01-01,1320.1,2024-03-19,1013.6,23.22,120,0.513,0.727,4.848e-05,0.575,0.417,1,0,1.093,0.3941,0.3948,0,31.84,30.33,2024-06-26,1370.55,6.24,7,2024-06-27,1375.0,1375.0,4.16,0.3819,12.97,32.28,44.3,2024-10-22,1474.85,7.26,81,0,47.78,-9.38
AFFLE,L120,0,2025-06-02,2024-12-16,1852.45,2025-02-28,1400.25,24.41,120,0.496,0.745,5.599e-05,0.542,0.4,1,0,0.735,0.276,0.2785,0,25.81,41.08,2025-06-09,1868.7,3.86,5,2025-06-10,1875.0,1875.0,1.22,0.376,1.57,-9.61,-22.86,2025-07-25,1801.6,-3.91,34,0,16.58,-33.26
AFFLE,VAR,0,2024-06-11,2024-01-01,1320.1,2024-03-19,1013.6,23.22,111,0.5,0.812,5.813e-05,0.578,0.45,1,1,1.112,0.3887,0.359,0,31.84,30.33,2024-06-26,1370.55,6.24,10,2024-06-27,1375.0,1375.0,4.16,0.5237,12.97,32.28,44.3,2024-10-22,1474.85,7.26,81,0,47.78,-9.38
AFFLE,VAR,0,2025-06-02,2024-12-16,1852.45,2025-02-28,1400.25,24.41,114,0.469,0.725,6.057e-05,0.523,0.421,1,0,0.784,0.276,0.2785,0,25.81,41.08,2025-06-09,1868.7,3.86,5,2025-06-10,1875.0,1875.0,1.22,0.3432,1.57,-9.61,-22.86,2025-07-25,1801.6,-3.91,34,0,16.58,-33.26
AGARIND,L120,0,2024-07-09,2024-02-01,1131.16,2024-03-13,786.48,30.47,120,0.353,0.7,9.782e-05,0.477,0.4,1,0,1.053,0.2882,0.3531,0,9.63,9.63,2024-07-09,1173.31,-1.33,0,2024-07-10,1178.82,1178.82,4.21,0.2214,-5.1,7.13,-21.98,2024-10-03,1112.18,-5.65,59,0,16.65,-29.22
AGARIND,VAR,0,2024-06-14,2024-02-01,1131.16,2024-03-13,786.48,30.47,90,0.315,0.772,1.365e-04,0.542,0.533,1,0,1.256,0.3602,0.2097,1,6.28,6.56,2024-06-18,1204.67,6.5,1,2024-06-19,1204.77,1204.77,6.51,0.4052,-1.42,3.55,-19.07,2024-10-03,1112.18,-7.69,74,0,14.14,-30.75
AGI,L120,0,2017-03-31,2016-11-08,296.4,2016-12-29,226.8,23.48,120,0.471,0.782,6.668e-05,0.527,0.567,1,0,1.255,0.3994,0.4165,1,2.28,3.7,2017-04-11,300.45,2.32,6,2017-04-12,301.45,301.45,1.7,0.5669,11.16,7.48,10.42,2017-08-02,299.3,-0.71,78,0,54.79,-10.93
