symbol,entry_date,exit_date,entry_px,exit_px,shares,pnl,ret_pct,bars,reason
NH,2021-07-14,2022-05-24,522.0,632.0,1011,108293.25,20.468939,212,ST_14_4
GANECOS,2022-04-12,2022-05-26,777.280029296875,639.4500122070312,728,-102918.78,-18.142677,29,ST_14_4
COLPAL,2022-06-01,2022-06-09,1628.199951171875,1508.0,322,-41229.062,-7.844323,6,ST_14_4
SOLARINDS,2022-06-13,2022-06-14,2849.0,2738.10009765625,179,-22351.375,-4.371941,1,ST_14_4
ADANIPOWER,2022-03-28,2022-06-17,29.200000762939453,51.70000076293945,19319,430770.2,76.17172,56,ST_14_4
MHRIL,2022-04-19,2022-06-17,269.8999938964844,205.0,2092,-138254.6,-24.424774,42,ST_14_4
VINYLINDIA,2022-04-21,2022-06-17,289.70001220703125,248.35000610351562,1945,-83042.03,-14.700955,40,ST_14_4
ASAHIINDIA,2022-08-25,2022-09-27,634.0,575.0,848,-52595.125,-9.758341,22,ST_14_4
NOCIL,2022-09-06,2022-09-27,288.0,248.5,1880,-76781.56,-14.145624,15,ST_14_4
MRF,2022-09-16,2022-09-27,92490.0,79700.953125,6,-79317.16,-14.257282,7,ST_14_4
SRHHYPOLTD,2022-07-14,2022-10-24,473.8999938964844,685.0,1061,220903.1,43.824326,68,ST_14_4
CENTURYPLY,2022-08-17,2022-10-31,663.0,600.0999755859375,795,-52515.97,-9.938627,50,ST_14_4
TDPOWERSYS,2022-08-11,2022-11-09,63.0,55.79999923706055,8505,-63762.0,-11.870325,59,ST_14_4
CARBORUNIV,2022-09-13,2022-11-11,901.5,806.8499755859375,631,-62419.094,-10.945559,40,ST_14_4
GOCOLORS,2022-09-30,2022-11-15,1337.0,1158.0,410,-75947.375,-13.82016,29,ST_14_4
SBCL,2022-09-28,2022-11-22,407.45001220703125,369.510009765625,1310,-52245.97,-9.763885,36,ST_14_4
BAJAJHLDNG,2022-09-02,2022-11-30,5788.0,6065.0,93,23005.125,4.263127,60,ST_14_4
MAHSCOOTER,2022-09-06,2022-12-06,4445.0,4834.7001953125,121,44346.625,8.224678,62,ST_14_4
BAJAJFINSV,2022-11-07,2022-12-08,1813.199951171875,1610.0,307,-65009.75,-11.649572,22,ST_14_4
POONAWALLA,2022-09-16,2022-12-20,315.79998779296875,287.70001220703125,1801,-53325.344,-9.352409,64,ST_14_4
BLS,2022-06-15,2022-12-26,102.95999908447266,151.52000427246094,4955,237462.47,46.42997,132,ST_14_4
JKLAKSHMI,2022-11-30,2023-01-10,691.7000122070312,752.3499755859375,787,44890.312,8.225751,29,ST_14_4
FIEMIND,2022-08-04,2023-01-11,847.0,800.0,625,-31948.438,-6.020075,108,ST_14_4
