Symbol,Trough_Date,Trough_Close,Depth_%,Shelf_Start_Date,Shelf_High,Shelf_Range_%,ATH_Before_Breakout,DistToATH_%,Breakout_Close_Date,Breakout_Close,VolMultiple,Entry_Date,Entry_Price_NextOpen,History_Bars,Pattern_Score,Info_Fwd250_%,Info_ST73_Ret_%
DEEPINDS,11-Aug-2022,88.16,33.08,13-Mar-2023,137.17,9.19,153.29,-8.58,05-Apr-2023,140.14,3.39,06-Apr-2023,141.85,483,0.43,104.95,73.79
DEEPAKFERT,10-Nov-2020,136.85,26.27,09-Jul-2021,441.95,7.75,481.55,-6.7,02-Aug-2021,449.3,4.23,03-Aug-2021,449.0,4093,0.43,74.51,-5.27
ASTEC,31-Mar-2021,996.2,23.31,22-Jun-2021,1368.35,3.78,1461.65,-2.93,13-Jul-2021,1418.85,8.85,14-Jul-2021,1414.2,2838,0.43,44.76,-10.06
MARUTI,29-Feb-2016,3236.5,31.67,07-Jul-2016,4558.15,9.15,4746.75,0.35,28-Jul-2016,4763.5,3.69,29-Jul-2016,4751.0,3208,0.43,64.08,13.51
GPIL,20-Dec-2021,48.1,38.57,16-Mar-2022,83.95,11.97,88.7,-2.31,07-Apr-2022,86.65,3.37,08-Apr-2022,87.8,3940,0.43,-14.07,-7.69
INDIACEM,27-Feb-2025,246.65,35.17,01-Jul-2025,350.75,2.22,380.45,-2.5,22-Jul-2025,370.95,14.38,23-Jul-2025,368.6,5079,0.43,5.79,1.93
NAM-INDIA,04-Feb-2019,131.05,51.21,26-Sep-2019,288.6,9.79,326.1,-5.27,22-Oct-2019,308.9,3.08,23-Oct-2019,312.3,480,0.43,-12.39,10.25
SRF,20-Jul-2018,312.65,34.92,16-Jan-2019,419.0,6.13,480.4,-7.44,06-Feb-2019,444.65,5.99,07-Feb-2019,447.0,3479,0.43,86.29,8.45
M&MFIN,02-Nov-2015,123.15,24.75,10-Jun-2016,187.45,7.98,190.5,4.72,01-Jul-2016,199.5,3.3,04-Jul-2016,200.65,2539,0.43,1.07,-10.19
INDNIPPON,30-Mar-2026,679.15,37.11,15-Jun-2026,1001.4,8.93,1079.9,-4.75,07-Jul-2026,1028.6,3.41,08-Jul-2026,1028.6,5256,0.43,30.27,3.65
HONAUT,22-Dec-2023,35109.35,20.06,18-Apr-2024,45220.75,4.35,49049.85,-4.54,10-May-2024,46823.2,5.09,13-May-2024,47050.0,4779,0.43,-23.32,8.73
