cell,exit,hard_stop,time_stop,shelf_S,vol_K,ath,obv_filter,market_gate,n_events,seeds,cagr_med,cagr_min,cagr_max,maxdd_med,maxdd_worst,calmar_med,sharpe_med,trades,win_rate,avg_win,avg_loss,expectancy,max_loss_streak,trades_per_yr,final_med
EMA50|h0|t0|s20|k2|a0.90|o0|g1,EMA50,0,0,20,2,0.9,0,1,881,10,8.61,8.53,8.66,-21.69,-21.69,0.397,0.951,549,35.2,25.69,-7.26,4.322,19,25.3,5997136.0
EMA50|h0|t0|s20|k2|a0.95|o0|g0,EMA50,0,0,20,2,0.95,0,0,652,10,10.36,10.36,10.51,-16.06,-16.06,0.645,1.066,514,37.7,29.98,-7.93,6.378,15,23.7,8482074.0
EMA50|h0|t0|s20|k2|a0.95|o1|g1,EMA50,0,0,20,2,0.95,1,1,228,10,8.72,8.72,8.72,-11.07,-11.07,0.788,1.434,202,41.1,33.08,-8.37,8.662,11,9.3,6133468.0
EMA50|h0|t0|s20|k2|a1.00|o1|g0,EMA50,0,0,20,2,1.0,1,0,164,10,6.99,6.99,6.99,-8.33,-8.33,0.84,1.438,164,40.2,28.05,-9.26,5.758,7,7.6,4333675.0
EMA50|h0|t0|s20|k3|a0.90|o0|g1,EMA50,0,0,20,3,0.9,0,1,772,10,8.4,8.26,8.53,-24.3,-26.46,0.346,0.922,507,34.8,26.96,-7.62,4.433,15,23.4,5751732.0
EMA50|h0|t0|s20|k3|a0.95|o0|g0,EMA50,0,0,20,3,0.95,0,0,568,10,10.34,10.34,10.35,-19.86,-19.86,0.521,1.091,459,39.4,29.81,-8.11,6.844,15,21.2,8455770.0
EMA50|h0|t0|s20|k3|a0.95|o1|g1,EMA50,0,0,20,3,0.95,1,1,197,10,7.97,7.97,7.97,-9.49,-9.49,0.84,1.47,177,39.5,32.56,-8.47,7.752,9,8.2,5280316.0
EMA50|h0|t0|s20|k3|a1.00|o1|g0,EMA50,0,0,20,3,1.0,1,0,141,10,6.85,6.85,6.85,-8.12,-8.12,0.844,1.506,141,39.7,29.31,-9.29,6.042,8,6.5,4212448.0
EMA50|h0|t0|s20|k5|a0.90|o0|g1,EMA50,0,0,20,5,0.9,0,1,541,10,9.63,9.63,9.64,-19.07,-19.07,0.505,1.139,400,40.8,27.75,-8.08,6.518,14,18.4,7350004.0
EMA50|h0|t0|s20|k5|a0.95|o0|g0,EMA50,0,0,20,5,0.95,0,0,403,10,10.5,10.5,10.5,-20.16,-20.16,0.521,1.25,352,45.2,27.78,-8.27,8.016,14,16.2,8721111.0
EMA50|h0|t0|s20|k5|a0.95|o1|g1,EMA50,0,0,20,5,0.95,1,1,150,10,7.91,7.91,7.91,-9.28,-9.28,0.853,1.645,138,49.3,27.82,-8.84,9.226,8,6.4,5215908.0
