,nav
2010-02-18,3382359.5
2010-02-19,3361817.5
2010-02-22,3345130.5
2010-02-23,3316275.0
2010-02-24,3324512.25
2010-02-25,3322116.0
2010-02-26,3340533.75
2010-03-02,3375085.0
2010-03-03,3392251.5
2010-03-04,3416630.5
2010-03-05,3410362.0
2010-03-08,3437460.25
2010-03-09,3416596.0
2010-03-10,3404959.75
2010-03-11,3413793.25
2010-03-12,3399804.75
2010-03-15,3396314.0
2010-03-16,3445292.5
2010-03-17,3460361.25
2010-03-18,3498973.25
2010-03-19,3519292.25
2010-03-22,3483925.75
2010-03-23,3491227.0
2010-03-25,3500275.25
2010-03-26,3518231.75
2010-03-29,3504348.75
2010-03-30,3483900.25
2010-03-31,3497147.75
2010-04-01,3417762.5
2010-04-05,3445082.75
2010-04-06,3424547.75
2010-04-07,3489556.75
2010-04-08,3441761.25
2010-04-09,3456337.5
2010-04-12,3454932.0
2010-04-13,3476289.0
2010-04-15,3467778.0
2010-04-16,3475505.75
2010-04-19,3446431.25
2010-04-20,3490502.25
2010-04-21,3501608.0
2010-04-22,3504724.25
2010-04-23,3527187.5
2010-04-26,3507933.75
2010-04-27,3491122.75
2010-04-28,3467296.5
2010-04-29,3492700.75
2010-04-30,3506437.25
2010-05-03,3520801.75
2010-05-04,3458456.25
2010-05-05,3479563.5
2010-05-06,3468247.5
2010-05-07,3399653.5
2010-05-10,3471299.0
2010-05-11,3454040.75
2010-05-12,3470387.0
2010-05-13,3520283.25
2010-05-14,3477614.5
2010-05-17,3464941.0
2010-05-18,3484620.5
2010-05-19,3387846.75
2010-05-20,3374676.25
2010-05-21,3359416.75
2010-05-24,3343263.0
2010-05-25,3247254.25
2010-05-26,3283392.0
2010-05-27,3321355.0
2010-05-28,3360658.0
2010-05-31,3383826.5
2010-06-01,3350961.5
2010-06-02,3364854.75
2010-06-03,3380163.25
2010-06-04,3379626.25
2010-06-07,3354667.0
2010-06-08,3346691.5
2010-06-09,3348475.75
2010-06-10,3370917.25
2010-06-11,3380791.5
2010-06-14,3393597.0
2010-06-15,3398064.5
2010-06-16,3391589.5
2010-06-17,3390968.5
2010-06-18,3380178.25
2010-06-21,3403600.5
2010-06-22,3416693.5
2010-06-23,3450636.25
2010-06-24,3474367.75
2010-06-25,3468237.0
2010-06-28,3518775.5
2010-06-29,3518694.25
2010-06-30,3557747.5
2010-07-01,3532785.75
2010-07-02,3522374.0
2010-07-05,3528914.25
2010-07-06,3546338.25
2010-07-07,3523789.5
2010-07-08,3560064.5
2010-07-09,3572969.0
2010-07-12,3556803.5
2010-07-13,3570738.75
2010-07-14,3588896.5
