label,exit_strategy,exit_params,entry_filters,vol_multiplier,ath_lookback,vol_avg_period,total_trades,winners,losers,win_rate,avg_return_pct,avg_winner_pct,avg_loser_pct,max_return_pct,max_loss_pct,profit_factor,expectancy,total_pnl,final_capital,total_return_pct,avg_hold_days,median_return_pct,exit_breakdown
D_ADX7p20_RSI7p55_FIX_T30_SL15,fixed_target,"T=30%,SL=15%",ADX7>20+RSI7>55,2.5,10,30,225,120,105,53.3,9.94,32.98,-16.39,49.96,-30.03,2.2,9.94,19981117,29981117,199.81,84.4,30.03,end_of_data=12; stop_loss=99; target_hit=114
D_ADX7p20_RSI7p55_FIX_T15_SL7,fixed_target,"T=15%,SL=7%",ADX7>20+RSI7>55,2.5,10,30,225,108,117,48.0,4.05,17.88,-8.72,27.87,-14.53,1.89,4.05,5683417,15683417,56.83,27.8,-7.04,end_of_data=5; stop_loss=116; target_hit=104
D_ALL_RSI7p55_LG_BRK2_EMA5_FIX_T30_SL15,fixed_target,"T=30%,SL=15%",RSI7>55+LG+BRK2+EMA5,2.5,10,30,75,42,33,56.0,11.41,33.29,-16.43,49.96,-25.81,2.5,11.41,5230969,15230969,52.31,63.3,30.08,end_of_data=4; stop_loss=31; target_hit=40
D_ALL_RSI7p55_LG_BRK2_EMA5_FIX_T15_SL7,fixed_target,"T=15%,SL=7%",RSI7>55+LG+BRK2+EMA5,2.5,10,30,75,35,40,46.7,3.58,18.1,-9.12,27.87,-14.53,1.72,3.58,1414346,11414347,14.14,18.6,-7.38,end_of_data=1; stop_loss=40; target_hit=34
D_MAXAGE25_FIX_T30_SL15,fixed_target,"T=30%,SL=15%",MaxAge=25d,2.5,10,30,137,69,68,50.4,9.02,34.28,-16.62,49.96,-30.03,2.02,9.02,8312744,18312744,83.13,73.4,6.33,end_of_data=4; stop_loss=65; target_hit=68
D_MAXAGE30_FIX_T30_SL15,fixed_target,"T=30%,SL=15%",MaxAge=30d,2.5,10,30,165,89,76,53.9,10.14,32.94,-16.55,49.96,-30.03,2.26,10.14,12742804,22742804,127.43,74.9,30.1,end_of_data=8; stop_loss=72; target_hit=85
D_MAXAGE35_FIX_T30_SL15,fixed_target,"T=30%,SL=15%",MaxAge=35d,2.5,10,30,178,94,84,52.8,9.69,33.05,-16.45,49.96,-30.03,2.17,9.69,13308224,23308224,133.08,77.8,30.02,end_of_data=9; stop_loss=79; target_hit=90
D_MAXAGE25_FIX_T15_SL7,fixed_target,"T=15%,SL=7%",MaxAge=25d,2.5,10,30,137,60,77,43.8,3.07,18.25,-8.77,27.87,-14.53,1.61,3.07,2296332,12296332,22.96,23.7,-7.23,end_of_data=1; stop_loss=77; target_hit=59
D_MAXAGE30_FIX_T15_SL7,fixed_target,"T=15%,SL=7%",MaxAge=30d,2.5,10,30,165,76,89,46.1,3.61,18.14,-8.8,27.87,-14.53,1.75,3.61,3411221,13411221,34.11,24.9,-7.15,end_of_data=2; stop_loss=89; target_hit=74
D_MAXAGE35_FIX_T15_SL7,fixed_target,"T=15%,SL=7%",MaxAge=35d,2.5,10,30,178,81,97,45.5,3.53,18.28,-8.78,27.87,-14.53,1.73,3.53,3630986,13630986,36.31,24.3,-7.19,end_of_data=2; stop_loss=97; target_hit=79
D_MAXAGE25_RSI7p55_LG_FIX_T30_SL15,fixed_target,"T=30%,SL=15%",MaxAge25+RSI7>55+LG,2.5,10,30,55,26,29,47.3,8.35,36.02,-16.47,49.96,-25.81,1.91,8.35,2513942,12513942,25.14,63.1,-15.01,end_of_data=1; stop_loss=28; target_hit=26
D_MAXAGE25_RSI7p55_LG_FIX_T15_SL7,fixed_target,"T=15%,SL=7%",MaxAge25+RSI7>55+LG,2.5,10,30,55,19,36,34.5,0.54,19.01,-9.22,27.87,-14.53,1.08,0.54,135302,10135302,1.35,15.2,-7.65,stop_loss=36; target_hit=19
D_MAXAGE30_RSI7p55_LG_FIX_T30_SL15,fixed_target,"T=30%,SL=15%",MaxAge30+RSI7>55+LG,2.5,10,30,66,35,31,53.0,10.39,34.13,-16.4,49.96,-25.81,2.29,10.39,4002791,14002791,40.03,63.7,30.05,end_of_data=3; stop_loss=29; target_hit=34
D_MAXAGE30_RSI7p55_LG_FIX_T15_SL7,fixed_target,"T=15%,SL=7%",MaxAge30+RSI7>55+LG,2.5,10,30,66,26,40,39.4,1.78,18.61,-9.16,27.87,-14.53,1.31,1.78,589422,10589422,5.89,16.4,-7.61,stop_loss=40; target_hit=26
D_BRK3_LG_FIX_T30_SL15,fixed_target,"T=30%,SL=15%",BRK>3%+LG,2.5,10,30,64,39,25,60.9,13.98,33.95,-17.17,49.96,-25.81,2.95,13.98,5538587,15538587,55.39,53.8,30.28,end_of_data=1; stop_loss=25; target_hit=38
D_BRK3_LG_FIX_T15_SL7,fixed_target,"T=15%,SL=7%",BRK>3%+LG,2.5,10,30,64,31,33,48.4,4.3,18.83,-9.34,27.87,-14.53,1.88,4.3,1455052,11455052,14.55,15.1,-7.44,stop_loss=33; target_hit=31
D_BRK3_LG_FIX_T20_SL10,fixed_target,"T=20%,SL=10%",BRK>3%+LG,2.5,10,30,64,35,29,54.7,8.31,25.29,-12.2,43.92,-17.52,2.4,8.31,2998830,12998830,29.99,25.9,20.62,end_of_data=1; stop_loss=29; target_hit=34
D_BRK5_LG_FIX_T30_SL15,fixed_target,"T=30%,SL=15%",BRK>5%+LG,2.5,10,30,47,28,19,59.6,12.72,33.09,-17.3,43.92,-25.81,2.77,12.72,3421210,13421210,34.21,49.8,30.18,end_of_data=1; stop_loss=19; target_hit=27
D_BRK5_LG_FIX_T15_SL7,fixed_target,"T=15%,SL=7%",BRK>5%+LG,2.5,10,30,47,23,24,48.9,4.67,19.13,-9.19,27.87,-14.53,1.99,4.67,1144311,11144311,11.44,14.6,-7.38,stop_loss=24; target_hit=23
D_BRK5_LG_FIX_T20_SL10,fixed_target,"T=20%,SL=10%",BRK>5%+LG,2.5,10,30,47,25,22,53.2,7.81,25.52,-12.32,43.92,-17.52,2.31,7.81,1983924,11983924,19.84,25.9,20.6,end_of_data=1; stop_loss=22; target_hit=24
D_BRK7_LG_FIX_T30_SL15,fixed_target,"T=30%,SL=15%",BRK>7%+LG,2.5,10,30,31,20,11,64.5,16.17,34.93,-17.95,43.92,-25.81,3.42,16.17,2802883,12802883,28.03,51.3,31.8,stop_loss=11; target_hit=20
