phase,label,exit_strategy,exit_params,vol_multiplier,ath_lookback,vol_avg_period,total_trades,winners,losers,win_rate,avg_return_pct,avg_winner_pct,avg_loser_pct,max_return_pct,max_loss_pct,profit_factor,expectancy,total_pnl,final_capital,total_return_pct,cagr,sharpe,max_drawdown,avg_hold_days,exit_breakdown
P3,ST_10_3.0_V3.0_ATH5_VA30,supertrend,"ATR=10,M=3.0",3.0,5,30,25,16,9,64.0,255.65,413.4,-24.81,4098.45,-33.2,15.95,255.65,75631070,85631070,756.31,211989183003.81,1.59,3.09,947.0,end_of_data=10; hard_stop_30=7; supertrend_flip=8
P3,ST_10_3.0_V3.0_ATH7_VA10,supertrend,"ATR=10,M=3.0",3.0,7,10,31,17,14,54.8,204.41,393.97,-25.76,4098.45,-33.2,9.01,204.41,73152557,83152557,731.53,158036013578.85,1.55,3.11,840.3,end_of_data=10; hard_stop_30=11; supertrend_flip=10
P3,ST_10_3.0_V3.0_ATH7_VA15,supertrend,"ATR=10,M=3.0",3.0,7,15,28,15,13,53.6,225.76,444.65,-26.81,4098.45,-33.2,10.4,225.76,72166379,82166379,721.66,140262478255.86,1.56,3.32,804.0,end_of_data=8; hard_stop_30=11; supertrend_flip=9
P3,ST_10_3.0_V3.0_ATH7_VA20,supertrend,"ATR=10,M=3.0",3.0,7,20,28,15,13,53.6,226.4,444.65,-25.43,4098.45,-33.2,11.67,226.4,72912238,82912238,729.12,153527579149.31,1.56,3.73,818.4,end_of_data=8; hard_stop_30=10; supertrend_flip=10
P3,ST_10_3.0_V3.0_ATH7_VA30,supertrend,"ATR=10,M=3.0",3.0,7,30,26,17,9,65.4,256.93,406.08,-24.81,4098.45,-33.2,18.36,256.93,88001783,98001783,880.02,817221475396.82,1.66,3.09,1023.0,end_of_data=10; hard_stop_30=7; supertrend_flip=9
P3,ST_10_3.0_V3.0_ATH10_VA10,supertrend,"ATR=10,M=3.0",3.0,10,10,34,17,17,50.0,175.75,378.54,-27.04,4098.45,-37.85,6.19,175.75,59962407,69962407,599.62,28096190262.19,1.46,6.7,778.5,end_of_data=11; hard_stop_30=14; supertrend_flip=9
P3,ST_10_3.0_V3.0_ATH10_VA15,supertrend,"ATR=10,M=3.0",3.0,10,15,32,16,16,50.0,195.07,417.3,-27.17,4098.45,-37.85,8.06,195.07,68950914,78950914,689.51,94096100773.4,1.53,4.59,755.3,end_of_data=9; hard_stop_30=13; supertrend_flip=10
P3,ST_10_3.0_V3.0_ATH10_VA20,supertrend,"ATR=10,M=3.0",3.0,10,20,32,16,16,50.0,195.62,417.3,-26.05,4098.45,-37.85,8.79,195.62,69667585,79667585,696.68,102995089914.3,1.53,5.22,767.8,end_of_data=9; hard_stop_30=12; supertrend_flip=11
P3,ST_10_3.0_V3.0_ATH10_VA30,supertrend,"ATR=10,M=3.0",3.0,10,30,30,18,12,60.0,220.03,383.91,-25.79,4098.45,-37.85,12.1,220.03,84166622,94166621,841.67,548238953721.68,1.62,4.59,941.8,end_of_data=11; hard_stop_30=9; supertrend_flip=10
P3,ST_10_3.0_V3.0_ATH15_VA10,supertrend,"ATR=10,M=3.0",3.0,15,10,36,19,17,52.8,188.65,381.65,-27.04,4098.45,-37.85,6.94,188.65,89587980,99587980,895.88,959553544213.43,1.64,5.22,829.9,end_of_data=12; hard_stop_30=14; supertrend_flip=10
P3,ST_10_3.0_V3.0_ATH15_VA15,supertrend,"ATR=10,M=3.0",3.0,15,15,33,17,16,51.5,210.66,434.5,-27.17,4098.45,-37.85,9.08,210.66,96706150,106706150,967.06,1913790921915.4,1.69,5.44,831.5,end_of_data=9; hard_stop_30=13; supertrend_flip=11
P3,ST_10_3.0_V3.0_ATH15_VA20,supertrend,"ATR=10,M=3.0",3.0,15,20,33,17,16,51.5,211.2,434.5,-26.05,4098.45,-37.85,9.99,211.2,97674766,107674766,976.75,2094784655714.16,1.69,5.44,843.6,end_of_data=9; hard_stop_30=12; supertrend_flip=12
P3,ST_10_3.0_V3.0_ATH15_VA30,supertrend,"ATR=10,M=3.0",3.0,15,30,31,19,12,61.3,235.83,401.06,-25.79,4098.45,-37.85,13.64,235.83,117270947,127270947,1172.71,11150459191942.9,1.78,4.59,1016.9,end_of_data=11; hard_stop_30=9; supertrend_flip=11
P4,ST_14_3.0_V3.0_ATH7_VA30_AGE5_30,supertrend,"ATR=14,M=3.0",3.0,7,30,20,12,8,60.0,641.96,1085.16,-22.84,5488.79,-33.2,18.3,641.96,437928599,447928599,4379.29,3.251531179017301e+18,2.0,3.72,1160.7,end_of_data=7; hard_stop_30=5; supertrend_flip=8
P4,ST_14_3.0_V3.0_ATH7_VA30_AGE5_50,supertrend,"ATR=14,M=3.0",3.0,7,30,36,24,12,66.7,407.24,623.65,-25.58,5488.79,-33.2,18.57,407.24,1037040618,1047040618,10370.41,1.5835628221367367e+22,2.21,3.45,1109.7,end_of_data=13; hard_stop_30=9; supertrend_flip=14
