,mq,kc6,combined
2023-04-21,6689270.031983193,4218785.3417180255,10908055.373701219
2023-04-24,6739920.687245284,4219232.6455109585,10959153.332756244
2023-04-25,6747368.550378291,4223500.839534755,10970869.389913045
2023-04-26,6762315.251765749,4226352.844605316,10988668.096371066
2023-04-27,6788655.791410814,4227163.3780275695,11015819.169438384
2023-04-28,6873354.019316632,4227974.066894589,11101328.086211221
2023-05-02,6903998.583610485,4228784.911236186,11132783.494846672
2023-05-03,6875831.509549562,4228959.779857149,11104791.289406711
2023-05-04,6919057.000380603,4249331.624447808,11168388.62482841
2023-05-05,6888566.186106183,4208351.444274017,11096917.630380198
2023-05-08,6920617.322675845,4209158.525372919,11129775.848048763
2023-05-09,6881892.892255627,4209965.761254497,11091858.653510123
2023-05-10,6893490.084484875,4210139.851666383,11103629.936151259
2023-05-11,6904099.149365768,4212530.102616212,11116629.251981981
2023-05-12,6889871.426900491,4204763.047426303,11094634.474326793
2023-05-15,6922450.585449474,4216218.450716221,11138669.036165696
2023-05-16,6899943.632085507,4218503.361469068,11118446.993554574
2023-05-17,6914609.600257555,4215040.79737174,11129650.397629295
2023-05-18,6915202.960172771,4175184.273347948,11090387.233520718
2023-05-19,6890241.751422825,4160579.4326838385,11050821.184106663
2023-05-22,6912744.264432906,4183162.8629610557,11095907.127393961
2023-05-23,6913305.094847858,4185944.506394795,11099249.601242654
2023-05-24,6941245.084338936,4205447.940397391,11146693.024736326
2023-05-25,6994675.292907707,4244958.645231955,11239633.938139662
2023-05-26,6999184.500555739,4250072.8466665475,11249257.347222287
2023-05-29,7025373.427991056,4250248.59558575,11275622.023576807
2023-05-30,7059228.155023431,4247837.675954767,11307065.830978198
2023-05-31,7149526.027721791,4254514.547048786,11404040.574770577
2023-06-01,7177598.976087113,4249119.108894795,11426718.084981907
2023-06-02,7245172.400120372,4258177.29193061,11503349.692050982
2023-06-05,7254210.2162375655,4258993.928671529,11513204.144909095
2023-06-06,7275623.612276448,4259810.7220277125,11535434.334304161
2023-06-07,7322473.66172939,4260627.672029197,11583101.333758587
2023-06-08,7319679.7745969705,4261444.778706025,11581124.553302996
2023-06-09,7334443.840879781,4262262.042088243,11596705.882968023
2023-06-12,7386677.660225501,4263079.462205905,11649757.122431405
2023-06-13,7430215.194262421,4263897.039089068,11694112.233351488
2023-06-14,7460488.488336269,4264714.772767797,11725203.261104066
2023-06-15,7473351.912447057,4264891.127159608,11738243.039606664
2023-06-16,7502316.526594791,4276237.026020433,11778553.552615223
