path,variant,symbol,timeframe,exit_policy,exit_params,n_signals,mean_net,std_net,win_rate,pct_sl_first,composite_score,sharpe_score
E,cpr_rsi_rsi40_60_10min,BHARTIARTL,10min,T2_TR0.55,tr_pts=0.55;hard_sl=2.2,50,0.498,9.095,16.0,48.0,-4.05,0.008760857614073666
D,cprDelta_rsi35_65,NIFTY50,5min,T2_TR10.0,tr_pts=10.0;hard_sl=50.0,231,1.903,60.187,27.706,19.481,-28.19,0.008760117301078304
E,rsi_rsi40_60_10min,KOTAKBANK,10min,T2_TR2.0,tr_pts=2.0;hard_sl=2.0,43,0.581,10.923,16.279,65.116,-4.88,0.008658884006225396
D,priceCPR_rsi35_65,NIFTY50,5min,T0,time_only,339,1.495,89.127,51.327,0.0,-43.068,0.008609497122084218
E,base_5min,BHARTIARTL,5min,T1_SL1.1,sl_pts=1.1,89,0.485,9.674,16.854,83.146,-4.352,0.008449648542485012
C,rng0.010_norsi,NIFTY50,5min,T2_TR20.0,tr_pts=20.0;hard_sl=50.0,266,1.454,61.596,35.714,27.068,-29.344,0.008430442885901682
E,rsi_rsi40_60_10min,HINDUNILVR,10min,T2_TR2.9,tr_pts=2.9;hard_sl=2.9,74,0.631,13.194,17.568,58.108,-5.966,0.008401855388813096
E,rsi_rsi40_60_5min,SBIN,5min,T1_SL0.52,sl_pts=0.52,50,0.198,4.721,20.0,80.0,-2.162,0.0083880533785215
E,cpr_rsi_rsi40_60_10min,BHARTIARTL,10min,T2_TR1.1,tr_pts=1.1;hard_sl=2.2,50,0.474,9.101,16.0,50.0,-4.077,0.008333150203274364
B,rsi35_65_from1100,NIFTY50,5min,T2_TR20.0,tr_pts=20.0;hard_sl=50.0,402,1.882,69.689,30.846,27.612,-32.963,0.008330177215916428
C,rng0.004_norsi,NIFTY50,5min,T4_LVL,level_for_T4_cross,45,1.05,33.655,26.667,73.333,-15.778,0.00831981874907146
C,rng0.004_rsi40_60,NIFTY50,5min,T4_LVL,level_for_T4_cross,45,1.05,33.655,26.667,73.333,-15.778,0.00831981874907146
E,base_15min,ITC,15min,T2_TR0.22,tr_pts=0.22;hard_sl=0.45,56,0.175,3.006,14.286,58.929,-1.328,0.008316866267465068
E,cpr_5min,KOTAKBANK,5min,T1_SL3.0,sl_pts=3.0,45,0.353,12.262,28.889,66.667,-5.778,0.008316601696297502
E,cpr_rsi_rsi40_60_10min,HDFCBANK,10min,T1_SL0.9,sl_pts=0.9,54,0.066,2.646,33.333,61.111,-1.257,0.008314353741496599
E,rsi_rsi40_60_10min,RELIANCE,10min,T2_TR1.6,tr_pts=1.6;hard_sl=1.6,45,0.316,6.124,15.556,46.667,-2.746,0.00802693664271718
E,base_10min,KOTAKBANK,10min,T2_TR0.5,tr_pts=0.5;hard_sl=2.0,50,0.624,10.892,14.0,60.0,-4.822,0.00802056555269923
F,priceCPR,INFY,5min,T1_SL3.07,sl_pts=3.07,189,0.208,8.44,31.746,61.376,-4.012,0.007823658767772511
E,rsi_rsi40_60_5min,SBIN,5min,T2_TR0.52,tr_pts=0.52;hard_sl=1.05,50,0.183,4.748,20.0,50.0,-2.191,0.007708508845829823
C,rng0.010_rsi40_60,NIFTY50,5min,T4_LVL,level_for_T4_cross,266,1.548,46.217,22.556,76.692,-21.561,0.0075549447173118124
C,rng0.006_norsi,NIFTY50,5min,T4_LVL,level_for_T4_cross,129,1.182,38.81,24.806,75.194,-18.223,0.007554932233960319
E,rsi_rsi40_60_5min,ITC,5min,T2_TR0.22,tr_pts=0.22;hard_sl=0.45,70,0.099,2.254,17.143,51.429,-1.028,0.007529534161490684
E,rsi_rsi40_60_10min,RELIANCE,10min,T2_TR0.8,tr_pts=0.8;hard_sl=1.6,45,0.296,6.128,15.556,46.667,-2.768,0.007513994778067885
E,base_10min,KOTAKBANK,10min,T2_TR1.0,tr_pts=1.0;hard_sl=2.0,50,0.584,10.899,14.0,62.0,-4.865,0.00750160565189467
E,cpr_5min,KOTAKBANK,5min,T2_TR1.0,tr_pts=1.0;hard_sl=2.0,45,0.489,11.605,17.778,48.889,-5.314,0.007491117621714777
F,priceCPR,KOTAKBANK,5min,T3_RSI,rsi_cross_50,205,0.168,7.912,34.634,64.878,-3.788,0.007354034378159757
