venue,dte,cell,b_frac_per_bp,source,sl20_fires_at_bp,sl25_fires_at_bp,sl50_fires_at_bp
SENSEX,2,G_12:20_90,0.000769,cell(n=11),260.0,325.0,650.0
SENSEX,2,G_12:20_120,0.000626,cell(n=12),319.4,399.2,798.4
SENSEX,2,G_12:20_H,0.00096,cell(n=15),208.4,260.5,521.0
SENSEX,2,G_12:50_60,0.001226,pooled(n=580),163.1,203.9,407.9
SENSEX,2,G_12:50_90,0.001237,cell(n=10),161.6,202.0,404.1
SENSEX,2,G_12:50_120,0.001125,cell(n=15),177.8,222.2,444.4
SENSEX,2,G_12:50_H,0.001131,cell(n=15),176.8,221.1,442.1
SENSEX,2,G_13:20_60,0.001226,pooled(n=580),163.1,203.9,407.9
SENSEX,2,G_13:20_90,0.001231,cell(n=10),162.5,203.1,406.2
SENSEX,2,G_13:20_120,0.001208,cell(n=11),165.6,207.0,414.1
SENSEX,2,G_13:20_H,0.001208,cell(n=11),165.6,207.0,414.1
SENSEX,2,G_13:50_60,0.001226,pooled(n=580),163.1,203.9,407.9
SENSEX,2,G_13:50_90,0.001203,cell(n=8),166.2,207.7,415.5
SENSEX,2,G_13:50_120,0.001203,cell(n=8),166.2,207.7,415.5
SENSEX,2,G_13:50_H,0.001203,cell(n=8),166.2,207.7,415.5
SENSEX,2,G_14:20_60,0.002106,cell(n=9),95.0,118.7,237.4
SENSEX,2,G_14:20_90,0.002106,cell(n=9),95.0,118.7,237.4
SENSEX,2,G_14:20_120,0.002106,cell(n=9),95.0,118.7,237.4
SENSEX,2,G_14:20_H,0.002106,cell(n=9),95.0,118.7,237.4
SENSEX,2,G_14:30_60,0.002226,cell(n=10),89.9,112.3,224.6
SENSEX,2,G_14:30_90,0.002226,cell(n=10),89.9,112.3,224.6
SENSEX,2,G_14:30_120,0.002226,cell(n=10),89.9,112.3,224.6
SENSEX,2,G_14:30_H,0.002226,cell(n=10),89.9,112.3,224.6
SENSEX,2,DEP_0930_1100,0.000575,cell(n=11),347.9,434.9,869.7
SENSEX,2,DEP_1000_1200,0.001335,cell(n=16),149.8,187.3,374.6
SENSEX,2,DEP_1030_1200,0.001272,cell(n=12),157.3,196.6,393.2
SENSEX,2,DEP_1300_1400,0.001226,pooled(n=580),163.1,203.9,407.9
SENSEX,2,DEP_1300_1520,0.001317,cell(n=13),151.9,189.9,379.7
SENSEX,1,G_09:20_60,0.001508,cell(n=16),132.6,165.8,331.6
SENSEX,1,G_09:20_90,0.001692,cell(n=17),118.2,147.8,295.5
SENSEX,1,G_09:20_120,0.001539,cell(n=17),130.0,162.5,324.9
SENSEX,1,G_09:20_H,0.002343,cell(n=17),85.3,106.7,213.4
SENSEX,1,G_09:50_60,0.002057,cell(n=9),97.2,121.5,243.1
SENSEX,1,G_09:50_90,0.002104,cell(n=11),95.0,118.8,237.6
SENSEX,1,G_09:50_120,0.001906,cell(n=11),105.0,131.2,262.4
SENSEX,1,G_09:50_H,0.002867,cell(n=17),69.8,87.2,174.4
SENSEX,1,G_10:20_60,0.001555,cell(n=11),128.7,160.8,321.6
SENSEX,1,G_10:20_90,0.001392,cell(n=11),143.7,179.6,359.2
SENSEX,1,G_10:20_120,0.001534,cell(n=13),130.4,163.0,326.0
SENSEX,1,G_10:20_H,0.00273,cell(n=16),73.3,91.6,183.2
SENSEX,1,G_10:50_60,0.001782,cell(n=9),112.2,140.3,280.5
SENSEX,1,G_10:50_90,0.001475,cell(n=11),135.6,169.5,339.0
SENSEX,1,G_10:50_120,0.002078,cell(n=14),96.3,120.3,240.7
SENSEX,1,G_10:50_H,0.002331,cell(n=16),85.8,107.3,214.5
SENSEX,1,G_11:20_60,0.001796,pooled(n=616),111.4,139.2,278.5
SENSEX,1,G_11:20_90,0.002109,cell(n=10),94.8,118.5,237.1
SENSEX,1,G_11:20_120,0.002451,cell(n=13),81.6,102.0,204.0
SENSEX,1,G_11:20_H,0.003258,cell(n=14),61.4,76.7,153.5
SENSEX,1,G_11:50_60,0.001885,cell(n=11),106.1,132.7,265.3
SENSEX,1,G_11:50_90,0.002759,cell(n=13),72.5,90.6,181.2
SENSEX,1,G_11:50_120,0.003194,cell(n=13),62.6,78.3,156.5
SENSEX,1,G_11:50_H,0.003729,cell(n=15),53.6,67.0,134.1
SENSEX,1,G_12:20_60,0.001796,pooled(n=616),111.4,139.2,278.5
SENSEX,1,G_12:20_90,0.003014,cell(n=9),66.4,83.0,165.9
SENSEX,1,G_12:20_120,0.003014,cell(n=11),66.4,83.0,165.9
SENSEX,1,G_12:20_H,0.003396,cell(n=14),58.9,73.6,147.2
SENSEX,1,G_12:50_60,0.002484,cell(n=9),80.5,100.7,201.3
SENSEX,1,G_12:50_90,0.002759,cell(n=11),72.5,90.6,181.2
SENSEX,1,G_12:50_120,0.002484,cell(n=13),80.5,100.7,201.3
SENSEX,1,G_12:50_H,0.003113,cell(n=14),64.2,80.3,160.6
SENSEX,1,G_13:20_60,0.001472,cell(n=8),135.9,169.9,339.7
SENSEX,1,G_13:20_90,0.001561,cell(n=10),128.2,160.2,320.4
SENSEX,1,G_13:20_120,0.001694,cell(n=12),118.0,147.6,295.1
SENSEX,1,G_13:20_H,0.001694,cell(n=12),118.0,147.6,295.1
SENSEX,1,G_13:50_60,0.001388,cell(n=9),144.1,180.1,360.2
SENSEX,1,G_13:50_90,0.001295,cell(n=11),154.5,193.1,386.2
SENSEX,1,G_13:50_120,0.001295,cell(n=11),154.5,193.1,386.2
SENSEX,1,G_13:50_H,0.001295,cell(n=11),154.5,193.1,386.2
SENSEX,1,G_14:20_60,0.001153,cell(n=8),173.4,216.7,433.5
SENSEX,1,G_14:20_90,0.001153,cell(n=8),173.4,216.7,433.5
SENSEX,1,G_14:20_120,0.001153,cell(n=8),173.4,216.7,433.5
SENSEX,1,G_14:20_H,0.001153,cell(n=8),173.4,216.7,433.5
SENSEX,1,G_14:30_60,0.000647,cell(n=11),309.2,386.5,773.0
SENSEX,1,G_14:30_90,0.000647,cell(n=11),309.2,386.5,773.0
SENSEX,1,G_14:30_120,0.000647,cell(n=11),309.2,386.5,773.0
SENSEX,1,G_14:30_H,0.000647,cell(n=11),309.2,386.5,773.0
SENSEX,1,DEP_0930_1100,0.001693,cell(n=14),118.2,147.7,295.4
SENSEX,1,DEP_1000_1200,0.001391,cell(n=12),143.8,179.7,359.4
SENSEX,1,DEP_1030_1200,0.000929,cell(n=10),215.2,269.0,538.0
SENSEX,1,DEP_1300_1400,0.001796,pooled(n=616),111.4,139.2,278.5
SENSEX,1,DEP_1300_1520,0.002526,cell(n=13),79.2,99.0,197.9
SENSEX,0,G_09:20_60,0.002688,cell(n=12),74.4,93.0,186.0
SENSEX,0,G_09:20_90,0.00435,cell(n=13),46.0,57.5,114.9
SENSEX,0,G_09:20_120,0.004053,cell(n=13),49.3,61.7,123.4
SENSEX,0,G_09:20_H,0.003664,cell(n=17),54.6,68.2,136.5
SENSEX,0,G_09:50_60,0.002757,cell(n=11),72.5,90.7,181.3
SENSEX,0,G_09:50_90,0.005034,cell(n=12),39.7,49.7,99.3
SENSEX,0,G_09:50_120,0.005171,cell(n=13),38.7,48.3,96.7
SENSEX,0,G_09:50_H,0.005135,cell(n=16),38.9,48.7,97.4
SENSEX,0,G_10:20_60,0.00768,cell(n=8),26.0,32.6,65.1
SENSEX,0,G_10:20_90,0.007573,cell(n=10),26.4,33.0,66.0
SENSEX,0,G_10:20_120,0.007573,cell(n=12),26.4,33.0,66.0
SENSEX,0,G_10:20_H,0.007816,cell(n=16),25.6,32.0,64.0
SENSEX,0,G_10:50_60,0.004229,cell(n=8),47.3,59.1,118.2
SENSEX,0,G_10:50_90,0.008739,cell(n=11),22.9,28.6,57.2
SENSEX,0,G_10:50_120,0.007611,cell(n=14),26.3,32.8,65.7
SENSEX,0,G_10:50_H,0.006915,cell(n=17),28.9,36.2,72.3
SENSEX,0,G_11:20_60,0.007144,cell(n=11),28.0,35.0,70.0
SENSEX,0,G_11:20_90,0.010214,cell(n=13),19.6,24.5,49.0
SENSEX,0,G_11:20_120,0.008977,cell(n=15),22.3,27.8,55.7
SENSEX,0,G_11:20_H,0.010274,cell(n=16),19.5,24.3,48.7
SENSEX,0,G_11:50_60,0.009507,cell(n=12),21.0,26.3,52.6
SENSEX,0,G_11:50_90,0.009893,cell(n=14),20.2,25.3,50.5
SENSEX,0,G_11:50_120,0.011159,cell(n=15),17.9,22.4,44.8
SENSEX,0,G_11:50_H,0.01213,cell(n=16),16.5,20.6,41.2
SENSEX,0,G_12:20_60,0.010444,cell(n=9),19.1,23.9,47.9
SENSEX,0,G_12:20_90,0.010502,cell(n=11),19.0,23.8,47.6
SENSEX,0,G_12:20_120,0.010502,cell(n=11),19.0,23.8,47.6
SENSEX,0,G_12:20_H,0.009354,cell(n=15),21.4,26.7,53.5
SENSEX,0,G_12:50_60,0.00427,cell(n=10),46.8,58.6,117.1
SENSEX,0,G_12:50_90,0.004612,cell(n=11),43.4,54.2,108.4
SENSEX,0,G_12:50_120,0.008081,cell(n=13),24.7,30.9,61.9
SENSEX,0,G_12:50_H,0.007437,cell(n=13),26.9,33.6,67.2
SENSEX,0,G_13:20_60,0.007724,pooled(n=638),25.9,32.4,64.7
SENSEX,0,G_13:20_90,0.01088,cell(n=9),18.4,23.0,46.0
SENSEX,0,G_13:20_120,0.00381,cell(n=13),52.5,65.6,131.2
SENSEX,0,G_13:20_H,0.00381,cell(n=13),52.5,65.6,131.2
SENSEX,0,G_13:50_60,0.007724,pooled(n=638),25.9,32.4,64.7
SENSEX,0,G_13:50_90,0.010305,cell(n=12),19.4,24.3,48.5
SENSEX,0,G_13:50_120,0.010305,cell(n=12),19.4,24.3,48.5
SENSEX,0,G_13:50_H,0.010305,cell(n=12),19.4,24.3,48.5
SENSEX,0,G_14:20_60,0.010848,cell(n=11),18.4,23.0,46.1
SENSEX,0,G_14:20_90,0.010848,cell(n=11),18.4,23.0,46.1
SENSEX,0,G_14:20_120,0.010848,cell(n=11),18.4,23.0,46.1
SENSEX,0,G_14:20_H,0.010848,cell(n=11),18.4,23.0,46.1
SENSEX,0,G_14:30_60,0.024979,cell(n=11),8.0,10.0,20.0
SENSEX,0,G_14:30_90,0.024979,cell(n=11),8.0,10.0,20.0
SENSEX,0,G_14:30_120,0.024979,cell(n=11),8.0,10.0,20.0
SENSEX,0,G_14:30_H,0.024979,cell(n=11),8.0,10.0,20.0
SENSEX,0,DEP_0930_1100,0.002024,cell(n=13),98.8,123.5,247.0
SENSEX,0,DEP_1000_1200,0.006747,cell(n=14),29.6,37.1,74.1
SENSEX,0,DEP_1030_1200,0.008405,cell(n=12),23.8,29.7,59.5
SENSEX,0,DEP_1300_1400,0.007724,pooled(n=638),25.9,32.4,64.7
SENSEX,0,DEP_1300_1520,0.010838,cell(n=13),18.5,23.1,46.1
SENSEX,4,G_09:20_60,0.000831,pooled(n=424),240.8,301.0,601.9
SENSEX,4,G_09:20_90,0.000762,cell(n=8),262.3,327.9,655.8
SENSEX,4,G_09:20_120,0.000765,cell(n=9),261.6,327.0,653.9
SENSEX,4,G_09:20_H,0.000864,cell(n=13),231.4,289.2,578.4
SENSEX,4,G_09:50_60,0.000831,pooled(n=424),240.8,301.0,601.9
SENSEX,4,G_09:50_90,0.000831,pooled(n=424),240.8,301.0,601.9
SENSEX,4,G_09:50_120,0.000831,pooled(n=424),240.8,301.0,601.9
SENSEX,4,G_09:50_H,0.000852,cell(n=13),234.7,293.3,586.7
SENSEX,4,G_10:20_60,0.000831,pooled(n=424),240.8,301.0,601.9
SENSEX,4,G_10:20_90,0.000831,pooled(n=424),240.8,301.0,601.9
SENSEX,4,G_10:20_120,0.000216,cell(n=8),924.2,1155.2,2310.4
SENSEX,4,G_10:20_H,0.00117,cell(n=13),170.9,213.7,427.3
SENSEX,4,G_10:50_60,0.000831,pooled(n=424),240.8,301.0,601.9
SENSEX,4,G_10:50_90,0.000831,pooled(n=424),240.8,301.0,601.9
SENSEX,4,G_10:50_120,0.000831,pooled(n=424),240.8,301.0,601.9
SENSEX,4,G_10:50_H,0.001293,cell(n=11),154.7,193.3,386.7
SENSEX,4,G_11:20_60,0.000831,pooled(n=424),240.8,301.0,601.9
SENSEX,4,G_11:20_90,0.000831,pooled(n=424),240.8,301.0,601.9
SENSEX,4,G_11:20_120,0.000831,pooled(n=424),240.8,301.0,601.9
SENSEX,4,G_11:20_H,0.001394,cell(n=12),143.5,179.4,358.7
SENSEX,4,G_11:50_60,0.000831,pooled(n=424),240.8,301.0,601.9
SENSEX,4,G_11:50_90,0.000831,pooled(n=424),240.8,301.0,601.9
SENSEX,4,G_11:50_120,0.001749,cell(n=8),114.3,142.9,285.8
SENSEX,4,G_11:50_H,0.001435,cell(n=12),139.3,174.2,348.4
SENSEX,4,G_12:20_60,0.000831,pooled(n=424),240.8,301.0,601.9
SENSEX,4,G_12:20_90,0.001514,cell(n=9),132.1,165.1,330.2
SENSEX,4,G_12:20_120,0.001589,cell(n=12),125.9,157.4,314.7
SENSEX,4,G_12:20_H,0.001256,cell(n=13),159.2,199.0,398.0
SENSEX,4,G_12:50_60,0.000831,pooled(n=424),240.8,301.0,601.9
SENSEX,4,G_12:50_90,0.00162,cell(n=8),123.5,154.3,308.6
SENSEX,4,G_12:50_120,0.001551,cell(n=10),128.9,161.2,322.4
SENSEX,4,G_12:50_H,0.001317,cell(n=11),151.9,189.8,379.6
SENSEX,4,G_13:20_60,0.001361,cell(n=8),146.9,183.6,367.3
SENSEX,4,G_13:20_90,0.001204,cell(n=12),166.1,207.6,415.3
SENSEX,4,G_13:20_120,0.001001,cell(n=12),199.8,249.8,499.6
SENSEX,4,G_13:20_H,0.001001,cell(n=12),199.8,249.8,499.6
SENSEX,4,G_13:50_60,0.000831,pooled(n=424),240.8,301.0,601.9
SENSEX,4,G_13:50_90,0.000926,cell(n=9),215.9,269.9,539.7
SENSEX,4,G_13:50_120,0.000926,cell(n=9),215.9,269.9,539.7
SENSEX,4,G_13:50_H,0.000926,cell(n=9),215.9,269.9,539.7
SENSEX,4,G_14:20_60,0.000831,pooled(n=424),240.8,301.0,601.9
SENSEX,4,G_14:20_90,0.000831,pooled(n=424),240.8,301.0,601.9
SENSEX,4,G_14:20_120,0.000831,pooled(n=424),240.8,301.0,601.9
SENSEX,4,G_14:20_H,0.000831,pooled(n=424),240.8,301.0,601.9
SENSEX,4,G_14:30_60,0.000831,pooled(n=424),240.8,301.0,601.9
SENSEX,4,G_14:30_90,0.000831,pooled(n=424),240.8,301.0,601.9
SENSEX,4,G_14:30_120,0.000831,pooled(n=424),240.8,301.0,601.9
SENSEX,4,G_14:30_H,0.000831,pooled(n=424),240.8,301.0,601.9
SENSEX,4,DEP_0930_1100,0.000363,cell(n=8),550.9,688.7,1377.3
SENSEX,4,DEP_1000_1200,0.000437,cell(n=8),457.7,572.1,1144.3
SENSEX,4,DEP_1030_1200,0.000831,pooled(n=424),240.8,301.0,601.9
SENSEX,4,DEP_1300_1400,0.001235,cell(n=8),161.9,202.4,404.7
SENSEX,4,DEP_1300_1520,0.001113,cell(n=11),179.7,224.6,449.3
