venue,cell,weekday,n,exc_p50,exc_p90,exc_p95,exc_max,mon_cur_era_n,mon_cur_p50,mon_cur_p95
NIFTY,W_1130_1315,Thu,554,27.8,59.6,75.8,265.8,,,
NIFTY,W_1130_1315,Tue,553,27.8,66.3,88.2,244.3,,,
NIFTY,W_1130_1315,Wed,557,28.8,63.2,83.3,435.3,,,
NIFTY,W_1130_1330,Fri,542,28.6,69.0,83.6,629.7,,,
NIFTY,W_1130_1330,Mon,548,28.5,67.2,85.5,282.4,39,27.4,56.6
NIFTY,W_1130_1330,Thu,554,30.7,63.5,84.0,265.8,,,
NIFTY,W_1130_1330,Tue,553,30.3,71.6,94.9,255.3,,,
NIFTY,W_1130_1330,Wed,557,30.8,69.8,88.5,465.0,,,
NIFTY,W_1145_1215,Fri,542,13.4,31.0,39.8,284.0,,,
NIFTY,W_1145_1215,Mon,548,13.3,32.0,42.2,124.2,39,12.6,37.7
NIFTY,W_1145_1215,Thu,554,13.9,30.1,38.9,136.3,,,
NIFTY,W_1145_1215,Tue,552,14.0,31.2,40.7,138.3,,,
NIFTY,W_1145_1215,Wed,557,12.9,31.4,40.6,128.2,,,
NIFTY,W_1145_1230,Fri,542,16.6,40.3,49.4,364.2,,,
NIFTY,W_1145_1230,Mon,548,16.6,39.1,55.5,253.6,39,13.7,39.0
NIFTY,W_1145_1230,Thu,554,16.9,36.5,48.1,180.1,,,
NIFTY,W_1145_1230,Tue,552,17.5,38.6,50.8,199.8,,,
NIFTY,W_1145_1230,Wed,557,17.1,38.7,48.3,128.2,,,
NIFTY,W_1145_1245,Fri,542,20.3,46.4,59.6,439.5,,,
NIFTY,W_1145_1245,Mon,548,19.2,48.3,60.3,253.6,39,18.3,54.9
NIFTY,W_1145_1245,Thu,554,20.0,44.4,53.3,244.5,,,
NIFTY,W_1145_1245,Tue,552,21.1,45.6,60.1,213.2,,,
NIFTY,W_1145_1245,Wed,557,19.9,44.0,59.5,255.3,,,
NIFTY,W_1145_1300,Fri,542,22.0,54.4,65.9,549.6,,,
NIFTY,W_1145_1300,Mon,548,22.0,54.9,67.6,253.6,39,20.0,63.3
NIFTY,W_1145_1300,Thu,554,23.5,49.4,63.1,244.5,,,
NIFTY,W_1145_1300,Tue,552,23.8,54.3,72.1,245.1,,,
NIFTY,W_1145_1300,Wed,557,21.9,53.1,69.2,340.4,,,
NIFTY,W_1145_1315,Fri,542,24.2,59.6,74.1,676.7,,,
NIFTY,W_1145_1315,Mon,548,24.4,57.8,73.3,253.6,39,20.6,63.3
NIFTY,W_1145_1315,Thu,554,26.3,56.5,72.6,244.5,,,
NIFTY,W_1145_1315,Tue,552,26.6,59.9,82.6,249.5,,,
NIFTY,W_1145_1315,Wed,557,25.7,58.3,76.0,440.2,,,
NIFTY,W_1145_1330,Fri,542,26.3,65.0,78.3,676.7,,,
NIFTY,W_1145_1330,Mon,548,26.5,62.3,79.5,253.6,39,23.0,63.3
NIFTY,W_1145_1330,Thu,554,29.0,60.7,79.8,244.5,,,
NIFTY,W_1145_1330,Tue,553,28.4,66.9,84.2,283.1,,,
NIFTY,W_1145_1330,Wed,557,27.8,63.8,82.3,469.9,,,
NIFTY,W_1145_1345,Fri,542,29.3,71.1,87.8,710.5,,,
NIFTY,W_1145_1345,Mon,548,29.2,67.6,88.9,253.6,39,27.0,64.4
NIFTY,W_1145_1345,Thu,554,31.6,69.1,86.0,244.5,,,
NIFTY,W_1145_1345,Tue,553,31.0,70.6,98.5,283.1,,,
NIFTY,W_1145_1345,Wed,557,30.7,70.7,92.7,492.2,,,
NIFTY,W_1200_1230,Fri,542,13.9,32.1,40.8,236.3,,,
NIFTY,W_1200_1230,Mon,548,13.9,31.8,42.7,215.5,39,14.0,30.3
NIFTY,W_1200_1230,Thu,554,13.9,31.9,40.5,178.9,,,
NIFTY,W_1200_1230,Tue,552,14.2,29.6,37.3,151.2,,,
NIFTY,W_1200_1230,Wed,557,13.3,31.8,38.5,104.8,,,
NIFTY,W_1200_1245,Fri,542,17.0,41.6,52.1,310.7,,,
NIFTY,W_1200_1245,Mon,548,16.9,39.5,49.2,215.5,39,15.6,39.3
NIFTY,W_1200_1245,Thu,554,17.1,39.9,49.9,243.2,,,
NIFTY,W_1200_1245,Tue,552,17.7,39.4,54.5,187.1,,,
NIFTY,W_1200_1245,Wed,557,17.5,35.3,52.8,246.8,,,
NIFTY,W_1200_1300,Fri,542,20.0,48.6,61.4,419.4,,,
NIFTY,W_1200_1300,Mon,548,19.9,44.2,60.9,215.5,39,17.5,64.7
NIFTY,W_1200_1300,Thu,554,20.9,45.1,57.1,243.2,,,
NIFTY,W_1200_1300,Tue,552,21.2,48.9,62.8,187.1,,,
NIFTY,W_1200_1300,Wed,557,20.3,41.1,63.7,331.9,,,
NIFTY,W_1200_1315,Fri,542,23.1,54.4,68.7,545.0,,,
NIFTY,W_1200_1315,Mon,548,21.7,48.6,64.4,215.5,39,21.5,78.3
NIFTY,W_1200_1315,Thu,554,23.5,52.2,65.7,323.3,,,
NIFTY,W_1200_1315,Tue,552,23.8,58.1,76.5,242.0,,,
NIFTY,W_1200_1315,Wed,557,23.4,53.4,70.4,431.6,,,
NIFTY,W_1200_1330,Fri,542,25.8,57.9,76.0,545.0,,,
NIFTY,W_1200_1330,Mon,548,24.9,55.4,71.6,246.3,39,21.5,78.3
NIFTY,W_1200_1330,Thu,554,26.9,58.1,72.8,323.3,,,
NIFTY,W_1200_1330,Tue,552,27.6,62.4,80.0,284.8,,,
NIFTY,W_1200_1330,Wed,557,25.8,59.5,78.4,461.3,,,
NIFTY,W_1200_1345,Fri,542,28.6,65.5,82.3,578.3,,,
NIFTY,W_1200_1345,Mon,548,27.5,62.7,78.3,246.3,39,23.5,78.3
NIFTY,W_1200_1345,Thu,554,29.3,65.2,82.0,323.3,,,
NIFTY,W_1200_1345,Tue,552,29.3,70.4,90.2,301.0,,,
NIFTY,W_1200_1345,Wed,557,28.7,66.4,84.9,483.6,,,
NIFTY,W_1200_1400,Fri,542,31.4,71.6,97.3,578.3,,,
NIFTY,W_1200_1400,Mon,548,30.7,68.8,88.2,246.3,39,28.9,78.3
NIFTY,W_1200_1400,Thu,554,32.5,71.9,87.6,469.5,,,
NIFTY,W_1200_1400,Tue,552,33.7,76.2,104.2,301.0,,,
NIFTY,W_1200_1400,Wed,557,31.4,72.4,96.5,529.8,,,
NIFTY,W_1215_1245,Fri,542,14.5,34.3,44.0,159.5,,,
NIFTY,W_1215_1245,Mon,548,13.9,33.8,41.9,189.6,39,12.0,38.0
NIFTY,W_1215_1245,Thu,554,14.2,33.5,43.7,205.4,,,
NIFTY,W_1215_1245,Tue,552,14.2,34.2,45.8,171.2,,,
NIFTY,W_1215_1245,Wed,557,14.2,31.1,39.4,185.9,,,
NIFTY,W_1215_1300,Fri,542,17.6,42.5,53.3,266.6,,,
NIFTY,W_1215_1300,Mon,548,16.6,40.2,50.2,215.5,39,14.9,53.4
NIFTY,W_1215_1300,Thu,554,18.0,41.1,50.9,205.4,,,
NIFTY,W_1215_1300,Tue,552,18.2,43.6,57.3,171.2,,,
NIFTY,W_1215_1300,Wed,557,17.3,38.3,49.6,270.4,,,
NIFTY,W_1215_1315,Fri,542,21.1,48.7,58.6,390.4,,,
NIFTY,W_1215_1315,Mon,548,19.8,44.0,56.2,215.5,39,18.0,53.4
NIFTY,W_1215_1315,Thu,554,20.6,47.6,61.4,267.7,,,
NIFTY,W_1215_1315,Tue,552,21.5,53.7,70.7,198.1,,,
NIFTY,W_1215_1315,Wed,557,20.7,46.2,63.9,369.5,,,
NIFTY,W_1215_1330,Fri,542,23.0,53.3,64.8,390.4,,,
NIFTY,W_1215_1330,Mon,548,22.9,49.6,65.2,250.7,39,20.5,56.5
NIFTY,W_1215_1330,Thu,554,23.9,52.3,71.1,267.7,,,
NIFTY,W_1215_1330,Tue,552,24.8,57.3,77.1,268.8,,,
NIFTY,W_1215_1330,Wed,557,23.6,51.7,72.8,399.1,,,
NIFTY,W_1215_1345,Fri,542,27.7,61.2,77.9,423.2,,,
NIFTY,W_1215_1345,Mon,548,26.2,57.7,74.4,289.8,39,21.5,59.9
NIFTY,W_1215_1345,Thu,554,27.3,64.4,78.8,267.7,,,
NIFTY,W_1215_1345,Tue,552,27.2,64.1,82.1,285.0,,,
NIFTY,W_1215_1345,Wed,557,26.6,57.6,81.0,421.3,,,
NIFTY,W_1215_1400,Fri,542,30.3,67.7,89.3,423.2,,,
NIFTY,W_1215_1400,Mon,548,28.9,64.7,84.9,289.8,39,24.8,60.0
NIFTY,W_1215_1400,Thu,554,30.2,66.8,84.9,413.1,,,
NIFTY,W_1215_1400,Tue,552,30.8,71.1,91.5,285.0,,,
NIFTY,W_1215_1400,Wed,557,30.3,69.5,86.3,467.2,,,
NIFTY,W_1215_1415,Fri,542,33.7,77.3,100.7,423.2,,,
NIFTY,W_1215_1415,Mon,548,31.3,70.6,91.7,289.8,39,28.6,60.8
NIFTY,W_1215_1415,Thu,554,34.1,75.0,92.1,491.9,,,
NIFTY,W_1215_1415,Tue,552,34.8,80.0,107.1,285.0,,,
NIFTY,W_1215_1415,Wed,557,32.3,74.8,92.4,482.1,,,
NIFTY,W_1230_1300,Fri,542,15.0,34.4,42.5,184.8,,,
NIFTY,W_1230_1300,Mon,548,13.7,32.9,41.9,177.3,39,12.8,28.7
NIFTY,W_1230_1300,Thu,554,14.7,35.3,42.9,123.9,,,
NIFTY,W_1230_1300,Tue,552,15.1,36.5,47.6,119.9,,,
NIFTY,W_1230_1300,Wed,557,14.8,33.7,42.3,242.6,,,
NIFTY,W_1230_1315,Fri,542,18.2,42.5,52.2,360.4,,,
NIFTY,W_1230_1315,Mon,548,17.6,38.7,50.1,240.0,39,15.3,29.4
NIFTY,W_1230_1315,Thu,554,18.5,43.7,55.1,204.9,,,
NIFTY,W_1230_1315,Tue,552,18.8,45.1,59.3,181.7,,,
NIFTY,W_1230_1315,Wed,557,18.4,41.9,49.3,341.4,,,
NIFTY,W_1230_1330,Fri,542,21.0,49.2,58.9,360.4,,,
NIFTY,W_1230_1330,Mon,548,20.4,46.3,57.6,252.6,39,18.5,38.9
NIFTY,W_1230_1330,Thu,554,21.8,51.0,61.2,204.9,,,
NIFTY,W_1230_1330,Tue,552,22.8,51.4,65.7,217.0,,,
NIFTY,W_1230_1330,Wed,557,21.1,47.1,58.8,370.9,,,
NIFTY,W_1230_1345,Fri,542,24.7,55.0,67.1,360.4,,,
NIFTY,W_1230_1345,Mon,548,24.2,54.3,66.9,252.6,39,22.2,38.9
NIFTY,W_1230_1345,Thu,554,25.0,59.7,72.0,211.0,,,
NIFTY,W_1230_1345,Tue,552,25.5,57.4,78.6,233.0,,,
NIFTY,W_1230_1345,Wed,557,24.8,53.6,79.3,393.0,,,
NIFTY,W_1230_1400,Fri,542,28.3,63.0,81.4,360.4,,,
NIFTY,W_1230_1400,Mon,548,27.3,59.5,76.0,252.6,39,23.2,52.9
NIFTY,W_1230_1400,Thu,554,27.7,64.5,78.7,349.5,,,
NIFTY,W_1230_1400,Tue,552,29.6,65.5,85.6,233.0,,,
NIFTY,W_1230_1400,Wed,557,27.6,63.2,86.3,438.8,,,
NIFTY,W_1230_1415,Fri,542,32.1,71.5,96.2,360.4,,,
NIFTY,W_1230_1415,Mon,548,30.0,68.3,87.8,252.6,39,23.6,52.9
NIFTY,W_1230_1415,Thu,554,31.3,68.7,83.9,427.8,,,
NIFTY,W_1230_1415,Tue,552,32.2,75.6,96.2,233.0,,,
NIFTY,W_1230_1415,Wed,557,30.3,72.6,94.6,453.6,,,
NIFTY,W_1230_1430,Fri,542,35.2,79.3,102.6,360.4,,,
NIFTY,W_1230_1430,Mon,548,33.1,75.5,97.8,420.1,39,25.7,70.1
NIFTY,W_1230_1430,Thu,554,34.8,72.8,90.1,427.8,,,
NIFTY,W_1230_1430,Tue,552,36.0,82.8,110.3,256.4,,,
NIFTY,W_1230_1430,Wed,557,33.3,78.6,111.0,513.3,,,
NIFTY,W_1245_1315,Fri,542,15.6,35.7,41.9,306.0,,,
NIFTY,W_1245_1315,Mon,548,14.3,33.5,40.8,177.6,39,14.6,33.8
NIFTY,W_1245_1315,Thu,554,15.3,35.3,45.6,227.1,,,
NIFTY,W_1245_1315,Tue,552,15.2,37.2,49.3,187.5,,,
NIFTY,W_1245_1315,Wed,557,15.5,36.2,43.3,195.1,,,
NIFTY,W_1245_1330,Fri,542,18.7,41.5,50.4,306.0,,,
NIFTY,W_1245_1330,Mon,548,19.0,41.4,49.4,212.6,39,16.2,41.6
NIFTY,W_1245_1330,Thu,554,19.0,42.8,56.3,227.1,,,
NIFTY,W_1245_1330,Tue,552,19.2,45.6,56.0,187.5,,,
NIFTY,W_1245_1330,Wed,557,19.9,42.6,54.7,224.2,,,
NIFTY,W_1245_1345,Fri,542,22.6,48.1,62.6,338.6,,,
NIFTY,W_1245_1345,Mon,548,21.7,49.7,61.9,251.6,39,19.2,42.2
NIFTY,W_1245_1345,Thu,554,22.4,52.9,67.3,227.1,,,
NIFTY,W_1245_1345,Tue,552,22.4,54.1,66.0,187.5,,,
NIFTY,W_1245_1345,Wed,557,23.8,48.6,74.5,246.0,,,
NIFTY,W_1245_1400,Fri,542,25.6,57.8,82.5,338.6,,,
NIFTY,W_1245_1400,Mon,548,25.2,56.5,68.0,251.6,39,22.7,49.1
NIFTY,W_1245_1400,Thu,554,25.5,59.0,74.7,371.9,,,
NIFTY,W_1245_1400,Tue,552,26.5,59.9,78.1,194.7,,,
NIFTY,W_1245_1400,Wed,557,26.7,59.4,87.2,291.2,,,
NIFTY,W_1245_1415,Fri,542,29.8,65.0,93.1,338.6,,,
NIFTY,W_1245_1415,Mon,548,27.9,63.9,80.1,251.6,39,22.7,53.8
NIFTY,W_1245_1415,Thu,554,29.2,64.9,81.5,450.4,,,
NIFTY,W_1245_1415,Tue,552,30.0,66.6,95.2,206.9,,,
NIFTY,W_1245_1415,Wed,557,29.9,68.0,91.3,328.1,,,
NIFTY,W_1245_1430,Fri,542,33.0,71.7,97.5,338.6,,,
NIFTY,W_1245_1430,Mon,548,31.0,73.8,89.1,415.1,39,24.2,75.9
NIFTY,W_1245_1430,Thu,554,32.9,71.0,90.6,450.4,,,
NIFTY,W_1245_1430,Tue,552,34.1,79.6,100.6,206.9,,,
NIFTY,W_1245_1430,Wed,557,33.4,76.2,109.0,364.6,,,
NIFTY,W_1245_1445,Fri,542,35.5,79.8,101.4,338.6,,,
NIFTY,W_1245_1445,Mon,548,34.1,80.9,95.7,415.1,39,27.4,82.5
NIFTY,W_1245_1445,Thu,554,35.9,76.6,99.6,450.4,,,
NIFTY,W_1245_1445,Tue,552,36.8,85.6,109.5,213.3,,,
NIFTY,W_1245_1445,Wed,557,35.6,88.0,116.7,364.6,,,
NIFTY,W_1300_1330,Fri,542,15.5,33.8,43.3,178.9,,,
NIFTY,W_1300_1330,Mon,548,15.4,33.3,43.6,122.0,39,15.2,29.1
NIFTY,W_1300_1330,Thu,554,15.9,37.6,44.2,170.9,,,
NIFTY,W_1300_1330,Tue,552,16.4,36.5,45.9,144.2,,,
NIFTY,W_1300_1330,Wed,557,15.9,35.9,45.7,126.7,,,
NIFTY,W_1300_1345,Fri,542,20.2,41.6,57.9,213.1,,,
NIFTY,W_1300_1345,Mon,548,19.8,41.8,57.3,122.0,39,18.4,32.8
NIFTY,W_1300_1345,Thu,554,19.4,46.2,58.2,212.3,,,
NIFTY,W_1300_1345,Tue,552,19.6,42.6,57.1,148.7,,,
NIFTY,W_1300_1345,Wed,557,20.3,46.6,59.1,184.2,,,
NIFTY,W_1300_1400,Fri,542,23.7,52.7,73.0,213.1,,,
NIFTY,W_1300_1400,Mon,548,23.0,50.5,69.8,122.0,39,20.5,51.5
NIFTY,W_1300_1400,Thu,554,24.0,52.9,69.1,276.7,,,
NIFTY,W_1300_1400,Tue,552,23.5,54.9,69.4,201.5,,,
NIFTY,W_1300_1400,Wed,557,24.1,57.5,86.2,191.6,,,
NIFTY,W_1300_1415,Fri,542,27.5,59.7,88.3,229.5,,,
NIFTY,W_1300_1415,Mon,548,25.4,61.2,76.9,214.4,39,21.1,51.5
NIFTY,W_1300_1415,Thu,554,28.7,61.6,79.3,323.4,,,
NIFTY,W_1300_1415,Tue,552,27.7,63.5,82.4,204.9,,,
NIFTY,W_1300_1415,Wed,557,26.6,64.4,86.7,300.9,,,
NIFTY,W_1300_1430,Fri,542,29.4,69.5,96.2,269.2,,,
NIFTY,W_1300_1430,Mon,548,29.2,71.1,89.2,383.5,39,25.6,71.3
NIFTY,W_1300_1430,Thu,554,30.7,69.1,87.4,323.4,,,
NIFTY,W_1300_1430,Tue,552,31.3,71.3,91.9,204.9,,,
NIFTY,W_1300_1430,Wed,557,29.9,74.5,102.3,317.2,,,
NIFTY,W_1300_1445,Fri,542,33.5,76.2,100.0,270.7,,,
NIFTY,W_1300_1445,Mon,548,31.9,79.3,94.6,383.5,39,27.2,78.8
NIFTY,W_1300_1445,Thu,554,34.7,77.6,91.8,323.4,,,
NIFTY,W_1300_1445,Tue,552,34.1,78.2,103.1,226.7,,,
NIFTY,W_1300_1445,Wed,557,33.7,80.9,111.0,317.2,,,
NIFTY,W_1300_1500,Fri,542,37.1,87.2,109.9,270.7,,,
NIFTY,W_1300_1500,Mon,548,35.4,87.1,108.0,383.5,39,32.5,88.6
NIFTY,W_1300_1500,Thu,554,39.8,83.8,112.4,323.4,,,
NIFTY,W_1300_1500,Tue,552,37.2,88.5,111.7,321.3,,,
NIFTY,W_1300_1500,Wed,557,37.0,86.7,113.5,335.0,,,
NIFTY,W_1315_1345,Fri,542,16.8,36.4,45.4,205.7,,,
NIFTY,W_1315_1345,Mon,548,16.1,34.9,45.9,111.5,39,11.6,27.9
NIFTY,W_1315_1345,Thu,554,16.3,40.0,48.5,226.5,,,
NIFTY,W_1315_1345,Tue,552,16.4,33.6,44.6,103.7,,,
NIFTY,W_1315_1345,Wed,557,16.2,40.5,53.0,114.2,,,
NIFTY,W_1315_1400,Fri,542,21.2,48.6,59.7,205.7,,,
NIFTY,W_1315_1400,Mon,548,20.1,43.1,57.4,111.5,39,15.9,32.5
NIFTY,W_1315_1400,Thu,554,20.2,49.3,60.3,334.2,,,
NIFTY,W_1315_1400,Tue,552,20.7,44.4,59.5,172.4,,,
NIFTY,W_1315_1400,Wed,557,20.6,52.4,67.9,137.9,,,
NIFTY,W_1315_1415,Fri,542,25.4,59.7,80.6,264.1,,,
NIFTY,W_1315_1415,Mon,548,23.6,53.5,69.0,215.3,39,18.8,36.1
NIFTY,W_1315_1415,Thu,554,24.5,57.7,73.3,412.5,,,
NIFTY,W_1315_1415,Tue,552,25.4,56.3,75.0,178.9,,,
NIFTY,W_1315_1415,Wed,557,24.9,61.5,80.2,271.8,,,
NIFTY,W_1315_1430,Fri,542,27.8,68.3,91.8,303.9,,,
NIFTY,W_1315_1430,Mon,548,26.6,67.0,81.7,385.1,39,23.9,55.8
NIFTY,W_1315_1430,Thu,554,28.3,65.2,86.6,412.5,,,
NIFTY,W_1315_1430,Tue,552,29.1,67.5,89.0,199.4,,,
NIFTY,W_1315_1430,Wed,557,28.1,67.9,88.7,288.1,,,
NIFTY,W_1315_1445,Fri,542,32.0,73.9,100.3,303.9,,,
NIFTY,W_1315_1445,Mon,548,29.5,74.8,94.7,385.1,39,25.1,74.3
NIFTY,W_1315_1445,Thu,554,32.4,73.3,92.3,412.5,,,
NIFTY,W_1315_1445,Tue,552,32.7,75.2,98.9,199.4,,,
NIFTY,W_1315_1445,Wed,557,32.1,77.0,104.1,288.1,,,
NIFTY,W_1315_1500,Fri,542,36.0,85.1,108.5,303.9,,,
NIFTY,W_1315_1500,Mon,548,33.7,79.8,104.3,385.1,39,30.2,80.8
NIFTY,W_1315_1500,Thu,554,37.5,81.7,103.6,412.5,,,
NIFTY,W_1315_1500,Tue,552,36.3,81.8,110.3,341.2,,,
NIFTY,W_1315_1500,Wed,557,35.7,84.6,114.9,301.8,,,
NIFTY,W_1315_1515,Fri,542,38.7,93.3,113.2,303.9,,,
NIFTY,W_1315_1515,Mon,548,37.0,89.4,110.6,385.1,39,31.9,89.0
NIFTY,W_1315_1515,Thu,554,40.4,89.9,113.6,412.5,,,
NIFTY,W_1315_1515,Tue,552,39.5,92.0,118.8,425.9,,,
NIFTY,W_1315_1515,Wed,557,39.0,93.6,121.0,301.8,,,
NIFTY,W_1330_1400,Fri,542,17.3,40.7,52.2,196.6,,,
NIFTY,W_1330_1400,Mon,548,16.4,36.0,46.9,106.9,39,16.0,29.3
NIFTY,W_1330_1400,Thu,554,17.0,39.7,50.3,246.0,,,
NIFTY,W_1330_1400,Tue,553,18.2,41.2,53.6,146.0,,,
NIFTY,W_1330_1400,Wed,557,16.8,43.1,58.5,155.1,,,
NIFTY,W_1330_1415,Fri,542,23.1,50.6,67.1,315.4,,,
NIFTY,W_1330_1415,Mon,548,20.3,45.7,61.9,212.0,39,17.2,47.9
NIFTY,W_1330_1415,Thu,554,21.8,50.6,61.3,323.5,,,
NIFTY,W_1330_1415,Tue,553,22.0,53.6,69.5,149.4,,,
NIFTY,W_1330_1415,Wed,557,21.7,54.6,67.1,277.4,,,
NIFTY,W_1330_1430,Fri,542,26.3,60.3,78.9,341.4,,,
NIFTY,W_1330_1430,Mon,548,24.0,56.1,68.4,378.7,39,20.5,56.1
NIFTY,W_1330_1430,Thu,554,26.2,58.7,76.0,323.5,,,
NIFTY,W_1330_1430,Tue,553,26.8,63.4,84.9,184.1,,,
NIFTY,W_1330_1430,Wed,557,25.6,61.1,78.1,293.7,,,
NIFTY,W_1330_1445,Fri,542,29.4,69.9,89.4,369.2,,,
NIFTY,W_1330_1445,Mon,548,26.9,66.1,82.7,378.7,39,22.9,64.8
NIFTY,W_1330_1445,Thu,554,30.6,67.7,85.7,323.5,,,
NIFTY,W_1330_1445,Tue,553,30.2,72.9,92.9,184.1,,,
NIFTY,W_1330_1445,Wed,557,29.0,72.6,91.6,293.7,,,
NIFTY,W_1330_1500,Fri,542,33.8,75.5,98.4,369.2,,,
NIFTY,W_1330_1500,Mon,548,31.2,72.4,95.3,378.7,39,27.2,87.2
NIFTY,W_1330_1500,Thu,554,35.8,78.2,96.5,323.5,,,
NIFTY,W_1330_1500,Tue,553,34.0,81.8,104.8,324.0,,,
NIFTY,W_1330_1500,Wed,557,32.9,79.4,99.8,293.7,,,
NIFTY,W_1330_1515,Fri,542,36.7,84.0,111.5,369.2,,,
NIFTY,W_1330_1515,Mon,548,35.0,81.0,104.3,378.7,39,29.7,89.8
NIFTY,W_1330_1515,Thu,554,38.3,85.8,104.4,323.5,,,
NIFTY,W_1330_1515,Tue,553,37.3,89.0,114.1,408.9,,,
NIFTY,W_1330_1515,Wed,557,36.6,89.2,105.4,293.7,,,
NIFTY,W_1330_1520,Fri,542,37.1,84.5,111.9,369.2,,,
NIFTY,W_1330_1520,Mon,548,35.5,82.0,105.8,378.7,39,30.0,89.8
NIFTY,W_1330_1520,Thu,554,38.6,87.1,106.7,323.5,,,
NIFTY,W_1330_1520,Tue,553,38.0,92.7,115.6,408.9,,,
NIFTY,W_1330_1520,Wed,557,36.6,89.2,108.4,293.7,,,
NIFTY,W_1345_1415,Fri,542,19.1,44.0,56.0,373.7,,,
NIFTY,W_1345_1415,Mon,548,16.3,37.7,51.8,144.7,39,13.1,37.6
NIFTY,W_1345_1415,Thu,554,17.8,42.6,54.6,318.6,,,
NIFTY,W_1345_1415,Tue,553,17.3,43.0,60.7,132.3,,,
NIFTY,W_1345_1415,Wed,557,18.1,42.1,55.7,194.9,,,
NIFTY,W_1345_1430,Fri,542,22.6,53.5,68.9,374.4,,,
NIFTY,W_1345_1430,Mon,548,21.4,48.6,59.6,356.3,39,17.2,39.4
NIFTY,W_1345_1430,Thu,554,22.0,52.7,65.2,318.6,,,
NIFTY,W_1345_1430,Tue,553,22.7,55.5,72.8,139.3,,,
NIFTY,W_1345_1430,Wed,557,22.9,54.4,67.4,211.3,,,
NIFTY,W_1345_1445,Fri,542,27.0,62.0,81.3,374.4,,,
NIFTY,W_1345_1445,Mon,548,24.9,56.2,82.8,356.3,39,19.9,54.7
NIFTY,W_1345_1445,Thu,554,26.4,61.9,72.8,318.6,,,
NIFTY,W_1345_1445,Tue,553,26.2,67.0,87.5,154.3,,,
NIFTY,W_1345_1445,Wed,557,27.1,65.5,85.1,211.3,,,
NIFTY,W_1345_1500,Fri,542,31.8,70.0,92.6,374.4,,,
NIFTY,W_1345_1500,Mon,548,29.4,69.2,90.2,356.3,39,26.3,73.1
NIFTY,W_1345_1500,Thu,554,31.3,70.8,86.8,318.6,,,
NIFTY,W_1345_1500,Tue,553,31.5,75.1,98.5,263.4,,,
NIFTY,W_1345_1500,Wed,557,31.7,72.0,94.8,231.7,,,
NIFTY,W_1345_1515,Fri,542,35.5,74.9,97.2,374.4,,,
NIFTY,W_1345_1515,Mon,548,32.9,79.4,97.2,356.3,39,27.3,79.4
NIFTY,W_1345_1515,Thu,554,34.8,79.2,93.3,318.6,,,
NIFTY,W_1345_1515,Tue,553,34.7,82.1,108.0,348.8,,,
NIFTY,W_1345_1515,Wed,557,35.1,82.5,104.9,243.9,,,
NIFTY,W_1345_1520,Fri,542,35.7,75.5,100.6,374.4,,,
NIFTY,W_1345_1520,Mon,548,33.1,80.4,100.4,356.3,39,27.8,79.4
NIFTY,W_1345_1520,Thu,554,36.1,79.8,96.9,318.6,,,
NIFTY,W_1345_1520,Tue,553,35.3,85.2,109.4,348.8,,,
NIFTY,W_1345_1520,Wed,557,36.1,84.4,104.9,243.9,,,
NIFTY,W_1400_1430,Fri,542,18.8,47.3,57.6,224.9,,,
NIFTY,W_1400_1430,Mon,548,16.9,41.3,51.9,327.6,39,14.7,45.7
NIFTY,W_1400_1430,Thu,554,18.9,41.9,52.1,198.0,,,
NIFTY,W_1400_1430,Tue,553,18.0,44.1,54.6,116.8,,,
NIFTY,W_1400_1430,Wed,557,17.7,43.2,57.3,181.8,,,
NIFTY,W_1400_1445,Fri,542,23.1,53.4,66.6,253.1,,,
NIFTY,W_1400_1445,Mon,548,21.5,51.7,69.9,327.6,39,16.8,57.2
NIFTY,W_1400_1445,Thu,554,23.5,51.5,65.1,259.2,,,
NIFTY,W_1400_1445,Tue,553,21.8,54.1,68.2,121.6,,,
NIFTY,W_1400_1445,Wed,557,23.0,56.0,69.3,181.8,,,
NIFTY,W_1400_1500,Fri,542,28.7,64.6,79.2,253.1,,,
NIFTY,W_1400_1500,Mon,548,25.7,64.3,79.9,327.6,39,25.1,79.4
NIFTY,W_1400_1500,Thu,554,28.3,63.1,73.5,298.1,,,
NIFTY,W_1400_1500,Tue,553,26.8,64.2,81.9,259.9,,,
NIFTY,W_1400_1500,Wed,557,28.6,67.9,85.9,196.3,,,
NIFTY,W_1400_1515,Fri,542,32.4,71.1,85.8,253.1,,,
NIFTY,W_1400_1515,Mon,548,29.7,73.8,91.6,334.4,39,27.4,80.5
NIFTY,W_1400_1515,Thu,554,33.8,71.0,87.0,347.4,,,
NIFTY,W_1400_1515,Tue,553,31.6,73.9,92.6,345.4,,,
NIFTY,W_1400_1515,Wed,557,32.2,73.8,95.5,200.1,,,
NIFTY,W_1400_1520,Fri,542,32.8,72.1,87.1,253.1,,,
NIFTY,W_1400_1520,Mon,548,30.8,75.4,92.4,334.4,39,29.6,80.5
NIFTY,W_1400_1520,Thu,554,34.8,72.1,91.1,347.4,,,
NIFTY,W_1400_1520,Tue,553,32.2,76.3,94.7,345.4,,,
NIFTY,W_1400_1520,Wed,557,32.7,75.0,97.4,200.1,,,
SENSEX,W_0916_0946,Fri,275,26.9,51.1,63.6,106.7,,,
