assets,signal,horizon,window,n_obs,ic_mean,ic_t,ic_hit,top_ann,mid_ann,bot_ann,spread_ann,monotone
SECT9,VOLSCMOM126,3m,full,131,0.0574,1.97,58.0,14.77,17.4,11.98,2.78,False
SECT9,VOLSCMOM126,3m,half1,64,0.0917,2.33,64.1,9.83,15.18,6.14,3.69,False
SECT9,VOLSCMOM126,3m,half2,67,0.0246,0.57,52.2,19.48,19.52,17.57,1.92,False
SECT9,VOLSCMOM252,1m,full,127,0.0067,0.21,46.5,16.12,17.36,14.61,1.51,False
SECT9,VOLSCMOM252,1m,half1,58,0.0083,0.18,46.6,13.03,10.84,11.83,1.2,False
SECT9,VOLSCMOM252,1m,half2,69,0.0053,0.12,46.4,18.72,22.85,16.95,1.77,False
SECT9,VOLSCMOM252,3m,full,125,0.0181,0.56,55.2,14.53,18.89,15.8,-1.27,False
SECT9,VOLSCMOM252,3m,half1,58,0.067,1.4,62.1,11.96,14.24,14.55,-2.59,False
SECT9,VOLSCMOM252,3m,half2,67,-0.0241,-0.55,49.3,16.77,22.91,16.89,-0.12,False
SECT9,LOWVOL63,1m,full,138,-0.0121,-0.33,51.4,12.94,9.14,16.9,-3.96,False
SECT9,LOWVOL63,1m,half1,69,0.0268,0.53,53.6,8.38,7.83,3.22,5.16,True
SECT9,LOWVOL63,1m,half2,69,-0.051,-0.95,49.3,17.49,10.44,30.58,-13.09,False
SECT9,LOWVOL63,3m,full,136,-0.0031,-0.08,49.3,13.06,11.65,15.87,-2.82,False
SECT9,LOWVOL63,3m,half1,69,0.0901,1.71,59.4,10.95,8.16,5.95,5.0,True
SECT9,LOWVOL63,3m,half2,67,-0.099,-1.97,38.8,15.22,15.25,26.09,-10.87,False
SECT9,LOWVOL252,1m,full,133,-0.0258,-0.66,48.9,13.89,10.76,17.85,-3.96,False
SECT9,LOWVOL252,1m,half1,64,-0.0057,-0.1,50.0,12.49,5.78,6.96,5.53,False
SECT9,LOWVOL252,1m,half2,69,-0.0444,-0.81,47.8,15.19,15.37,27.96,-12.77,False
SECT9,LOWVOL252,3m,full,131,-0.0322,-0.81,42.7,14.05,11.01,19.08,-5.03,False
SECT9,LOWVOL252,3m,half1,64,0.0466,0.76,54.7,13.28,8.75,9.13,4.15,False
SECT9,LOWVOL252,3m,half2,67,-0.1075,-2.19,31.3,14.8,13.17,28.6,-13.8,False
IND20,ABSMOM21,1m,full,234,0.0733,3.65,59.4,28.57,25.15,16.46,12.11,True
IND20,ABSMOM21,1m,half1,117,0.1107,3.72,62.4,30.4,24.34,11.9,18.5,True
IND20,ABSMOM21,1m,half2,117,0.0359,1.34,56.4,26.74,25.95,21.02,5.72,True
IND20,ABSMOM21,3m,full,232,0.0986,4.72,63.4,28.82,25.4,20.55,8.27,True
IND20,ABSMOM21,3m,half1,117,0.1363,4.59,65.0,30.46,24.33,18.4,12.06,True
IND20,ABSMOM21,3m,half2,115,0.0603,2.07,61.7,27.16,26.5,22.73,4.43,True
IND20,ABSMOM42,1m,full,233,0.0642,3.15,58.4,29.03,22.08,20.11,8.91,True
IND20,ABSMOM42,1m,half1,116,0.0959,3.16,60.3,30.6,21.0,17.1,13.5,True
IND20,ABSMOM42,1m,half2,117,0.0328,1.21,56.4,27.47,23.14,23.11,4.37,True
IND20,ABSMOM42,3m,full,231,0.1187,5.71,67.5,29.62,23.67,21.13,8.48,True
IND20,ABSMOM42,3m,half1,116,0.1516,5.1,69.8,30.12,22.44,19.92,10.21,True
IND20,ABSMOM42,3m,half2,115,0.0855,2.97,65.2,29.11,24.91,22.36,6.75,True
IND20,ABSMOM63,1m,full,232,0.0841,4.18,60.3,29.87,22.15,17.91,11.96,True
IND20,ABSMOM63,1m,half1,115,0.118,3.89,62.6,31.73,19.4,14.96,16.76,True
IND20,ABSMOM63,1m,half2,117,0.0507,1.93,58.1,28.05,24.86,20.81,7.24,True
IND20,ABSMOM63,3m,full,230,0.1309,6.38,67.4,30.39,23.81,19.54,10.84,True
IND20,ABSMOM63,3m,half1,115,0.1619,5.64,69.6,31.21,21.93,17.97,13.24,True
IND20,ABSMOM63,3m,half2,115,0.0999,3.42,65.2,29.57,25.69,21.12,8.45,True
IND20,ABSMOM126,1m,full,229,0.1094,5.22,64.2,29.77,22.62,16.14,13.63,True
IND20,ABSMOM126,1m,half1,112,0.1462,4.61,67.9,29.87,20.13,13.11,16.76,True
IND20,ABSMOM126,1m,half2,117,0.0743,2.72,60.7,29.67,25.0,19.04,10.63,True
IND20,ABSMOM126,3m,full,227,0.1623,7.57,70.5,30.91,23.2,18.61,12.3,True
IND20,ABSMOM126,3m,half1,112,0.1892,5.77,68.8,30.89,21.48,16.58,14.31,True
IND20,ABSMOM126,3m,half2,115,0.136,4.93,72.2,30.92,24.88,20.59,10.33,True
IND20,ABSMOM189,1m,full,226,0.0823,3.78,62.4,27.24,20.42,18.31,8.93,True
IND20,ABSMOM189,1m,half1,109,0.109,3.36,67.0,24.89,17.5,15.27,9.62,True
