symbol,entry_date,exit_date,entry_px,exit_px,qty,reason,held_days,ret_net_pct
RVNL,2022-12-02,2023-01-03,75.15,69.2,17801,rebalance_out,32,-8.38
PANAMAPET,2022-12-02,2023-01-03,363.54,329.8,3683,rebalance_out,32,-9.73
RHIM,2022-12-02,2023-02-02,791.35,779.8,1694,rebalance_out,62,-1.95
REDINGTON,2022-12-02,2023-03-02,180.0,169.85,7432,rebalance_out,90,-6.11
KIRLFER,2022-12-02,2023-05-03,323.35,419.0,4131,rebalance_out,152,28.93
SUPREMEIND,2022-12-02,2023-06-02,2465.0,2800.6,101,rebalance_out,182,13.05
BAJAJHCARE,2023-01-03,2023-02-02,451.7,387.22,3004,rebalance_out,30,-14.7
HINDWAREAP,2023-01-03,2023-02-02,464.25,424.62,2901,rebalance_out,30,-8.99
PSPPROJECT,2023-01-03,2023-02-02,741.73,684.9,1627,rebalance_out,30,-8.12
JSL,2023-01-03,2023-05-03,253.3,285.0,5318,rebalance_out,120,11.95
BSHSL,2023-02-02,2023-03-02,603.85,282.0,2240,rebalance_out,28,-53.53
RVNL,2023-02-02,2023-03-02,73.0,62.0,17736,rebalance_out,28,-15.49
DATAPATTNS,2023-02-02,2023-03-02,1343.24,1324.38,953,rebalance_out,28,-1.9
MOLDTKPAC,2023-02-02,2023-03-02,1013.16,927.58,1272,rebalance_out,28,-8.9
PERSISTENT,2023-02-02,2023-04-05,2357.5,2267.0,550,rebalance_out,62,-4.32
SAKSOFT,2023-02-02,2023-05-03,110.0,150.4,11582,rebalance_out,90,36.05
POLYCAB,2023-02-02,2023-06-02,3000.0,3499.95,211,rebalance_out,120,16.08
TIINDIA,2023-03-02,2023-04-05,2783.0,2561.85,447,rebalance_out,34,-8.41
JBCHEPHARM,2023-03-02,2023-05-03,994.5,1040.0,1250,rebalance_out,62,4.05
HGINFRA,2023-03-02,2023-07-04,725.85,862.26,1714,rebalance_out,124,18.2
IONEXCHANG,2023-03-02,2023-08-02,337.98,523.36,3704,rebalance_out,153,54.08
SONATSOFTW,2023-03-02,2023-08-02,391.0,525.8,3231,rebalance_out,153,33.8
CHOLAFIN,2023-03-02,2023-08-02,770.65,1099.0,1147,rebalance_out,153,41.9
TIIL,2023-04-05,2023-05-03,1358.0,1426.25,933,rebalance_out,28,4.5
RVNL,2023-04-05,2023-06-02,76.65,119.3,16590,rebalance_out,58,54.87
SBCL,2023-04-05,2023-08-02,506.52,660.75,2468,rebalance_out,119,29.8
DATAPATTNS,2023-04-05,2023-10-04,1409.71,2100.85,884,rebalance_out,182,48.28
VBL,2023-05-03,2023-07-04,285.6,328.0,4808,rebalance_out,62,14.27
RAINBOW,2023-05-03,2023-08-02,799.9,1102.7,1709,rebalance_out,91,37.17
KPITTECH,2023-05-03,2023-08-02,936.0,1092.4,1454,rebalance_out,91,16.13
PFC,2023-05-03,2023-08-02,139.15,206.4,9796,rebalance_out,91,47.59
GRAVITA,2023-05-03,2023-08-02,518.3,674.9,2664,rebalance_out,91,29.56
REFEX,2023-06-02,2023-08-02,107.0,184.55,14078,rebalance_out,61,71.62
HARIOMPIPE,2023-06-02,2023-08-02,674.72,584.69,1535,rebalance_out,61,-13.78
SAKSOFT,2023-06-02,2023-09-04,203.15,255.2,7589,rebalance_out,94,24.99
VENUSPIPES,2023-07-04,2023-10-04,1167.67,1259.95,1375,rebalance_out,92,7.36
JSL,2023-07-04,2023-11-02,342.35,452.95,4190,rebalance_out,121,31.65
KSOLVES,2023-08-02,2023-09-04,516.94,532.38,3401,rebalance_out,33,2.47
NEWGEN,2023-08-02,2023-09-04,411.4,411.33,4162,rebalance_out,33,-0.52
MARKSANS,2023-08-02,2023-09-04,116.0,111.95,14938,rebalance_out,33,-3.97
RSYSTEMS,2023-08-02,2023-09-04,441.5,481.35,3967,rebalance_out,33,8.48
ACE,2023-08-02,2023-10-04,722.95,669.05,2410,rebalance_out,63,-7.92
KPIGREEN,2023-08-02,2023-10-04,182.67,188.27,9570,rebalance_out,63,2.55
MAZDOCK,2023-08-02,2023-11-02,929.9,968.95,1878,rebalance_out,92,3.68
APARINDS,2023-08-02,2023-11-02,3747.0,5090.0,470,rebalance_out,92,35.16
SARDAEN,2023-08-02,2023-11-02,198.5,201.6,8881,rebalance_out,92,1.06
TALBROAUTO,2023-08-02,2023-11-02,177.55,219.95,9472,rebalance_out,92,23.26
BECTORFOOD,2023-08-02,2024-01-02,178.0,223.71,9848,rebalance_out,153,25.05
SKMEGGPROD,2023-09-04,2023-10-04,266.9,227.4,7664,rebalance_out,30,-15.22
MOLDTECH,2023-09-04,2023-10-04,372.41,331.14,5279,rebalance_out,30,-11.53
THANGAMAYL,2023-09-04,2023-11-02,1258.7,1192.65,1572,rebalance_out,59,-5.72
RVNL,2023-09-04,2023-11-02,143.0,155.0,14087,rebalance_out,59,7.85
BANCOINDIA,2023-09-04,2023-11-02,264.5,228.0,3748,rebalance_out,59,-14.23
SAKSOFT,2023-10-04,2023-12-04,264.85,267.65,7189,rebalance_out,61,0.55
PITTIENG,2023-10-04,2023-12-04,601.0,703.95,3180,rebalance_out,61,16.55
GRAVITA,2023-10-04,2024-02-02,882.55,890.0,2156,rebalance_out,121,0.34
TIIL,2023-10-04,2024-02-02,2027.15,2358.95,449,rebalance_out,121,15.79
NEWGEN,2023-10-04,2024-04-02,436.85,793.06,4363,rebalance_out,181,80.64
