symbol,entry_date,exit_date,entry_px,exit_px,qty,reason,held_days,ret_net_pct
RAINBOW,2023-05-03,2023-06-02,799.9,963.85,3986,rebalance_out,30,19.9
REFEX,2023-06-02,2023-08-02,107.0,184.55,12488,rebalance_out,61,71.62
HARIOMPIPE,2023-06-02,2023-08-02,674.72,584.69,4030,rebalance_out,61,-13.78
SAKSOFT,2023-06-02,2023-12-04,203.15,267.65,8917,rebalance_out,185,31.09
VENUSPIPES,2023-07-04,2023-10-04,1167.67,1259.95,3717,rebalance_out,92,7.36
RVNL,2023-07-04,2023-11-02,121.8,155.0,12732,rebalance_out,121,26.62
KSOLVES,2023-08-02,2023-09-04,516.94,532.38,4216,rebalance_out,33,2.47
ACE,2023-08-02,2023-10-04,722.95,669.05,4307,rebalance_out,63,-7.92
MAZDOCK,2023-08-02,2023-11-02,929.9,968.95,2204,rebalance_out,92,3.68
THANGAMAYL,2023-08-02,2024-02-02,1110.66,1424.61,2075,rebalance_out,184,27.63
APARINDS,2023-08-02,2024-03-02,3747.0,6300.0,789,rebalance_out,213,67.3
SKMEGGPROD,2023-09-04,2023-11-02,266.9,211.0,8453,rebalance_out,59,-21.34
BANCOINDIA,2023-10-04,2023-11-02,255.0,228.0,10816,rebalance_out,29,-11.03
MOLDTECH,2023-10-04,2023-11-02,331.14,266.77,8133,rebalance_out,29,-19.84
ANANDRATHI,2023-10-04,2024-08-02,434.5,917.5,9935,rebalance_out,303,110.11
ACE,2023-11-02,2023-12-04,856.0,840.0,4369,rebalance_out,32,-2.36
PITTIENG,2023-11-02,2023-12-04,701.0,703.95,3733,rebalance_out,32,-0.08
GRAVITA,2023-11-02,2024-01-02,1077.0,1082.8,2925,rebalance_out,61,0.04
BECTORFOOD,2023-11-02,2024-01-02,227.87,223.71,2525,rebalance_out,61,-2.32
NEWGEN,2023-11-02,2024-06-04,566.05,894.18,4570,rebalance_out,215,57.18
TALBROAUTO,2023-12-04,2024-02-02,308.8,279.3,6918,rebalance_out,60,-10.0
MARKSANS,2023-12-04,2024-02-02,169.0,153.2,22275,rebalance_out,60,-9.8
ANGELONE,2023-12-04,2024-03-02,311.0,282.0,10892,rebalance_out,89,-9.78
KPIGREEN,2023-12-04,2024-07-02,267.63,608.14,12696,rebalance_out,211,126.1
MAZDOCK,2024-01-02,2024-02-02,1149.0,1121.0,811,rebalance_out,31,-2.92
BANCOINDIA,2024-01-02,2024-04-02,316.7,302.2,11259,rebalance_out,91,-5.05
RVNL,2024-02-02,2024-03-02,300.25,246.9,9449,rebalance_out,29,-18.18
PPL,2024-02-02,2024-03-04,464.49,412.05,6585,rebalance_out,31,-11.73
SIGACHI,2024-02-02,2024-04-02,83.47,61.71,39160,rebalance_out,60,-26.44
JSLL,2024-03-02,2024-04-02,177.8,180.0,25460,rebalance_out,31,0.73
ACE,2024-03-02,2024-08-02,1439.7,1351.0,2505,rebalance_out,153,-6.63
OIL,2024-03-02,2024-10-03,396.75,574.4,5521,rebalance_out,215,44.05
TIPSMUSIC,2024-04-02,2024-05-03,475.5,445.0,4153,rebalance_out,31,-6.88
DSSL,2024-04-02,2024-06-04,1069.4,1174.1,2593,rebalance_out,63,9.24
EMUDHRA,2024-04-02,2024-06-04,742.7,766.9,4214,rebalance_out,63,2.74
VOLTAMP,2024-04-02,2024-08-02,9838.8,13500.0,365,rebalance_out,122,36.53
JSLL,2024-05-03,2024-08-02,211.6,229.0,8691,rebalance_out,91,7.68
DPABHUSHAN,2024-06-04,2024-07-02,1251.45,1359.95,2735,rebalance_out,28,8.13
DOLATALGO,2024-06-04,2024-08-02,142.18,139.53,17147,rebalance_out,59,-2.35
