,offset0,offset1,offset2,offset3,offset4,offset5,offset6,offset7,offset8,offset9,offset10,offset11
2018-12-19,8939156.0,8637042.0,8493760.0,8710931.0,8837322.0,8760722.0,8612504.0,8787682.0,8566024.0,8882004.0,9022539.0,8740716.0
2018-12-20,8926632.0,8625123.0,8492328.0,8710993.0,8829876.0,8758508.0,8605987.0,8779388.0,8567864.0,8883543.0,9024386.0,8742288.0
2018-12-21,8873036.0,8573943.0,8449495.0,8676633.0,8777566.0,8724150.0,8557024.0,8718170.0,8514774.0,8827336.0,8964219.0,8685034.0
2018-12-24,8825024.0,8526357.0,8403267.0,8628127.0,8696186.0,8635304.0,8480921.0,8642482.0,8453742.0,8764018.0,8898882.0,8622928.0
2018-12-26,8818271.0,8521394.0,8394195.0,8622928.0,8701905.0,8632528.0,8485151.0,8642771.0,8454978.0,8766306.0,8901892.0,8623886.0
2018-12-27,8886091.0,8584324.0,8462190.0,8678034.0,8758110.0,8695804.0,8537074.0,8708250.0,8516992.0,8829480.0,8968583.0,8690974.0
2018-12-28,8946572.0,8641927.0,8510155.0,8724724.0,8858774.0,8772595.0,8627094.0,8804299.0,8614201.0,8931290.0,9072849.0,8789604.0
2018-12-31,8967570.0,8660597.0,8519173.0,8725935.0,8853984.0,8756334.0,8623804.0,8809224.0,8622014.0,8939402.0,9082520.0,8800364.0
2019-01-01,8975670.0,8669340.0,8523141.0,8733033.0,8849588.0,8757715.0,8620688.0,8802125.0,8618346.0,8935466.0,9079088.0,8796838.0
2019-01-02,8939907.0,8669824.0,8533597.0,8749858.0,8840024.0,8763119.0,8613496.0,8788458.0,8600288.0,8916572.0,9058258.0,8777414.0
2019-01-03,8874789.0,8591592.0,8511267.0,8744855.0,8831992.0,8763741.0,8606465.0,8762714.0,8547369.0,8862469.0,8999103.0,8719181.0
2019-01-04,8896328.0,8613899.0,8521810.0,8768157.0,8867435.0,8787351.0,8637541.0,8784656.0,8569944.0,8886169.0,9021579.0,8740537.0
2019-01-07,8907194.0,8623850.0,8525061.0,8754174.0,8875168.0,8782390.0,8645768.0,8799323.0,8586689.0,8903915.0,9040465.0,8758951.0
2019-01-08,8917281.0,8633423.0,8536247.0,8765719.0,8866585.0,8778835.0,8646595.0,8802012.0,8594785.0,8912426.0,9048660.0,8767428.0
2019-01-09,8950352.0,8665039.0,8564998.0,8795322.0,8899103.0,8795626.0,8667736.0,8826417.0,8616390.0,8935016.0,9072720.0,8790097.0
2019-01-10,8992902.0,8706269.0,8601296.0,8831487.0,8938545.0,8832846.0,8692023.0,8877852.0,8666154.0,8986747.0,9125218.0,8842280.0
2019-01-11,8989598.0,8702532.0,8595618.0,8825677.0,8934674.0,8826313.0,8687250.0,8863941.0,8658534.0,8979347.0,9118311.0,8835309.0
2019-01-14,8858217.0,8577158.0,8488833.0,8717014.0,8813133.0,8715226.0,8579372.0,8755064.0,8553943.0,8851954.0,8985514.0,8707788.0
2019-01-15,8916986.0,8630400.0,8521268.0,8749898.0,8849314.0,8748076.0,8612175.0,8788177.0,8586267.0,8882450.0,9048932.0,8769088.0
