label,ma,conf,exit,tax,n_trades,win_rate,avg_win,avg_loss,expectancy,max_lose_streak,corr_tn_d,secs,w0_cagr,w0_dd,w0_sharpe,w0_calmar,wa_cagr,wa_dd,wa_sharpe,wa_calmar,w1_cagr,w1_dd,w1_sharpe,w1_calmar,w2_cagr,w2_dd,w2_sharpe,w2_calmar
ema20_none_2R_t10_tax0,ema20,none,2R_t10,0,5157,36.6,6.44,-4.78,-0.671,44,0.308,0.7,-15.04,-96.95,-0.96,-0.16,-10.67,-84.9,-0.73,-0.13,-11.46,-42.3,-1.07,-0.27,-15.56,-74.01,-0.81,-0.21
ema20_none_2R_t10_tax1,ema20,none,2R_t10,1,5163,36.6,6.44,-4.77,-0.672,44,0.315,0.9,-15.6,-97.29,-1.01,-0.16,-11.17,-85.89,-0.77,-0.13,-11.46,-42.3,-1.07,-0.27,-16.59,-74.98,-0.88,-0.22
ema20_none_2R_t15_tax0,ema20,none,2R_t15,0,4434,35.7,7.32,-5.1,-0.663,34,0.317,0.8,-12.93,-94.44,-0.8,-0.14,-7.53,-74.71,-0.49,-0.1,-6.78,-38.59,-0.59,-0.18,-12.07,-71.27,-0.61,-0.17
ema20_none_2R_t15_tax1,ema20,none,2R_t15,1,4433,35.8,7.32,-5.1,-0.662,34,0.324,0.9,-13.68,-95.34,-0.85,-0.14,-8.24,-77.39,-0.54,-0.11,-7.11,-39.38,-0.62,-0.18,-13.37,-73.1,-0.68,-0.18
ema20_rsi14_2R_t10_tax0,ema20,rsi14,2R_t10,0,139,36.7,7.33,-4.92,-0.426,7,0.034,0.6,4.52,-5.7,1.71,0.79,4.85,-2.9,2.46,1.67,4.54,-0.79,4.91,5.74,5.08,-2.9,1.8,1.75
ema20_rsi14_2R_t10_tax1,ema20,rsi14,2R_t10,1,139,36.7,7.33,-4.92,-0.426,7,0.036,0.8,4.45,-5.7,1.68,0.78,4.77,-2.9,2.43,1.65,4.54,-0.79,4.91,5.74,4.91,-2.9,1.75,1.69
ema20_rsi14_2R_t15_tax0,ema20,rsi14,2R_t15,0,139,36.7,7.91,-5.59,-0.638,8,0.041,0.6,4.33,-10.27,1.51,0.42,5.15,-2.65,2.42,1.94,4.51,-0.79,4.45,5.7,5.84,-2.65,1.91,2.2
ema20_rsi14_2R_t15_tax1,ema20,rsi14,2R_t15,1,139,36.7,7.91,-5.59,-0.638,8,0.045,0.7,4.23,-10.27,1.48,0.41,5.02,-2.87,2.36,1.75,4.51,-0.79,4.45,5.7,5.55,-2.87,1.82,1.94
ema20_rsi2_2R_t10_tax0,ema20,rsi2,2R_t10,0,1176,38.8,6.01,-4.64,-0.514,21,0.217,0.6,1.13,-43.61,0.2,0.03,3.11,-16.28,0.63,0.19,5.62,-3.62,1.94,1.55,1.46,-16.28,0.24,0.09
ema20_rsi2_2R_t10_tax1,ema20,rsi2,2R_t10,1,1176,38.8,6.01,-4.64,-0.514,21,0.223,0.7,0.78,-43.61,0.15,0.02,2.78,-16.28,0.57,0.17,5.22,-3.62,1.75,1.44,0.96,-16.28,0.17,0.06
ema20_rsi2_2R_t15_tax0,ema20,rsi2,2R_t15,0,1171,37.4,6.68,-4.92,-0.583,17,0.229,0.6,0.6,-50.59,0.12,0.01,3.41,-15.41,0.66,0.22,5.99,-3.9,1.94,1.53,2.04,-15.41,0.31,0.13
ema20_rsi2_2R_t15_tax1,ema20,rsi2,2R_t15,1,1171,37.4,6.68,-4.92,-0.583,17,0.235,0.7,0.22,-50.59,0.07,0.0,3.0,-15.41,0.58,0.19,5.56,-3.9,1.75,1.42,1.39,-15.41,0.22,0.09
ema20_rs70_2R_t10_tax0,ema20,rs70,2R_t10,0,4726,37.3,6.89,-5.11,-0.631,34,0.347,0.8,-12.86,-95.49,-0.77,-0.13,-6.97,-75.24,-0.41,-0.09,-4.82,-33.69,-0.41,-0.14,-12.47,-65.68,-0.58,-0.19
ema20_rs70_2R_t10_tax1,ema20,rs70,2R_t10,1,4726,37.3,6.89,-5.11,-0.631,34,0.353,0.9,-13.44,-95.99,-0.81,-0.14,-7.64,-77.3,-0.46,-0.1,-5.08,-34.28,-0.43,-0.15,-13.71,-68.0,-0.65,-0.2
ema20_rs70_2R_t15_tax0,ema20,rs70,2R_t15,0,4042,35.7,7.98,-5.45,-0.65,37,0.348,0.8,-11.45,-93.49,-0.66,-0.12,-5.08,-64.64,-0.27,-0.08,-5.24,-34.6,-0.44,-0.15,-8.85,-63.62,-0.36,-0.14
ema20_rs70_2R_t15_tax1,ema20,rs70,2R_t15,1,4044,35.7,7.99,-5.46,-0.655,37,0.356,0.9,-12.4,-94.76,-0.72,-0.13,-6.2,-70.12,-0.35,-0.09,-5.69,-35.58,-0.49,-0.16,-10.91,-66.3,-0.47,-0.16
ema20_stoch_2R_t10_tax0,ema20,stoch,2R_t10,0,3344,37.4,6.51,-4.65,-0.481,26,0.299,0.8,-5.47,-72.1,-0.4,-0.08,-4.8,-56.79,-0.38,-0.08,0.72,-15.61,0.13,0.05,-9.64,-53.66,-0.59,-0.18
ema20_stoch_2R_t10_tax1,ema20,stoch,2R_t10,1,3344,37.4,6.51,-4.65,-0.481,26,0.306,0.9,-5.94,-74.79,-0.44,-0.08,-5.15,-59.05,-0.41,-0.09,0.48,-15.61,0.1,0.03,-10.25,-55.71,-0.64,-0.18
ema20_stoch_2R_t15_tax0,ema20,stoch,2R_t15,0,3025,36.6,7.55,-4.96,-0.383,26,0.312,0.8,-3.61,-61.17,-0.23,-0.06,-2.02,-41.29,-0.11,-0.05,1.35,-15.85,0.2,0.08,-3.87,-41.29,-0.17,-0.09
ema20_stoch_2R_t15_tax1,ema20,stoch,2R_t15,1,3025,36.6,7.55,-4.96,-0.383,26,0.321,0.9,-4.34,-66.49,-0.29,-0.07,-2.66,-45.47,-0.17,-0.06,0.92,-16.01,0.15,0.06,-5.03,-45.47,-0.25,-0.11
ema20_cci_2R_t10_tax0,ema20,cci,2R_t10,0,640,39.7,6.95,-5.16,-0.352,16,0.168,0.7,3.18,-16.57,0.65,0.19,2.94,-12.26,0.6,0.24,0.05,-6.12,0.03,0.01,3.93,-12.26,0.59,0.32
ema20_cci_2R_t10_tax1,ema20,cci,2R_t10,1,640,39.7,6.95,-5.16,-0.352,16,0.181,0.8,2.73,-16.57,0.56,0.16,2.54,-12.77,0.52,0.2,0.05,-6.12,0.03,0.01,3.17,-12.77,0.49,0.25
ema20_cci_2R_t15_tax0,ema20,cci,2R_t15,0,635,38.3,8.41,-5.53,-0.199,15,0.233,0.8,3.51,-16.56,0.64,0.21,3.24,-13.34,0.59,0.24,0.31,-7.06,0.1,0.04,4.5,-13.34,0.59,0.34
ema20_cci_2R_t15_tax1,ema20,cci,2R_t15,1,634,38.3,8.41,-5.54,-0.195,15,0.246,0.8,2.98,-16.56,0.55,0.18,2.78,-15.61,0.51,0.18,0.31,-7.06,0.1,0.04,3.64,-15.61,0.49,0.23
ema50_none_2R_t10_tax0,ema50,none,2R_t10,0,4741,34.7,6.23,-4.66,-0.878,39,0.303,0.7,-17.43,-98.14,-1.24,-0.18,-15.37,-92.63,-1.17,-0.17,-10.88,-41.44,-1.11,-0.26,-23.39,-84.75,-1.42,-0.28
ema50_none_2R_t10_tax1,ema50,none,2R_t10,1,4741,34.7,6.23,-4.66,-0.878,39,0.308,0.9,-17.77,-98.28,-1.26,-0.18,-15.56,-92.85,-1.19,-0.17,-10.88,-41.44,-1.11,-0.26,-23.77,-85.21,-1.45,-0.28
ema50_none_2R_t15_tax0,ema50,none,2R_t15,0,4075,34.0,7.14,-5.05,-0.904,59,0.301,0.7,-15.66,-97.2,-1.06,-0.16,-12.55,-88.23,-0.91,-0.14,-9.34,-39.33,-0.91,-0.24,-19.37,-78.79,-1.11,-0.25
ema50_none_2R_t15_tax1,ema50,none,2R_t15,1,4074,34.0,7.14,-5.05,-0.906,59,0.307,0.8,-16.15,-97.51,-1.1,-0.17,-12.95,-88.95,-0.94,-0.15,-9.63,-39.33,-0.94,-0.24,-20.03,-79.86,-1.16,-0.25
ema50_rsi14_2R_t10_tax0,ema50,rsi14,2R_t10,0,957,36.4,6.12,-4.72,-0.778,28,0.143,0.6,0.5,-25.58,0.11,0.02,0.85,-25.38,0.16,0.03,3.38,-8.58,0.98,0.39,-2.06,-25.38,-0.18,-0.08
ema50_rsi14_2R_t10_tax1,ema50,rsi14,2R_t10,1,957,36.4,6.12,-4.72,-0.778,28,0.145,0.7,0.41,-25.58,0.09,0.02,0.73,-25.38,0.15,0.03,3.2,-8.75,0.93,0.37,-2.21,-25.38,-0.2,-0.09
ema50_rsi14_2R_t15_tax0,ema50,rsi14,2R_t15,0,953,36.8,6.77,-5.12,-0.738,28,0.152,0.6,0.51,-34.82,0.11,0.01,1.59,-24.8,0.27,0.06,3.43,-10.25,0.91,0.33,-0.31,-24.8,0.02,-0.01
ema50_rsi14_2R_t15_tax1,ema50,rsi14,2R_t15,1,953,36.8,6.77,-5.12,-0.738,28,0.155,0.7,0.34,-34.82,0.08,0.01,1.38,-24.8,0.24,0.06,3.23,-10.25,0.86,0.32,-0.67,-24.8,-0.02,-0.03
ema50_rsi2_2R_t10_tax0,ema50,rsi2,2R_t10,0,1071,36.7,6.02,-4.81,-0.834,24,0.188,0.7,-0.28,-45.24,-0.01,-0.01,1.65,-20.97,0.31,0.08,5.24,-4.43,1.63,1.18,-1.21,-20.97,-0.11,-0.06
ema50_rsi2_2R_t10_tax1,ema50,rsi2,2R_t10,1,1071,36.7,6.02,-4.81,-0.834,24,0.193,0.7,-0.53,-45.24,-0.04,-0.01,1.44,-20.97,0.28,0.07,4.95,-4.53,1.53,1.09,-1.52,-20.97,-0.15,-0.07
ema50_rsi2_2R_t15_tax0,ema50,rsi2,2R_t15,0,1065,35.9,6.79,-5.14,-0.86,48,0.189,0.7,-0.55,-52.26,-0.04,-0.01,1.91,-20.77,0.34,0.09,5.88,-4.43,1.76,1.33,-0.91,-20.77,-0.06,-0.04
ema50_rsi2_2R_t15_tax1,ema50,rsi2,2R_t15,1,1065,35.9,6.79,-5.14,-0.86,48,0.195,0.8,-0.9,-52.26,-0.09,-0.02,1.63,-20.77,0.3,0.08,5.57,-4.43,1.65,1.26,-1.37,-20.77,-0.12,-0.07
ema50_rs70_2R_t10_tax0,ema50,rs70,2R_t10,0,3853,37.6,6.66,-5.12,-0.691,34,0.3,0.7,-10.84,-92.61,-0.72,-0.12,-7.53,-74.37,-0.51,-0.1,-1.94,-33.75,-0.15,-0.06,-12.87,-63.45,-0.69,-0.2
ema50_rs70_2R_t10_tax1,ema50,rs70,2R_t10,1,3852,37.6,6.66,-5.12,-0.69,34,0.311,0.9,-11.49,-93.62,-0.77,-0.12,-8.22,-76.97,-0.57,-0.11,-2.46,-34.2,-0.2,-0.07,-14.03,-66.53,-0.76,-0.21
ema50_rs70_2R_t15_tax0,ema50,rs70,2R_t15,0,3406,36.1,7.91,-5.54,-0.691,38,0.302,0.7,-9.87,-89.49,-0.61,-0.11,-5.92,-66.02,-0.35,-0.09,-1.01,-32.9,-0.05,-0.03,-10.58,-64.72,-0.5,-0.16
ema50_rs70_2R_t15_tax1,ema50,rs70,2R_t15,1,3405,36.1,7.91,-5.54,-0.69,38,0.314,0.8,-10.75,-91.39,-0.67,-0.12,-6.85,-70.32,-0.42,-0.1,-1.69,-33.88,-0.11,-0.05,-12.18,-67.27,-0.59,-0.18
ema50_stoch_2R_t10_tax0,ema50,stoch,2R_t10,0,3514,35.9,6.2,-4.59,-0.716,30,0.302,0.8,-9.72,-89.06,-0.75,-0.11,-9.47,-78.79,-0.78,-0.12,-5.96,-32.38,-0.66,-0.18,-15.69,-68.8,-1.01,-0.23
ema50_stoch_2R_t10_tax1,ema50,stoch,2R_t10,1,3514,35.9,6.2,-4.59,-0.716,30,0.307,0.9,-10.01,-89.74,-0.77,-0.11,-9.65,-79.4,-0.8,-0.12,-6.26,-32.38,-0.7,-0.19,-15.91,-69.34,-1.03,-0.23
ema50_stoch_2R_t15_tax0,ema50,stoch,2R_t15,0,3201,34.6,7.26,-4.97,-0.735,45,0.299,0.8,-9.34,-88.46,-0.68,-0.11,-8.85,-75.88,-0.69,-0.12,-8.58,-35.88,-0.94,-0.24,-12.48,-59.9,-0.73,-0.21
ema50_stoch_2R_t15_tax1,ema50,stoch,2R_t15,1,3202,34.6,7.27,-4.97,-0.732,45,0.306,0.8,-9.71,-89.37,-0.71,-0.11,-9.09,-76.81,-0.71,-0.12,-8.62,-35.98,-0.95,-0.24,-12.97,-61.39,-0.77,-0.21
ema50_cci_2R_t10_tax0,ema50,cci,2R_t10,0,2008,37.7,6.39,-4.57,-0.432,25,0.243,0.9,-1.05,-48.78,-0.06,-0.02,-3.07,-48.78,-0.29,-0.06,-4.67,-24.03,-0.75,-0.19,-4.95,-35.14,-0.35,-0.14
ema50_cci_2R_t10_tax1,ema50,cci,2R_t10,1,2007,37.8,6.39,-4.57,-0.43,25,0.248,1.0,-1.35,-49.54,-0.1,-0.03,-3.28,-49.54,-0.32,-0.07,-4.7,-24.12,-0.76,-0.19,-5.27,-36.02,-0.37,-0.15
ema50_cci_2R_t15_tax0,ema50,cci,2R_t15,0,1879,37.9,7.44,-5.06,-0.321,29,0.261,0.8,-0.14,-42.44,0.04,-0.0,-1.96,-42.44,-0.15,-0.05,-4.05,-25.31,-0.57,-0.16,-2.41,-27.17,-0.12,-0.09
ema50_cci_2R_t15_tax1,ema50,cci,2R_t15,1,1878,38.0,7.44,-5.07,-0.319,29,0.267,1.0,-0.73,-43.7,-0.02,-0.02,-2.5,-43.7,-0.21,-0.06,-4.33,-26.07,-0.61,-0.17,-3.19,-28.03,-0.18,-0.11
ema100_none_2R_t10_tax0,ema100,none,2R_t10,0,4332,36.0,6.27,-4.73,-0.772,45,0.263,0.6,-14.04,-95.87,-0.94,-0.15,-10.51,-84.28,-0.77,-0.12,-9.38,-37.98,-1.01,-0.25,-16.07,-73.35,-0.91,-0.22
ema100_none_2R_t10_tax1,ema100,none,2R_t10,1,4331,35.9,6.28,-4.73,-0.777,45,0.268,0.7,-14.62,-96.41,-0.98,-0.15,-10.95,-85.33,-0.81,-0.13,-9.38,-37.98,-1.01,-0.25,-16.93,-74.23,-0.97,-0.23
ema100_none_2R_t15_tax0,ema100,none,2R_t15,0,3779,34.9,7.38,-5.09,-0.737,37,0.272,0.6,-12.0,-93.53,-0.77,-0.13,-9.16,-79.74,-0.64,-0.11,-6.52,-31.47,-0.67,-0.21,-15.53,-73.02,-0.84,-0.21
ema100_none_2R_t15_tax1,ema100,none,2R_t15,1,3779,34.9,7.39,-5.09,-0.733,37,0.279,0.8,-12.59,-94.36,-0.81,-0.13,-9.55,-80.93,-0.67,-0.12,-6.52,-31.47,-0.67,-0.21,-16.3,-73.4,-0.9,-0.22
ema100_rsi14_2R_t10_tax0,ema100,rsi14,2R_t10,0,1812,35.1,6.02,-4.68,-0.921,39,0.146,0.7,-4.62,-63.96,-0.45,-0.07,-4.76,-59.46,-0.48,-0.08,2.63,-18.13,0.48,0.15,-11.39,-58.35,-0.92,-0.2
ema100_rsi14_2R_t10_tax1,ema100,rsi14,2R_t10,1,1812,35.1,6.02,-4.68,-0.921,39,0.15,0.7,-4.84,-65.61,-0.47,-0.07,-4.92,-60.39,-0.5,-0.08,2.49,-18.13,0.45,0.14,-11.63,-59.11,-0.95,-0.2
ema100_rsi14_2R_t15_tax0,ema100,rsi14,2R_t15,0,1756,35.0,6.86,-5.05,-0.878,28,0.155,0.6,-4.29,-63.09,-0.39,-0.07,-3.42,-51.3,-0.31,-0.07,3.35,-18.92,0.58,0.18,-9.13,-51.3,-0.69,-0.18
ema100_rsi14_2R_t15_tax1,ema100,rsi14,2R_t15,1,1756,35.0,6.86,-5.05,-0.878,28,0.159,0.7,-4.59,-65.37,-0.42,-0.07,-3.67,-52.68,-0.34,-0.07,3.11,-18.92,0.54,0.16,-9.52,-52.68,-0.72,-0.18
ema100_rsi2_2R_t10_tax0,ema100,rsi2,2R_t10,0,873,37.1,5.96,-4.87,-0.854,21,0.128,0.7,0.56,-36.09,0.12,0.02,2.19,-16.92,0.43,0.13,6.02,-2.68,1.99,2.24,-0.09,-16.92,0.03,-0.01
ema100_rsi2_2R_t10_tax1,ema100,rsi2,2R_t10,1,873,37.1,5.96,-4.87,-0.854,21,0.131,0.8,0.37,-36.09,0.09,0.01,1.99,-16.92,0.4,0.12,5.63,-2.68,1.83,2.1,-0.32,-16.92,-0.01,-0.02
ema100_rsi2_2R_t15_tax0,ema100,rsi2,2R_t15,0,869,36.2,6.93,-5.36,-0.905,23,0.137,0.7,0.16,-45.1,0.06,0.0,2.38,-17.5,0.44,0.14,6.27,-2.68,2.0,2.33,0.21,-17.5,0.07,0.01
ema100_rsi2_2R_t15_tax1,ema100,rsi2,2R_t15,1,869,36.2,6.93,-5.36,-0.905,23,0.141,0.8,-0.09,-45.1,0.02,-0.0,2.13,-17.5,0.4,0.12,5.82,-2.68,1.83,2.17,-0.12,-17.5,0.03,-0.01
ema100_rs70_2R_t10_tax0,ema100,rs70,2R_t10,0,2741,36.7,6.81,-5.28,-0.843,40,0.179,0.7,-8.62,-87.21,-0.63,-0.1,-5.23,-64.69,-0.38,-0.08,1.28,-26.61,0.19,0.05,-11.17,-59.59,-0.67,-0.19
ema100_rs70_2R_t10_tax1,ema100,rs70,2R_t10,1,2741,36.7,6.81,-5.28,-0.843,40,0.186,1.1,-9.17,-88.71,-0.68,-0.1,-5.74,-66.95,-0.43,-0.09,0.81,-26.61,0.14,0.03,-11.91,-61.25,-0.72,-0.19
ema100_rs70_2R_t15_tax0,ema100,rs70,2R_t15,0,2431,36.9,8.17,-5.73,-0.594,37,0.194,1.4,-4.96,-72.31,-0.32,-0.07,-2.09,-53.6,-0.1,-0.04,1.01,-26.6,0.16,0.04,-5.14,-53.6,-0.23,-0.1
ema100_rs70_2R_t15_tax1,ema100,rs70,2R_t15,1,2430,36.9,8.17,-5.73,-0.599,37,0.204,1.8,-5.75,-76.65,-0.38,-0.07,-2.9,-53.6,-0.17,-0.05,0.58,-26.6,0.11,0.02,-6.56,-53.6,-0.32,-0.12
ema100_stoch_2R_t10_tax0,ema100,stoch,2R_t10,0,3227,35.0,5.95,-4.56,-0.884,35,0.253,1.3,-11.0,-91.82,-0.9,-0.12,-10.94,-84.5,-0.97,-0.13,-5.54,-33.45,-0.63,-0.17,-19.47,-76.93,-1.36,-0.25
ema100_stoch_2R_t10_tax1,ema100,stoch,2R_t10,1,3227,35.0,5.95,-4.56,-0.884,35,0.256,1.5,-11.18,-92.16,-0.92,-0.12,-11.08,-84.84,-0.98,-0.13,-5.54,-33.45,-0.63,-0.17,-19.74,-77.44,-1.38,-0.25
ema100_stoch_2R_t15_tax0,ema100,stoch,2R_t15,0,2962,35.6,7.0,-4.98,-0.718,34,0.266,1.3,-8.18,-85.25,-0.61,-0.1,-6.95,-71.02,-0.55,-0.1,-4.29,-30.73,-0.46,-0.14,-13.14,-66.62,-0.81,-0.2
ema100_stoch_2R_t15_tax1,ema100,stoch,2R_t15,1,2962,35.6,7.0,-4.98,-0.718,34,0.27,1.5,-8.54,-86.38,-0.64,-0.1,-7.26,-72.39,-0.58,-0.1,-4.33,-30.83,-0.47,-0.14,-13.75,-68.04,-0.85,-0.2
ema100_cci_2R_t10_tax0,ema100,cci,2R_t10,0,2199,36.5,5.97,-4.7,-0.807,32,0.198,1.3,-5.52,-72.18,-0.52,-0.08,-6.28,-67.83,-0.62,-0.09,-4.15,-25.52,-0.55,-0.16,-11.59,-58.39,-0.9,-0.2
ema100_cci_2R_t10_tax1,ema100,cci,2R_t10,1,2196,36.5,5.96,-4.7,-0.814,32,0.203,1.2,-5.79,-73.73,-0.54,-0.08,-6.44,-68.5,-0.64,-0.09,-4.15,-25.52,-0.55,-0.16,-11.87,-59.26,-0.93,-0.2
ema100_cci_2R_t15_tax0,ema100,cci,2R_t15,0,2038,36.0,7.03,-5.08,-0.721,25,0.215,1.3,-4.39,-66.33,-0.37,-0.07,-4.63,-60.19,-0.4,-0.08,-4.23,-28.07,-0.52,-0.15,-7.88,-47.94,-0.53,-0.16
ema100_cci_2R_t15_tax1,ema100,cci,2R_t15,1,2038,36.0,7.03,-5.08,-0.721,25,0.22,1.3,-4.86,-69.41,-0.42,-0.07,-5.07,-62.13,-0.45,-0.08,-4.23,-28.07,-0.52,-0.15,-8.61,-50.47,-0.59,-0.17
ema200_none_2R_t10_tax0,ema200,none,2R_t10,0,3669,36.7,6.31,-4.95,-0.819,44,0.271,0.9,-12.34,-94.1,-0.87,-0.13,-8.76,-78.75,-0.67,-0.11,-5.24,-23.86,-0.56,-0.22,-14.99,-68.07,-0.9,-0.22
ema200_none_2R_t10_tax1,ema200,none,2R_t10,1,3669,36.7,6.31,-4.95,-0.819,44,0.277,1.0,-12.83,-94.74,-0.91,-0.14,-9.09,-79.79,-0.7,-0.11,-5.24,-23.86,-0.56,-0.22,-15.63,-69.63,-0.94,-0.22
ema200_none_2R_t15_tax0,ema200,none,2R_t15,0,3211,36.0,7.37,-5.31,-0.743,44,0.277,1.0,-9.91,-91.42,-0.67,-0.11,-5.71,-66.27,-0.4,-0.09,-4.77,-26.32,-0.51,-0.18,-9.93,-54.72,-0.54,-0.18
ema200_none_2R_t15_tax1,ema200,none,2R_t15,1,3211,36.0,7.37,-5.31,-0.743,44,0.284,0.8,-10.54,-92.53,-0.72,-0.11,-6.27,-68.82,-0.45,-0.09,-4.86,-26.32,-0.52,-0.18,-11.01,-58.0,-0.61,-0.19
ema200_rsi14_2R_t10_tax0,ema200,rsi14,2R_t10,0,1427,37.6,6.27,-5.07,-0.8,37,0.109,0.8,-1.96,-46.13,-0.18,-0.04,-0.81,-30.93,-0.05,-0.03,2.37,-10.97,0.46,0.22,-4.11,-30.93,-0.31,-0.13
ema200_rsi14_2R_t10_tax1,ema200,rsi14,2R_t10,1,1427,37.6,6.27,-5.07,-0.8,37,0.115,0.9,-2.28,-48.78,-0.21,-0.05,-1.07,-32.19,-0.08,-0.03,2.22,-10.97,0.43,0.2,-4.56,-32.19,-0.35,-0.14
ema200_rsi14_2R_t15_tax0,ema200,rsi14,2R_t15,0,1379,37.3,7.21,-5.49,-0.758,30,0.124,0.7,-1.8,-53.95,-0.14,-0.03,0.72,-31.06,0.13,0.02,2.65,-11.24,0.51,0.24,-1.38,-31.06,-0.05,-0.04
ema200_rsi14_2R_t15_tax1,ema200,rsi14,2R_t15,1,1379,37.3,7.21,-5.49,-0.758,30,0.13,0.9,-2.26,-55.55,-0.19,-0.04,0.27,-31.06,0.08,0.01,2.53,-11.24,0.49,0.23,-2.25,-31.06,-0.13,-0.07
ema200_rsi2_2R_t10_tax0,ema200,rsi2,2R_t10,0,468,34.6,6.68,-5.42,-1.234,19,0.103,0.8,1.62,-31.98,0.34,0.05,3.72,-15.42,0.97,0.24,5.36,-2.02,2.52,2.65,3.07,-15.42,0.6,0.2
ema200_rsi2_2R_t10_tax1,ema200,rsi2,2R_t10,1,468,34.6,6.68,-5.42,-1.234,19,0.107,0.9,1.45,-31.98,0.31,0.05,3.54,-15.42,0.92,0.23,5.28,-2.02,2.48,2.61,2.73,-15.42,0.53,0.18
ema200_rsi2_2R_t15_tax0,ema200,rsi2,2R_t15,0,464,34.1,7.55,-6.14,-1.476,16,0.12,0.7,0.96,-39.35,0.21,0.02,3.53,-15.45,0.86,0.23,5.7,-2.02,2.59,2.81,2.35,-15.45,0.43,0.15
ema200_rsi2_2R_t15_tax1,ema200,rsi2,2R_t15,1,464,34.1,7.55,-6.14,-1.476,16,0.125,0.9,0.76,-39.35,0.17,0.02,3.34,-15.45,0.82,0.22,5.57,-2.02,2.53,2.75,1.98,-15.45,0.37,0.13
ema200_rs70_2R_t10_tax0,ema200,rs70,2R_t10,0,1534,37.9,7.29,-5.94,-0.93,39,0.099,0.8,-3.77,-76.11,-0.3,-0.05,0.1,-50.68,0.06,0.0,-4.23,-21.46,-0.6,-0.2,0.9,-36.95,0.14,0.02
ema200_rs70_2R_t10_tax1,ema200,rs70,2R_t10,1,1534,37.9,7.29,-5.94,-0.93,39,0.109,0.8,-4.37,-77.44,-0.36,-0.06,-0.4,-50.68,0.01,-0.01,-4.23,-21.46,-0.6,-0.2,-0.13,-36.95,0.05,-0.0
ema200_rs70_2R_t15_tax0,ema200,rs70,2R_t15,0,1386,35.8,8.67,-6.5,-1.073,33,0.116,0.8,-4.35,-78.29,-0.34,-0.06,0.55,-46.5,0.11,0.01,-4.73,-23.22,-0.69,-0.2,1.48,-35.23,0.18,0.04
ema200_rs70_2R_t15_tax1,ema200,rs70,2R_t15,1,1385,35.7,8.66,-6.5,-1.081,33,0.125,0.9,-5.03,-79.45,-0.4,-0.06,-0.09,-46.5,0.04,-0.0,-4.73,-23.22,-0.69,-0.2,0.12,-35.49,0.08,0.0
ema200_stoch_2R_t10_tax0,ema200,stoch,2R_t10,0,2413,37.4,6.12,-4.94,-0.802,34,0.22,0.8,-6.6,-79.05,-0.54,-0.08,-4.75,-58.82,-0.42,-0.08,-0.66,-14.74,-0.05,-0.04,-9.85,-52.23,-0.71,-0.19
ema200_stoch_2R_t10_tax1,ema200,stoch,2R_t10,1,2413,37.4,6.12,-4.94,-0.802,34,0.225,0.9,-6.95,-80.61,-0.58,-0.09,-5.05,-60.66,-0.45,-0.08,-0.77,-15.07,-0.06,-0.05,-10.41,-54.18,-0.76,-0.19
ema200_stoch_2R_t15_tax0,ema200,stoch,2R_t15,0,2238,37.7,7.19,-5.37,-0.635,32,0.243,0.8,-4.62,-68.25,-0.33,-0.07,-1.35,-43.34,-0.07,-0.03,1.71,-14.49,0.26,0.12,-4.45,-43.34,-0.25,-0.1
ema200_stoch_2R_t15_tax1,ema200,stoch,2R_t15,1,2238,37.7,7.19,-5.37,-0.635,32,0.251,0.9,-5.22,-72.03,-0.39,-0.07,-1.97,-46.18,-0.13,-0.04,1.45,-14.49,0.23,0.1,-5.62,-46.18,-0.33,-0.12
ema200_cci_2R_t10_tax0,ema200,cci,2R_t10,0,1554,37.9,6.1,-4.99,-0.79,28,0.14,0.9,-2.54,-52.65,-0.25,-0.05,-1.59,-38.92,-0.15,-0.04,1.0,-10.32,0.2,0.1,-5.69,-37.26,-0.48,-0.15
ema200_cci_2R_t10_tax1,ema200,cci,2R_t10,1,1554,37.9,6.1,-4.99,-0.79,28,0.146,1.0,-2.84,-55.4,-0.29,-0.05,-1.78,-40.19,-0.18,-0.04,0.88,-10.32,0.18,0.09,-6.01,-38.57,-0.51,-0.16
ema200_cci_2R_t15_tax0,ema200,cci,2R_t15,0,1481,38.4,7.22,-5.55,-0.645,22,0.165,0.9,-1.6,-41.83,-0.12,-0.04,0.09,-38.18,0.06,0.0,2.9,-11.12,0.51,0.26,-2.91,-38.18,-0.19,-0.08
ema200_cci_2R_t15_tax1,ema200,cci,2R_t15,1,1480,38.4,7.21,-5.55,-0.651,22,0.172,0.9,-2.09,-47.38,-0.18,-0.04,-0.36,-38.18,0.0,-0.01,2.51,-11.12,0.44,0.23,-3.65,-38.18,-0.25,-0.1
