arm,family,n,total_net_lot,mean_net_lot,median_net_lot,sd_net_lot,t_stat,win_rate,worst_lot,best_lot,fire_rate,mean_hold_min,vs_be_mean,vs_be_t,vs_inc_mean,vs_inc_t,vs_rand_mean,is_mean,oos_mean,oos_n,oos_total,dte1_mean,dte2_mean,dte3p_mean,atm_mean,atm4_mean
CEIL_p10_m4.0_N3_SEED,CEIL,86,246756,2869.3,3203.3,2426.8,10.96,83.7,-4046,7501,39.5,185.8,333.4,2.2,389.0,1.7,467.9,3403,1968,32,62967,2747,2372,3525,2867,2872
CEIL_p10_m4.0_N5_COLD,CEIL,86,216496,2517.4,3079.5,2723.6,8.57,74.4,-3618,7501,32.6,201.1,-18.5,-0.15,37.1,0.13,116.0,2909,1857,32,59411,2043,2180,3412,2459,2599
CEIL_p10_m4.0_N5_SEED,CEIL,86,217857,2533.2,3112.3,2739.6,8.57,74.4,-3618,7501,34.9,198.1,-2.7,-0.02,52.9,0.19,131.8,2935,1855,32,59361,2009,2180,3502,2527,2542
CEIL_p14_m2.0_N1_COLD,CEIL,86,228685,2659.1,2768.7,1806.9,13.65,90.7,-866,7501,81.4,120.5,123.2,0.63,178.8,1.44,257.7,2910,2235,32,71532,2749,2376,2850,2357,3079
CEIL_p14_m2.0_N1_SEED,CEIL,86,226023,2628.2,2578.0,1536.1,15.87,94.2,-613,5595,84.9,102.7,92.3,0.41,147.9,1.55,226.8,2855,2246,32,71866,2721,2096,3073,2314,3064
CEIL_p14_m2.0_N2_COLD,CEIL,86,245048,2849.4,2819.1,1978.4,13.36,88.4,-1057,7501,74.4,147.6,313.5,1.86,369.1,2.1,448.0,3272,2136,32,68368,2789,2577,3200,2777,2949
CEIL_p14_m2.0_N2_SEED,CEIL,86,241385,2806.8,2632.8,1838.6,14.16,93.0,-248,7501,75.6,134.2,270.9,1.32,326.5,2.29,405.4,3206,2134,32,68273,2963,2504,2941,2525,3199
CEIL_p14_m2.0_N3_COLD,CEIL,86,243668,2833.3,3112.3,2122.7,12.38,84.9,-1996,7501,61.6,169.9,297.5,1.91,353.0,1.71,432.0,3254,2123,32,67950,2749,2385,3395,2814,2861
CEIL_p14_m2.0_N3_SEED,CEIL,86,257273,2991.5,2968.5,1930.2,14.37,91.9,-1732,7501,65.1,161.3,455.7,2.72,511.2,3.08,590.2,3479,2168,32,69382,3117,2588,3266,2914,3099
CEIL_p14_m2.0_N5_COLD,CEIL,86,223173,2595.0,3079.5,2688.8,8.95,79.1,-4046,7501,34.9,195.6,59.1,0.43,114.7,0.41,193.6,2948,1999,32,63983,2111,2238,3520,2514,2708
CEIL_p14_m2.0_N5_SEED,CEIL,86,214631,2495.7,2720.6,2739.5,8.45,77.9,-4046,7501,38.4,191.4,-40.2,-0.28,15.4,0.05,94.3,2980,1678,32,53702,1746,2215,3648,2464,2540
CEIL_p14_m2.5_N1_COLD,CEIL,86,232723,2706.1,2696.2,1940.7,12.93,88.4,-866,7501,75.6,135.3,170.2,0.95,225.8,1.51,304.7,2953,2289,32,73256,2982,2245,2867,2461,3047
CEIL_p14_m2.5_N1_SEED,CEIL,86,239884,2789.4,2628.3,1829.5,14.14,93.0,-613,7501,77.9,133.4,253.5,1.31,309.1,2.3,388.0,3168,2151,32,68819,3100,2248,2994,2461,3245
CEIL_p14_m2.5_N2_COLD,CEIL,86,251755,2927.4,2873.1,2111.8,12.86,88.4,-1134,7501,60.5,163.7,391.5,2.68,447.1,2.3,526.0,3319,2266,32,72514,2900,2533,3367,2844,3043
CEIL_p14_m2.5_N2_SEED,CEIL,86,248685,2891.7,2819.1,1924.0,13.94,94.2,-302,7501,65.1,156.2,355.8,2.15,411.4,2.49,490.3,3243,2298,32,73547,3044,2396,3231,2713,3139
CEIL_p14_m2.5_N3_COLD,CEIL,86,247195,2874.4,3094.6,2284.4,11.67,82.6,-1989,7501,51.2,178.8,338.5,2.34,394.1,1.81,473.0,3333,2101,32,67234,2757,2418,3482,2856,2901
CEIL_p14_m2.5_N3_SEED,CEIL,86,250189,2909.2,3112.3,2139.2,12.61,86.0,-1732,7501,53.5,170.7,373.3,2.45,428.9,2.23,507.8,3298,2252,32,72077,2913,2315,3521,2860,2978
CEIL_p14_m2.5_N5_COLD,CEIL,86,214150,2490.1,2821.1,2741.1,8.42,75.6,-4046,7501,40.7,188.8,-45.8,-0.32,9.8,0.04,88.7,2969,1681,32,53803,1983,2169,3405,2335,2706
CEIL_p14_m2.5_N5_SEED,CEIL,86,208544,2424.9,2935.8,2834.9,7.93,73.3,-4046,7501,39.5,194.2,-111.0,-0.87,-55.4,-0.19,23.5,2799,1794,32,57398,1850,2167,3352,2369,2502
CEIL_p14_m3.0_N1_COLD,CEIL,86,248710,2892.0,2850.0,2082.0,12.88,87.2,-866,7501,65.1,151.5,356.1,2.65,411.7,2.49,490.6,3217,2344,32,75005,3069,2384,3215,2704,3154
CEIL_p14_m3.0_N1_SEED,CEIL,86,243595,2832.5,2669.8,1955.2,13.43,91.9,-613,7501,68.6,148.3,296.6,1.72,352.2,2.4,431.1,3203,2207,32,70613,3089,2347,3042,2547,3229
CEIL_p14_m3.0_N2_COLD,CEIL,86,239713,2787.4,3063.8,2303.0,11.22,84.9,-2414,7501,59.3,168.7,251.5,1.75,307.1,1.37,386.0,3234,2033,32,65051,2574,2588,3239,2756,2830
CEIL_p14_m3.0_N2_SEED,CEIL,86,233387,2713.8,2819.1,2218.8,11.34,87.2,-2414,7501,64.0,161.2,177.9,1.05,233.5,1.18,312.4,3172,1941,32,62102,2574,2590,3003,2570,2913
CEIL_p14_m3.0_N3_COLD,CEIL,86,238015,2767.6,3112.3,2530.1,10.14,81.4,-4046,7501,45.3,184.1,231.7,1.59,287.3,1.12,366.2,3234,1981,32,63406,2473,2372,3516,2843,2663
CEIL_p14_m3.0_N3_SEED,CEIL,86,237138,2757.4,3070.3,2460.1,10.39,83.7,-4046,7501,46.5,180.8,221.5,1.38,277.1,1.19,356.0,3273,1887,32,60373,2443,2295,3598,2691,2850
CEIL_p14_m3.0_N5_COLD,CEIL,86,216441,2516.8,3079.5,2752.6,8.48,74.4,-3618,7501,36.0,199.4,-19.1,-0.15,36.5,0.13,115.4,2899,1871,32,59879,2049,2104,3482,2490,2554
CEIL_p14_m3.0_N5_SEED,CEIL,86,218273,2538.1,3112.3,2747.1,8.57,75.6,-3618,7501,33.7,202.3,2.2,0.02,57.8,0.2,136.7,2918,1896,32,60676,2089,2127,3480,2523,2558
CEIL_p14_m3.5_N1_COLD,CEIL,86,245330,2852.7,2935.8,2140.8,12.36,86.0,-866,7501,61.6,162.0,316.8,2.44,372.4,2.15,451.3,3165,2326,32,74447,3051,2328,3169,2648,3137
CEIL_p14_m3.5_N1_SEED,CEIL,86,240557,2797.2,2819.1,2041.1,12.71,89.5,-613,7501,64.0,156.6,261.3,1.55,316.9,1.97,395.8,3160,2185,32,69933,3022,2263,3093,2511,3195
CEIL_p14_m3.5_N2_COLD,CEIL,86,243337,2829.5,3187.2,2337.3,11.23,82.6,-1134,7501,48.8,179.8,293.6,2.28,349.2,1.54,428.1,3196,2210,32,70733,2663,2494,3369,2816,2848
CEIL_p14_m3.5_N2_SEED,CEIL,86,250288,2910.3,3079.5,2176.1,12.4,87.2,-911,7501,53.5,171.5,374.4,2.48,430.0,2.25,508.9,3320,2219,32,70999,2903,2469,3376,2793,3074
CEIL_p14_m3.5_N3_COLD,CEIL,86,237480,2761.4,3249.0,2517.2,10.17,79.1,-2414,7501,41.9,189.9,225.5,1.61,281.1,1.14,360.0,3222,1984,32,63493,2508,2270,3563,2792,2719
CEIL_p14_m3.5_N3_SEED,CEIL,86,256183,2978.9,3230.0,2241.6,12.32,86.0,-1989,7501,40.7,187.2,443.0,3.12,498.6,2.46,577.5,3345,2361,32,75545,3130,2301,3507,2937,3037
CEIL_p14_m3.5_N5_COLD,CEIL,86,224519,2610.7,3112.3,2636.9,9.18,74.4,-3618,7501,34.9,200.4,74.8,0.58,130.4,0.49,209.3,3040,1886,32,60353,2279,2214,3403,2628,2586
CEIL_p14_m3.5_N5_SEED,CEIL,86,227213,2642.0,3010.2,2572.4,9.52,76.7,-2625,7501,33.7,201.1,106.1,0.79,161.7,0.65,240.6,3108,1856,32,59388,2342,2177,3469,2611,2684
CEIL_p14_m4.0_N1_COLD,CEIL,86,245388,2853.3,2897.3,2197.3,12.04,83.7,-866,7501,54.7,168.5,317.5,2.51,373.0,2.05,452.0,3169,2320,32,74254,3026,2272,3258,2666,3113
CEIL_p14_m4.0_N1_SEED,CEIL,86,240532,2796.9,2819.1,2113.6,12.27,88.4,-613,7501,55.8,162.3,261.0,1.61,316.6,1.86,395.5,3170,2168,32,69376,2993,2212,3178,2504,3203
CEIL_p14_m4.0_N2_COLD,CEIL,86,244174,2839.2,3079.5,2280.7,11.54,84.9,-1134,7501,50.0,180.5,303.3,2.11,358.9,1.69,437.8,3220,2197,32,70311,2898,2334,3296,2768,2938
CEIL_p14_m4.0_N2_SEED,CEIL,86,236610,2751.3,3061.3,2355.9,10.83,83.7,-2414,7501,47.7,181.3,215.4,1.75,271.0,1.18,349.9,3239,1928,32,61695,2555,2325,3418,2667,2868
CEIL_p14_m4.0_N3_COLD,CEIL,86,246085,2861.5,3203.3,2403.1,11.04,81.4,-2414,7501,37.2,193.7,325.6,2.4,381.2,1.59,460.1,3257,2194,32,70193,2763,2314,3542,2870,2850
CEIL_p14_m4.0_N3_SEED,CEIL,86,233336,2713.2,3112.3,2545.0,9.89,80.2,-4046,7501,38.4,189.5,177.3,1.31,232.9,0.9,311.8,3212,1871,32,59866,2400,2290,3513,2708,2720
CEIL_p14_m4.0_N5_COLD,CEIL,86,229168,2664.7,3079.5,2577.2,9.59,79.1,-3618,7501,33.7,200.0,128.8,0.97,184.4,0.71,263.3,3120,1896,32,60684,2418,2180,3450,2587,2772
CEIL_p14_m4.0_N5_SEED,CEIL,86,221418,2574.6,3079.5,2673.9,8.93,77.9,-3618,7501,33.7,200.3,38.7,0.29,94.3,0.33,173.2,3010,1840,32,58891,2229,2114,3450,2561,2594
CEILNC_p7_m3.0_N1_COLD,CEIL_NOCLAMP,86,239009,2779.2,2597.3,1921.4,13.41,91.9,-866,7501,72.1,125.4,243.3,1.29,298.9,2.28,377.8,3135,2178,32,69696,2901,2472,2957,2514,3147
CEILNC_p7_m3.0_N1_SEED,CEIL_NOCLAMP,86,240358,2794.9,2628.3,1912.6,13.55,93.0,-613,7501,72.1,131.5,259.0,1.35,314.6,2.31,393.5,3180,2146,32,68662,3011,2310,3050,2458,3262
CEILNC_p7_m3.0_N2_COLD,CEIL_NOCLAMP,86,245358,2853.0,2785.4,2088.2,12.67,89.5,-2414,7501,65.1,150.2,317.1,1.76,372.7,1.99,451.6,3369,1982,32,63423,2745,2652,3186,2755,2989
CEILNC_p7_m3.0_N2_SEED,CEIL_NOCLAMP,86,233614,2716.4,2679.5,2134.3,11.8,90.7,-2414,7501,68.6,148.7,180.6,0.98,236.1,1.29,315.1,3230,1850,32,59205,2658,2545,2960,2477,3048
CEILNC_p7_m3.0_N3_COLD,CEIL_NOCLAMP,86,234028,2721.3,3034.3,2373.6,10.63,83.7,-4046,7501,58.1,169.4,185.4,1.09,241.0,1.09,319.9,3194,1923,32,61537,2647,2369,3172,2657,2811
CEILNC_p7_m3.0_N3_SEED,CEIL_NOCLAMP,86,230112,2675.7,2921.3,2419.2,10.26,83.7,-4046,7501,59.3,168.2,139.8,0.81,195.4,0.9,274.3,3203,1786,32,57148,2577,2302,3177,2516,2898
GIVEBACK_10%,GIVEBACK,86,219796,2555.8,2329.7,1272.5,18.63,98.8,-196,5791,96.5,37.1,19.9,0.08,75.5,0.7,154.4,2850,2059,32,65901,2495,2083,3115,2234,3003
GIVEBACK_15%,GIVEBACK,86,225339,2620.2,2441.5,1522.7,15.96,98.8,-196,7501,88.4,67.8,84.3,0.38,139.9,1.14,218.8,2933,2093,32,66966,2474,2397,3020,2228,3165
GIVEBACK_20%,GIVEBACK,86,227254,2642.5,2318.5,1613.5,15.19,98.8,-196,7501,83.7,90.0,106.6,0.49,162.2,1.34,241.1,2924,2168,32,69381,2653,2276,3010,2232,3213
GIVEBACK_25%,GIVEBACK,86,233474,2714.8,2318.5,1783.5,14.12,98.8,-196,7501,73.3,111.4,178.9,0.92,234.5,1.64,313.4,3003,2229,32,71320,2656,2218,3297,2358,3211
GIVEBACK_30%,GIVEBACK,86,231633,2693.4,2628.3,1917.0,13.03,94.2,-488,7501,60.5,128.4,157.5,0.82,213.1,1.45,292.0,2956,2250,32,72013,2665,2134,3306,2371,3141
GIVEBACK_40%,GIVEBACK,86,238407,2772.2,3010.2,2138.8,12.02,88.4,-488,7501,51.2,159.6,236.3,1.43,291.9,1.65,370.8,3153,2129,32,68138,2997,1976,3340,2476,3184
GIVEBACK_50%,GIVEBACK,86,237125,2757.3,3010.2,2209.4,11.57,83.7,-497,7501,50.0,169.3,221.4,1.53,277.0,1.48,355.9,3173,2056,32,65781,2958,2051,3259,2473,3151
GIVEBACK_10pt,GIVEBACK_PTS,86,216677,2519.5,2330.5,1157.4,20.19,98.8,-112,5140,100.0,11.0,-16.4,-0.07,39.2,0.31,118.1,2794,2056,32,65797,2413,2142,3033,2233,2917
GIVEBACK_15pt,GIVEBACK_PTS,86,220099,2559.3,2356.9,1226.8,19.35,97.7,-112,5626,96.5,26.4,23.4,0.09,79.0,0.67,157.9,2860,2051,32,65634,2476,2157,3073,2254,2983
GIVEBACK_20pt,GIVEBACK_PTS,86,224680,2612.6,2495.6,1241.6,19.51,97.7,-112,5583,91.9,43.0,76.7,0.31,132.3,1.22,211.2,2885,2153,32,68892,2502,2233,3133,2256,3108
GIVEBACK_25pt,GIVEBACK_PTS,86,221496,2575.5,2457.0,1277.4,18.7,97.7,-112,5491,88.4,52.9,39.6,0.16,95.2,0.89,174.1,2874,2072,32,66292,2532,2165,3052,2215,3076
GIVEBACK_30pt,GIVEBACK_PTS,86,219779,2555.6,2397.5,1311.6,18.07,97.7,-196,5964,87.2,61.6,19.7,0.08,75.3,0.72,154.2,2850,2058,32,65858,2499,2136,3055,2188,3066
GIVEBACK_40pt,GIVEBACK_PTS,86,221631,2577.1,2344.9,1458.8,16.38,97.7,-196,7501,79.1,86.0,41.2,0.18,96.8,0.91,175.7,2865,2091,32,66901,2523,2148,3084,2188,3118
TP_70%,TP,86,220539,2564.4,2523.4,1339.9,17.75,91.9,-380,5336,100.0,19.0,28.5,0.13,84.1,0.64,163.0,2864,2059,32,65878,2499,2150,3069,2274,2968
TP_60%,TP,86,218635,2542.3,2607.6,1716.9,13.73,82.6,-499,6640,94.2,65.4,6.4,0.03,62.0,0.38,140.9,2775,2150,32,68797,2779,1885,2951,2332,2834
TP_50%,TP,86,230829,2684.1,2946.3,2017.8,12.34,77.9,-1002,6664,80.2,112.9,148.2,0.88,203.8,1.13,282.7,2917,2292,32,73330,2986,1834,3218,2526,2904
TP_40%,TP,86,220015,2558.3,3081.5,2237.8,10.6,72.1,-1002,6515,60.5,155.0,22.4,0.2,78.0,0.4,156.9,2820,2117,32,67738,2586,1844,3267,2369,2821
TP_30%,TP,86,222013,2581.6,3079.5,2410.5,9.93,69.8,-1002,7347,47.7,176.0,45.7,0.86,101.3,0.45,180.2,2812,2193,32,70161,2491,2013,3275,2380,2861
TP_20%,TP,86,217457,2528.6,2709.6,2439.5,9.61,69.8,-1002,7501,34.9,190.0,-7.3,-1.39,48.3,0.21,127.2,2801,2069,32,66199,2305,2056,3275,2355,2769
