label,cagr,sharpe,sortino,max_drawdown,calmar,profit_factor,total_trades,win_rate,total_pnl,final_value,total_return_pct,ema_fast,ema_slow,adx_threshold,rsi_period,rsi_entry,max_pos_trend,max_pos_meanrev,hard_stop_pct,trend_trades,trend_pf,trend_pnl,meanrev_trades,meanrev_pf,meanrev_pnl
E25_60_ADX20_R21_30_P15_10,8.27,1.32,1.76,8.85,0.93,1.59,2258,37.4,8650377,18652905,86.53,25,60,20,21,30,15,10,0.1,2115,1.56,8027248,143,2.48,623130
E25_60_ADX20_R21_30_P20_10,8.19,1.4,1.82,7.95,1.03,1.63,2765,37.3,8553158,18555747,85.56,25,60,20,21,30,20,10,0.1,2622,1.6,7930029,143,2.48,623130
E25_60_ADX25_R21_30_P8_5,5.01,0.97,1.27,8.75,0.57,1.45,1214,39.4,4673860,14675945,46.76,25,60,25,21,30,8,5,0.1,1076,1.41,4016093,138,2.25,657767
E25_60_ADX25_R21_30_P15_10,6.69,1.16,1.44,10.76,0.62,1.53,1838,38.4,6617578,16620066,66.2,25,60,25,21,30,15,10,0.1,1695,1.5,5994448,143,2.48,623130
E25_60_ADX25_R21_30_P20_10,5.92,1.17,1.43,10.06,0.59,1.53,2087,37.8,5701407,15704162,57.04,25,60,25,21,30,20,10,0.1,1944,1.49,5078277,143,2.48,623130
E25_60_ADX30_R21_30_P8_5,5.58,1.27,1.7,6.54,0.85,1.68,926,40.6,5310259,15311765,53.12,25,60,30,21,30,8,5,0.1,788,1.63,4652492,138,2.25,657767
E25_60_ADX30_R21_30_P15_10,5.68,1.4,1.9,5.8,0.98,1.72,1127,39.9,5425763,15427508,54.28,25,60,30,21,30,15,10,0.1,984,1.68,4802633,143,2.48,623130
E25_60_ADX30_R21_30_P20_10,4.79,1.47,1.99,4.9,0.98,1.75,1163,40.2,4433064,14434442,44.34,25,60,30,21,30,20,10,0.1,1020,1.7,3809935,143,2.48,623130
E20_50_ADX25_R7_20_P8_5,4.84,0.84,1.11,10.68,0.45,1.27,2949,51.3,4491976,14494600,44.95,20,50,25,7,20,8,5,0.1,1215,1.46,4586279,1734,0.99,-94304
E20_50_ADX25_R7_20_P15_10,5.7,0.93,1.19,11.86,0.48,1.3,3984,50.4,5447447,15450858,54.51,20,50,25,7,20,15,10,0.1,1799,1.43,5066584,2185,1.06,380863
E20_50_ADX25_R7_20_P20_10,5.23,0.99,1.26,9.16,0.57,1.31,4146,50.1,4917844,14921132,49.21,20,50,25,7,20,20,10,0.1,1961,1.47,4536981,2185,1.06,380863
E20_50_ADX25_R7_25_P8_5,4.71,0.77,1.04,9.21,0.51,1.21,4014,55.4,4353140,14355770,43.56,20,50,25,7,25,8,5,0.1,1215,1.46,4586279,2799,0.98,-233139
E20_50_ADX25_R7_25_P15_10,5.27,0.78,1.0,14.16,0.37,1.21,5708,55.3,4962952,14966588,49.67,20,50,25,7,25,15,10,0.1,1799,1.43,5066584,3909,0.99,-103632
