signal,outcome,horizon,is_placebo,ic_raw,t_raw,ic_partial,t_partial,stable_partial,ic_shuffled,abs_partial,placebo_ceiling,pct_raw_surviving,alive,n_raw,ic_partial_NIFTY,ic_partial_SENSEX,ic_raw_NIFTY,ic_raw_SENSEX,ic_shuffled_NIFTY,ic_shuffled_SENSEX,n_partial,n_shuffled,stable_raw,stable_shuffled,t_shuffled
atm_iv,fabs,60,0,-0.1561,-5.67,-0.0302,-1.44,0,-0.0475,0.0302,0.0261,19.3,0,128,-0.0324,-0.0281,-0.1639,-0.1483,-0.0288,-0.0679,128,92,0,0,-1.48
doi_ce_15,fret,30,0,0.0643,3.44,-0.0294,-2.08,0,0.0146,0.0294,0.0092,45.7,0,162,-0.0327,-0.0261,0.0659,0.0627,0.0115,0.0176,162,156,0,0,0.79
d_atm_iv_15,fdprem,30,0,-0.0659,-4.21,0.0293,1.78,0,0.0256,0.0293,0.0491,44.5,0,128,0.0263,0.0324,-0.0608,-0.0711,0.0192,0.0326,128,92,1,0,1.32
d_atm_iv_15,fdprem_n,30,0,-0.0659,-4.21,0.0293,1.78,0,0.0256,0.0293,0.0491,44.5,0,128,0.0263,0.0324,-0.0608,-0.0711,0.0192,0.0326,128,92,1,0,1.32
doi_ce_5,fdprem,60,0,-0.0182,-1.12,-0.0292,-3.03,0,-0.0222,0.0292,0.0129,160.4,0,162,-0.021,-0.0375,-0.0072,-0.0293,-0.0324,-0.0119,162,156,0,0,-1.23
doi_ce_5,fdprem_n,60,0,-0.0182,-1.12,-0.0292,-3.03,0,-0.0222,0.0292,0.0129,160.4,0,162,-0.021,-0.0375,-0.0072,-0.0293,-0.0324,-0.0119,162,156,0,0,-1.23
doi_pe_30,fret,5,0,-0.0128,-1.33,0.0291,2.78,1,0.0206,0.0291,0.0107,227.3,0,162,0.0356,0.0226,-0.0086,-0.017,0.0221,0.019,162,156,0,0,1.93
doi_wing_15,fret,30,0,0.0141,0.82,-0.029,-2.38,0,0.0053,0.029,0.0092,205.7,0,162,-0.0241,-0.034,0.0357,-0.0076,0.0133,-0.0027,162,156,0,0,0.33
doi_pe_30,fret,15,0,-0.0187,-1.17,0.0288,1.78,0,0.0299,0.0288,0.0198,154.0,0,162,0.0333,0.0242,-0.0186,-0.0189,0.0283,0.0314,162,156,0,0,1.71
doi_pe_30,fdprem,30,0,-0.0016,-0.08,-0.0281,-1.48,0,0.0126,0.0281,0.0491,1756.2,0,162,-0.0172,-0.0389,0.0091,-0.0123,0.015,0.0102,162,156,0,0,0.61
doi_pe_30,fdprem_n,30,0,-0.0016,-0.08,-0.0281,-1.48,0,0.0126,0.0281,0.0491,1756.2,0,162,-0.0172,-0.0389,0.0091,-0.0123,0.015,0.0102,162,156,0,0,0.61
d_atm_iv_15,fdprem,15,0,-0.0481,-3.72,0.0279,1.99,0,0.0244,0.0279,0.0481,58.0,0,128,0.023,0.0327,-0.0453,-0.051,0.0359,0.0117,128,92,1,0,1.49
d_atm_iv_15,fdprem_n,15,0,-0.0481,-3.72,0.0279,1.99,0,0.0244,0.0279,0.0481,58.0,0,128,0.023,0.0327,-0.0453,-0.051,0.0359,0.0117,128,92,1,0,1.49
doi_atm_15,fdprem,60,0,-0.0045,-0.27,-0.0275,-2.08,0,-0.0075,0.0275,0.0129,611.1,0,162,-0.0365,-0.0185,-0.0207,0.0116,-0.0327,0.0177,162,156,0,0,-0.5
doi_atm_15,fdprem_n,60,0,-0.0045,-0.27,-0.0275,-2.08,0,-0.0075,0.0275,0.0129,611.1,0,162,-0.0365,-0.0185,-0.0207,0.0116,-0.0327,0.0177,162,156,0,0,-0.5
placebo_noise,fabs,60,1,-0.062,-2.66,-0.0261,-1.35,0,-0.0021,0.0261,0.0261,42.1,0,162,-0.0298,-0.0223,-0.0605,-0.0635,-0.0006,-0.0036,162,162,0,0,-0.08
doi_pe_5,fabs,60,0,-0.0265,-1.77,0.0258,2.59,0,-0.0231,0.0258,0.0261,97.4,0,162,0.0258,0.0258,-0.0212,-0.0319,-0.0252,-0.0211,162,156,0,0,-1.78
doi_wing_15,fdprem,60,0,-0.0374,-1.95,-0.0258,-1.91,0,-0.0148,0.0258,0.0129,69.0,0,162,-0.0145,-0.037,-0.0243,-0.0504,-0.0227,-0.0069,162,156,0,0,-0.84
doi_wing_15,fdprem_n,60,0,-0.0374,-1.95,-0.0258,-1.91,0,-0.0148,0.0258,0.0129,69.0,0,162,-0.0145,-0.037,-0.0243,-0.0504,-0.0227,-0.0069,162,156,0,0,-0.84
mp_drift_30,fdprem,15,0,0.0214,1.52,0.0257,1.69,0,0.0143,0.0257,0.0481,120.1,0,160,0.0362,0.0155,0.0389,0.0044,0.0041,0.0239,160,152,0,0,0.97
mp_drift_30,fdprem_n,15,0,0.0214,1.52,0.0257,1.69,0,0.0143,0.0257,0.0481,120.1,0,160,0.0362,0.0155,0.0389,0.0044,0.0041,0.0239,160,152,0,0,0.97
doi_pe_30,fdprem,60,0,-0.0022,-0.09,-0.0256,-1.22,0,-0.0112,0.0256,0.0129,1163.6,0,162,-0.0335,-0.0176,-0.0147,0.0102,-0.0136,-0.0087,162,156,0,0,-0.43
doi_pe_30,fdprem_n,60,0,-0.0022,-0.09,-0.0256,-1.22,0,-0.0112,0.0256,0.0129,1163.6,0,162,-0.0335,-0.0176,-0.0147,0.0102,-0.0136,-0.0087,162,156,0,0,-0.43
